time,lon,lat,rcp26_frost_free_season_p10,rcp26_frost_free_season_p50,rcp26_frost_free_season_p90,rcp45_frost_free_season_p10,rcp45_frost_free_season_p50,rcp45_frost_free_season_p90,rcp85_frost_free_season_p10,rcp85_frost_free_season_p50,rcp85_frost_free_season_p90
1950-01-01,-114.46,53.21,95.20,116.50,146.00,98.00,115.00,146.00,97.30,115.00,146.00
1951-01-01,-114.46,53.21,103.80,128.00,145.50,103.80,128.50,145.50,105.00,128.50,145.50
1952-01-01,-114.46,53.21,107.80,121.50,135.00,111.30,121.50,135.00,112.00,123.00,135.00
1953-01-01,-114.46,53.21,101.00,130.00,145.50,101.00,128.00,145.50,101.00,128.00,146.20
1954-01-01,-114.46,53.21,107.60,126.00,145.70,107.60,126.00,145.70,107.60,126.00,145.70
1955-01-01,-114.46,53.21,102.80,127.00,143.10,102.80,125.00,143.10,102.80,125.00,143.10
1956-01-01,-114.46,53.21,101.00,119.50,141.40,102.80,119.50,141.40,101.00,118.50,139.40
1957-01-01,-114.46,53.21,98.80,120.00,135.40,98.80,120.00,134.00,96.30,120.00,134.00
1958-01-01,-114.46,53.21,107.30,122.50,140.90,105.60,122.50,140.90,105.60,122.50,140.90
1959-01-01,-114.46,53.21,103.90,129.00,138.70,103.90,129.00,138.70,103.90,127.50,137.70
1960-01-01,-114.46,53.21,105.60,131.50,143.10,105.60,132.00,143.10,105.60,132.00,143.10
1961-01-01,-114.46,53.21,100.10,128.00,143.50,100.10,128.00,143.50,100.10,128.00,143.50
1962-01-01,-114.46,53.21,109.00,122.50,140.40,109.00,123.50,140.40,109.00,123.50,140.40
1963-01-01,-114.46,53.21,104.30,119.00,136.80,94.40,121.50,136.80,94.40,120.50,135.80
1964-01-01,-114.46,53.21,100.00,117.50,139.40,100.00,117.50,139.40,100.00,117.00,139.40
1965-01-01,-114.46,53.21,101.80,123.00,137.00,109.90,123.00,137.00,102.70,121.50,137.00
1966-01-01,-114.46,53.21,98.60,120.00,137.40,98.60,120.00,137.40,98.60,120.00,135.70
1967-01-01,-114.46,53.21,103.00,121.50,137.80,103.00,121.50,137.80,103.00,121.50,137.80
1968-01-01,-114.46,53.21,85.30,121.00,141.70,85.30,121.50,141.70,85.30,124.00,140.10
1969-01-01,-114.46,53.21,96.20,118.50,136.00,96.20,117.00,135.70,96.20,117.50,135.00
1970-01-01,-114.46,53.21,103.90,125.50,142.90,103.90,125.50,142.90,103.90,125.00,142.90
1971-01-01,-114.46,53.21,101.60,127.50,144.90,103.30,128.50,144.90,103.00,124.50,139.10
1972-01-01,-114.46,53.21,95.70,121.50,128.40,95.70,123.00,134.60,95.70,121.50,128.10
1973-01-01,-114.46,53.21,99.30,115.00,142.30,99.30,117.00,142.30,99.30,117.00,142.30
1974-01-01,-114.46,53.21,108.30,124.00,136.80,108.30,124.00,136.80,105.90,124.00,134.00
1975-01-01,-114.46,53.21,99.60,122.00,140.00,99.60,122.00,140.00,99.60,122.00,140.00
1976-01-01,-114.46,53.21,95.70,119.50,139.60,96.40,119.50,139.60,96.40,119.50,139.60
1977-01-01,-114.46,53.21,104.40,129.50,145.00,104.40,129.00,145.00,104.40,129.00,145.00
1978-01-01,-114.46,53.21,109.00,132.50,151.70,109.00,132.50,151.70,109.00,129.50,150.70
1979-01-01,-114.46,53.21,105.70,124.50,133.70,105.70,124.00,133.70,105.70,124.00,133.70
1980-01-01,-114.46,53.21,111.30,122.00,142.70,111.30,122.00,142.70,111.00,122.00,142.40
1981-01-01,-114.46,53.21,101.30,119.00,139.40,101.30,117.50,139.40,101.30,117.50,139.40
1982-01-01,-114.46,53.21,99.90,123.00,142.10,98.30,123.00,142.10,98.30,123.00,142.10
1983-01-01,-114.46,53.21,112.40,125.50,146.60,110.00,124.50,148.40,110.00,124.50,146.90
1984-01-01,-114.46,53.21,106.90,125.00,146.80,106.90,124.50,146.80,106.90,126.50,146.80
1985-01-01,-114.46,53.21,100.20,125.00,136.70,97.80,125.00,136.70,100.20,125.00,136.70
1986-01-01,-114.46,53.21,98.90,125.50,148.70,102.50,124.50,148.70,98.90,125.50,148.70
1987-01-01,-114.46,53.21,96.30,116.00,134.80,91.80,117.50,134.10,91.80,117.50,134.10
