time,lat,lon,rcp26_gddgrow_10_p10,rcp26_gddgrow_10_p50,rcp26_gddgrow_10_p90,rcp45_gddgrow_10_p10,rcp45_gddgrow_10_p50,rcp45_gddgrow_10_p90,rcp85_gddgrow_10_p10,rcp85_gddgrow_10_p50,rcp85_gddgrow_10_p90
1950-01-01,53.21,-114.46,499.95,634.14,820.69,500.14,634.14,820.99,500.37,630.39,820.68
1951-01-01,53.21,-114.46,492.11,628.90,738.16,492.11,628.90,738.16,492.12,628.90,738.16
1952-01-01,53.21,-114.46,435.12,584.18,757.39,435.12,586.72,757.17,435.12,585.35,756.95
1953-01-01,53.21,-114.46,442.35,538.73,686.37,442.10,538.73,686.37,442.35,538.73,686.37
1954-01-01,53.21,-114.46,437.30,592.19,798.72,437.02,592.19,798.04,436.76,592.19,798.99
1955-01-01,53.21,-114.46,498.91,597.44,710.36,501.33,599.68,710.30,501.33,598.09,710.29
1956-01-01,53.21,-114.46,388.98,610.43,740.76,388.85,610.43,740.76,388.98,610.43,740.76
1957-01-01,53.21,-114.46,438.05,563.03,724.43,436.53,561.75,724.43,436.50,562.01,724.43
1958-01-01,53.21,-114.46,427.65,533.02,694.40,429.15,533.02,694.40,430.65,527.34,694.40
1959-01-01,53.21,-114.46,394.80,555.93,656.81,395.35,555.93,656.81,395.24,555.93,653.50
1960-01-01,53.21,-114.46,487.84,584.36,730.13,486.13,584.29,730.13,486.07,584.88,730.13
1961-01-01,53.21,-114.46,468.59,570.37,691.92,468.45,570.37,691.92,468.41,570.37,691.92
1962-01-01,53.21,-114.46,452.95,539.70,666.28,453.05,541.36,667.06,453.21,540.51,667.06
1963-01-01,53.21,-114.46,455.93,544.19,710.84,456.01,544.19,710.84,455.86,544.19,702.18
1964-01-01,53.21,-114.46,401.49,530.67,642.69,401.49,530.67,642.70,401.49,530.67,634.59
1965-01-01,53.21,-114.46,425.83,536.73,657.59,426.70,536.73,657.59,427.89,536.73,657.59
1966-01-01,53.21,-114.46,393.12,519.33,698.95,393.11,519.33,699.40,393.12,519.33,700.25
1967-01-01,53.21,-114.46,417.54,525.91,638.71,417.54,525.91,639.19,417.54,525.91,638.75
1968-01-01,53.21,-114.46,444.31,537.09,661.47,444.31,537.09,660.57,444.31,534.90,662.07
1969-01-01,53.21,-114.46,372.63,519.90,635.06,373.83,519.90,635.06,373.83,519.90,626.40
1970-01-01,53.21,-114.46,482.64,594.49,738.14,482.59,595.75,738.14,482.28,595.49,738.14
1971-01-01,53.21,-114.46,501.59,590.94,727.84,501.59,590.94,727.84,501.59,590.94,715.83
1972-01-01,53.21,-114.46,455.26,546.47,670.58,455.26,546.47,670.85,455.26,546.47,670.58
1973-01-01,53.21,-114.46,393.29,527.92,683.19,393.30,527.92,682.83,393.30,527.92,683.16
1974-01-01,53.21,-114.46,422.59,550.14,656.10,423.24,550.69,655.77,423.08,551.36,655.83
1975-01-01,53.21,-114.46,411.41,573.71,715.50,411.41,573.71,715.50,411.41,573.71,715.50
1976-01-01,53.21,-114.46,485.19,607.68,705.33,485.19,607.68,705.32,477.70,607.68,705.32
1977-01-01,53.21,-114.46,435.69,548.42,735.70,435.42,548.35,735.70,433.94,548.75,735.70
1978-01-01,53.21,-114.46,521.36,620.76,697.59,521.10,620.75,697.59,521.68,620.64,697.59
1979-01-01,53.21,-114.46,503.64,590.57,840.19,503.64,589.99,840.20,503.64,589.54,828.43
1980-01-01,53.21,-114.46,473.69,564.58,712.02,473.59,565.93,710.15,474.74,566.79,710.07
1981-01-01,53.21,-114.46,461.45,640.60,722.13,463.81,641.39,723.55,458.00,640.81,721.99
1982-01-01,53.21,-114.46,440.67,564.95,723.47,441.06,564.18,723.45,439.96,565.46,722.96
1983-01-01,53.21,-114.46,413.12,533.94,721.79,412.22,533.38,722.62,412.54,533.19,722.64
1984-01-01,53.21,-114.46,492.98,606.01,733.45,493.75,608.59,733.46,487.73,604.86,734.42
1985-01-01,53.21,-114.46,446.43,605.85,753.91,445.65,606.41,753.86,446.52,606.30,758.08
1986-01-01,53.21,-114.46,445.00,594.09,735.18,443.79,593.58,734.72,445.11,593.68,734.01
1987-01-01,53.21,-114.46,503.54,598.87,660.70,504.95,598.96,663.64,505.84,592.91,659.96
1988-01-01,53.21,-114.46,537.66,616.09,707.24,536.35,618.80,706.22,536.38,616.85,706.24
1989-01-01,53.21,-114.46,539.57,637.84,800.69,538.66,638.11,799.86,538.75,639.78,801.01
1990-01-01,53.21,-114.46,466.80,620.33,778.41,467.31,622.46,779.47,466.40,619.32,778.29
1991-01-01,53.21,-114.46,458.67,586.17,726.75,461.70,584.75,728.17,459.89,586.65,727.65
1992-01-01,53.21,-114.46,417.05,561.54,676.45,416.94,561.36,676.41,416.48,561.20,676.02
1993-01-01,53.21,-114.46,476.83,578.88,698.93,476.23,580.41,697.78,481.01,577.89,696.84
1994-01-01,53.21,-114.46,439.30,568.37,754.15,440.53,566.67,756.75,438.91,566.38,753.07
