time,lat,lon,rcp26_tx_max_p10,rcp26_tx_max_p50,rcp26_tx_max_p90,rcp45_tx_max_p10,rcp45_tx_max_p50,rcp45_tx_max_p90,rcp85_tx_max_p10,rcp85_tx_max_p50,rcp85_tx_max_p90
1950-01-01,53.21,-114.46,28.93,30.56,34.53,28.93,30.56,34.53,28.93,30.56,34.53
1951-01-01,53.21,-114.46,28.27,30.56,33.10,28.27,30.56,33.10,28.27,30.56,33.10
1952-01-01,53.21,-114.46,27.53,31.07,32.65,27.53,31.07,32.65,27.53,31.07,32.65
1953-01-01,53.21,-114.46,27.97,29.81,31.93,27.97,29.81,31.93,27.97,29.81,31.93
1954-01-01,53.21,-114.46,27.76,30.38,32.42,27.76,30.38,32.42,27.76,30.38,32.42
1955-01-01,53.21,-114.46,28.36,29.41,33.33,28.36,29.41,33.33,28.36,29.41,33.33
1956-01-01,53.21,-114.46,28.01,31.20,33.52,28.01,31.20,33.52,28.01,31.20,33.52
1957-01-01,53.21,-114.46,28.04,30.38,32.19,28.04,30.38,32.19,28.04,30.38,32.19
1958-01-01,53.21,-114.46,28.22,30.46,33.12,28.22,30.46,33.12,28.22,30.46,33.12
1959-01-01,53.21,-114.46,27.90,29.78,32.38,27.90,29.78,32.38,27.90,29.78,32.38
1960-01-01,53.21,-114.46,28.21,30.84,33.78,28.21,30.84,33.78,28.21,30.84,33.78
1961-01-01,53.21,-114.46,27.85,30.01,33.69,27.85,30.01,33.69,27.85,30.01,33.69
1962-01-01,53.21,-114.46,27.51,29.36,32.35,27.51,29.36,32.35,27.51,29.36,32.35
1963-01-01,53.21,-114.46,27.48,30.02,32.96,27.48,30.02,32.96,27.48,30.02,32.96
1964-01-01,53.21,-114.46,27.78,30.12,32.30,27.78,30.12,32.30,27.78,30.12,32.30
1965-01-01,53.21,-114.46,27.40,29.90,31.80,27.40,29.90,31.80,27.40,29.90,31.80
1966-01-01,53.21,-114.46,28.49,29.27,32.03,28.49,29.27,32.03,28.49,29.27,32.03
1967-01-01,53.21,-114.46,28.06,29.61,31.24,28.06,29.61,31.24,28.06,29.61,31.24
1968-01-01,53.21,-114.46,28.77,30.35,32.14,28.77,30.35,32.14,28.77,30.35,32.14
1969-01-01,53.21,-114.46,27.02,29.33,32.12,27.02,29.33,32.12,27.02,29.33,32.12
1970-01-01,53.21,-114.46,28.35,30.47,32.73,28.35,30.47,32.73,28.35,30.47,32.73
1971-01-01,53.21,-114.46,27.81,29.59,33.27,27.81,29.59,33.27,27.81,29.59,33.27
1972-01-01,53.21,-114.46,27.97,29.38,31.87,27.97,29.38,31.87,27.97,29.38,31.87
1973-01-01,53.21,-114.46,26.93,29.29,32.72,26.93,29.29,32.72,26.93,29.29,32.72
1974-01-01,53.21,-114.46,27.80,29.20,32.45,27.80,29.20,32.45,27.80,29.20,32.45
1975-01-01,53.21,-114.46,27.43,29.74,31.67,27.43,29.74,31.67,27.43,29.74,31.67
1976-01-01,53.21,-114.46,28.50,30.58,31.77,28.50,30.58,31.77,28.50,30.58,31.77
1977-01-01,53.21,-114.46,27.15,30.50,33.09,27.15,30.50,33.09,27.15,30.50,33.09
1978-01-01,53.21,-114.46,27.69,30.53,33.91,27.69,30.53,33.91,27.69,30.53,33.91
1979-01-01,53.21,-114.46,28.89,30.87,33.44,28.89,30.87,33.44,28.89,30.87,33.44
1980-01-01,53.21,-114.46,28.22,29.89,31.66,28.17,29.89,31.64,28.16,29.99,31.65
1981-01-01,53.21,-114.46,28.73,31.38,33.60,28.71,31.34,33.61,28.72,31.44,33.61
1982-01-01,53.21,-114.46,27.76,30.13,31.67,27.74,30.15,31.67,27.56,30.14,31.73
1983-01-01,53.21,-114.46,27.87,29.56,31.70,27.85,29.53,31.66,27.78,29.54,31.68
1984-01-01,53.21,-114.46,28.53,30.51,33.63,28.71,30.82,33.62,28.72,30.66,33.30
1985-01-01,53.21,-114.46,27.83,31.23,33.57,27.76,31.23,33.09,27.83,31.19,33.57
1986-01-01,53.21,-114.46,27.86,30.67,32.03,27.84,30.51,32.02,27.84,30.58,32.02
1987-01-01,53.21,-114.46,28.08,29.91,31.90,28.06,29.83,31.86,28.07,29.75,32.04
1988-01-01,53.21,-114.46,27.95,30.32,33.47,28.07,30.30,33.05,27.96,30.24,33.47
1989-01-01,53.21,-114.46,29.40,31.07,33.97,29.46,31.12,33.74,29.44,30.85,33.97
1990-01-01,53.21,-114.46,27.93,30.52,32.52,27.92,30.52,32.40,27.89,30.65,32.39
1991-01-01,53.21,-114.46,28.05,30.13,33.19,28.04,29.99,33.16,28.03,30.05,33.08
1992-01-01,53.21,-114.46,27.38,29.72,33.98,27.31,29.82,33.98,27.36,29.79,33.78
1993-01-01,53.21,-114.46,28.08,30.17,31.80,28.09,30.20,31.81,28.09,30.16,31.83
1994-01-01,53.21,-114.46,27.72,30.21,34.07,27.78,30.22,34.07,27.73,30.43,34.07
1995-01-01,53.21,-114.46,28.31,31.45,33.60,28.35,31.49,33.18,28.37,31.47,33.23
1996-01-01,53.21,-114.46,28.30,30.85,33.50,28.30,30.79,33.71,28.32,30.78,33.18
1997-01-01,53.21,-114.46,29.22,30.89,32.68,29.19,30.89,33.57,29.23,30.85,33.06
1998-01-01,53.21,-114.46,29.34,31.41,32.78,29.35,31.13,32.79,29.37,31.42,32.60
1999-01-01,53.21,-114.46,28.62,30.36,33.75,28.61,30.36,33.75,28.57,30.36,33.75
