time,lat,lon,rcp26_tx_mean_p10,rcp26_tx_mean_p50,rcp26_tx_mean_p90,rcp45_tx_mean_p10,rcp45_tx_mean_p50,rcp45_tx_mean_p90,rcp85_tx_mean_p10,rcp85_tx_mean_p50,rcp85_tx_mean_p90
1950-01-01,53.21,-114.46,8.13,9.64,10.63,8.13,9.64,10.63,8.13,9.64,10.63
1951-01-01,53.21,-114.46,7.47,9.38,10.78,7.47,9.38,10.78,7.47,9.38,10.78
1952-01-01,53.21,-114.46,7.53,8.71,10.06,7.53,8.71,10.06,7.54,8.71,10.06
1953-01-01,53.21,-114.46,7.20,8.73,9.93,7.20,8.73,9.93,7.20,8.73,9.94
1954-01-01,53.21,-114.46,7.84,8.87,10.02,7.84,8.87,10.02,7.84,8.87,10.02
1955-01-01,53.21,-114.46,7.24,8.81,10.32,7.24,8.81,10.32,7.24,8.81,10.32
1956-01-01,53.21,-114.46,7.70,9.00,10.35,7.70,9.00,10.35,7.70,9.00,10.35
1957-01-01,53.21,-114.46,6.54,8.43,10.52,6.54,8.43,10.52,6.54,8.43,10.52
1958-01-01,53.21,-114.46,7.22,8.62,9.62,7.22,8.62,9.62,7.22,8.62,9.62
1959-01-01,53.21,-114.46,7.19,8.52,9.93,7.19,8.52,9.93,7.19,8.52,9.93
1960-01-01,53.21,-114.46,6.86,8.80,10.51,6.86,8.80,10.51,6.86,8.80,10.51
1961-01-01,53.21,-114.46,7.28,8.87,10.67,7.28,8.87,10.67,7.28,8.87,10.67
1962-01-01,53.21,-114.46,6.80,8.67,10.36,6.80,8.67,10.36,6.80,8.67,10.36
1963-01-01,53.21,-114.46,7.89,8.80,10.34,7.89,8.80,10.34,7.89,8.80,10.34
1964-01-01,53.21,-114.46,6.54,8.02,9.54,6.54,8.02,9.54,6.54,8.02,9.54
1965-01-01,53.21,-114.46,6.76,8.40,9.62,6.76,8.40,9.62,6.76,8.40,9.62
1966-01-01,53.21,-114.46,7.16,8.48,10.00,7.16,8.48,10.00,7.16,8.48,10.00
1967-01-01,53.21,-114.46,7.48,8.81,10.62,7.48,8.81,10.62,7.48,8.81,10.62
1968-01-01,53.21,-114.46,6.81,8.59,9.97,6.81,8.59,9.97,6.81,8.59,9.97
1969-01-01,53.21,-114.46,7.37,8.07,9.79,7.37,8.07,9.79,7.37,8.07,9.79
1970-01-01,53.21,-114.46,7.37,8.73,10.56,7.37,8.73,10.56,7.37,8.73,10.56
1971-01-01,53.21,-114.46,7.54,9.39,10.44,7.54,9.39,10.44,7.54,9.39,10.44
1972-01-01,53.21,-114.46,7.51,8.96,9.36,7.51,8.96,9.36,7.51,8.96,9.36
1973-01-01,53.21,-114.46,7.31,8.80,10.24,7.31,8.80,10.24,7.31,8.80,10.24
1974-01-01,53.21,-114.46,6.54,8.85,10.00,6.54,8.85,10.00,6.54,8.85,10.00
1975-01-01,53.21,-114.46,7.25,8.96,9.76,7.25,8.96,9.76,7.25,8.96,9.76
1976-01-01,53.21,-114.46,7.79,8.84,10.08,7.79,8.84,10.08,7.79,8.85,10.08
1977-01-01,53.21,-114.46,7.98,8.98,10.28,7.98,8.98,10.28,7.98,8.98,10.28
1978-01-01,53.21,-114.46,8.37,9.11,9.92,8.37,9.11,9.92,8.37,9.11,9.92
1979-01-01,53.21,-114.46,7.50,9.49,11.16,7.50,9.49,11.16,7.50,9.49,11.16
1980-01-01,53.21,-114.46,7.10,8.41,9.83,7.08,8.41,9.84,7.09,8.40,9.84
1981-01-01,53.21,-114.46,6.65,9.06,10.11,6.66,9.07,10.08,6.65,9.05,10.10
1982-01-01,53.21,-114.46,6.90,8.82,9.72,6.90,8.82,9.72,6.88,8.85,9.72
1983-01-01,53.21,-114.46,7.36,8.68,9.67,7.32,8.70,9.67,7.34,8.69,9.69
1984-01-01,53.21,-114.46,8.19,9.29,10.08,8.20,9.28,10.05,8.20,9.28,10.07
1985-01-01,53.21,-114.46,7.79,8.81,9.80,7.80,8.82,9.81,7.79,8.81,9.78
1986-01-01,53.21,-114.46,7.75,8.72,10.50,7.75,8.73,10.48,7.77,8.71,10.48
1987-01-01,53.21,-114.46,7.68,8.97,10.02,7.68,8.97,9.99,7.67,8.97,10.02
1988-01-01,53.21,-114.46,7.40,9.06,10.45,7.41,9.06,10.45,7.41,9.07,10.45
1989-01-01,53.21,-114.46,7.58,8.97,10.58,7.60,8.98,10.57,7.60,8.96,10.57
1990-01-01,53.21,-114.46,7.45,8.93,10.60,7.45,8.93,10.65,7.44,8.94,10.63
