time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-114.46,53.21,375.37,472.04,582.88,373.26,472.04,581.81,374.89,472.04,581.23
1951-01-01,-114.46,53.21,359.30,471.73,651.85,359.30,469.38,649.97,359.30,469.37,649.81
1952-01-01,-114.46,53.21,385.52,486.32,629.14,385.52,484.62,629.13,385.52,484.62,631.06
1953-01-01,-114.46,53.21,372.97,487.60,625.61,374.48,487.60,625.61,374.40,487.60,625.59
1954-01-01,-114.46,53.21,413.25,503.62,656.92,410.94,503.61,654.68,413.17,503.62,656.02
1955-01-01,-114.46,53.21,364.47,502.87,628.20,364.48,503.70,626.22,364.46,502.42,626.23
1956-01-01,-114.46,53.21,384.32,482.99,578.11,384.32,485.28,579.97,384.32,484.52,579.76
1957-01-01,-114.46,53.21,410.94,488.90,661.85,410.94,487.53,660.38,410.94,488.26,659.57
1958-01-01,-114.46,53.21,353.51,568.56,688.25,354.82,567.97,686.75,353.60,567.67,688.94
1959-01-01,-114.46,53.21,419.18,551.62,690.01,416.85,551.62,690.00,416.43,551.62,690.01
1960-01-01,-114.46,53.21,453.90,534.84,762.31,454.90,533.44,762.31,454.89,535.00,762.30
1961-01-01,-114.46,53.21,409.34,539.45,670.60,409.55,539.24,662.35,409.38,537.71,670.27
1962-01-01,-114.46,53.21,426.64,501.12,623.86,427.49,501.44,623.85,428.84,500.84,623.84
1963-01-01,-114.46,53.21,379.62,511.19,724.25,379.10,509.09,724.25,380.16,510.80,724.24
1964-01-01,-114.46,53.21,385.51,533.31,678.91,385.13,528.13,678.91,386.16,529.16,678.91
1965-01-01,-114.46,53.21,418.66,504.08,691.61,419.47,503.33,691.61,418.87,504.12,691.61
1966-01-01,-114.46,53.21,364.54,551.33,615.83,364.54,551.37,615.83,364.54,550.04,615.83
1967-01-01,-114.46,53.21,384.01,504.56,656.75,379.28,504.85,656.75,383.67,505.53,656.76
1968-01-01,-114.46,53.21,390.65,494.62,623.39,389.07,495.35,623.77,391.68,494.85,623.78
1969-01-01,-114.46,53.21,357.33,504.72,664.75,357.33,506.74,664.75,357.34,505.69,664.75
1970-01-01,-114.46,53.21,448.38,516.01,655.26,448.38,515.98,655.27,448.38,515.99,655.26
1971-01-01,-114.46,53.21,380.23,505.37,602.18,380.23,505.71,602.18,380.23,504.31,602.18
1972-01-01,-114.46,53.21,399.11,491.29,646.05,395.75,491.83,646.26,400.63,493.71,646.25
1973-01-01,-114.46,53.21,438.68,516.26,709.74,442.01,514.64,707.01,441.02,514.64,706.89
1974-01-01,-114.46,53.21,424.58,514.02,674.73,424.60,515.39,675.17,424.60,515.40,674.69
1975-01-01,-114.46,53.21,404.70,508.26,572.46,405.67,510.63,575.10,405.66,510.05,574.24
1976-01-01,-114.46,53.21,402.67,493.89,621.68,402.29,493.92,621.69,403.12,495.47,621.69
1977-01-01,-114.46,53.21,365.62,501.06,599.39,367.75,505.86,599.39,367.65,497.84,599.39
1978-01-01,-114.46,53.21,407.63,487.46,596.73,408.38,487.00,601.17,408.39,487.46,601.17
