time,lon,lat,rcp26_r1mm_p10,rcp26_r1mm_p50,rcp26_r1mm_p90,rcp45_r1mm_p10,rcp45_r1mm_p50,rcp45_r1mm_p90,rcp85_r1mm_p10,rcp85_r1mm_p50,rcp85_r1mm_p90
1950-01-01,-114.46,53.21,87.30,97.00,114.60,87.30,96.50,114.60,87.30,96.50,114.60
1951-01-01,-114.46,53.21,78.80,99.00,118.00,78.80,99.00,117.70,78.80,99.50,118.00
1952-01-01,-114.46,53.21,83.30,100.50,117.10,83.30,100.50,116.80,83.30,100.50,116.80
1953-01-01,-114.46,53.21,88.60,103.00,113.00,88.60,102.50,112.10,88.60,103.00,112.70
1954-01-01,-114.46,53.21,85.80,101.50,114.00,85.50,101.50,114.00,85.50,101.50,114.00
1955-01-01,-114.46,53.21,85.20,100.00,120.60,85.50,99.50,120.60,85.20,99.50,120.60
1956-01-01,-114.46,53.21,84.00,99.00,117.40,84.00,100.00,116.00,84.00,99.50,116.00
1957-01-01,-114.46,53.21,84.60,101.50,115.70,84.60,101.50,115.00,84.60,101.50,114.70
1958-01-01,-114.46,53.21,88.30,101.00,121.70,88.30,101.00,121.40,88.30,101.00,121.40
1959-01-01,-114.46,53.21,85.90,106.50,124.40,86.60,107.00,125.80,86.60,107.00,125.80
1960-01-01,-114.46,53.21,93.30,102.00,117.80,93.30,102.00,117.80,94.00,102.00,117.80
1961-01-01,-114.46,53.21,87.80,106.00,116.70,87.10,106.00,117.00,87.10,106.00,117.00
1962-01-01,-114.46,53.21,87.90,101.50,119.70,87.90,102.00,119.70,87.90,101.00,119.70
1963-01-01,-114.46,53.21,86.70,104.00,118.40,86.40,104.00,119.10,86.40,104.00,119.10
1964-01-01,-114.46,53.21,87.00,107.00,118.20,87.90,106.00,118.20,87.00,106.50,118.20
1965-01-01,-114.46,53.21,89.00,101.00,126.90,87.90,101.50,126.60,87.90,101.00,126.30
1966-01-01,-114.46,53.21,82.50,101.50,119.00,82.50,102.00,119.00,82.50,101.50,119.00
1967-01-01,-114.46,53.21,84.00,95.50,112.80,84.00,95.50,112.80,84.00,95.50,112.80
1968-01-01,-114.46,53.21,78.50,101.00,117.30,78.20,101.50,117.30,77.90,102.00,117.30
1969-01-01,-114.46,53.21,83.30,107.00,119.40,83.30,107.00,118.70,83.30,107.00,118.00
1970-01-01,-114.46,53.21,92.00,99.00,109.00,92.00,99.00,110.40,92.00,99.00,110.40
1971-01-01,-114.46,53.21,85.00,102.50,114.40,85.00,102.50,114.40,85.00,102.00,114.40
1972-01-01,-114.46,53.21,84.00,100.50,111.40,84.60,100.50,111.40,84.60,101.00,111.40
1973-01-01,-114.46,53.21,90.30,100.00,116.80,89.30,99.50,116.80,89.30,99.50,116.80
1974-01-01,-114.46,53.21,91.00,103.50,114.40,91.00,103.50,115.80,91.00,103.50,115.10
1975-01-01,-114.46,53.21,85.80,98.00,110.70,85.80,98.00,110.70,85.80,98.00,110.70
1976-01-01,-114.46,53.21,84.20,100.50,111.10,84.20,100.50,111.10,84.20,100.50,111.10
1977-01-01,-114.46,53.21,86.50,103.50,115.40,87.20,103.50,115.40,87.20,103.50,115.40
1978-01-01,-114.46,53.21,86.60,96.00,116.00,86.60,96.50,116.70,86.60,96.00,116.70
1979-01-01,-114.46,53.21,85.00,103.50,113.70,85.00,103.50,114.00,85.00,103.50,114.00
1980-01-01,-114.46,53.21,86.90,100.00,119.10,86.50,101.00,119.00,86.90,99.50,119.40
1981-01-01,-114.46,53.21,82.60,98.50,117.40,82.90,99.00,118.70,83.20,98.50,118.40
1982-01-01,-114.46,53.21,94.00,106.00,123.10,94.00,105.50,123.40,94.00,105.50,122.70
1983-01-01,-114.46,53.21,87.50,102.50,117.00,87.50,104.00,117.70,87.50,105.50,118.10
1984-01-01,-114.46,53.21,81.10,100.00,116.90,81.80,100.50,116.60,81.80,100.50,116.90
1985-01-01,-114.46,53.21,80.00,93.00,110.00,80.30,93.00,110.70,80.30,93.00,109.40
1986-01-01,-114.46,53.21,78.00,97.50,114.70,77.30,99.00,114.00,78.90,98.00,114.70
1987-01-01,-114.46,53.21,84.50,104.50,115.00,84.50,105.00,116.00,83.80,105.00,116.40
1988-01-01,-114.46,53.21,90.60,101.00,117.80,91.60,100.50,117.20,91.60,100.50,117.20
1989-01-01,-114.46,53.21,84.00,99.50,112.40,85.30,99.50,111.70,84.30,100.00,112.00
1990-01-01,-114.46,53.21,85.30,103.00,126.70,85.30,103.50,128.10,84.60,104.50,128.10
1991-01-01,-114.46,53.21,89.20,102.00,124.10,89.20,105.00,124.40,89.90,104.00,123.80
1992-01-01,-114.46,53.21,80.90,106.00,120.50,80.90,106.50,120.50,81.20,106.50,120.80
1993-01-01,-114.46,53.21,82.60,100.00,114.50,84.60,100.00,115.90,82.90,100.50,115.20
1994-01-01,-114.46,53.21,80.60,99.00,107.40,82.60,98.50,107.00,81.20,99.00,107.70
1995-01-01,-114.46,53.21,85.00,105.00,112.00,85.60,105.50,113.00,84.30,105.00,112.40
1996-01-01,-114.46,53.21,89.30,95.00,108.10,90.30,95.00,106.80,90.30,95.50,109.20
1997-01-01,-114.46,53.21,85.40,100.50,114.40,86.00,100.50,116.40,85.70,100.00,115.70
1998-01-01,-114.46,53.21,80.30,95.50,112.70,82.60,96.00,115.20,81.30,96.00,114.50
1999-01-01,-114.46,53.21,91.20,104.50,114.70,92.60,104.50,114.70,93.60,104.50,114.00
2000-01-01,-114.46,53.21,83.20,102.50,118.70,84.90,102.50,118.70,83.90,103.00,120.70
2001-01-01,-114.46,53.21,91.60,105.50,123.20,91.90,106.00,122.50,92.30,106.50,122.20
2002-01-01,-114.46,53.21,90.30,101.00,113.70,91.30,100.50,115.40,91.30,100.00,115.00
2003-01-01,-114.46,53.21,85.20,104.00,118.00,85.80,104.50,118.70,85.10,105.00,118.70
2004-01-01,-114.46,53.21,84.30,101.00,111.80,84.30,100.00,111.80,84.00,100.50,110.40
2005-01-01,-114.46,53.21,99.20,105.00,124.00,99.20,105.00,124.60,96.90,103.50,124.70
2006-01-01,-114.46,53.21,92.40,114.00,126.50,87.90,103.50,117.70,95.00,103.00,111.20
2007-01-01,-114.46,53.21,87.50,110.00,117.70,87.60,101.00,111.70,93.00,106.50,121.70
2008-01-01,-114.46,53.21,96.60,107.00,119.80,82.50,103.50,116.70,85.00,104.00,117.40
2009-01-01,-114.46,53.21,88.20,104.50,119.10,87.60,102.50,119.30,95.30,110.50,120.70
2010-01-01,-114.46,53.21,97.00,104.50,119.40,86.30,105.00,121.70,79.90,94.00,114.40
2011-01-01,-114.46,53.21,80.90,106.50,121.70,90.00,101.50,113.70,88.00,100.50,122.40
2012-01-01,-114.46,53.21,88.50,99.50,114.40,85.10,106.50,113.70,89.50,100.50,109.00
2013-01-01,-114.46,53.21,91.30,99.00,114.40,78.50,104.50,121.70,92.60,106.00,117.40
2014-01-01,-114.46,53.21,92.90,108.50,122.70,88.30,97.00,117.10,92.90,101.00,112.50
2015-01-01,-114.46,53.21,85.90,98.00,117.40,86.60,98.00,116.70,90.20,104.50,123.60
2016-01-01,-114.46,53.21,92.80,105.00,116.50,85.80,105.50,123.90,92.00,103.00,124.00
2017-01-01,-114.46,53.21,84.60,102.00,111.40,85.50,99.00,115.10,86.00,97.50,123.80
2018-01-01,-114.46,53.21,100.30,109.50,123.00,85.00,94.50,107.00,80.60,96.00,114.00
2019-01-01,-114.46,53.21,94.90,106.50,118.00,86.80,104.50,114.70,80.90,97.50,118.00
2020-01-01,-114.46,53.21,87.90,105.00,112.70,82.60,102.50,119.40,86.60,98.50,115.40
2021-01-01,-114.46,53.21,85.00,107.00,122.40,91.60,104.50,119.40,93.00,105.50,117.70
2022-01-01,-114.46,53.21,91.60,103.00,116.70,91.30,104.00,119.00,84.30,104.50,117.00
2023-01-01,-114.46,53.21,88.90,103.00,117.10,90.80,105.50,122.10,86.60,97.00,111.50
2024-01-01,-114.46,53.21,84.00,101.00,119.50,90.00,107.00,118.70,87.60,99.00,116.70
2025-01-01,-114.46,53.21,91.30,103.50,115.40,88.90,103.50,115.10,86.20,105.00,122.20
2026-01-01,-114.46,53.21,90.90,99.50,119.40,89.90,101.00,114.00,81.90,108.50,116.00
2027-01-01,-114.46,53.21,90.30,104.50,117.70,93.00,104.00,115.70,94.50,106.50,120.40
2028-01-01,-114.46,53.21,87.60,101.50,115.00,93.60,112.00,133.70,95.30,107.00,118.70
2029-01-01,-114.46,53.21,87.90,105.00,121.50,81.90,113.50,122.00,87.60,108.50,114.00
2030-01-01,-114.46,53.21,87.60,100.00,118.00,94.60,104.50,118.40,92.50,106.00,121.20
2031-01-01,-114.46,53.21,92.60,105.00,128.40,94.00,103.00,121.50,92.60,108.00,121.70
2032-01-01,-114.46,53.21,90.60,103.50,122.00,93.20,106.50,128.70,87.60,100.50,120.50
2033-01-01,-114.46,53.21,84.90,107.00,122.40,89.60,103.50,120.00,86.60,100.00,124.70
2034-01-01,-114.46,53.21,81.60,95.00,110.10,88.30,101.00,119.00,86.80,104.00,115.70
2035-01-01,-114.46,53.21,84.80,106.00,115.70,90.30,107.00,121.70,93.00,101.50,116.70
2036-01-01,-114.46,53.21,84.90,96.50,122.20,91.30,102.50,122.10,93.90,107.50,122.00
2037-01-01,-114.46,53.21,92.20,105.00,120.40,90.40,106.00,123.80,84.30,102.00,118.70
2038-01-01,-114.46,53.21,96.30,110.00,123.40,85.50,111.00,125.00,86.60,100.00,114.40
2039-01-01,-114.46,53.21,91.60,104.00,122.90,94.30,105.50,118.40,89.60,106.00,114.10
2040-01-01,-114.46,53.21,89.30,105.00,118.70,85.60,108.00,137.40,83.90,101.00,121.50
2041-01-01,-114.46,53.21,87.00,106.00,117.70,89.00,100.50,110.40,85.30,93.00,117.70
2042-01-01,-114.46,53.21,92.60,104.00,119.00,85.30,102.00,117.40,89.00,107.00,124.60
2043-01-01,-114.46,53.21,85.00,105.00,130.50,81.20,94.50,109.70,89.60,101.00,120.60
2044-01-01,-114.46,53.21,88.30,102.00,130.30,93.00,103.00,118.50,93.90,108.00,126.00
2045-01-01,-114.46,53.21,89.00,101.50,118.60,85.90,105.00,121.80,84.70,103.00,113.40
2046-01-01,-114.46,53.21,90.90,112.50,123.70,87.90,102.00,119.40,91.00,104.50,115.70
2047-01-01,-114.46,53.21,88.50,100.00,113.70,87.60,102.00,119.10,85.60,106.00,114.70
2048-01-01,-114.46,53.21,93.20,111.00,118.10,81.30,100.50,114.70,86.80,106.00,120.00
2049-01-01,-114.46,53.21,94.00,106.00,120.80,88.30,110.00,122.70,81.20,100.00,123.80
2050-01-01,-114.46,53.21,85.60,105.00,123.00,88.30,105.00,128.70,91.90,104.00,124.20
2051-01-01,-114.46,53.21,90.30,103.50,119.40,91.20,104.00,121.50,92.00,105.50,120.20
2052-01-01,-114.46,53.21,82.30,96.00,123.80,91.90,106.00,118.10,84.60,104.50,119.70
2053-01-01,-114.46,53.21,89.30,110.00,116.70,80.50,105.00,120.10,81.50,103.50,114.40
2054-01-01,-114.46,53.21,89.30,101.00,117.40,98.60,110.00,127.40,89.30,100.50,125.10
2055-01-01,-114.46,53.21,84.60,99.00,116.50,92.90,111.00,119.40,92.30,106.50,128.40
2056-01-01,-114.46,53.21,98.30,106.00,120.80,96.00,108.50,118.40,83.40,102.00,118.60
2057-01-01,-114.46,53.21,90.30,101.00,118.40,92.30,107.00,126.00,85.90,101.00,117.50
2058-01-01,-114.46,53.21,86.60,102.50,113.80,86.30,109.50,125.70,93.90,103.00,120.00
2059-01-01,-114.46,53.21,96.00,107.50,125.40,91.20,106.00,121.40,91.00,102.00,117.50
2060-01-01,-114.46,53.21,85.60,100.50,113.80,84.80,105.50,123.40,97.60,106.00,127.40
2061-01-01,-114.46,53.21,90.50,105.50,115.70,85.30,104.00,129.70,97.00,108.00,127.80
2062-01-01,-114.46,53.21,95.30,108.50,119.20,86.60,105.50,121.40,95.20,109.00,123.80
2063-01-01,-114.46,53.21,95.30,104.00,124.00,82.30,101.50,121.10,90.30,107.00,120.70
2064-01-01,-114.46,53.21,85.00,102.00,116.50,88.90,101.00,121.50,93.90,108.00,119.70
2065-01-01,-114.46,53.21,89.30,102.50,119.00,90.90,108.50,120.70,79.90,105.50,119.40
2066-01-01,-114.46,53.21,89.60,103.50,116.00,90.30,106.50,118.70,83.80,100.00,112.70
2067-01-01,-114.46,53.21,90.00,112.00,130.40,87.00,106.50,129.70,83.30,104.50,119.80
2068-01-01,-114.46,53.21,84.60,103.00,125.20,86.60,104.00,121.10,93.30,105.00,121.00
2069-01-01,-114.46,53.21,90.60,107.00,119.70,89.90,106.00,126.40,93.10,111.00,130.40
2070-01-01,-114.46,53.21,93.30,107.50,125.60,90.90,108.00,121.00,92.90,106.00,121.10
2071-01-01,-114.46,53.21,89.20,103.00,122.00,87.00,94.00,122.70,85.30,100.50,121.70
2072-01-01,-114.46,53.21,84.70,106.50,118.00,95.30,108.50,129.70,89.60,103.00,117.80
2073-01-01,-114.46,53.21,86.90,102.00,118.00,81.90,105.00,121.10,83.10,102.00,117.50
2074-01-01,-114.46,53.21,87.30,103.00,120.70,89.20,106.00,127.00,95.20,109.00,133.10
2075-01-01,-114.46,53.21,89.30,108.00,122.00,80.90,100.00,114.40,96.00,106.50,127.40
2076-01-01,-114.46,53.21,89.80,101.00,112.00,86.90,103.00,115.10,89.00,103.50,125.70
2077-01-01,-114.46,53.21,98.60,109.00,125.10,90.30,104.50,112.70,85.90,104.00,122.40
2078-01-01,-114.46,53.21,87.00,112.50,128.10,87.30,103.50,121.70,88.30,98.00,122.70
2079-01-01,-114.46,53.21,79.10,106.00,118.70,89.00,102.00,117.00,84.00,107.00,122.00
2080-01-01,-114.46,53.21,79.50,98.50,108.70,88.60,102.50,114.40,76.60,103.50,126.50
2081-01-01,-114.46,53.21,82.20,105.50,114.70,92.50,107.50,124.70,89.50,107.50,116.70
2082-01-01,-114.46,53.21,92.00,105.50,122.00,91.20,104.00,124.40,81.60,99.00,117.80
2083-01-01,-114.46,53.21,86.20,103.00,120.60,94.00,107.00,121.50,78.80,105.00,123.00
2084-01-01,-114.46,53.21,88.20,99.00,119.10,86.90,100.50,127.50,78.90,104.00,121.70
2085-01-01,-114.46,53.21,93.20,103.00,115.00,93.30,110.50,120.40,86.60,103.00,120.00
2086-01-01,-114.46,53.21,93.00,100.00,116.40,95.00,103.00,117.10,91.20,102.00,118.80
2087-01-01,-114.46,53.21,91.60,104.00,121.70,87.90,110.00,118.00,93.90,104.50,120.40
2088-01-01,-114.46,53.21,90.60,103.50,116.70,92.00,105.50,122.40,90.30,107.00,114.40
2089-01-01,-114.46,53.21,95.60,105.00,121.70,91.20,104.50,121.40,91.90,101.50,117.70
2090-01-01,-114.46,53.21,89.60,104.00,122.90,91.60,108.50,126.10,87.30,103.50,123.00
2091-01-01,-114.46,53.21,83.10,103.00,114.10,92.30,105.50,119.00,86.50,103.00,124.80
2092-01-01,-114.46,53.21,90.60,105.00,127.90,84.50,105.00,118.40,92.90,109.00,121.50
2093-01-01,-114.46,53.21,96.00,105.00,116.00,94.30,110.00,130.80,81.00,101.00,121.70
2094-01-01,-114.46,53.21,94.30,104.50,121.70,89.30,98.00,116.20,86.90,101.50,129.50
2095-01-01,-114.46,53.21,84.30,107.50,119.00,87.90,105.00,122.50,91.30,107.50,129.00
2096-01-01,-114.46,53.21,91.60,105.50,119.40,80.20,100.00,119.00,91.60,114.00,129.70
2097-01-01,-114.46,53.21,94.30,102.50,119.80,93.00,104.50,124.40,84.90,104.00,117.80
2098-01-01,-114.46,53.21,91.90,109.00,121.70,88.50,104.50,129.10,91.30,102.50,122.70
2099-01-01,-114.46,53.21,91.30,105.50,119.70,87.90,104.00,123.40,84.60,112.00,120.80
2100-01-01,-114.46,53.21,87.30,106.00,124.50,97.20,108.50,120.80,92.20,109.00,125.80
1950-01-01,-112.71,53.21,73.30,85.00,96.70,73.30,86.00,96.70,74.30,85.50,96.40
1951-01-01,-112.71,53.21,71.00,86.00,108.70,71.00,86.00,108.70,71.00,86.00,108.70
1952-01-01,-112.71,53.21,69.80,87.50,104.00,69.80,88.00,104.70,69.80,88.50,104.00
1953-01-01,-112.71,53.21,76.60,90.00,97.00,76.60,90.00,96.70,76.60,89.50,97.70
1954-01-01,-112.71,53.21,71.50,85.00,99.80,71.50,85.00,99.80,71.60,85.00,99.80
1955-01-01,-112.71,53.21,73.00,89.00,101.90,73.00,89.00,101.90,73.00,89.00,101.90
