time,lon,lat,rcp26_frost_free_season_p10,rcp26_frost_free_season_p50,rcp26_frost_free_season_p90,rcp45_frost_free_season_p10,rcp45_frost_free_season_p50,rcp45_frost_free_season_p90,rcp85_frost_free_season_p10,rcp85_frost_free_season_p50,rcp85_frost_free_season_p90
1950-01-01,-116.71,57.87,88.30,114.00,138.70,88.30,114.00,138.70,89.30,114.00,138.70
1951-01-01,-116.71,57.87,102.30,125.50,140.70,102.30,124.50,139.40,102.30,125.50,139.40
1952-01-01,-116.71,57.87,92.30,117.50,132.80,92.30,117.50,132.80,92.30,117.50,132.80
1953-01-01,-116.71,57.87,98.30,109.50,131.00,98.30,109.50,131.00,98.30,109.50,131.00
1954-01-01,-116.71,57.87,84.90,107.00,136.80,84.90,108.00,136.80,85.50,109.00,136.80
1955-01-01,-116.71,57.87,102.30,114.50,131.10,102.00,114.50,130.80,102.00,113.00,130.80
1956-01-01,-116.71,57.87,91.40,110.50,132.00,91.40,109.50,131.10,91.40,113.50,132.00
1957-01-01,-116.71,57.87,91.90,114.50,131.20,91.90,114.50,131.20,91.90,114.50,131.20
1958-01-01,-116.71,57.87,88.10,110.00,129.00,88.10,108.00,129.00,88.10,109.00,129.00
1959-01-01,-116.71,57.87,102.00,118.50,129.40,102.00,120.50,129.70,102.00,117.50,127.70
1960-01-01,-116.71,57.87,98.10,119.50,141.20,96.00,119.50,139.10,98.10,119.50,139.10
1961-01-01,-116.71,57.87,92.30,117.00,137.40,92.30,117.00,137.40,92.30,116.50,137.10
1962-01-01,-116.71,57.87,96.70,118.00,135.70,96.70,118.00,136.00,90.50,118.00,135.70
1963-01-01,-116.71,57.87,95.20,113.50,128.70,95.20,113.50,128.70,95.20,113.50,128.70
1964-01-01,-116.71,57.87,86.30,109.00,122.80,86.30,111.00,122.20,86.00,109.00,117.40
1965-01-01,-116.71,57.87,93.50,113.50,135.40,92.00,113.50,135.40,94.20,113.50,135.40
1966-01-01,-116.71,57.87,96.00,119.00,134.10,95.30,119.00,134.10,94.60,119.00,133.40
1967-01-01,-116.71,57.87,94.80,122.00,138.40,94.10,122.00,138.40,94.10,122.00,137.70
1968-01-01,-116.71,57.87,86.20,114.00,132.80,86.20,114.50,132.80,86.20,114.50,132.80
1969-01-01,-116.71,57.87,95.60,116.50,136.80,97.90,116.00,136.80,94.90,116.00,136.80
1970-01-01,-116.71,57.87,93.60,118.00,136.50,93.20,118.00,136.50,93.90,118.00,136.50
1971-01-01,-116.71,57.87,93.50,114.00,130.40,93.50,114.00,130.40,93.50,114.00,130.40
1972-01-01,-116.71,57.87,96.60,120.00,132.20,98.60,120.00,132.20,98.30,120.00,132.20
1973-01-01,-116.71,57.87,93.90,110.00,128.00,93.00,108.00,127.40,93.00,110.00,127.40
1974-01-01,-116.71,57.87,90.00,118.50,132.00,90.00,115.50,132.00,90.00,115.50,132.00
1975-01-01,-116.71,57.87,95.90,112.50,140.70,92.90,112.50,140.40,92.90,112.50,140.70
1976-01-01,-116.71,57.87,95.90,116.50,131.10,95.90,118.00,131.10,95.90,116.50,131.10
1977-01-01,-116.71,57.87,105.00,120.50,139.40,104.30,120.50,139.40,105.00,119.50,139.40
1978-01-01,-116.71,57.87,94.00,112.50,134.70,94.00,112.50,134.70,94.00,112.50,135.40
1979-01-01,-116.71,57.87,92.90,120.00,131.70,92.90,117.00,131.00,92.90,117.00,131.70
1980-01-01,-116.71,57.87,106.30,119.00,132.70,106.30,117.00,132.70,103.90,114.50,132.70
1981-01-01,-116.71,57.87,102.60,116.00,134.20,102.60,116.00,134.20,100.60,115.50,129.40
1982-01-01,-116.71,57.87,95.00,120.50,133.70,90.80,120.50,133.70,90.80,116.00,133.70
1983-01-01,-116.71,57.87,98.60,118.00,133.60,98.60,118.00,133.90,98.60,118.00,135.10
1984-01-01,-116.71,57.87,95.30,119.50,133.40,95.30,116.50,133.40,95.30,116.50,138.90
1985-01-01,-116.71,57.87,86.00,115.50,131.40,93.30,115.50,131.40,92.30,115.50,131.40
1986-01-01,-116.71,57.87,89.80,115.50,132.40,94.30,118.00,132.40,89.10,116.00,132.40
1987-01-01,-116.71,57.87,94.30,112.00,130.70,95.60,113.00,130.70,95.60,113.00,130.70
1988-01-01,-116.71,57.87,98.30,121.00,134.70,98.30,121.00,134.70,101.70,121.50,134.70
1989-01-01,-116.71,57.87,98.20,125.00,139.70,98.20,125.00,139.00,97.50,126.00,140.00
1990-01-01,-116.71,57.87,94.60,118.00,134.90,92.60,118.50,134.90,92.00,114.50,134.90
1991-01-01,-116.71,57.87,95.90,114.00,139.30,95.90,113.00,139.60,95.90,113.00,139.30
1992-01-01,-116.71,57.87,103.60,126.00,145.70,100.80,126.00,146.70,100.10,125.50,145.70
1993-01-01,-116.71,57.87,108.60,119.00,128.70,108.60,120.50,129.00,99.60,119.50,128.70
1994-01-01,-116.71,57.87,89.70,114.00,134.00,89.70,114.00,135.40,89.70,115.50,135.40
1995-01-01,-116.71,57.87,100.50,116.50,140.60,100.50,116.50,140.60,100.50,113.50,140.60
1996-01-01,-116.71,57.87,101.20,122.50,140.10,101.20,122.50,137.70,101.20,124.50,137.70
1997-01-01,-116.71,57.87,103.60,121.50,137.80,103.90,122.50,137.80,103.90,121.50,137.80
1998-01-01,-116.71,57.87,108.30,120.00,135.90,108.90,120.00,135.90,108.30,120.00,135.90
1999-01-01,-116.71,57.87,99.20,123.00,137.60,99.20,123.50,137.90,99.20,123.50,137.60
2000-01-01,-116.71,57.87,106.30,131.00,140.00,106.30,132.00,140.00,106.30,129.00,139.10
2001-01-01,-116.71,57.87,109.00,125.50,144.20,109.00,125.50,144.20,109.00,123.00,143.00
2002-01-01,-116.71,57.87,96.90,130.00,143.10,96.90,127.50,143.10,96.90,128.50,143.10
2003-01-01,-116.71,57.87,96.80,126.50,136.40,96.80,126.50,138.70,96.80,126.50,137.40
2004-01-01,-116.71,57.87,103.20,122.00,136.40,103.20,123.50,136.40,103.20,122.00,136.40
2005-01-01,-116.71,57.87,99.60,127.00,136.80,99.60,127.00,136.80,99.90,125.00,136.70
2006-01-01,-116.71,57.87,100.30,125.50,141.00,108.00,129.50,142.50,108.90,118.50,133.60
2007-01-01,-116.71,57.87,101.60,126.50,147.00,99.20,116.00,139.40,93.10,126.00,144.10
2008-01-01,-116.71,57.87,104.20,122.00,149.50,109.30,126.00,138.50,104.60,128.00,143.20
2009-01-01,-116.71,57.87,104.20,121.50,140.00,98.90,131.50,149.40,106.00,133.50,153.00
2010-01-01,-116.71,57.87,113.60,128.50,146.00,101.00,137.00,149.50,109.30,126.00,154.20
2011-01-01,-116.71,57.87,104.30,129.00,144.70,110.30,121.50,147.10,100.60,127.00,138.70
2012-01-01,-116.71,57.87,106.40,132.00,147.20,111.00,128.50,147.20,104.90,126.00,144.10
2013-01-01,-116.71,57.87,106.00,121.00,146.40,102.60,118.50,138.70,112.50,132.00,142.70
2014-01-01,-116.71,57.87,109.60,124.50,153.90,115.30,133.50,147.00,117.50,130.00,138.40
2015-01-01,-116.71,57.87,111.30,130.50,139.40,102.90,119.50,143.80,100.60,129.50,144.00
2016-01-01,-116.71,57.87,105.40,128.00,146.50,105.90,129.00,143.70,112.50,127.50,143.30
2017-01-01,-116.71,57.87,115.90,135.50,148.00,114.20,127.00,146.50,103.70,125.50,142.70
2018-01-01,-116.71,57.87,106.80,132.00,148.40,119.20,137.50,153.10,112.60,127.00,147.80
2019-01-01,-116.71,57.87,111.00,129.00,149.80,115.20,132.00,145.00,98.50,134.50,154.70
2020-01-01,-116.71,57.87,109.30,124.00,152.70,111.30,130.00,147.80,100.50,128.50,145.70
2021-01-01,-116.71,57.87,108.80,123.00,145.40,101.20,125.00,147.70,111.00,132.50,153.90
