time,lat,lon,rcp26_gddgrow_10_p10,rcp26_gddgrow_10_p50,rcp26_gddgrow_10_p90,rcp45_gddgrow_10_p10,rcp45_gddgrow_10_p50,rcp45_gddgrow_10_p90,rcp85_gddgrow_10_p10,rcp85_gddgrow_10_p50,rcp85_gddgrow_10_p90
1950-01-01,57.87,-116.71,432.69,551.87,719.67,432.69,552.01,719.38,432.70,551.98,710.31
1951-01-01,57.87,-116.71,445.18,567.92,719.41,445.11,567.37,719.41,445.08,567.54,719.41
1952-01-01,57.87,-116.71,405.74,517.27,724.95,405.74,516.44,723.71,399.13,516.84,724.40
1953-01-01,57.87,-116.71,416.92,472.67,686.42,416.44,472.67,686.42,416.44,472.67,686.42
1954-01-01,57.87,-116.71,448.30,563.45,724.38,448.50,563.45,724.38,448.33,563.45,724.38
1955-01-01,57.87,-116.71,452.55,565.63,654.26,452.55,565.62,654.26,452.55,565.59,654.27
1956-01-01,57.87,-116.71,397.64,546.63,685.18,398.48,546.64,685.15,398.55,546.64,684.70
1957-01-01,57.87,-116.71,360.95,537.46,742.06,360.78,537.45,742.06,360.96,537.45,742.06
1958-01-01,57.87,-116.71,422.79,537.03,674.25,423.29,537.04,674.25,418.75,537.04,674.25
1959-01-01,57.87,-116.71,398.94,494.60,687.80,398.94,496.06,687.80,398.94,496.06,687.80
1960-01-01,57.87,-116.71,419.04,559.75,732.33,419.69,559.76,732.33,419.65,559.75,732.33
1961-01-01,57.87,-116.71,440.51,584.54,704.65,439.88,584.54,704.65,440.33,584.54,704.65
1962-01-01,57.87,-116.71,397.53,511.35,661.41,397.21,511.34,661.41,396.74,511.35,661.41
1963-01-01,57.87,-116.71,387.89,536.71,660.10,388.43,536.71,660.10,388.32,536.71,660.10
1964-01-01,57.87,-116.71,350.51,505.58,622.97,350.51,505.58,623.19,350.51,505.58,623.00
1965-01-01,57.87,-116.71,407.67,542.07,629.72,407.67,542.07,629.72,407.67,542.07,629.72
1966-01-01,57.87,-116.71,429.58,537.57,698.92,429.58,537.57,699.11,429.58,537.57,698.97
1967-01-01,57.87,-116.71,400.41,492.17,625.16,400.41,492.17,625.13,400.41,492.17,625.34
1968-01-01,57.87,-116.71,410.65,517.18,623.57,409.78,517.07,623.57,409.78,517.75,623.57
1969-01-01,57.87,-116.71,381.23,476.83,589.53,381.55,476.83,589.53,381.55,476.83,585.16
1970-01-01,57.87,-116.71,455.15,590.97,697.52,455.15,590.34,697.52,455.15,590.80,696.36
1971-01-01,57.87,-116.71,427.18,555.67,682.92,427.18,555.67,682.92,427.18,555.67,673.38
1972-01-01,57.87,-116.71,446.32,531.52,733.72,446.83,531.05,733.72,448.84,532.75,733.72
1973-01-01,57.87,-116.71,393.21,560.01,636.23,393.21,559.74,636.23,393.21,557.89,636.23
1974-01-01,57.87,-116.71,388.65,515.00,642.79,387.83,515.04,642.79,388.32,514.81,642.79
1975-01-01,57.87,-116.71,424.15,585.15,783.10,424.15,585.15,783.10,424.15,585.15,783.10
1976-01-01,57.87,-116.71,431.22,594.76,722.88,431.22,594.46,722.83,431.22,594.47,722.24
1977-01-01,57.87,-116.71,432.95,550.56,696.92,432.95,550.56,696.92,432.95,550.56,696.92
1978-01-01,57.87,-116.71,455.76,596.49,710.01,455.76,597.75,710.01,455.76,598.45,710.01
1979-01-01,57.87,-116.71,475.88,584.46,694.47,475.88,584.95,694.33,475.88,583.58,694.58
1980-01-01,57.87,-116.71,452.48,563.12,674.00,452.98,561.45,671.92,452.31,559.80,672.05
1981-01-01,57.87,-116.71,445.95,563.96,668.73,447.11,564.29,666.09,446.60,562.95,668.09
1982-01-01,57.87,-116.71,416.26,533.14,669.31,416.65,533.14,669.39,413.47,533.99,670.19
1983-01-01,57.87,-116.71,424.15,576.07,730.78,424.32,576.26,734.97,424.67,575.96,731.52
1984-01-01,57.87,-116.71,440.39,571.78,743.07,439.94,573.99,743.27,439.58,571.78,743.66
1985-01-01,57.87,-116.71,420.01,594.43,693.49,420.80,594.62,694.93,420.43,595.01,694.71
1986-01-01,57.87,-116.71,385.89,541.52,675.92,385.72,539.55,676.94,385.17,540.87,674.62
1987-01-01,57.87,-116.71,438.69,570.96,707.60,439.69,571.49,709.81,439.81,571.08,709.77
1988-01-01,57.87,-116.71,511.26,584.07,661.61,511.39,583.92,661.68,512.54,583.28,659.88
1989-01-01,57.87,-116.71,470.27,588.73,763.76,469.09,590.30,764.17,470.10,588.80,765.07
1990-01-01,57.87,-116.71,413.28,590.18,686.54,413.56,590.19,687.79,405.11,591.60,688.64
1991-01-01,57.87,-116.71,435.80,549.26,698.32,436.21,551.12,699.86,435.18,548.24,699.01
1992-01-01,57.87,-116.71,431.86,543.42,636.14,432.23,543.09,637.93,432.00,542.34,636.86
1993-01-01,57.87,-116.71,470.87,598.44,700.19,470.04,599.44,701.38,471.65,597.03,701.14
1994-01-01,57.87,-116.71,396.02,588.46,704.06,395.78,586.74,705.58,395.31,587.78,703.44
1995-01-01,57.87,-116.71,473.92,555.65,647.29,473.20,555.03,648.11,473.73,556.16,646.23
1996-01-01,57.87,-116.71,480.46,572.11,773.98,481.38,572.53,775.08,478.35,571.32,774.55
1997-01-01,57.87,-116.71,486.75,659.99,809.69,488.35,660.78,808.82,486.29,659.87,809.21
1998-01-01,57.87,-116.71,489.49,604.73,706.74,489.46,604.20,705.94,488.68,603.92,707.10
1999-01-01,57.87,-116.71,521.86,598.43,694.23,522.51,599.85,694.51,522.63,596.83,695.06
2000-01-01,57.87,-116.71,507.57,646.93,754.59,507.72,647.16,754.18,506.84,641.89,754.46
2001-01-01,57.87,-116.71,461.46,650.18,785.32,461.54,652.04,785.14,460.71,651.60,777.21
2002-01-01,57.87,-116.71,516.48,619.69,761.36,517.93,621.95,759.82,512.15,620.72,759.53
