time,lat,lon,rcp26_tx_max_p10,rcp26_tx_max_p50,rcp26_tx_max_p90,rcp45_tx_max_p10,rcp45_tx_max_p50,rcp45_tx_max_p90,rcp85_tx_max_p10,rcp85_tx_max_p50,rcp85_tx_max_p90
1950-01-01,57.87,-116.71,28.31,29.68,34.68,28.31,29.68,34.68,28.31,29.68,34.68
1951-01-01,57.87,-116.71,28.07,29.56,32.06,28.07,29.56,32.06,28.07,29.56,32.06
1952-01-01,57.87,-116.71,27.36,29.27,32.78,27.36,29.27,32.78,27.36,29.27,32.78
1953-01-01,57.87,-116.71,26.48,28.61,31.06,26.48,28.61,31.06,26.48,28.61,31.06
1954-01-01,57.87,-116.71,28.29,30.17,32.51,28.29,30.17,32.51,28.29,30.17,32.51
1955-01-01,57.87,-116.71,27.40,29.65,30.79,27.40,29.65,30.79,27.40,29.65,30.79
1956-01-01,57.87,-116.71,27.50,29.28,34.16,27.50,29.28,34.16,27.50,29.28,34.16
1957-01-01,57.87,-116.71,26.88,30.15,32.51,26.88,30.15,32.51,26.88,30.15,32.51
1958-01-01,57.87,-116.71,27.22,29.88,32.66,27.22,29.88,32.66,27.22,29.88,32.66
1959-01-01,57.87,-116.71,26.80,29.22,32.61,26.80,29.22,32.61,26.80,29.22,32.61
1960-01-01,57.87,-116.71,27.53,30.33,31.42,27.53,30.33,31.42,27.53,30.33,31.42
1961-01-01,57.87,-116.71,28.41,29.71,31.88,28.41,29.71,31.88,28.41,29.71,31.88
1962-01-01,57.87,-116.71,26.60,29.49,30.51,26.60,29.49,30.51,26.60,29.49,30.51
1963-01-01,57.87,-116.71,26.86,30.17,32.04,26.86,30.17,32.04,26.86,30.17,32.04
1964-01-01,57.87,-116.71,27.23,29.57,32.03,27.23,29.57,32.03,27.23,29.57,32.03
1965-01-01,57.87,-116.71,27.49,29.41,31.25,27.49,29.41,31.25,27.49,29.41,31.25
1966-01-01,57.87,-116.71,27.71,29.35,32.32,27.71,29.35,32.32,27.71,29.35,32.32
1967-01-01,57.87,-116.71,27.58,29.70,32.17,27.58,29.70,32.17,27.58,29.70,32.17
1968-01-01,57.87,-116.71,27.51,29.52,31.06,27.51,29.52,31.06,27.51,29.52,31.06
1969-01-01,57.87,-116.71,27.10,28.86,31.76,27.10,28.86,31.76,27.10,28.86,31.76
1970-01-01,57.87,-116.71,27.57,30.05,32.25,27.57,30.05,32.25,27.57,30.05,32.25
1971-01-01,57.87,-116.71,27.35,29.28,31.49,27.35,29.28,31.49,27.35,29.28,31.49
1972-01-01,57.87,-116.71,26.89,29.88,32.66,26.89,29.88,32.66,26.89,29.88,32.66
1973-01-01,57.87,-116.71,27.10,28.82,33.59,27.10,28.82,33.59,27.10,28.82,33.59
1974-01-01,57.87,-116.71,27.00,29.49,31.17,27.00,29.49,31.17,27.00,29.49,31.17
1975-01-01,57.87,-116.71,27.79,29.41,31.53,27.79,29.41,31.53,27.79,29.41,31.53
1976-01-01,57.87,-116.71,28.43,29.92,32.86,28.43,29.92,32.86,28.43,29.92,32.86
1977-01-01,57.87,-116.71,26.77,29.33,31.56,26.77,29.33,31.56,26.77,29.33,31.56
1978-01-01,57.87,-116.71,28.21,30.37,33.94,28.21,30.37,33.94,28.21,30.37,33.94
1979-01-01,57.87,-116.71,28.54,30.06,31.52,28.54,30.06,31.52,28.54,30.06,31.52
1980-01-01,57.87,-116.71,27.47,29.59,32.76,27.55,29.54,32.92,27.42,29.52,32.92
1981-01-01,57.87,-116.71,27.83,29.90,32.62,27.86,29.86,32.78,27.79,29.84,32.84
1982-01-01,57.87,-116.71,26.54,29.62,31.84,26.71,29.60,31.84,26.65,29.59,31.73
1983-01-01,57.87,-116.71,27.80,29.52,31.52,27.75,29.68,31.52,27.72,29.59,31.65
