time,lat,lon,rcp26_rx5day_p10,rcp26_rx5day_p50,rcp26_rx5day_p90,rcp45_rx5day_p10,rcp45_rx5day_p50,rcp45_rx5day_p90,rcp85_rx5day_p10,rcp85_rx5day_p50,rcp85_rx5day_p90
1950-01-01,57.87,-116.71,29.15,45.28,71.52,27.03,46.30,71.52,28.73,46.65,71.52
1951-01-01,57.87,-116.71,25.34,42.18,96.09,24.40,42.18,96.90,24.40,42.47,96.06
1952-01-01,57.87,-116.71,32.26,46.52,106.15,32.56,46.52,106.15,33.54,46.52,106.15
1953-01-01,57.87,-116.71,30.35,44.92,73.99,30.71,45.94,73.33,31.00,45.00,73.33
1954-01-01,57.87,-116.71,25.72,46.03,70.39,25.62,45.78,71.15,25.52,44.66,71.15
1955-01-01,57.87,-116.71,30.41,41.22,85.72,31.22,41.41,85.72,28.47,41.51,85.72
1956-01-01,57.87,-116.71,34.45,48.24,97.87,34.45,47.73,96.57,33.73,45.14,97.12
1957-01-01,57.87,-116.71,26.40,47.94,78.13,25.98,47.31,78.23,25.98,47.94,78.07
1958-01-01,57.87,-116.71,26.76,48.30,63.39,26.62,48.30,69.75,26.87,48.30,69.74
1959-01-01,57.87,-116.71,25.19,48.43,71.28,26.56,49.77,71.28,28.56,49.77,71.28
1960-01-01,57.87,-116.71,27.06,49.76,85.01,27.18,50.47,85.01,27.48,49.18,85.01
1961-01-01,57.87,-116.71,30.78,43.60,66.63,30.78,42.29,64.97,29.85,42.54,65.62
1962-01-01,57.87,-116.71,32.33,46.84,69.19,32.33,46.38,68.57,32.33,45.26,65.22
1963-01-01,57.87,-116.71,35.56,44.61,98.03,35.56,45.28,102.17,35.56,46.49,101.86
1964-01-01,57.87,-116.71,30.58,49.91,86.34,29.92,49.01,86.34,30.95,50.60,86.34
1965-01-01,57.87,-116.71,40.68,50.73,96.75,40.10,50.73,99.96,40.67,50.73,99.96
1966-01-01,57.87,-116.71,33.80,43.05,89.12,33.96,45.29,89.10,33.83,43.43,88.15
1967-01-01,57.87,-116.71,35.47,49.52,64.53,34.50,49.91,64.89,35.40,50.07,64.53
1968-01-01,57.87,-116.71,27.85,44.06,77.36,29.22,43.86,77.20,29.22,44.06,67.70
1969-01-01,57.87,-116.71,32.70,44.45,66.51,32.70,41.88,66.51,32.70,41.85,66.51
1970-01-01,57.87,-116.71,28.05,44.79,64.51,28.76,44.79,67.05,30.71,44.79,67.05
1971-01-01,57.87,-116.71,29.20,51.50,84.76,29.14,51.26,88.74,29.78,53.25,88.74
1972-01-01,57.87,-116.71,21.63,46.76,64.37,21.83,46.55,65.02,22.15,46.55,64.35
1973-01-01,57.87,-116.71,35.73,48.94,75.88,34.43,48.94,75.88,39.94,48.94,75.88
1974-01-01,57.87,-116.71,32.39,39.84,70.15,32.39,40.18,70.15,32.39,41.40,70.15
1975-01-01,57.87,-116.71,26.77,42.00,79.10,26.77,40.09,77.50,26.03,40.34,77.50
1976-01-01,57.87,-116.71,36.26,46.09,61.96,36.26,45.72,61.96,35.75,46.01,61.96
1977-01-01,57.87,-116.71,31.95,40.12,97.01,31.95,40.50,87.60,32.91,41.38,87.60
1978-01-01,57.87,-116.71,28.45,40.77,72.09,28.76,39.90,62.82,28.36,39.90,62.82
1979-01-01,57.87,-116.71,31.03,67.61,107.33,31.00,62.88,109.08,31.72,62.88,108.43
1980-01-01,57.87,-116.71,24.92,43.65,68.35,24.97,45.70,68.36,25.11,44.54,75.34
1981-01-01,57.87,-116.71,27.88,41.33,77.95,27.45,41.57,79.08,27.86,41.96,79.53
1982-01-01,57.87,-116.71,28.09,49.37,71.33,27.91,47.27,77.19,28.16,49.21,77.53
1983-01-01,57.87,-116.71,26.36,43.52,67.86,27.97,44.04,66.77,28.01,44.90,60.39
1984-01-01,57.87,-116.71,35.86,52.84,94.48,35.98,51.16,94.81,36.10,57.95,97.46
1985-01-01,57.87,-116.71,23.22,38.13,66.08,23.02,39.40,65.04,22.58,39.59,65.56
1986-01-01,57.87,-116.71,32.87,49.98,79.06,34.61,53.37,76.96,34.62,54.13,74.37
1987-01-01,57.87,-116.71,24.50,35.06,67.28,24.92,36.16,67.07,24.87,36.74,67.89
1988-01-01,57.87,-116.71,24.93,41.35,84.95,24.89,41.31,89.12,25.06,40.64,86.01
1989-01-01,57.87,-116.71,31.24,43.19,105.51,31.49,44.93,103.13,31.46,43.73,102.91
1990-01-01,57.87,-116.71,33.38,51.57,93.70,34.20,50.81,93.48,33.18,51.54,87.33
1991-01-01,57.87,-116.71,31.93,46.70,106.77,32.30,46.42,104.57,32.72,47.25,104.95
1992-01-01,57.87,-116.71,29.10,40.33,58.67,28.94,40.19,58.63,29.03,39.22,58.31
1993-01-01,57.87,-116.71,26.32,48.52,74.12,27.19,48.54,78.06,26.84,47.27,76.23
1994-01-01,57.87,-116.71,32.34,43.22,76.75,31.56,43.87,76.01,32.17,42.72,76.10
1995-01-01,57.87,-116.71,33.45,43.92,68.59,34.75,43.44,69.10,34.82,42.99,71.67
