time,lon,lat,rcp26_cdd_p10,rcp26_cdd_p50,rcp26_cdd_p90,rcp45_cdd_p10,rcp45_cdd_p50,rcp45_cdd_p90,rcp85_cdd_p10,rcp85_cdd_p50,rcp85_cdd_p90
1950-01-01,-116.71,57.87,17.30,24.50,34.40,17.60,24.00,36.40,18.00,24.50,36.40
1951-01-01,-116.71,57.87,17.60,24.00,36.10,17.60,24.00,37.00,19.00,24.00,36.10
1952-01-01,-116.71,57.87,17.30,22.00,34.10,17.30,24.00,37.10,18.30,22.00,34.10
1953-01-01,-116.71,57.87,19.00,25.50,34.80,19.00,25.50,34.80,19.00,25.00,34.80
1954-01-01,-116.71,57.87,16.30,31.00,39.50,16.30,31.00,39.20,17.00,31.00,39.20
1955-01-01,-116.71,57.87,16.20,23.00,34.40,16.50,23.00,34.40,16.20,23.00,34.40
1956-01-01,-116.71,57.87,17.30,25.00,29.70,17.00,24.50,30.00,17.00,24.50,30.00
1957-01-01,-116.71,57.87,16.30,22.50,33.80,16.00,19.50,33.80,16.00,21.00,35.90
1958-01-01,-116.71,57.87,15.30,26.50,37.40,15.30,26.00,37.40,15.30,23.50,37.40
1959-01-01,-116.71,57.87,15.60,24.50,47.10,17.00,23.50,47.10,17.00,23.50,36.20
1960-01-01,-116.71,57.87,18.00,24.50,37.50,18.00,24.50,36.70,18.00,25.50,38.10
1961-01-01,-116.71,57.87,18.00,24.00,41.00,18.30,25.50,42.40,18.30,24.00,41.00
1962-01-01,-116.71,57.87,15.00,22.00,28.00,15.60,22.50,28.70,15.60,23.00,28.70
1963-01-01,-116.71,57.87,16.30,22.50,43.10,15.30,22.50,44.50,16.00,22.50,44.50
1964-01-01,-116.71,57.87,20.00,27.50,38.40,20.00,27.00,38.40,20.00,27.00,38.40
1965-01-01,-116.71,57.87,19.00,24.50,38.40,18.30,25.50,38.40,19.30,25.00,38.40
1966-01-01,-116.71,57.87,17.60,25.00,35.80,17.60,25.50,37.00,17.60,25.50,37.00
1967-01-01,-116.71,57.87,16.60,24.00,33.70,17.30,23.50,33.70,18.30,23.50,35.40
1968-01-01,-116.71,57.87,16.00,23.50,30.10,16.00,23.00,30.10,15.30,23.00,30.10
1969-01-01,-116.71,57.87,18.00,24.00,32.70,18.30,22.00,31.70,18.30,22.50,30.70
1970-01-01,-116.71,57.87,18.00,23.50,36.50,18.00,23.50,35.10,18.00,24.00,35.80
1971-01-01,-116.71,57.87,16.60,25.00,41.60,18.00,25.00,35.40,18.00,23.50,35.40
1972-01-01,-116.71,57.87,18.30,21.00,41.30,18.00,21.00,36.40,18.30,21.50,40.50
1973-01-01,-116.71,57.87,15.30,25.50,32.40,15.30,25.00,31.00,15.30,25.00,35.20
1974-01-01,-116.71,57.87,17.30,24.00,38.70,18.90,25.00,38.70,16.60,25.00,38.70
1975-01-01,-116.71,57.87,18.30,22.00,38.20,19.00,22.00,38.20,18.30,22.00,37.90
1976-01-01,-116.71,57.87,21.00,26.00,36.30,21.30,26.50,37.70,21.00,26.50,38.00
1977-01-01,-116.71,57.87,18.00,24.00,34.10,18.00,24.00,34.80,18.00,25.50,34.80
1978-01-01,-116.71,57.87,16.60,22.50,29.00,16.60,23.00,29.70,16.60,23.00,28.10
1979-01-01,-116.71,57.87,18.30,25.00,33.70,18.30,24.50,33.70,18.30,24.50,34.70
1980-01-01,-116.71,57.87,17.00,23.00,34.50,17.60,23.50,34.20,16.30,20.50,34.80
1981-01-01,-116.71,57.87,18.30,25.00,40.50,18.30,27.00,40.50,19.00,25.50,40.50
1982-01-01,-116.71,57.87,14.60,24.50,33.80,14.60,24.50,34.70,14.60,24.50,34.70
1983-01-01,-116.71,57.87,20.30,26.00,35.00,20.00,26.00,35.00,20.30,26.00,35.00
1984-01-01,-116.71,57.87,18.30,25.00,39.70,19.00,25.50,38.10,18.00,25.00,39.70
1985-01-01,-116.71,57.87,18.30,26.00,36.70,18.30,26.00,36.70,19.00,25.50,36.00
1986-01-01,-116.71,57.87,16.00,21.00,39.10,16.60,21.00,39.10,14.60,21.50,39.10
1987-01-01,-116.71,57.87,17.00,23.50,34.40,17.00,24.00,34.70,17.00,24.00,34.70
1988-01-01,-116.71,57.87,18.30,25.00,44.00,19.00,24.50,44.00,19.00,25.00,44.00
1989-01-01,-116.71,57.87,18.30,27.00,35.40,18.30,27.00,33.70,18.30,25.50,33.70
1990-01-01,-116.71,57.87,17.30,24.00,31.00,17.30,21.50,31.00,17.00,22.00,31.00
1991-01-01,-116.71,57.87,17.30,23.50,31.50,17.30,24.00,31.80,17.30,24.00,31.80
1992-01-01,-116.71,57.87,18.30,23.00,30.00,17.60,23.00,30.00,17.60,23.50,30.00
1993-01-01,-116.71,57.87,21.00,29.00,44.80,19.30,28.00,44.80,20.00,28.00,44.80
1994-01-01,-116.71,57.87,17.30,24.00,37.70,17.60,23.50,37.70,19.00,24.50,37.70
1995-01-01,-116.71,57.87,15.30,22.00,34.10,15.90,22.50,34.10,15.90,25.00,34.40
1996-01-01,-116.71,57.87,15.30,24.50,32.70,16.30,25.00,32.70,15.60,26.00,32.70
1997-01-01,-116.71,57.87,18.00,23.50,41.20,18.30,23.50,40.60,19.00,24.50,34.70
1998-01-01,-116.71,57.87,16.90,25.00,34.40,16.90,25.50,34.40,16.00,24.00,37.10
1999-01-01,-116.71,57.87,20.30,26.00,37.70,20.30,27.00,37.70,19.30,26.00,36.40
2000-01-01,-116.71,57.87,16.30,22.00,32.70,17.00,22.00,31.40,17.00,23.50,31.40
2001-01-01,-116.71,57.87,17.30,25.00,42.70,17.30,25.00,39.80,17.30,25.00,38.40
2002-01-01,-116.71,57.87,19.30,26.00,42.40,19.00,26.00,42.40,19.30,25.00,42.40
2003-01-01,-116.71,57.87,20.00,27.00,39.10,18.60,27.00,39.10,18.60,27.00,36.70
2004-01-01,-116.71,57.87,17.30,24.00,38.10,18.00,24.50,38.10,17.30,24.00,38.10
2005-01-01,-116.71,57.87,16.30,26.00,35.40,16.30,25.50,41.00,16.30,24.50,34.00
2006-01-01,-116.71,57.87,16.00,24.50,32.40,17.00,24.00,32.00,19.00,26.50,40.60
2007-01-01,-116.71,57.87,16.00,24.50,35.40,17.00,23.00,37.30,16.00,22.50,42.10
2008-01-01,-116.71,57.87,18.60,25.00,30.40,19.00,24.00,34.70,18.00,27.00,39.90
2009-01-01,-116.71,57.87,17.00,24.50,34.00,16.00,21.00,33.40,19.00,23.00,29.40
2010-01-01,-116.71,57.87,19.90,27.50,42.00,16.30,23.00,32.90,20.30,25.00,41.20
2011-01-01,-116.71,57.87,18.30,25.00,35.20,15.60,24.50,34.40,17.30,25.00,33.40
2012-01-01,-116.71,57.87,18.00,22.50,29.70,16.30,24.50,37.20,19.30,25.50,39.10
2013-01-01,-116.71,57.87,17.60,24.50,37.80,15.50,23.00,34.40,19.30,23.50,32.70
2014-01-01,-116.71,57.87,19.30,27.00,39.10,16.30,24.50,33.40,17.60,26.00,33.40
2015-01-01,-116.71,57.87,15.30,22.50,34.40,16.30,20.00,38.40,18.30,24.50,36.70
2016-01-01,-116.71,57.87,17.30,23.50,33.10,17.60,25.00,34.40,16.60,25.50,41.10
2017-01-01,-116.71,57.87,16.30,23.00,36.50,18.30,22.50,39.50,20.00,26.00,39.70
2018-01-01,-116.71,57.87,17.30,22.50,33.00,16.60,29.50,35.00,18.00,23.00,36.70
2019-01-01,-116.71,57.87,16.60,24.00,38.70,21.00,25.00,37.70,18.00,26.50,37.40
2020-01-01,-116.71,57.87,17.30,24.00,38.70,17.60,23.50,32.40,18.30,23.00,35.20
2021-01-01,-116.71,57.87,14.30,22.50,36.00,19.00,23.50,35.70,16.00,25.00,37.10
