time,lat,lon,rcp26_tg_mean_p10,rcp26_tg_mean_p50,rcp26_tg_mean_p90,rcp45_tg_mean_p10,rcp45_tg_mean_p50,rcp45_tg_mean_p90,rcp85_tg_mean_p10,rcp85_tg_mean_p50,rcp85_tg_mean_p90
1950-01-01,57.87,-116.71,-2.21,0.23,1.37,-2.21,0.23,1.37,-2.21,0.23,1.37
1951-01-01,57.87,-116.71,-1.99,-0.16,1.27,-1.99,-0.16,1.27,-1.99,-0.21,1.27
1952-01-01,57.87,-116.71,-2.06,-0.74,0.72,-2.06,-0.74,0.72,-2.11,-0.74,0.72
1953-01-01,57.87,-116.71,-2.29,-0.58,0.94,-2.29,-0.58,0.94,-2.29,-0.58,0.94
1954-01-01,57.87,-116.71,-1.87,-0.33,1.26,-1.87,-0.33,1.26,-1.87,-0.33,1.26
1955-01-01,57.87,-116.71,-1.69,-0.54,0.96,-1.69,-0.54,0.96,-1.69,-0.54,0.96
1956-01-01,57.87,-116.71,-2.07,-0.22,0.96,-2.07,-0.22,0.96,-2.07,-0.25,0.97
1957-01-01,57.87,-116.71,-2.50,-0.86,0.59,-2.50,-0.86,0.59,-2.50,-0.86,0.59
1958-01-01,57.87,-116.71,-1.79,-0.67,0.33,-1.79,-0.67,0.33,-1.79,-0.67,0.33
1959-01-01,57.87,-116.71,-2.76,-0.61,0.72,-2.76,-0.61,0.72,-2.76,-0.61,0.72
1960-01-01,57.87,-116.71,-2.17,-0.53,0.53,-2.17,-0.53,0.53,-2.17,-0.53,0.53
1961-01-01,57.87,-116.71,-1.91,-0.03,1.26,-1.91,-0.03,1.26,-1.91,-0.03,1.26
1962-01-01,57.87,-116.71,-2.47,-0.81,0.57,-2.47,-0.81,0.57,-2.47,-0.81,0.57
1963-01-01,57.87,-116.71,-1.69,-0.77,0.18,-1.69,-0.77,0.18,-1.72,-0.77,0.18
1964-01-01,57.87,-116.71,-3.20,-1.23,0.18,-3.20,-1.23,0.18,-3.20,-1.26,0.18
1965-01-01,57.87,-116.71,-1.76,-0.92,0.45,-1.76,-0.92,0.45,-1.76,-0.91,0.45
1966-01-01,57.87,-116.71,-2.08,-0.81,0.69,-2.08,-0.81,0.69,-2.08,-0.81,0.69
1967-01-01,57.87,-116.71,-1.98,-0.09,1.01,-1.98,-0.09,1.01,-1.98,-0.09,1.01
1968-01-01,57.87,-116.71,-1.97,-0.85,0.09,-1.97,-0.85,0.09,-1.97,-0.85,0.07
1969-01-01,57.87,-116.71,-2.76,-1.03,0.38,-2.76,-1.03,0.38,-2.76,-1.03,0.38
