time,lat,lon,rcp26_tn_mean_p10,rcp26_tn_mean_p50,rcp26_tn_mean_p90,rcp45_tn_mean_p10,rcp45_tn_mean_p50,rcp45_tn_mean_p90,rcp85_tn_mean_p10,rcp85_tn_mean_p50,rcp85_tn_mean_p90
1950-01-01,57.87,-116.71,-8.29,-5.99,-4.81,-8.29,-5.99,-4.81,-8.29,-5.99,-4.81
1951-01-01,57.87,-116.71,-7.95,-6.45,-4.58,-7.95,-6.45,-4.58,-7.95,-6.45,-4.58
1952-01-01,57.87,-116.71,-8.15,-6.59,-5.44,-8.15,-6.59,-5.44,-8.15,-6.59,-5.44
1953-01-01,57.87,-116.71,-8.24,-6.48,-4.94,-8.24,-6.48,-4.94,-8.24,-6.48,-4.94
1954-01-01,57.87,-116.71,-7.77,-6.62,-4.76,-7.77,-6.62,-4.76,-7.77,-6.62,-4.76
1955-01-01,57.87,-116.71,-7.58,-6.52,-4.93,-7.58,-6.52,-4.93,-7.58,-6.52,-4.93
1956-01-01,57.87,-116.71,-8.11,-6.10,-5.17,-8.11,-6.10,-5.17,-8.11,-6.18,-5.17
1957-01-01,57.87,-116.71,-8.25,-6.86,-5.38,-8.25,-6.86,-5.38,-8.25,-6.88,-5.38
1958-01-01,57.87,-116.71,-7.74,-6.50,-5.62,-7.74,-6.50,-5.62,-7.74,-6.50,-5.62
1959-01-01,57.87,-116.71,-8.85,-6.54,-5.15,-8.85,-6.54,-5.15,-8.85,-6.54,-5.15
1960-01-01,57.87,-116.71,-7.85,-6.72,-5.24,-7.85,-6.72,-5.24,-7.85,-6.72,-5.24
1961-01-01,57.87,-116.71,-7.96,-6.00,-4.69,-7.96,-6.00,-4.69,-7.96,-6.00,-4.69
1962-01-01,57.87,-116.71,-8.31,-6.53,-5.45,-8.31,-6.53,-5.45,-8.31,-6.53,-5.45
1963-01-01,57.87,-116.71,-7.69,-6.65,-5.75,-7.69,-6.65,-5.75,-7.76,-6.65,-5.75
1964-01-01,57.87,-116.71,-9.00,-7.21,-6.01,-9.00,-7.21,-6.01,-9.00,-7.23,-6.01
1965-01-01,57.87,-116.71,-7.94,-6.66,-5.48,-7.94,-6.66,-5.48,-7.95,-6.66,-5.48
1966-01-01,57.87,-116.71,-8.04,-6.88,-5.30,-8.04,-6.88,-5.30,-8.04,-6.97,-5.30
1967-01-01,57.87,-116.71,-7.89,-6.07,-4.85,-7.89,-6.07,-4.85,-7.89,-6.10,-4.85
1968-01-01,57.87,-116.71,-8.17,-6.99,-5.85,-8.17,-6.99,-5.85,-8.17,-6.99,-5.93
1969-01-01,57.87,-116.71,-8.56,-7.03,-5.56,-8.56,-7.03,-5.56,-8.56,-7.03,-5.62
1970-01-01,57.87,-116.71,-7.70,-6.11,-4.78,-7.70,-6.11,-4.78,-7.70,-6.12,-4.78
1971-01-01,57.87,-116.71,-7.61,-6.69,-4.80,-7.61,-6.69,-4.80,-7.61,-6.69,-4.80
1972-01-01,57.87,-116.71,-7.94,-6.57,-5.52,-7.94,-6.57,-5.52,-7.94,-6.57,-5.52
1973-01-01,57.87,-116.71,-8.40,-6.41,-4.75,-8.40,-6.41,-4.75,-8.39,-6.41,-4.81
1974-01-01,57.87,-116.71,-7.46,-6.59,-5.08,-7.46,-6.59,-5.08,-7.46,-6.59,-5.08
1975-01-01,57.87,-116.71,-7.71,-6.45,-5.33,-7.71,-6.45,-5.33,-7.71,-6.45,-5.45
1976-01-01,57.87,-116.71,-8.22,-6.69,-5.08,-8.22,-6.69,-5.08,-8.22,-6.69,-5.08
1977-01-01,57.87,-116.71,-7.15,-6.35,-5.05,-7.15,-6.35,-5.05,-7.15,-6.35,-5.10
1978-01-01,57.87,-116.71,-7.03,-6.30,-5.47,-7.03,-6.30,-5.47,-7.02,-6.30,-5.47
1979-01-01,57.87,-116.71,-8.16,-5.96,-4.83,-8.16,-5.96,-4.83,-8.16,-5.95,-4.83
1980-01-01,57.87,-116.71,-8.07,-6.48,-5.33,-8.06,-6.46,-5.32,-8.12,-6.46,-5.36
1981-01-01,57.87,-116.71,-7.75,-6.34,-5.62,-7.76,-6.37,-5.64,-7.75,-6.33,-5.64
1982-01-01,57.87,-116.71,-8.33,-6.87,-5.49,-8.34,-6.87,-5.50,-8.33,-6.87,-5.53
1983-01-01,57.87,-116.71,-8.47,-6.71,-5.43,-8.47,-6.71,-5.44,-8.57,-6.70,-5.43
1984-01-01,57.87,-116.71,-7.54,-5.83,-4.57,-7.54,-5.82,-4.59,-7.58,-5.81,-4.62
1985-01-01,57.87,-116.71,-7.69,-6.54,-5.69,-7.71,-6.56,-5.67,-7.72,-6.55,-5.66
1986-01-01,57.87,-116.71,-7.85,-6.79,-4.89,-7.86,-6.77,-4.88,-7.85,-6.80,-4.88
1987-01-01,57.87,-116.71,-7.44,-6.20,-5.12,-7.44,-6.21,-5.13,-7.43,-6.22,-5.17
1988-01-01,57.87,-116.71,-7.91,-6.09,-4.77,-7.89,-6.10,-4.75,-7.92,-6.08,-4.75
1989-01-01,57.87,-116.71,-7.44,-6.28,-5.10,-7.44,-6.28,-5.11,-7.44,-6.31,-5.20
1990-01-01,57.87,-116.71,-7.92,-6.54,-4.39,-7.92,-6.55,-4.37,-7.92,-6.51,-4.39
1991-01-01,57.87,-116.71,-7.45,-6.70,-4.86,-7.44,-6.70,-4.85,-7.46,-6.68,-4.89
1992-01-01,57.87,-116.71,-8.18,-6.08,-4.61,-8.18,-6.10,-4.60,-8.18,-6.08,-4.64
1993-01-01,57.87,-116.71,-7.18,-5.83,-5.00,-7.18,-5.82,-4.98,-7.17,-5.81,-4.97
1994-01-01,57.87,-116.71,-7.61,-6.04,-4.67,-7.66,-6.05,-4.66,-7.60,-6.05,-4.67
1995-01-01,57.87,-116.71,-7.68,-6.45,-4.87,-7.67,-6.45,-4.87,-7.66,-6.45,-4.88
1996-01-01,57.87,-116.71,-7.66,-6.29,-4.67,-7.68,-6.31,-4.67,-7.68,-6.30,-4.69
1997-01-01,57.87,-116.71,-7.57,-5.90,-4.34,-7.58,-5.92,-4.36,-7.59,-5.89,-4.34
1998-01-01,57.87,-116.71,-7.06,-6.53,-4.67,-7.08,-6.54,-4.71,-7.07,-6.55,-4.68
1999-01-01,57.87,-116.71,-6.68,-6.00,-4.22,-6.66,-6.03,-4.22,-6.65,-6.01,-4.21
2000-01-01,57.87,-116.71,-7.16,-5.63,-4.39,-7.17,-5.62,-4.41,-7.17,-5.64,-4.46
2001-01-01,57.87,-116.71,-7.53,-6.08,-4.28,-7.52,-6.06,-4.31,-7.50,-6.05,-4.30
2002-01-01,57.87,-116.71,-7.20,-5.65,-4.10,-7.21,-5.65,-4.09,-7.21,-5.66,-4.19
2003-01-01,57.87,-116.71,-7.16,-5.83,-4.03,-7.15,-5.83,-4.02,-7.22,-5.85,-4.04
2004-01-01,57.87,-116.71,-6.58,-5.35,-4.19,-6.57,-5.38,-4.19,-6.57,-5.36,-4.20
2005-01-01,57.87,-116.71,-6.79,-5.80,-4.89,-6.72,-5.82,-4.87,-6.90,-5.85,-4.88
2006-01-01,57.87,-116.71,-6.67,-5.21,-3.92,-6.41,-5.06,-3.76,-6.68,-5.25,-3.75
2007-01-01,57.87,-116.71,-7.50,-4.88,-3.54,-6.82,-6.03,-3.57,-6.65,-5.02,-3.68
2008-01-01,57.87,-116.71,-6.25,-5.55,-4.00,-6.53,-5.87,-3.70,-7.40,-5.60,-4.13
2009-01-01,57.87,-116.71,-6.88,-5.09,-3.43,-6.57,-5.09,-3.66,-6.64,-4.99,-3.99
