time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-116.71,57.87,324.43,389.43,507.64,324.62,389.43,505.00,323.62,389.43,504.89
1951-01-01,-116.71,57.87,272.55,388.07,494.72,272.55,390.38,497.52,272.55,390.24,492.13
1952-01-01,-116.71,57.87,305.53,398.13,578.06,305.53,398.06,578.06,305.53,398.06,578.06
1953-01-01,-116.71,57.87,339.49,387.62,473.47,339.49,390.76,473.47,339.50,388.94,473.47
1954-01-01,-116.71,57.87,299.55,383.30,465.84,299.52,383.53,463.26,298.18,383.53,465.03
1955-01-01,-116.71,57.87,321.44,390.54,491.63,321.44,387.17,490.31,321.44,387.17,491.79
1956-01-01,-116.71,57.87,318.92,385.21,506.34,321.30,383.30,502.32,318.75,383.30,503.34
1957-01-01,-116.71,57.87,327.86,394.20,510.46,325.58,393.69,500.56,325.58,393.89,503.14
1958-01-01,-116.71,57.87,318.20,407.14,485.78,317.16,407.70,485.20,317.92,407.57,483.82
1959-01-01,-116.71,57.87,311.35,424.38,560.52,310.58,424.38,560.52,312.83,424.38,560.52
1960-01-01,-116.71,57.87,318.69,430.36,497.66,318.96,429.55,499.00,319.66,430.96,497.96
1961-01-01,-116.71,57.87,335.55,411.94,484.70,335.55,411.94,481.02,335.55,411.93,482.12
1962-01-01,-116.71,57.87,339.57,421.51,491.04,339.28,421.51,489.23,338.90,421.51,489.23
1963-01-01,-116.71,57.87,334.71,405.69,537.94,335.86,404.00,538.16,335.86,407.20,535.56
1964-01-01,-116.71,57.87,322.72,404.37,483.61,322.54,404.37,483.92,322.16,404.37,483.61
1965-01-01,-116.71,57.87,321.75,408.98,541.82,322.68,409.04,541.81,321.65,408.95,541.83
1966-01-01,-116.71,57.87,313.26,401.63,499.81,313.25,401.74,503.72,313.25,400.63,503.60
1967-01-01,-116.71,57.87,314.57,419.22,461.19,315.99,419.22,459.98,316.00,419.22,461.47
1968-01-01,-116.71,57.87,291.52,393.84,521.80,291.52,393.01,521.79,291.52,394.09,521.80
1969-01-01,-116.71,57.87,291.45,382.13,462.03,291.45,379.73,462.61,291.44,381.55,463.92
1970-01-01,-116.71,57.87,299.43,397.35,489.01,298.80,399.08,489.97,300.13,398.78,489.96
1971-01-01,-116.71,57.87,317.48,405.69,493.51,315.51,405.69,493.87,316.20,405.69,493.51
1972-01-01,-116.71,57.87,310.46,383.15,464.93,310.61,380.21,465.32,310.66,383.10,462.77
1973-01-01,-116.71,57.87,317.07,408.90,446.02,317.08,409.93,446.03,317.08,409.93,446.02
1974-01-01,-116.71,57.87,304.16,385.24,459.11,304.16,381.86,458.79,304.16,382.82,457.59
1975-01-01,-116.71,57.87,295.02,382.93,479.84,295.02,382.94,479.72,295.02,382.94,479.29
1976-01-01,-116.71,57.87,319.25,397.43,451.34,316.61,397.42,451.34,319.11,397.42,451.34
1977-01-01,-116.71,57.87,334.49,374.01,484.86,334.49,370.44,478.22,334.49,370.45,477.84
1978-01-01,-116.71,57.87,302.18,387.93,476.34,302.29,388.23,476.35,302.13,388.15,476.34
1979-01-01,-116.71,57.87,338.71,415.60,488.63,341.81,414.76,488.65,341.82,414.77,488.63
1980-01-01,-116.71,57.87,328.39,395.43,512.50,329.49,396.18,514.13,329.62,396.10,514.83
1981-01-01,-116.71,57.87,308.28,385.38,425.10,308.77,387.25,426.48,308.58,387.48,422.99
1982-01-01,-116.71,57.87,325.63,413.21,474.00,323.12,414.85,472.14,326.37,416.81,475.82
1983-01-01,-116.71,57.87,295.22,390.80,474.17,295.83,387.47,476.50,295.24,388.56,471.02
1984-01-01,-116.71,57.87,288.47,397.57,553.14,284.76,397.67,553.74,286.28,399.36,552.67
1985-01-01,-116.71,57.87,281.98,346.83,473.53,283.15,347.95,473.36,283.38,346.62,470.54
1986-01-01,-116.71,57.87,318.76,409.92,509.07,319.36,411.20,511.08,317.84,409.36,514.82
1987-01-01,-116.71,57.87,287.88,342.61,462.40,288.52,341.05,462.54,286.84,341.20,464.19
1988-01-01,-116.71,57.87,313.23,376.12,498.34,311.30,380.02,498.17,313.24,379.31,497.83
1989-01-01,-116.71,57.87,324.27,376.17,517.54,323.89,376.39,515.24,325.08,380.51,517.51
1990-01-01,-116.71,57.87,341.00,451.24,580.91,339.27,452.74,580.32,339.94,450.79,578.42
1991-01-01,-116.71,57.87,310.35,412.67,502.81,307.57,415.24,502.80,309.08,415.71,506.14
1992-01-01,-116.71,57.87,331.06,375.48,442.56,329.37,370.40,445.77,330.35,372.43,443.86
1993-01-01,-116.71,57.87,288.07,390.06,470.97,283.47,388.11,477.44,287.97,388.54,476.42
1994-01-01,-116.71,57.87,324.41,401.03,500.05,324.35,400.71,500.96,326.02,399.66,502.06
1995-01-01,-116.71,57.87,289.15,411.58,476.30,290.32,415.77,477.95,291.14,413.91,476.05
