time,lat,lon,rcp26_gddgrow_0_p10,rcp26_gddgrow_0_p50,rcp26_gddgrow_0_p90,rcp45_gddgrow_0_p10,rcp45_gddgrow_0_p50,rcp45_gddgrow_0_p90,rcp85_gddgrow_0_p10,rcp85_gddgrow_0_p50,rcp85_gddgrow_0_p90
1950-01-01,49.54,-113.46,2381.80,2768.84,3043.77,2381.80,2769.09,3043.76,2381.80,2767.52,3043.76
1951-01-01,49.54,-113.46,2469.28,2731.06,2971.42,2469.28,2731.06,2971.42,2469.28,2731.06,2971.43
1952-01-01,49.54,-113.46,2405.00,2592.92,2928.42,2402.88,2592.92,2928.22,2402.86,2592.92,2928.14
1953-01-01,49.54,-113.46,2438.29,2637.96,2790.11,2438.28,2638.37,2790.12,2438.03,2637.48,2790.12
1954-01-01,49.54,-113.46,2486.34,2615.42,2886.08,2485.30,2615.42,2888.23,2484.05,2615.42,2885.10
1955-01-01,49.54,-113.46,2385.74,2723.71,2913.62,2386.27,2723.70,2913.27,2385.67,2723.70,2913.43
1956-01-01,49.54,-113.46,2376.85,2693.09,2882.53,2376.85,2692.90,2882.53,2376.84,2692.41,2882.53
1957-01-01,49.54,-113.46,2335.40,2571.77,3021.76,2335.40,2571.87,3021.76,2335.40,2571.87,3021.76
1958-01-01,49.54,-113.46,2302.32,2508.79,2869.33,2302.32,2508.57,2869.33,2302.31,2508.66,2869.33
1959-01-01,49.54,-113.46,2284.80,2544.78,2858.22,2285.41,2544.78,2858.22,2284.98,2544.78,2858.22
1960-01-01,49.54,-113.46,2396.71,2679.27,2896.21,2395.93,2679.06,2896.20,2395.67,2678.75,2896.21
1961-01-01,49.54,-113.46,2441.98,2687.31,2911.81,2444.97,2687.30,2911.81,2445.82,2687.31,2911.80
1962-01-01,49.54,-113.46,2424.17,2645.56,2888.36,2422.12,2645.56,2892.53,2423.04,2645.56,2892.53
1963-01-01,49.54,-113.46,2387.22,2599.92,2789.28,2386.42,2599.92,2789.28,2383.01,2599.92,2789.28
1964-01-01,49.54,-113.46,2284.09,2465.16,2663.32,2283.03,2465.15,2665.51,2283.76,2465.16,2665.51
1965-01-01,49.54,-113.46,2324.25,2537.39,2720.03,2325.79,2538.13,2720.03,2325.17,2537.05,2720.03
1966-01-01,49.54,-113.46,2250.97,2555.05,2795.90,2250.97,2555.05,2795.91,2250.97,2555.05,2795.90
1967-01-01,49.54,-113.46,2395.76,2605.46,2819.78,2395.77,2606.04,2819.77,2395.76,2607.11,2820.31
1968-01-01,49.54,-113.46,2331.98,2547.69,2792.74,2331.98,2547.69,2792.73,2331.98,2547.67,2792.73
1969-01-01,49.54,-113.46,2317.15,2587.19,2839.04,2317.15,2587.58,2839.55,2317.15,2588.96,2838.23
