time,lat,lon,rcp26_gddgrow_10_p10,rcp26_gddgrow_10_p50,rcp26_gddgrow_10_p90,rcp45_gddgrow_10_p10,rcp45_gddgrow_10_p50,rcp45_gddgrow_10_p90,rcp85_gddgrow_10_p10,rcp85_gddgrow_10_p50,rcp85_gddgrow_10_p90
1950-01-01,49.54,-113.46,578.02,788.03,928.47,578.02,788.05,928.28,578.02,787.91,928.76
1951-01-01,49.54,-113.46,587.02,726.87,860.60,586.94,726.87,860.61,587.46,724.97,860.61
1952-01-01,49.54,-113.46,595.38,657.44,842.82,595.22,657.93,842.78,595.22,658.63,842.82
1953-01-01,49.54,-113.46,559.70,666.74,805.35,559.70,666.56,805.35,559.70,666.22,805.35
1954-01-01,49.54,-113.46,558.77,701.35,881.50,558.20,702.14,881.50,556.69,700.67,881.50
1955-01-01,49.54,-113.46,591.42,717.00,871.38,589.36,717.00,871.62,588.99,717.00,871.62
1956-01-01,49.54,-113.46,523.85,671.32,862.53,523.79,671.32,862.34,523.61,671.32,863.11
1957-01-01,49.54,-113.46,571.32,678.20,836.04,565.88,678.20,836.04,568.73,680.39,836.04
1958-01-01,49.54,-113.46,512.17,637.30,749.89,512.64,636.62,750.02,512.71,636.82,750.02
1959-01-01,49.54,-113.46,477.53,602.75,741.32,477.53,602.75,741.32,477.53,602.75,741.32
1960-01-01,49.54,-113.46,621.50,692.11,792.15,621.08,692.11,794.45,621.57,692.11,794.44
1961-01-01,49.54,-113.46,551.68,701.97,830.98,551.68,701.98,832.37,551.68,701.98,831.89
1962-01-01,49.54,-113.46,556.36,671.29,785.72,555.23,671.55,787.14,555.92,671.60,787.14
1963-01-01,49.54,-113.46,502.58,621.05,784.05,502.58,621.91,784.05,502.58,621.94,784.78
1964-01-01,49.54,-113.46,477.36,601.51,723.33,478.00,602.82,723.34,478.49,602.83,723.34
1965-01-01,49.54,-113.46,476.01,598.22,784.83,476.39,598.22,785.07,476.07,598.22,785.34
1966-01-01,49.54,-113.46,479.66,601.41,783.40,479.66,602.59,783.61,479.66,602.97,783.61
1967-01-01,49.54,-113.46,531.29,648.54,767.98,531.29,648.53,767.98,531.29,648.54,769.20
1968-01-01,49.54,-113.46,553.36,613.87,738.71,553.36,613.87,738.71,553.36,613.87,738.71
1969-01-01,49.54,-113.46,475.00,657.55,748.14,473.43,658.40,748.34,473.43,657.74,749.24
1970-01-01,49.54,-113.46,583.92,671.06,846.14,582.54,671.06,846.14,584.82,673.43,846.14
1971-01-01,49.54,-113.46,519.55,653.87,827.65,519.17,653.87,827.66,519.20,653.87,828.17
1972-01-01,49.54,-113.46,527.93,637.16,758.62,527.93,637.25,758.40,527.93,638.67,758.49
1973-01-01,49.54,-113.46,530.41,647.49,804.32,533.98,647.53,804.32,533.98,647.53,804.32
1974-01-01,49.54,-113.46,506.53,641.91,755.19,505.18,641.91,755.19,505.77,644.39,755.19
1975-01-01,49.54,-113.46,513.67,656.25,775.34,513.67,656.25,775.31,513.67,656.66,775.50
1976-01-01,49.54,-113.46,573.41,699.65,818.13,573.41,700.10,818.22,573.41,699.82,818.16
1977-01-01,49.54,-113.46,552.06,711.91,901.11,554.01,711.91,901.13,552.57,711.91,900.89
1978-01-01,49.54,-113.46,601.61,752.39,831.79,599.56,752.40,831.72,598.18,754.51,831.72
1979-01-01,49.54,-113.46,602.21,684.72,837.94,602.21,684.71,837.04,602.21,684.71,836.58
1980-01-01,49.54,-113.46,571.94,675.44,805.76,567.54,678.61,801.46,569.90,674.47,806.72
1981-01-01,49.54,-113.46,563.84,741.39,918.23,562.39,742.24,922.14,564.67,739.42,921.80
1982-01-01,49.54,-113.46,546.06,705.03,829.46,547.12,704.90,826.30,543.37,703.72,827.89
1983-01-01,49.54,-113.46,481.16,658.01,779.76,479.99,657.63,784.15,479.67,658.47,782.43
1984-01-01,49.54,-113.46,572.25,757.02,846.34,570.85,757.67,847.58,569.72,758.10,849.14
1985-01-01,49.54,-113.46,528.38,703.91,893.25,526.44,704.94,895.60,525.48,703.05,894.43
1986-01-01,49.54,-113.46,543.39,706.92,856.20,539.98,707.74,857.59,541.59,707.97,856.63
1987-01-01,49.54,-113.46,573.34,698.22,848.01,575.41,701.02,848.77,570.90,699.88,845.93
1988-01-01,49.54,-113.46,584.77,739.00,899.38,586.47,739.60,900.71,585.52,737.97,898.91
1989-01-01,49.54,-113.46,643.55,767.10,893.73,644.97,767.70,892.23,644.08,765.91,893.54
1990-01-01,49.54,-113.46,589.28,715.24,889.76,591.84,717.18,889.53,587.22,717.35,888.77
1991-01-01,49.54,-113.46,524.71,697.82,850.19,525.98,698.69,851.56,525.24,697.54,852.92
1992-01-01,49.54,-113.46,516.37,630.19,798.75,515.67,628.93,798.36,517.76,632.85,796.22
1993-01-01,49.54,-113.46,531.81,651.53,808.63,528.85,650.33,806.38,528.32,650.16,804.05
1994-01-01,49.54,-113.46,533.07,694.62,876.64,532.38,696.90,877.30,533.28,696.38,873.35
1995-01-01,49.54,-113.46,553.79,744.88,880.74,555.19,744.62,880.01,556.43,743.44,878.31
1996-01-01,49.54,-113.46,622.99,748.63,824.01,623.00,749.16,822.71,620.66,748.64,828.02
1997-01-01,49.54,-113.46,587.68,693.64,906.08,587.03,695.37,907.36,587.91,691.79,906.91
1998-01-01,49.54,-113.46,650.32,788.64,927.14,648.84,788.33,930.12,649.16,786.84,930.05
