time,lon,lat,rcp26_rx1day_p10,rcp26_rx1day_p50,rcp26_rx1day_p90,rcp45_rx1day_p10,rcp45_rx1day_p50,rcp45_rx1day_p90,rcp85_rx1day_p10,rcp85_rx1day_p50,rcp85_rx1day_p90
1950-01-01,-113.46,49.54,19.28,32.67,60.74,19.37,32.73,60.60,19.36,32.67,60.60
1951-01-01,-113.46,49.54,18.69,37.04,70.32,19.33,37.38,70.32,18.69,37.38,70.32
1952-01-01,-113.46,49.54,23.17,38.09,60.71,23.10,37.95,61.26,23.10,38.30,60.80
1953-01-01,-113.46,49.54,25.10,38.66,69.04,25.18,38.40,66.85,25.18,38.75,66.85
1954-01-01,-113.46,49.54,22.37,32.99,53.32,22.37,33.55,50.17,22.37,33.55,50.17
1955-01-01,-113.46,49.54,17.96,30.10,56.10,17.65,30.10,56.10,17.84,30.10,56.10
1956-01-01,-113.46,49.54,17.08,29.77,71.77,17.08,29.80,71.77,17.08,29.30,71.77
1957-01-01,-113.46,49.54,18.31,35.97,72.63,18.31,35.97,72.63,18.31,35.97,72.69
1958-01-01,-113.46,49.54,20.24,38.40,56.08,20.24,37.99,56.28,20.24,38.59,56.28
1959-01-01,-113.46,49.54,20.62,33.44,54.22,20.27,32.58,54.22,20.47,33.67,54.22
1960-01-01,-113.46,49.54,21.23,32.77,53.57,22.43,32.71,53.56,23.21,34.11,53.57
1961-01-01,-113.46,49.54,18.06,34.42,59.48,17.89,34.42,59.61,17.80,34.42,59.57
1962-01-01,-113.46,49.54,16.58,32.44,60.83,16.58,32.45,60.76,16.58,32.27,60.86
1963-01-01,-113.46,49.54,20.43,34.71,63.38,19.51,34.92,65.15,19.51,34.77,63.96
1964-01-01,-113.46,49.54,22.84,34.41,46.24,22.84,34.41,46.08,22.84,34.41,47.98
1965-01-01,-113.46,49.54,19.15,30.24,66.18,19.15,30.71,66.18,19.15,30.60,66.18
1966-01-01,-113.46,49.54,19.87,35.76,73.17,19.39,35.83,73.17,19.54,36.33,73.17
1967-01-01,-113.46,49.54,20.69,32.67,61.43,20.92,32.56,61.43,20.62,32.62,61.43
1968-01-01,-113.46,49.54,17.19,33.08,57.43,16.52,33.08,57.43,17.26,33.08,57.43
1969-01-01,-113.46,49.54,21.59,33.93,61.27,21.38,33.99,61.16,21.38,33.53,61.16
1970-01-01,-113.46,49.54,19.00,35.61,56.37,19.00,35.77,55.09,19.00,35.63,57.40
1971-01-01,-113.46,49.54,21.19,28.58,53.58,21.19,27.62,53.58,21.19,26.81,53.58
1972-01-01,-113.46,49.54,18.74,28.18,43.99,18.74,28.36,44.18,19.21,28.36,44.18
1973-01-01,-113.46,49.54,27.36,40.03,65.89,27.32,41.14,63.10,27.32,40.03,63.10
1974-01-01,-113.46,49.54,21.01,31.13,55.40,20.47,31.09,54.69,20.47,31.12,54.72
1975-01-01,-113.46,49.54,27.24,37.69,84.82,27.22,37.69,84.74,27.22,36.75,84.74
1976-01-01,-113.46,49.54,20.84,35.58,67.03,19.96,35.79,67.03,20.45,36.41,67.03
1977-01-01,-113.46,49.54,19.97,30.55,60.95,19.97,32.14,60.95,19.97,30.76,60.95
1978-01-01,-113.46,49.54,19.67,32.49,55.76,20.84,32.49,55.76,19.70,32.49,55.76
1979-01-01,-113.46,49.54,20.84,37.68,79.28,20.84,35.71,77.85,20.84,35.71,77.85
1980-01-01,-113.46,49.54,21.03,36.33,62.28,21.04,35.45,62.30,20.83,35.72,61.93
1981-01-01,-113.46,49.54,19.93,29.97,57.45,19.75,29.54,57.90,19.85,29.91,58.68
1982-01-01,-113.46,49.54,26.45,33.67,49.40,26.78,33.57,49.11,26.42,32.89,48.68
1983-01-01,-113.46,49.54,21.28,32.37,62.51,21.38,32.28,63.68,20.63,31.74,63.64
1984-01-01,-113.46,49.54,24.11,30.13,53.27,23.99,30.19,53.27,23.78,29.93,52.31
1985-01-01,-113.46,49.54,22.78,31.94,57.73,20.35,33.43,57.26,21.12,33.44,56.85
1986-01-01,-113.46,49.54,21.05,31.71,64.84,22.25,32.29,64.68,22.24,31.95,64.98
1987-01-01,-113.46,49.54,24.33,33.69,54.61,24.42,34.24,54.61,24.25,34.16,54.61
1988-01-01,-113.46,49.54,18.91,27.70,52.53,18.64,27.88,55.21,18.49,26.72,51.65
1989-01-01,-113.46,49.54,24.85,33.18,57.45,23.75,33.82,57.45,24.59,34.25,57.45
1990-01-01,-113.46,49.54,18.45,32.50,55.26,18.94,31.26,55.73,18.73,32.77,55.26
1991-01-01,-113.46,49.54,26.81,39.26,55.20,26.61,39.75,55.20,26.36,41.15,55.17
1992-01-01,-113.46,49.54,20.20,34.62,75.01,20.45,34.64,78.13,20.38,35.05,77.26
1993-01-01,-113.46,49.54,21.29,36.62,75.19,22.99,36.18,73.34,22.25,36.16,73.72
1994-01-01,-113.46,49.54,22.83,34.24,57.83,23.65,34.11,58.16,22.81,33.79,57.13
1995-01-01,-113.46,49.54,21.09,35.49,71.43,21.10,33.86,79.44,21.06,34.15,79.44
1996-01-01,-113.46,49.54,25.27,35.35,74.19,27.16,35.39,73.75,27.30,36.03,73.64
1997-01-01,-113.46,49.54,25.02,33.62,78.88,25.47,33.83,78.67,25.13,33.76,78.67
1998-01-01,-113.46,49.54,15.06,32.27,51.09,15.16,32.35,47.24,15.20,31.99,48.47
1999-01-01,-113.46,49.54,25.98,37.78,57.67,25.59,36.98,57.39,27.37,36.73,58.77
2000-01-01,-113.46,49.54,20.06,32.67,60.78,20.01,32.71,61.71,20.22,32.57,60.30
2001-01-01,-113.46,49.54,22.74,41.17,67.07,22.14,38.98,69.52,22.13,37.04,66.60
2002-01-01,-113.46,49.54,22.76,34.34,55.95,23.33,34.15,55.99,23.78,33.88,56.55
2003-01-01,-113.46,49.54,17.39,30.87,80.35,17.47,31.81,79.32,17.30,30.82,80.87
2004-01-01,-113.46,49.54,19.10,36.33,58.88,18.89,35.33,57.01,19.61,35.72,56.60
2005-01-01,-113.46,49.54,20.85,39.39,59.51,21.21,40.92,70.48,20.70,39.52,63.26
2006-01-01,-113.46,49.54,23.07,31.09,67.07,23.03,39.44,58.87,22.53,41.19,57.96
2007-01-01,-113.46,49.54,18.26,33.77,83.73,18.33,28.53,59.73,19.57,33.59,65.79
2008-01-01,-113.46,49.54,24.82,30.70,48.89,20.48,33.47,50.32,23.92,37.51,64.22
2009-01-01,-113.46,49.54,16.34,36.48,86.10,17.80,31.61,56.50,28.30,36.58,66.41
2010-01-01,-113.46,49.54,22.15,35.21,60.31,22.67,39.39,64.97,19.98,35.27,69.23
2011-01-01,-113.46,49.54,20.24,37.99,60.35,18.77,32.61,60.10,25.42,34.85,55.30
2012-01-01,-113.46,49.54,19.53,32.47,61.07,18.03,33.13,70.91,22.10,35.08,52.46
2013-01-01,-113.46,49.54,23.95,37.09,52.72,16.89,32.73,58.99,20.24,50.30,83.72
2014-01-01,-113.46,49.54,21.25,33.95,72.02,21.82,42.37,65.42,21.50,30.21,51.57
2015-01-01,-113.46,49.54,19.39,30.39,48.65,20.60,29.51,55.61,19.98,29.94,53.67
2016-01-01,-113.46,49.54,22.63,35.68,49.53,20.84,35.26,71.81,18.84,30.38,53.78
2017-01-01,-113.46,49.54,21.80,34.62,72.12,22.33,30.21,78.17,18.38,33.86,68.98
2018-01-01,-113.46,49.54,19.54,39.53,65.50,23.33,34.92,62.62,16.89,31.11,55.31
2019-01-01,-113.46,49.54,22.47,37.15,78.71,21.94,34.01,55.05,23.71,37.44,59.98
2020-01-01,-113.46,49.54,21.01,32.14,59.39,21.54,33.54,50.80,22.69,33.70,52.25
