time,lat,lon,rcp26_txgt_30_p10,rcp26_txgt_30_p50,rcp26_txgt_30_p90,rcp45_txgt_30_p10,rcp45_txgt_30_p50,rcp45_txgt_30_p90,rcp85_txgt_30_p10,rcp85_txgt_30_p50,rcp85_txgt_30_p90
1950-01-01,49.54,-113.46,0.30,10.50,25.40,0.30,10.50,25.40,0.30,10.50,25.40
1951-01-01,49.54,-113.46,1.30,5.50,16.20,1.30,5.50,16.20,1.30,5.50,16.20
1952-01-01,49.54,-113.46,0.00,5.00,12.70,0.00,5.00,12.70,0.00,5.00,12.70
1953-01-01,49.54,-113.46,2.00,5.00,12.40,2.00,5.00,12.40,2.00,5.00,12.40
1954-01-01,49.54,-113.46,1.30,7.00,16.10,1.30,7.00,16.10,1.30,7.00,16.10
1955-01-01,49.54,-113.46,3.30,7.00,16.80,3.30,7.00,16.80,3.30,7.00,16.80
1956-01-01,49.54,-113.46,2.00,7.00,17.70,2.00,7.00,17.70,2.00,7.00,17.70
1957-01-01,49.54,-113.46,0.30,7.50,13.00,0.30,7.50,13.00,0.30,7.50,13.00
1958-01-01,49.54,-113.46,0.30,5.50,12.00,0.30,5.50,12.00,0.30,5.50,12.00
1959-01-01,49.54,-113.46,0.00,4.00,13.70,0.00,4.00,13.70,0.00,4.00,13.70
1960-01-01,49.54,-113.46,2.30,8.00,13.00,2.30,8.00,13.00,2.30,8.00,13.00
1961-01-01,49.54,-113.46,0.30,7.00,17.40,0.30,7.00,17.40,0.30,7.00,17.40
1962-01-01,49.54,-113.46,0.00,4.00,11.70,0.00,4.00,11.70,0.00,4.00,11.70
1963-01-01,49.54,-113.46,0.00,3.50,13.70,0.00,3.50,13.70,0.00,3.50,13.70
1964-01-01,49.54,-113.46,0.00,4.00,9.40,0.00,4.00,9.40,0.00,4.00,9.40
1965-01-01,49.54,-113.46,0.30,3.00,14.80,0.30,3.00,14.80,0.30,3.00,14.80
1966-01-01,49.54,-113.46,0.00,3.00,11.00,0.00,3.00,11.00,0.00,3.00,11.00
1967-01-01,49.54,-113.46,1.30,6.00,11.40,1.30,6.00,11.40,1.30,6.00,11.40
1968-01-01,49.54,-113.46,2.00,7.00,9.00,2.00,7.00,9.00,2.00,7.00,9.00
1969-01-01,49.54,-113.46,0.00,3.50,15.80,0.00,3.50,15.80,0.00,3.50,15.80
1970-01-01,49.54,-113.46,2.00,6.00,14.40,2.00,6.00,14.40,2.00,6.00,14.40
1971-01-01,49.54,-113.46,0.00,3.50,12.10,0.00,3.50,12.10,0.00,3.50,12.10
1972-01-01,49.54,-113.46,0.30,3.50,9.00,0.30,3.50,9.00,0.30,3.50,9.00
1973-01-01,49.54,-113.46,0.00,3.50,18.20,0.00,3.50,18.20,0.00,3.50,18.20
1974-01-01,49.54,-113.46,1.00,5.00,12.00,1.00,5.00,12.00,1.00,5.00,12.00
1975-01-01,49.54,-113.46,0.00,4.00,9.00,0.00,4.00,9.00,0.00,4.00,9.00
1976-01-01,49.54,-113.46,1.00,7.00,13.40,1.00,7.00,13.40,1.00,7.00,13.40
1977-01-01,49.54,-113.46,3.30,7.50,15.70,3.30,7.50,15.70,3.30,7.50,15.70
1978-01-01,49.54,-113.46,4.00,9.50,15.40,4.00,9.50,15.40,4.00,9.50,15.40
1979-01-01,49.54,-113.46,1.30,7.50,12.70,1.30,7.50,12.70,1.30,7.50,12.70
1980-01-01,49.54,-113.46,2.00,7.00,13.40,2.00,7.00,13.70,2.00,7.00,13.70
1981-01-01,49.54,-113.46,3.00,9.50,25.40,3.00,9.50,25.40,3.00,10.00,25.40
1982-01-01,49.54,-113.46,2.00,8.00,17.00,2.00,8.00,17.00,2.00,8.50,17.70
1983-01-01,49.54,-113.46,0.00,3.00,10.70,0.00,3.00,10.70,0.00,3.00,11.40
1984-01-01,49.54,-113.46,2.30,7.00,16.00,2.00,7.50,16.00,2.30,7.00,16.00
1985-01-01,49.54,-113.46,1.00,11.00,23.60,1.00,11.50,23.60,1.00,11.00,23.60
1986-01-01,49.54,-113.46,0.00,6.00,14.70,0.00,6.50,14.70,0.00,6.50,14.70
1987-01-01,49.54,-113.46,1.30,9.00,16.10,1.30,9.00,16.80,1.30,9.00,16.10
1988-01-01,49.54,-113.46,3.30,8.50,17.80,3.30,8.50,18.10,3.30,9.00,17.80
1989-01-01,49.54,-113.46,4.00,11.50,21.10,4.00,11.00,21.10,4.00,11.00,21.80
1990-01-01,49.54,-113.46,1.30,5.00,15.40,1.30,5.00,15.40,1.00,5.50,15.10
1991-01-01,49.54,-113.46,0.30,6.50,17.70,0.30,6.50,17.00,0.30,6.50,17.70
1992-01-01,49.54,-113.46,0.00,3.00,17.00,0.00,3.00,17.00,0.00,3.00,17.00
1993-01-01,49.54,-113.46,0.00,3.00,15.70,0.00,3.00,15.70,0.00,3.00,15.70
1994-01-01,49.54,-113.46,1.30,6.50,19.00,1.30,6.50,19.00,1.30,6.50,19.00
1995-01-01,49.54,-113.46,2.60,8.50,16.70,2.60,8.00,16.70,2.60,8.50,16.40
1996-01-01,49.54,-113.46,3.00,10.00,15.70,3.00,10.00,16.00,3.00,10.00,16.00
1997-01-01,49.54,-113.46,3.30,8.00,21.20,3.00,8.00,21.20,3.00,8.00,21.20
1998-01-01,49.54,-113.46,2.60,10.00,20.80,2.60,10.50,20.10,2.60,10.50,20.80
1999-01-01,49.54,-113.46,2.30,8.00,15.40,2.30,7.50,15.10,2.30,8.00,15.70
2000-01-01,49.54,-113.46,3.30,8.50,20.10,3.30,8.00,19.10,3.30,9.00,20.10
2001-01-01,49.54,-113.46,2.30,11.00,21.70,2.60,11.50,21.00,2.30,10.50,21.00
2002-01-01,49.54,-113.46,3.90,13.50,19.70,3.90,14.00,20.00,3.90,13.50,19.40
2003-01-01,49.54,-113.46,2.30,8.00,28.30,2.30,7.50,28.00,2.30,8.00,28.30
2004-01-01,49.54,-113.46,4.60,10.00,28.10,4.60,10.00,28.80,4.60,10.00,28.10
2005-01-01,49.54,-113.46,5.30,12.50,23.10,6.00,12.50,23.10,6.00,13.50,23.10
2006-01-01,49.54,-113.46,4.00,11.00,24.00,2.60,12.00,23.10,5.90,13.00,21.70
2007-01-01,49.54,-113.46,4.30,10.50,26.80,3.30,13.00,22.70,5.60,14.00,28.50
2008-01-01,49.54,-113.46,2.30,10.50,17.00,3.30,13.50,28.40,4.00,13.00,23.00
2009-01-01,49.54,-113.46,4.30,13.50,23.10,2.00,15.50,23.70,1.30,11.00,23.70
2010-01-01,49.54,-113.46,2.00,11.50,22.70,0.90,9.50,23.80,3.30,9.50,19.70
2011-01-01,49.54,-113.46,1.30,11.50,25.00,2.00,12.50,26.20,3.90,11.50,27.20
2012-01-01,49.54,-113.46,4.00,14.50,31.10,3.60,13.00,26.70,3.60,16.50,26.40
2013-01-01,49.54,-113.46,3.30,11.00,23.40,5.00,11.00,23.70,6.00,12.50,20.70
2014-01-01,49.54,-113.46,4.30,14.00,22.40,2.00,10.00,26.70,2.00,10.00,22.50
2015-01-01,49.54,-113.46,6.00,16.50,39.60,7.30,14.50,26.10,4.20,17.50,25.00
2016-01-01,49.54,-113.46,5.60,13.00,30.50,2.00,9.00,23.10,4.30,12.50,27.70
2017-01-01,49.54,-113.46,4.30,14.00,34.10,6.00,13.50,25.70,7.00,12.50,25.40
2018-01-01,49.54,-113.46,2.30,11.00,26.70,7.60,16.00,36.00,6.00,14.50,42.40
2019-01-01,49.54,-113.46,6.30,13.50,27.00,3.30,13.50,22.00,4.30,15.50,26.20
2020-01-01,49.54,-113.46,6.00,12.00,32.60,5.00,13.00,36.80,5.90,20.00,35.70
2021-01-01,49.54,-113.46,6.60,18.50,24.70,7.60,16.50,26.00,2.30,14.00,30.40
2022-01-01,49.54,-113.46,2.30,14.00,31.70,7.00,13.50,24.00,2.60,19.00,39.10
2023-01-01,49.54,-113.46,6.30,18.00,30.20,3.30,11.50,25.70,8.60,20.50,33.00
2024-01-01,49.54,-113.46,5.30,15.50,40.70,3.00,10.00,29.80,8.00,18.00,31.40
2025-01-01,49.54,-113.46,6.30,18.00,29.40,9.90,18.50,38.50,9.00,21.50,30.40
