time,lat,lon,rcp26_tx_mean_p10,rcp26_tx_mean_p50,rcp26_tx_mean_p90,rcp45_tx_mean_p10,rcp45_tx_mean_p50,rcp45_tx_mean_p90,rcp85_tx_mean_p10,rcp85_tx_mean_p50,rcp85_tx_mean_p90
1950-01-01,49.54,-113.46,10.51,11.64,13.24,10.51,11.64,13.24,10.51,11.64,13.24
1951-01-01,49.54,-113.46,10.34,11.70,12.89,10.34,11.70,12.89,10.34,11.70,12.89
1952-01-01,49.54,-113.46,9.81,10.91,12.39,9.81,10.91,12.39,9.81,10.91,12.39
1953-01-01,49.54,-113.46,9.77,11.42,12.16,9.77,11.42,12.16,9.77,11.42,12.16
1954-01-01,49.54,-113.46,10.42,11.04,12.49,10.42,11.04,12.49,10.42,11.04,12.49
1955-01-01,49.54,-113.46,9.42,11.36,12.58,9.42,11.36,12.58,9.42,11.36,12.58
1956-01-01,49.54,-113.46,10.27,11.41,12.24,10.27,11.41,12.24,10.27,11.41,12.24
1957-01-01,49.54,-113.46,9.24,10.98,12.88,9.24,10.98,12.88,9.24,10.98,12.88
1958-01-01,49.54,-113.46,9.33,10.85,12.29,9.33,10.85,12.29,9.33,10.85,12.29
1959-01-01,49.54,-113.46,9.07,10.54,11.66,9.07,10.54,11.66,9.07,10.54,11.66
1960-01-01,49.54,-113.46,9.08,10.69,12.67,9.08,10.69,12.67,9.08,10.69,12.67
1961-01-01,49.54,-113.46,10.02,11.44,12.97,10.02,11.44,12.97,10.02,11.44,12.97
1962-01-01,49.54,-113.46,9.33,11.09,12.67,9.33,11.09,12.67,9.33,11.09,12.67
1963-01-01,49.54,-113.46,10.16,11.13,13.03,10.16,11.13,13.03,10.16,11.13,13.03
1964-01-01,49.54,-113.46,8.92,10.23,11.70,8.92,10.23,11.70,8.92,10.23,11.70
1965-01-01,49.54,-113.46,9.10,10.62,11.56,9.10,10.62,11.56,9.10,10.62,11.56
1966-01-01,49.54,-113.46,9.31,10.63,12.39,9.31,10.63,12.39,9.31,10.63,12.39
1967-01-01,49.54,-113.46,10.04,11.15,12.38,10.04,11.15,12.38,10.04,11.15,12.38
1968-01-01,49.54,-113.46,8.87,10.89,12.27,8.87,10.89,12.27,8.87,10.89,12.27
1969-01-01,49.54,-113.46,9.17,10.99,12.55,9.17,10.99,12.55,9.17,10.99,12.55
1970-01-01,49.54,-113.46,9.63,11.36,12.66,9.63,11.36,12.66,9.63,11.36,12.65
1971-01-01,49.54,-113.46,9.63,11.30,12.80,9.63,11.30,12.80,9.63,11.30,12.80
1972-01-01,49.54,-113.46,9.63,10.93,11.71,9.63,10.93,11.71,9.63,10.93,11.71
1973-01-01,49.54,-113.46,9.71,11.05,12.71,9.71,11.05,12.71,9.71,11.05,12.71
1974-01-01,49.54,-113.46,9.21,11.15,12.10,9.21,11.15,12.10,9.21,11.15,12.10
1975-01-01,49.54,-113.46,10.11,11.02,12.20,10.11,11.02,12.20,10.11,11.02,12.20
1976-01-01,49.54,-113.46,10.12,11.47,12.71,10.12,11.47,12.71,10.12,11.47,12.71
1977-01-01,49.54,-113.46,9.90,11.54,12.91,9.90,11.54,12.91,9.90,11.54,12.91
1978-01-01,49.54,-113.46,10.52,11.49,12.68,10.52,11.49,12.68,10.52,11.49,12.68
1979-01-01,49.54,-113.46,9.79,11.63,13.78,9.79,11.63,13.78,9.79,11.63,13.78
1980-01-01,49.54,-113.46,9.91,10.93,12.51,9.89,10.90,12.51,9.90,10.90,12.48
1981-01-01,49.54,-113.46,9.07,11.22,12.69,9.05,11.25,12.70,9.06,11.28,12.70
1982-01-01,49.54,-113.46,9.24,11.07,12.29,9.25,11.05,12.29,9.24,11.06,12.30
1983-01-01,49.54,-113.46,9.45,10.68,11.78,9.47,10.70,11.77,9.42,10.67,11.77
1984-01-01,49.54,-113.46,10.18,11.46,12.59,10.18,11.48,12.56,10.18,11.47,12.58
1985-01-01,49.54,-113.46,9.50,10.72,12.41,9.51,10.72,12.45,9.50,10.72,12.42
1986-01-01,49.54,-113.46,10.32,11.47,13.07,10.35,11.50,13.08,10.37,11.49,13.07
1987-01-01,49.54,-113.46,9.62,11.29,12.22,9.62,11.28,12.26,9.62,11.29,12.27
1988-01-01,49.54,-113.46,9.59,11.21,12.60,9.60,11.21,12.59,9.59,11.21,12.60
1989-01-01,49.54,-113.46,10.46,11.55,12.54,10.49,11.54,12.57,10.50,11.53,12.56
1990-01-01,49.54,-113.46,9.59,11.55,12.24,9.61,11.54,12.22,9.57,11.53,12.23
1991-01-01,49.54,-113.46,9.58,11.29,13.40,9.58,11.31,13.36,9.59,11.32,13.36
1992-01-01,49.54,-113.46,9.29,10.63,13.00,9.29,10.66,12.98,9.29,10.63,12.97
1993-01-01,49.54,-113.46,9.60,11.20,12.60,9.59,11.22,12.60,9.58,11.16,12.58
1994-01-01,49.54,-113.46,9.98,11.38,12.93,9.98,11.41,12.93,9.96,11.35,12.92
1995-01-01,49.54,-113.46,9.30,11.08,12.89,9.30,11.08,12.90,9.31,11.08,12.90
1996-01-01,49.54,-113.46,9.87,11.34,12.28,9.91,11.32,12.29,9.91,11.32,12.29
1997-01-01,49.54,-113.46,9.77,11.60,13.16,9.77,11.63,13.15,9.78,11.60,13.15
1998-01-01,49.54,-113.46,10.70,11.88,12.91,10.65,11.88,12.92,10.67,11.87,12.92
1999-01-01,49.54,-113.46,10.97,11.90,12.89,11.00,11.91,12.86,10.97,11.89,12.84
2000-01-01,49.54,-113.46,10.84,11.93,13.59,10.84,11.89,13.59,10.84,11.89,13.59
2001-01-01,49.54,-113.46,10.35,11.87,12.65,10.35,11.84,12.68,10.36,11.83,12.66
2002-01-01,49.54,-113.46,10.29,12.51,13.58,10.24,12.51,13.58,10.25,12.50,13.57
2003-01-01,49.54,-113.46,10.38,12.09,13.91,10.37,12.14,13.92,10.38,12.16,13.90
2004-01-01,49.54,-113.46,10.79,11.77,13.50,10.76,11.81,13.50,10.77,11.82,13.46
2005-01-01,49.54,-113.46,10.33,12.13,13.53,10.27,12.16,13.56,10.43,12.14,13.51
2006-01-01,49.54,-113.46,10.52,12.14,13.46,11.12,12.62,14.14,11.46,12.80,13.67
2007-01-01,49.54,-113.46,10.77,11.91,13.93,10.75,12.13,13.43,10.87,12.68,14.54
2008-01-01,49.54,-113.46,11.40,12.46,13.21,10.12,12.36,13.42,10.53,12.13,13.49
2009-01-01,49.54,-113.46,11.37,12.64,14.21,10.98,12.69,14.02,10.66,12.14,14.39
2010-01-01,49.54,-113.46,9.76,11.90,13.75,10.63,12.00,13.38,9.52,11.64,12.87
2011-01-01,49.54,-113.46,10.00,11.83,13.60,10.91,12.47,13.88,10.72,11.75,13.06
2012-01-01,49.54,-113.46,11.35,12.49,13.90,10.95,11.93,13.18,10.63,11.92,13.78
2013-01-01,49.54,-113.46,11.29,12.10,13.71,10.00,11.83,13.31,10.47,12.18,13.42
2014-01-01,49.54,-113.46,10.56,12.63,13.81,10.39,11.80,13.55,10.69,12.26,14.06
2015-01-01,49.54,-113.46,11.36,12.43,13.35,10.49,12.32,13.36,10.08,12.26,13.56
2016-01-01,49.54,-113.46,11.47,12.67,14.80,10.04,12.03,13.15,11.13,12.25,13.83
2017-01-01,49.54,-113.46,10.73,12.61,14.08,10.95,12.55,14.27,11.26,12.76,14.69
2018-01-01,49.54,-113.46,10.40,12.82,13.96,10.48,12.58,14.29,10.94,12.87,14.69
2019-01-01,49.54,-113.46,11.08,12.29,13.68,11.36,12.34,14.04,10.60,13.03,13.85
2020-01-01,49.54,-113.46,11.18,12.76,14.26,10.35,12.49,14.41,11.52,12.65,14.20
