time,lat,lon,rcp26_tnlt_-15_p10,rcp26_tnlt_-15_p50,rcp26_tnlt_-15_p90,rcp45_tnlt_-15_p10,rcp45_tnlt_-15_p50,rcp45_tnlt_-15_p90,rcp85_tnlt_-15_p10,rcp85_tnlt_-15_p50,rcp85_tnlt_-15_p90
1950-01-01,49.54,-113.46,23.30,38.00,49.70,23.30,38.00,49.70,23.30,39.00,49.70
1951-01-01,49.54,-113.46,18.00,36.00,55.40,18.00,36.00,55.40,18.00,37.00,55.40
1952-01-01,49.54,-113.46,27.80,45.50,59.20,27.80,45.50,59.20,27.50,45.50,59.20
1953-01-01,49.54,-113.46,20.30,38.00,53.80,20.30,38.00,53.80,21.60,38.00,53.80
1954-01-01,49.54,-113.46,27.80,40.00,53.80,27.80,40.00,53.80,27.80,40.50,53.80
1955-01-01,49.54,-113.46,28.30,42.00,58.40,28.30,42.00,58.40,28.30,42.00,58.40
1956-01-01,49.54,-113.46,26.30,38.50,55.00,26.30,38.50,55.00,26.30,38.50,56.40
1957-01-01,49.54,-113.46,25.30,40.50,59.40,25.30,40.50,59.40,25.30,40.50,59.70
1958-01-01,49.54,-113.46,27.30,40.00,56.10,27.30,40.00,56.10,27.30,40.00,56.10
1959-01-01,49.54,-113.46,22.20,42.50,62.00,22.20,42.50,62.00,22.20,42.50,62.00
1960-01-01,49.54,-113.46,23.30,40.50,67.40,23.30,40.50,67.40,23.30,40.50,67.40
1961-01-01,49.54,-113.46,21.00,40.50,52.70,21.00,40.50,52.70,21.00,41.00,52.70
1962-01-01,49.54,-113.46,22.50,36.50,62.40,22.50,36.50,62.40,22.50,36.50,62.40
1963-01-01,49.54,-113.46,19.90,36.50,46.40,19.90,36.50,46.40,19.90,36.50,46.40
1964-01-01,49.54,-113.46,29.60,46.00,62.70,29.60,46.00,62.70,30.30,46.00,62.70
1965-01-01,49.54,-113.46,32.30,42.00,58.40,32.30,42.00,58.40,32.30,42.00,58.40
1966-01-01,49.54,-113.46,30.20,41.00,55.20,30.20,41.00,55.20,30.20,41.50,55.20
1967-01-01,49.54,-113.46,17.20,41.50,53.00,17.20,41.50,53.00,17.20,41.50,53.00
1968-01-01,49.54,-113.46,25.00,37.50,67.10,25.00,37.50,67.10,25.30,37.50,67.10
1969-01-01,49.54,-113.46,24.80,41.00,52.70,24.80,41.00,52.70,24.80,41.00,52.70
1970-01-01,49.54,-113.46,25.00,42.00,56.70,25.00,42.00,56.70,25.00,42.50,56.70
1971-01-01,49.54,-113.46,27.80,39.00,51.10,27.80,39.00,51.10,27.80,39.00,51.10
1972-01-01,49.54,-113.46,32.00,45.00,53.70,32.00,45.00,53.70,32.00,46.00,53.70
1973-01-01,49.54,-113.46,22.30,42.50,58.80,22.30,42.50,58.80,22.30,42.50,58.80
1974-01-01,49.54,-113.46,28.00,40.00,60.20,28.00,40.00,60.20,28.00,40.00,60.20
1975-01-01,49.54,-113.46,34.00,39.00,64.80,34.00,39.00,64.80,34.00,39.00,64.80
1976-01-01,49.54,-113.46,23.30,38.50,48.70,23.30,38.50,48.70,23.30,39.00,48.70
1977-01-01,49.54,-113.46,22.20,40.00,52.70,22.20,40.00,52.70,22.20,40.00,52.70
1978-01-01,49.54,-113.46,25.00,37.00,47.40,25.00,37.00,47.40,25.00,37.00,47.40
1979-01-01,49.54,-113.46,23.30,36.00,57.70,23.30,36.00,57.70,23.30,36.00,57.70
1980-01-01,49.54,-113.46,28.00,44.50,53.40,28.30,44.00,53.70,28.30,45.50,53.40
1981-01-01,49.54,-113.46,26.20,41.00,60.60,26.20,41.50,59.20,26.20,41.50,62.70
1982-01-01,49.54,-113.46,30.30,39.50,55.00,32.30,40.00,55.00,30.60,40.00,55.00
1983-01-01,49.54,-113.46,30.00,41.00,58.40,29.00,41.50,58.70,29.30,41.50,58.70
1984-01-01,49.54,-113.46,26.00,39.00,53.40,26.30,39.00,53.40,25.60,39.50,53.40
1985-01-01,49.54,-113.46,26.60,41.00,62.70,26.00,41.00,63.00,26.60,41.00,64.00
1986-01-01,49.54,-113.46,21.20,37.50,44.70,21.90,36.50,44.70,21.90,37.50,44.70
1987-01-01,49.54,-113.46,27.60,39.50,54.80,27.60,39.00,54.50,27.60,39.50,54.20
1988-01-01,49.54,-113.46,31.00,40.00,62.00,31.00,40.50,61.40,31.00,40.50,62.50
1989-01-01,49.54,-113.46,25.60,41.50,52.80,27.30,42.00,52.80,26.60,40.50,52.80
1990-01-01,49.54,-113.46,22.50,37.50,55.70,23.90,37.00,55.70,23.90,36.50,56.70
1991-01-01,49.54,-113.46,22.90,40.00,51.40,22.90,40.00,51.40,22.90,40.00,53.40
1992-01-01,49.54,-113.46,17.90,44.00,59.90,17.60,45.00,59.20,16.90,45.00,60.80
1993-01-01,49.54,-113.46,24.00,39.00,53.30,24.00,38.50,53.30,24.00,37.00,53.30
1994-01-01,49.54,-113.46,22.30,39.00,54.00,21.90,38.00,54.70,21.30,38.50,54.70
1995-01-01,49.54,-113.46,21.00,42.50,68.50,21.00,43.00,68.30,21.00,43.00,68.60
1996-01-01,49.54,-113.46,25.90,41.00,52.80,26.50,41.50,53.10,26.20,42.50,52.20
1997-01-01,49.54,-113.46,20.00,36.50,56.70,20.30,36.00,58.10,19.30,36.00,56.70
1998-01-01,49.54,-113.46,23.90,37.50,53.70,24.60,38.50,53.70,23.60,38.50,53.70
1999-01-01,49.54,-113.46,20.00,33.00,48.60,20.00,33.00,48.60,20.00,32.50,49.60
2000-01-01,49.54,-113.46,24.90,31.50,50.10,25.20,31.00,50.10,24.90,31.50,49.70
2001-01-01,49.54,-113.46,26.30,42.00,53.40,26.30,42.00,53.70,26.30,42.50,53.00
2002-01-01,49.54,-113.46,21.30,32.00,53.00,21.30,32.00,53.00,21.30,32.00,52.70
2003-01-01,49.54,-113.46,19.80,39.00,55.70,18.80,39.00,54.70,20.10,39.50,55.70
2004-01-01,49.54,-113.46,21.40,38.50,48.70,21.40,38.50,48.70,22.80,38.50,48.70
2005-01-01,49.54,-113.46,16.20,35.00,52.80,17.00,36.00,53.00,16.30,35.00,54.00
2006-01-01,49.54,-113.46,23.60,38.00,47.70,12.00,32.50,45.10,22.00,33.00,42.40
2007-01-01,49.54,-113.46,16.70,35.00,48.90,14.20,35.00,55.80,19.00,29.50,45.40
2008-01-01,49.54,-113.46,20.60,31.00,45.40,20.00,34.00,59.20,21.30,35.00,48.70
