time,lat,lon,rcp26_tn_mean_p10,rcp26_tn_mean_p50,rcp26_tn_mean_p90,rcp45_tn_mean_p10,rcp45_tn_mean_p50,rcp45_tn_mean_p90,rcp85_tn_mean_p10,rcp85_tn_mean_p50,rcp85_tn_mean_p90
1950-01-01,49.54,-113.46,-2.44,-1.27,0.15,-2.44,-1.27,0.15,-2.44,-1.27,0.15
1951-01-01,49.54,-113.46,-2.66,-1.44,0.56,-2.66,-1.44,0.56,-2.66,-1.50,0.56
1952-01-01,49.54,-113.46,-3.00,-1.89,-0.90,-3.00,-1.89,-0.90,-3.00,-1.89,-0.90
1953-01-01,49.54,-113.46,-2.77,-1.66,-0.43,-2.77,-1.66,-0.43,-2.77,-1.66,-0.43
1954-01-01,49.54,-113.46,-2.44,-1.55,-0.34,-2.44,-1.55,-0.34,-2.44,-1.55,-0.34
1955-01-01,49.54,-113.46,-2.89,-1.67,-0.70,-2.89,-1.67,-0.70,-2.89,-1.67,-0.70
1956-01-01,49.54,-113.46,-2.86,-1.57,-0.08,-2.86,-1.57,-0.08,-2.87,-1.57,-0.08
1957-01-01,49.54,-113.46,-3.68,-1.67,0.08,-3.68,-1.67,0.08,-3.68,-1.67,0.08
1958-01-01,49.54,-113.46,-3.19,-1.72,-0.83,-3.19,-1.72,-0.83,-3.19,-1.72,-0.83
1959-01-01,49.54,-113.46,-3.19,-1.79,-0.65,-3.19,-1.79,-0.65,-3.19,-1.79,-0.65
1960-01-01,49.54,-113.46,-3.33,-1.76,-0.20,-3.33,-1.76,-0.20,-3.33,-1.76,-0.21
1961-01-01,49.54,-113.46,-2.84,-1.40,0.12,-2.84,-1.40,0.12,-2.84,-1.40,0.12
1962-01-01,49.54,-113.46,-3.06,-1.24,-0.07,-3.06,-1.24,-0.07,-3.06,-1.24,-0.07
1963-01-01,49.54,-113.46,-2.15,-1.48,0.14,-2.15,-1.48,0.14,-2.15,-1.55,0.14
1964-01-01,49.54,-113.46,-3.62,-2.37,-1.01,-3.62,-2.37,-1.01,-3.62,-2.37,-1.01
1965-01-01,49.54,-113.46,-3.20,-1.85,-1.05,-3.20,-1.85,-1.05,-3.27,-1.85,-1.05
1966-01-01,49.54,-113.46,-3.14,-2.23,-0.48,-3.14,-2.23,-0.48,-3.14,-2.23,-0.48
1967-01-01,49.54,-113.46,-2.66,-1.65,-0.32,-2.66,-1.65,-0.32,-2.66,-1.65,-0.32
1968-01-01,49.54,-113.46,-3.67,-1.82,-0.57,-3.67,-1.82,-0.57,-3.67,-1.82,-0.59
1969-01-01,49.54,-113.46,-3.00,-2.04,-0.48,-3.00,-2.04,-0.48,-3.00,-2.04,-0.48
1970-01-01,49.54,-113.46,-3.22,-1.97,-0.52,-3.22,-1.97,-0.52,-3.22,-1.97,-0.52
1971-01-01,49.54,-113.46,-2.35,-1.71,-0.60,-2.35,-1.71,-0.60,-2.35,-1.75,-0.60
1972-01-01,49.54,-113.46,-3.04,-1.86,-1.09,-3.04,-1.86,-1.09,-3.04,-1.86,-1.09
1973-01-01,49.54,-113.46,-2.81,-1.78,-0.23,-2.81,-1.78,-0.23,-2.81,-1.78,-0.23
1974-01-01,49.54,-113.46,-3.63,-1.65,-0.44,-3.63,-1.65,-0.44,-3.63,-1.65,-0.44
1975-01-01,49.54,-113.46,-2.46,-1.81,-0.92,-2.46,-1.81,-0.92,-2.46,-1.81,-0.94
1976-01-01,49.54,-113.46,-2.59,-1.44,-0.17,-2.59,-1.44,-0.17,-2.59,-1.48,-0.17
1977-01-01,49.54,-113.46,-2.54,-1.22,-0.28,-2.54,-1.22,-0.28,-2.54,-1.26,-0.28
1978-01-01,49.54,-113.46,-2.11,-1.15,-0.28,-2.11,-1.15,-0.28,-2.11,-1.15,-0.28
1979-01-01,49.54,-113.46,-2.92,-1.30,-0.06,-2.92,-1.30,-0.06,-2.92,-1.30,-0.06
1980-01-01,49.54,-113.46,-2.86,-1.76,-0.01,-2.86,-1.76,0.00,-2.86,-1.75,-0.03
1981-01-01,49.54,-113.46,-3.25,-1.53,-0.26,-3.26,-1.54,-0.27,-3.37,-1.53,-0.27
1982-01-01,49.54,-113.46,-3.16,-1.72,-0.58,-3.17,-1.72,-0.59,-3.15,-1.74,-0.59
1983-01-01,49.54,-113.46,-2.62,-1.69,-0.52,-2.62,-1.72,-0.54,-2.64,-1.71,-0.53
1984-01-01,49.54,-113.46,-2.50,-1.06,-0.32,-2.49,-1.05,-0.31,-2.49,-1.06,-0.31
1985-01-01,49.54,-113.46,-3.06,-1.82,-0.64,-3.07,-1.80,-0.66,-3.08,-1.81,-0.66
1986-01-01,49.54,-113.46,-1.79,-1.38,-0.08,-1.75,-1.38,-0.08,-1.75,-1.38,-0.08
1987-01-01,49.54,-113.46,-2.60,-1.35,-0.83,-2.60,-1.35,-0.81,-2.59,-1.40,-0.78
1988-01-01,49.54,-113.46,-2.88,-1.39,-0.47,-2.87,-1.38,-0.47,-2.88,-1.40,-0.47
1989-01-01,49.54,-113.46,-2.12,-1.42,-0.02,-2.12,-1.45,-0.06,-2.12,-1.47,-0.06
1990-01-01,49.54,-113.46,-2.73,-1.15,-0.16,-2.73,-1.13,-0.17,-2.74,-1.12,-0.17
1991-01-01,49.54,-113.46,-2.82,-1.05,0.12,-2.83,-1.06,0.12,-2.83,-1.06,0.13
1992-01-01,49.54,-113.46,-3.17,-1.73,0.23,-3.15,-1.75,0.23,-3.13,-1.74,0.22
1993-01-01,49.54,-113.46,-2.62,-1.30,-0.14,-2.62,-1.31,-0.14,-2.62,-1.30,-0.14
1994-01-01,49.54,-113.46,-2.80,-1.36,-0.03,-2.82,-1.34,-0.05,-2.81,-1.35,-0.05
1995-01-01,49.54,-113.46,-3.26,-1.87,0.37,-3.23,-1.87,0.38,-3.21,-1.90,0.38
1996-01-01,49.54,-113.46,-2.66,-1.30,-0.38,-2.63,-1.31,-0.39,-2.62,-1.31,-0.37
1997-01-01,49.54,-113.46,-2.63,-1.09,0.83,-2.63,-1.11,0.84,-2.65,-1.11,0.82
1998-01-01,49.54,-113.46,-2.02,-1.18,0.05,-2.03,-1.19,0.05,-2.02,-1.19,0.04
1999-01-01,49.54,-113.46,-2.08,-0.80,0.10,-2.08,-0.80,0.12,-2.08,-0.82,0.09
2000-01-01,49.54,-113.46,-1.59,-0.67,0.28,-1.57,-0.68,0.32,-1.56,-0.69,0.33
2001-01-01,49.54,-113.46,-1.91,-0.98,0.26,-1.91,-0.95,0.26,-1.93,-0.94,0.26
2002-01-01,49.54,-113.46,-2.36,-0.40,0.49,-2.37,-0.36,0.49,-2.36,-0.37,0.50
2003-01-01,49.54,-113.46,-2.23,-1.04,0.70,-2.20,-0.99,0.70,-2.21,-0.98,0.69
2004-01-01,49.54,-113.46,-1.84,-0.76,0.75,-1.84,-0.76,0.73,-1.83,-0.77,0.74
2005-01-01,49.54,-113.46,-2.32,-0.73,0.95,-2.36,-0.72,0.97,-2.06,-0.73,0.94
2006-01-01,49.54,-113.46,-2.15,-0.55,0.22,-1.44,-0.21,1.07,-1.24,-0.34,0.55
2007-01-01,49.54,-113.46,-1.84,-0.86,0.83,-1.82,-0.82,0.66,-1.63,-0.06,1.12
2008-01-01,49.54,-113.46,-1.39,-0.16,0.49,-2.53,-0.69,0.45,-1.88,-0.52,0.66
2009-01-01,49.54,-113.46,-1.31,-0.01,0.95,-1.07,-0.51,0.70,-1.93,-0.33,1.00
2010-01-01,49.54,-113.46,-2.44,-0.62,0.98,-1.60,-0.51,0.62,-2.27,-0.84,0.67
2011-01-01,49.54,-113.46,-2.24,-0.63,0.57,-1.12,-0.30,0.64,-1.78,-1.06,0.87
2012-01-01,49.54,-113.46,-1.37,-0.26,1.26,-1.45,-0.85,0.24,-1.78,-0.58,1.04
2013-01-01,49.54,-113.46,-1.83,-0.29,0.88,-1.77,-0.82,0.36,-1.93,-0.30,0.66
2014-01-01,49.54,-113.46,-2.04,-0.05,1.12,-1.64,-0.81,1.14,-1.83,-0.20,1.16
2015-01-01,49.54,-113.46,-1.21,-0.10,0.85,-1.93,-0.35,0.62,-2.20,-0.49,0.77
2016-01-01,49.54,-113.46,-1.18,-0.02,1.85,-1.97,-0.46,0.85,-1.33,0.03,0.99
2017-01-01,49.54,-113.46,-2.20,-0.22,0.97,-1.28,-0.19,0.99,-1.50,-0.07,1.55
2018-01-01,49.54,-113.46,-2.09,-0.04,1.14,-2.05,-0.29,1.16,-2.06,-0.02,1.55
2019-01-01,49.54,-113.46,-0.97,-0.35,0.77,-1.43,-0.17,1.50,-2.08,0.25,1.32
2020-01-01,49.54,-113.46,-1.19,-0.33,1.49,-1.79,-0.33,1.47,-1.15,-0.02,0.87
2021-01-01,49.54,-113.46,-1.09,-0.18,1.23,-1.17,-0.02,1.16,-2.09,-0.05,0.96
2022-01-01,49.54,-113.46,-1.71,-0.30,2.03,-1.58,-0.28,0.70,-1.46,0.72,1.78
2023-01-01,49.54,-113.46,-1.61,0.28,1.02,-1.74,0.42,1.45,-0.63,0.31,1.68
2024-01-01,49.54,-113.46,-0.79,0.31,1.45,-0.66,0.72,1.58,-0.94,0.09,1.26
2025-01-01,49.54,-113.46,-1.72,0.08,0.91,-1.16,-0.05,1.53,-0.72,0.24,1.69
