time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-113.46,49.54,303.23,441.85,588.63,301.10,440.26,590.03,300.48,440.84,589.54
1951-01-01,-113.46,49.54,314.52,494.93,658.55,314.52,494.96,655.86,314.52,495.33,655.86
1952-01-01,-113.46,49.54,375.04,488.79,622.39,376.45,484.06,626.27,375.03,483.88,626.34
1953-01-01,-113.46,49.54,362.39,455.88,629.61,357.24,453.22,628.51,357.24,458.10,629.67
1954-01-01,-113.46,49.54,364.46,481.94,599.59,364.46,481.93,601.11,364.46,481.94,593.64
1955-01-01,-113.46,49.54,348.69,420.58,580.78,347.91,421.86,580.77,347.92,421.63,580.78
1956-01-01,-113.46,49.54,326.51,461.62,553.99,326.52,461.61,559.99,326.52,461.61,555.15
1957-01-01,-113.46,49.54,380.95,485.67,599.15,380.95,486.91,598.98,380.95,486.66,598.98
1958-01-01,-113.46,49.54,376.81,514.43,673.56,376.81,514.43,675.71,376.81,514.43,673.97
1959-01-01,-113.46,49.54,358.01,485.10,660.56,358.01,483.10,666.43,358.01,487.13,669.52
1960-01-01,-113.46,49.54,353.37,471.43,624.84,352.84,471.43,635.17,354.27,471.43,635.17
1961-01-01,-113.46,49.54,378.70,492.52,615.26,377.30,494.16,615.74,372.99,492.64,614.43
1962-01-01,-113.46,49.54,341.21,461.70,595.40,341.21,458.51,595.40,341.21,458.51,595.39
1963-01-01,-113.46,49.54,378.11,527.43,641.00,378.11,527.44,641.01,378.11,527.43,641.00
1964-01-01,-113.46,49.54,335.13,448.31,572.03,337.65,451.16,572.03,336.37,451.16,572.03
1965-01-01,-113.46,49.54,383.92,482.41,565.73,383.91,482.41,565.73,383.91,482.41,565.73
1966-01-01,-113.46,49.54,354.81,460.38,598.90,353.67,460.37,604.07,353.65,460.38,597.44
1967-01-01,-113.46,49.54,300.47,430.80,554.62,301.25,430.80,552.26,301.44,430.80,552.34
1968-01-01,-113.46,49.54,327.58,469.20,609.68,327.57,469.20,611.93,327.57,469.20,610.50
1969-01-01,-113.46,49.54,336.05,482.93,622.57,336.04,483.73,622.57,336.04,483.73,622.57
1970-01-01,-113.46,49.54,355.91,422.22,586.49,352.95,426.16,588.93,353.74,421.88,588.93
1971-01-01,-113.46,49.54,322.61,445.99,589.90,322.73,453.26,587.35,322.83,450.82,587.80
1972-01-01,-113.46,49.54,345.28,475.58,584.59,344.86,475.60,584.59,344.86,475.59,584.59
1973-01-01,-113.46,49.54,359.49,459.89,586.25,359.49,461.16,586.25,359.49,460.81,586.25
1974-01-01,-113.46,49.54,355.28,456.31,604.49,356.73,458.16,604.72,353.93,458.16,604.62
