time,lat,lon,rcp26_tn_min_p10,rcp26_tn_min_p50,rcp26_tn_min_p90,rcp45_tn_min_p10,rcp45_tn_min_p50,rcp45_tn_min_p90,rcp85_tn_min_p10,rcp85_tn_min_p50,rcp85_tn_min_p90
1950-01-01,49.62,-120.04,-33.83,-28.90,-20.72,-33.83,-28.90,-20.72,-33.83,-28.90,-20.92
1951-01-01,49.62,-120.04,-33.92,-28.22,-19.00,-33.92,-28.22,-19.00,-33.92,-28.22,-19.00
1952-01-01,49.62,-120.04,-33.07,-29.40,-24.07,-33.07,-29.40,-24.07,-33.07,-29.58,-24.07
1953-01-01,49.62,-120.04,-33.32,-27.96,-21.08,-33.32,-27.96,-21.08,-33.32,-27.96,-21.08
1954-01-01,49.62,-120.04,-34.01,-28.49,-22.56,-34.01,-28.49,-22.56,-34.32,-28.49,-22.56
1955-01-01,49.62,-120.04,-34.29,-29.20,-23.28,-34.29,-29.20,-23.28,-34.29,-29.65,-23.28
1956-01-01,49.62,-120.04,-32.18,-28.62,-24.65,-32.18,-28.62,-24.65,-32.18,-28.62,-24.94
1957-01-01,49.62,-120.04,-32.79,-29.20,-22.63,-32.79,-29.20,-22.63,-34.39,-29.20,-22.63
1958-01-01,49.62,-120.04,-35.49,-33.02,-23.18,-35.49,-33.02,-23.18,-35.49,-33.02,-23.18
1959-01-01,49.62,-120.04,-35.70,-26.74,-22.73,-35.70,-26.74,-22.73,-35.70,-26.74,-22.73
1960-01-01,49.62,-120.04,-39.08,-30.12,-23.79,-39.08,-30.12,-23.79,-39.08,-30.12,-23.79
1961-01-01,49.62,-120.04,-33.92,-26.74,-20.88,-33.92,-26.74,-20.88,-35.27,-26.74,-20.88
1962-01-01,49.62,-120.04,-32.93,-28.34,-23.83,-32.93,-28.34,-23.83,-32.93,-28.77,-23.83
1963-01-01,49.62,-120.04,-35.92,-29.55,-19.83,-35.92,-29.55,-19.83,-35.82,-29.55,-19.83
1964-01-01,49.62,-120.04,-35.82,-31.20,-23.27,-35.82,-31.20,-23.27,-35.82,-31.20,-23.27
1965-01-01,49.62,-120.04,-34.98,-30.81,-24.84,-34.98,-30.81,-24.84,-34.98,-30.87,-24.84
1966-01-01,49.62,-120.04,-39.66,-27.77,-20.51,-39.66,-27.77,-20.51,-39.66,-27.77,-20.51
1967-01-01,49.62,-120.04,-37.38,-30.94,-21.50,-37.38,-30.94,-21.50,-37.38,-31.49,-21.50
1968-01-01,49.62,-120.04,-34.25,-28.27,-24.49,-34.25,-28.27,-24.49,-34.25,-28.27,-24.61
1969-01-01,49.62,-120.04,-32.89,-27.89,-22.68,-32.89,-27.89,-22.68,-32.89,-27.89,-23.14
1970-01-01,49.62,-120.04,-36.93,-30.09,-23.22,-36.93,-30.09,-23.22,-36.93,-30.09,-23.25
1971-01-01,49.62,-120.04,-34.97,-27.64,-23.42,-34.97,-27.64,-23.42,-34.97,-27.64,-23.42
1972-01-01,49.62,-120.04,-37.07,-30.39,-26.23,-37.07,-30.39,-26.23,-37.07,-31.46,-26.23
