time,lon,lat,rcp26_frost_free_season_p10,rcp26_frost_free_season_p50,rcp26_frost_free_season_p90,rcp45_frost_free_season_p10,rcp45_frost_free_season_p50,rcp45_frost_free_season_p90,rcp85_frost_free_season_p10,rcp85_frost_free_season_p50,rcp85_frost_free_season_p90
1950-01-01,-120.04,49.62,46.60,72.50,105.70,46.60,75.00,105.70,46.60,74.00,106.60
1951-01-01,-120.04,49.62,52.60,77.50,100.40,52.90,77.50,100.40,52.00,77.50,100.40
1952-01-01,-120.04,49.62,25.50,67.50,98.20,25.50,61.50,98.20,25.50,55.50,98.20
1953-01-01,-120.04,49.62,40.20,74.00,101.70,37.60,74.00,99.80,36.90,74.50,101.70
1954-01-01,-120.04,49.62,46.30,76.00,105.70,46.30,76.00,105.70,46.30,76.00,110.90
1955-01-01,-120.04,49.62,43.60,73.00,95.40,43.60,74.50,96.40,43.60,74.50,98.80
1956-01-01,-120.04,49.62,45.90,79.00,97.40,45.90,79.00,97.40,45.90,79.00,97.40
1957-01-01,-120.04,49.62,35.10,67.00,107.90,35.10,69.50,107.90,35.10,69.50,106.50
1958-01-01,-120.04,49.62,56.90,78.00,104.90,57.50,78.00,104.90,57.20,78.50,105.50
1959-01-01,-120.04,49.62,38.60,80.00,98.40,38.60,80.00,101.80,38.60,80.00,101.80
1960-01-01,-120.04,49.62,51.60,78.00,101.90,51.60,78.00,113.10,51.60,78.00,115.50
1961-01-01,-120.04,49.62,39.00,75.50,103.80,39.00,75.50,103.80,38.30,75.50,103.80
1962-01-01,-120.04,49.62,27.10,67.50,97.60,27.10,73.50,97.60,27.10,71.50,91.10
1963-01-01,-120.04,49.62,57.20,80.00,116.60,50.40,80.50,116.60,50.40,80.50,116.60
1964-01-01,-120.04,49.62,19.90,57.50,102.80,19.90,57.50,109.60,19.90,57.50,109.60
1965-01-01,-120.04,49.62,36.20,67.50,91.30,36.20,68.00,91.30,36.20,68.00,91.30
1966-01-01,-120.04,49.62,37.90,75.00,101.40,35.80,75.00,101.40,35.80,71.00,98.50
1967-01-01,-120.04,49.62,25.80,59.50,102.20,25.80,59.50,102.20,25.80,59.00,102.20
1968-01-01,-120.04,49.62,35.90,68.00,95.20,35.90,68.00,95.20,35.90,68.00,95.20
1969-01-01,-120.04,49.62,27.60,69.50,94.00,26.30,71.00,94.00,27.60,69.00,90.70
1970-01-01,-120.04,49.62,50.30,80.50,108.70,25.50,80.50,108.70,25.50,76.00,106.50
1971-01-01,-120.04,49.62,57.90,81.00,105.10,57.90,81.00,105.10,57.90,81.00,105.10
1972-01-01,-120.04,49.62,45.50,74.50,105.70,45.80,74.50,105.70,45.80,74.50,104.10
1973-01-01,-120.04,49.62,41.10,75.50,102.10,29.20,75.50,102.10,29.20,71.50,102.10
1974-01-01,-120.04,49.62,49.30,66.00,119.50,52.30,66.00,118.80,52.30,66.00,118.80
1975-01-01,-120.04,49.62,25.20,82.00,99.40,25.20,81.00,99.40,25.20,81.00,99.40
1976-01-01,-120.04,49.62,68.40,92.50,118.20,68.10,92.50,118.20,68.40,91.00,118.20
1977-01-01,-120.04,49.62,42.90,79.50,110.70,42.90,80.00,110.70,42.90,80.00,110.70
1978-01-01,-120.04,49.62,47.20,73.00,92.50,46.60,70.50,94.70,46.60,71.50,92.50
1979-01-01,-120.04,49.62,26.50,78.00,109.90,26.50,78.00,109.90,26.50,78.00,102.20
1980-01-01,-120.04,49.62,41.30,74.50,113.60,37.10,74.50,113.60,47.60,73.50,107.10
1981-01-01,-120.04,49.62,28.40,82.50,103.70,22.50,79.50,100.70,22.50,78.00,103.70
1982-01-01,-120.04,49.62,54.90,79.50,96.40,54.90,81.00,96.40,43.70,82.00,96.40
1983-01-01,-120.04,49.62,43.30,60.00,104.00,43.30,60.00,104.70,30.40,56.50,104.70
1984-01-01,-120.04,49.62,43.00,79.50,106.30,50.00,79.50,106.30,50.00,78.00,106.30
1985-01-01,-120.04,49.62,59.20,74.50,108.70,51.80,74.50,108.70,51.50,74.50,107.50
1986-01-01,-120.04,49.62,43.60,85.00,110.70,43.60,85.00,110.70,43.60,80.50,110.70
1987-01-01,-120.04,49.62,47.90,80.50,106.80,61.40,83.00,106.80,54.10,82.50,106.80
1988-01-01,-120.04,49.62,55.40,81.00,109.70,54.80,81.00,109.70,48.10,81.00,108.80
1989-01-01,-120.04,49.62,42.30,83.50,116.30,44.10,83.00,116.30,44.10,83.00,116.30
1990-01-01,-120.04,49.62,44.30,81.50,103.40,43.30,79.50,108.20,44.30,81.50,108.20
1991-01-01,-120.04,49.62,60.30,81.00,104.70,60.30,80.50,105.70,60.30,80.50,105.90
1992-01-01,-120.04,49.62,35.30,79.50,118.00,33.60,79.50,118.00,33.60,80.00,115.30
1993-01-01,-120.04,49.62,55.00,76.00,105.40,55.00,77.50,105.40,52.90,81.50,105.40
1994-01-01,-120.04,49.62,50.00,74.00,95.40,47.20,74.50,95.40,47.20,70.00,95.40
1995-01-01,-120.04,49.62,55.50,85.00,102.00,55.50,81.50,102.90,55.50,80.50,96.40
1996-01-01,-120.04,49.62,47.80,81.50,109.80,49.00,81.50,107.00,48.10,81.50,114.00
1997-01-01,-120.04,49.62,48.70,87.00,113.30,48.70,87.00,113.60,55.30,87.00,113.60
1998-01-01,-120.04,49.62,47.00,87.50,118.30,47.00,89.50,118.30,47.00,89.50,119.00
1999-01-01,-120.04,49.62,60.60,86.50,124.40,67.30,86.00,123.00,63.50,86.50,119.70
2000-01-01,-120.04,49.62,69.00,88.50,112.70,72.30,91.00,112.70,72.30,92.50,112.70
2001-01-01,-120.04,49.62,67.00,89.50,117.40,67.00,90.00,118.00,67.00,88.00,118.00
2002-01-01,-120.04,49.62,81.60,101.00,119.10,81.60,102.50,119.10,81.60,99.50,119.10
2003-01-01,-120.04,49.62,53.90,92.00,117.10,56.90,92.00,117.10,56.90,92.00,117.10
2004-01-01,-120.04,49.62,72.80,103.00,123.90,73.10,101.00,126.00,66.10,101.00,123.20
2005-01-01,-120.04,49.62,67.60,95.00,123.20,63.60,93.00,125.60,65.60,92.00,125.40
2006-01-01,-120.04,49.62,74.00,89.00,122.00,68.90,95.00,122.60,61.20,86.00,125.40
2007-01-01,-120.04,49.62,58.30,90.00,136.90,67.80,95.00,122.90,79.20,99.00,114.70
2008-01-01,-120.04,49.62,63.00,88.00,121.10,67.00,91.50,111.70,81.30,97.50,127.10
2009-01-01,-120.04,49.62,66.30,93.00,124.90,68.10,97.50,116.10,56.20,98.00,124.50
2010-01-01,-120.04,49.62,81.30,102.00,120.70,92.60,103.50,131.50,65.30,105.00,130.40
2011-01-01,-120.04,49.62,64.20,104.00,128.00,83.00,101.00,131.70,89.30,105.50,121.40
2012-01-01,-120.04,49.62,79.30,104.50,129.00,67.10,98.50,118.40,75.60,105.00,119.40
2013-01-01,-120.04,49.62,66.30,99.50,113.20,64.20,98.50,130.70,79.30,99.50,127.60
2014-01-01,-120.04,49.62,71.60,105.50,132.70,75.10,103.50,122.90,71.00,106.50,123.00
2015-01-01,-120.04,49.62,85.90,104.00,123.80,73.90,100.50,132.80,82.20,100.50,123.00
2016-01-01,-120.04,49.62,78.80,107.00,120.70,75.60,92.50,110.50,70.30,104.50,133.00
2017-01-01,-120.04,49.62,75.60,100.50,129.90,74.70,104.50,125.50,68.90,101.00,129.50
2018-01-01,-120.04,49.62,77.30,102.50,150.70,59.60,106.50,119.80,62.40,96.00,138.20
2019-01-01,-120.04,49.62,75.70,107.00,133.50,84.30,106.50,129.00,85.30,104.00,131.40
2020-01-01,-120.04,49.62,84.30,103.50,126.00,89.30,108.00,128.70,85.90,108.00,129.70
2021-01-01,-120.04,49.62,97.30,120.00,136.00,73.30,99.50,126.40,86.90,104.50,135.80
2022-01-01,-120.04,49.62,86.80,108.50,133.60,82.30,101.00,119.40,72.70,115.50,140.70
2023-01-01,-120.04,49.62,78.20,102.50,133.50,88.90,109.00,118.70,89.30,109.50,131.00
2024-01-01,-120.04,49.62,70.90,107.50,127.50,77.70,108.50,136.70,91.80,111.50,127.60
2025-01-01,-120.04,49.62,71.10,109.00,130.70,70.90,112.00,120.70,104.60,118.50,136.70
2026-01-01,-120.04,49.62,91.50,111.00,133.50,78.40,114.00,135.70,51.10,112.00,142.20
2027-01-01,-120.04,49.62,82.60,99.00,135.70,86.30,112.00,132.90,79.60,118.50,143.10
2028-01-01,-120.04,49.62,88.00,103.00,134.10,87.50,110.00,139.40,88.70,118.00,139.70
2029-01-01,-120.04,49.62,98.30,113.50,133.70,94.30,114.50,137.70,96.50,113.50,145.70
2030-01-01,-120.04,49.62,88.50,114.00,140.20,94.80,118.00,133.70,85.10,110.50,139.50
2031-01-01,-120.04,49.62,79.00,102.50,125.90,79.80,115.50,138.50,85.60,107.00,141.00
2032-01-01,-120.04,49.62,96.00,111.00,142.30,86.60,110.50,132.80,73.00,109.00,130.70
2033-01-01,-120.04,49.62,85.30,116.50,138.00,89.30,114.00,141.10,100.20,121.50,137.80
2034-01-01,-120.04,49.62,89.00,106.50,142.70,96.70,116.00,130.00,97.60,118.00,142.80
2035-01-01,-120.04,49.62,93.20,120.50,135.30,99.90,117.50,141.90,96.60,120.00,137.40
2036-01-01,-120.04,49.62,85.60,121.50,144.00,87.70,114.00,140.50,89.90,123.00,145.50
2037-01-01,-120.04,49.62,85.50,107.00,129.50,85.60,119.50,154.40,99.30,125.00,149.40
2038-01-01,-120.04,49.62,85.00,106.50,134.50,87.60,102.50,134.10,92.60,115.00,152.10
2039-01-01,-120.04,49.62,97.00,117.00,135.40,96.50,112.50,136.50,92.50,119.00,136.00
2040-01-01,-120.04,49.62,97.20,122.00,141.20,90.60,118.50,145.80,105.60,117.50,143.10
2041-01-01,-120.04,49.62,85.30,122.00,143.50,98.60,119.50,145.70,102.20,126.00,155.90
2042-01-01,-120.04,49.62,87.90,108.50,135.40,87.90,120.50,142.70,101.30,129.00,159.70
2043-01-01,-120.04,49.62,74.30,111.00,143.10,96.90,116.50,140.00,103.10,137.00,156.70
2044-01-01,-120.04,49.62,96.50,119.00,139.40,99.40,120.00,147.70,112.00,127.00,159.50
2045-01-01,-120.04,49.62,73.60,114.00,138.70,97.60,125.50,151.10,99.60,131.00,166.50
2046-01-01,-120.04,49.62,102.40,130.00,141.10,100.60,117.50,144.70,103.70,124.50,154.10
2047-01-01,-120.04,49.62,94.60,118.00,141.00,92.30,129.50,145.80,106.30,131.00,147.70
2048-01-01,-120.04,49.62,86.60,120.00,140.00,99.90,114.00,142.40,105.70,129.00,161.70
2049-01-01,-120.04,49.62,85.30,109.50,148.80,103.90,131.00,148.10,102.90,136.00,158.70
2050-01-01,-120.04,49.62,94.10,116.50,148.80,109.00,125.50,144.00,101.70,119.00,145.70
2051-01-01,-120.04,49.62,84.00,113.00,134.10,92.40,118.50,143.40,95.10,132.50,165.80
2052-01-01,-120.04,49.62,95.70,114.50,146.50,101.30,134.50,153.40,119.30,144.50,164.40
2053-01-01,-120.04,49.62,81.90,118.50,150.10,95.20,116.00,152.40,106.50,141.00,166.50
2054-01-01,-120.04,49.62,93.60,125.00,140.70,95.70,126.00,150.40,108.60,133.50,167.40
2055-01-01,-120.04,49.62,84.90,123.00,144.40,102.90,126.00,143.70,117.50,143.00,167.00
2056-01-01,-120.04,49.62,94.00,114.00,143.10,91.80,122.00,144.40,108.90,138.00,156.10
2057-01-01,-120.04,49.62,100.90,119.50,139.40,86.80,110.00,151.40,120.80,148.00,172.10
2058-01-01,-120.04,49.62,82.50,112.50,147.60,110.20,135.00,159.70,115.90,129.00,174.10
2059-01-01,-120.04,49.62,80.50,105.50,148.80,101.60,125.00,157.70,114.80,141.50,174.40
2060-01-01,-120.04,49.62,84.80,121.50,144.70,104.30,119.00,154.40,119.60,142.00,167.70
2061-01-01,-120.04,49.62,98.20,122.00,139.00,106.50,129.00,146.40,130.00,152.50,171.20
2062-01-01,-120.04,49.62,80.80,108.00,137.80,102.30,125.50,147.40,116.60,141.50,175.60
2063-01-01,-120.04,49.62,97.10,124.50,143.00,97.40,125.50,160.40,103.30,140.00,164.70
2064-01-01,-120.04,49.62,81.60,110.00,139.50,96.40,128.50,152.70,103.30,139.00,175.70
2065-01-01,-120.04,49.62,94.60,109.00,144.40,99.60,134.00,154.10,113.00,140.00,167.10
2066-01-01,-120.04,49.62,84.60,121.00,142.70,108.90,136.00,153.70,120.80,148.50,178.50
2067-01-01,-120.04,49.62,99.00,111.00,146.10,101.30,130.50,153.70,127.70,151.50,180.00
2068-01-01,-120.04,49.62,93.80,114.00,144.80,109.60,132.50,147.50,127.30,142.50,188.90
