time,lat,lon,rcp26_gddgrow_5_p10,rcp26_gddgrow_5_p50,rcp26_gddgrow_5_p90,rcp45_gddgrow_5_p10,rcp45_gddgrow_5_p50,rcp45_gddgrow_5_p90,rcp85_gddgrow_5_p10,rcp85_gddgrow_5_p50,rcp85_gddgrow_5_p90
1950-01-01,49.62,-120.04,729.46,862.65,1029.63,729.46,862.65,1030.64,729.46,862.65,1028.38
1951-01-01,49.62,-120.04,677.71,867.95,1053.41,677.70,867.95,1054.75,677.70,865.81,1054.75
1952-01-01,49.62,-120.04,690.06,811.83,1039.11,690.06,809.02,1039.11,664.48,809.02,1039.11
1953-01-01,49.62,-120.04,645.61,786.10,909.20,645.61,786.02,908.70,645.60,786.02,900.23
1954-01-01,49.62,-120.04,678.80,824.62,1012.25,678.80,824.62,1012.39,678.80,810.53,1012.65
1955-01-01,49.62,-120.04,685.13,857.37,1020.86,685.01,857.37,1019.84,655.99,857.37,1020.89
1956-01-01,49.62,-120.04,654.39,844.15,951.92,654.39,846.45,951.92,654.39,844.66,951.92
1957-01-01,49.62,-120.04,607.56,824.86,1018.80,607.56,825.40,1019.06,607.56,825.40,1019.75
1958-01-01,49.62,-120.04,646.38,750.32,888.47,645.29,750.32,888.47,645.66,750.32,888.47
1959-01-01,49.62,-120.04,591.14,776.16,931.75,591.14,776.16,932.52,591.14,776.16,931.14
1960-01-01,49.62,-120.04,625.60,832.26,964.61,626.63,829.88,965.02,625.98,826.95,964.94
1961-01-01,49.62,-120.04,658.55,814.82,954.27,658.55,814.82,955.20,658.61,797.96,953.83
1962-01-01,49.62,-120.04,661.62,789.80,928.28,661.62,790.33,928.96,661.62,789.64,929.22
1963-01-01,49.62,-120.04,590.97,763.10,1003.63,590.25,762.88,1003.63,590.65,763.27,997.07
1964-01-01,49.62,-120.04,500.96,777.38,900.51,500.96,776.95,900.51,500.96,776.69,900.51
1965-01-01,49.62,-120.04,602.97,735.45,919.90,603.43,735.49,917.81,602.47,735.45,919.40
1966-01-01,49.62,-120.04,662.84,765.65,929.17,662.70,765.65,929.17,662.52,765.65,920.27
1967-01-01,49.62,-120.04,602.79,786.18,898.14,602.57,786.18,898.14,602.83,786.18,898.14
1968-01-01,49.62,-120.04,608.08,751.61,839.90,608.08,751.61,839.91,594.46,751.61,839.91
1969-01-01,49.62,-120.04,616.03,758.44,926.64,618.34,758.44,926.65,618.28,758.44,926.65
1970-01-01,49.62,-120.04,678.09,829.22,977.39,677.99,829.51,977.39,677.78,817.82,977.39
1971-01-01,49.62,-120.04,632.76,849.67,940.58,632.79,849.67,940.58,632.75,849.67,939.49
1972-01-01,49.62,-120.04,647.70,792.74,895.73,649.48,792.79,895.73,649.58,792.74,879.87
1973-01-01,49.62,-120.04,606.33,768.78,962.63,606.34,768.78,962.61,606.33,768.78,961.55
1974-01-01,49.62,-120.04,628.16,789.05,962.97,629.03,789.05,962.97,629.38,789.05,962.97
1975-01-01,49.62,-120.04,617.39,796.54,1043.72,617.39,796.54,1043.82,617.39,796.54,1043.84
1976-01-01,49.62,-120.04,722.63,896.12,969.43,721.77,895.83,969.43,695.98,896.81,969.43
1977-01-01,49.62,-120.04,658.86,837.83,1061.80,658.86,837.83,1061.79,658.86,837.83,1061.92
1978-01-01,49.62,-120.04,746.60,868.05,957.61,746.60,868.05,957.61,746.60,868.05,957.61
1979-01-01,49.62,-120.04,647.35,863.70,1070.81,647.35,863.70,1070.81,647.35,863.69,1049.38
1980-01-01,49.62,-120.04,634.70,787.53,1020.84,636.03,786.26,1025.44,634.71,783.50,1025.82
1981-01-01,49.62,-120.04,714.84,860.22,1038.34,714.80,859.53,1035.68,713.73,863.18,1037.80
1982-01-01,49.62,-120.04,664.68,799.52,957.04,663.42,798.62,956.04,663.49,791.06,957.56
1983-01-01,49.62,-120.04,640.01,802.67,924.69,639.42,802.90,922.15,638.72,801.01,921.88
1984-01-01,49.62,-120.04,698.47,832.42,1073.98,695.81,831.33,1074.57,698.46,827.05,1070.76
1985-01-01,49.62,-120.04,706.31,872.11,1002.94,707.12,869.75,1000.16,705.34,871.64,1001.84
1986-01-01,49.62,-120.04,696.99,834.02,982.49,693.26,837.74,981.00,696.14,836.48,980.59
1987-01-01,49.62,-120.04,722.36,856.08,970.95,720.43,855.58,972.46,726.18,853.94,971.75
1988-01-01,49.62,-120.04,668.46,849.14,1027.14,667.40,848.64,1025.11,669.67,847.95,1024.52
1989-01-01,49.62,-120.04,761.52,854.42,1089.64,759.18,856.58,1089.89,759.45,854.21,1076.76
1990-01-01,49.62,-120.04,672.86,853.11,1050.74,672.22,853.44,1048.83,671.06,853.48,1045.90
1991-01-01,49.62,-120.04,693.31,862.00,973.96,694.03,862.94,972.84,692.22,860.55,973.41
1992-01-01,49.62,-120.04,664.61,809.59,905.34,665.86,809.75,905.19,665.36,808.15,903.68
1993-01-01,49.62,-120.04,702.88,832.36,1025.41,701.45,832.31,1023.59,701.87,830.98,1021.90
1994-01-01,49.62,-120.04,659.50,773.30,902.15,660.38,773.05,904.66,658.99,769.89,896.97
1995-01-01,49.62,-120.04,672.24,897.33,991.23,672.84,897.74,991.81,670.50,895.75,989.84
1996-01-01,49.62,-120.04,763.71,856.13,1033.05,763.29,857.15,1029.67,763.69,851.54,1029.11
1997-01-01,49.62,-120.04,735.81,891.62,1146.76,735.22,890.18,1146.16,734.16,889.79,1139.85
1998-01-01,49.62,-120.04,769.65,946.61,1070.28,768.52,943.55,1063.12,767.94,932.34,1064.59
1999-01-01,49.62,-120.04,776.29,862.54,1043.24,776.85,861.48,1043.47,776.55,861.73,1039.82
2000-01-01,49.62,-120.04,787.59,934.05,1077.22,784.72,934.69,1077.49,781.19,933.02,1078.14
2001-01-01,49.62,-120.04,747.79,920.95,1187.87,746.31,917.65,1186.92,747.64,919.18,1184.63
2002-01-01,49.62,-120.04,845.76,1025.74,1075.76,847.86,1023.73,1073.66,846.25,1022.92,1074.47
2003-01-01,49.62,-120.04,718.82,955.26,1126.37,718.97,955.63,1126.74,718.20,951.85,1126.87
2004-01-01,49.62,-120.04,758.70,965.83,1176.23,758.82,965.35,1178.15,753.21,963.51,1180.29
2005-01-01,49.62,-120.04,827.89,930.93,1123.32,827.58,932.60,1116.70,817.87,930.77,1120.06
2006-01-01,49.62,-120.04,819.43,962.03,1090.58,785.04,974.43,1247.37,870.56,993.96,1124.32
2007-01-01,49.62,-120.04,824.20,1006.01,1144.18,819.89,952.72,1175.54,834.38,990.59,1254.00
2008-01-01,49.62,-120.04,757.48,925.46,1119.14,787.27,980.78,1123.35,740.84,1025.58,1287.72
2009-01-01,49.62,-120.04,785.62,939.79,1122.34,879.30,1034.92,1138.59,799.96,975.57,1218.17
2010-01-01,49.62,-120.04,791.48,978.83,1107.09,809.80,991.85,1218.25,851.29,961.50,1243.27
2011-01-01,49.62,-120.04,781.73,988.89,1169.57,746.40,975.42,1173.00,777.91,994.37,1077.03
2012-01-01,49.62,-120.04,853.12,1026.26,1181.40,813.05,979.83,1062.76,835.60,972.83,1142.31
2013-01-01,49.62,-120.04,835.45,957.69,1180.16,816.56,966.45,1144.76,827.68,993.09,1120.18
