time,lat,lon,rcp26_tx_max_p10,rcp26_tx_max_p50,rcp26_tx_max_p90,rcp45_tx_max_p10,rcp45_tx_max_p50,rcp45_tx_max_p90,rcp85_tx_max_p10,rcp85_tx_max_p50,rcp85_tx_max_p90
1950-01-01,49.62,-120.04,26.33,27.93,31.59,26.33,27.93,31.59,26.33,27.93,31.59
1951-01-01,49.62,-120.04,26.67,27.91,29.44,26.67,27.91,29.44,26.67,27.91,29.44
1952-01-01,49.62,-120.04,26.27,27.89,29.40,26.27,27.89,29.40,26.27,27.89,29.40
1953-01-01,49.62,-120.04,25.92,27.31,29.47,25.92,27.31,29.47,25.92,27.31,29.47
1954-01-01,49.62,-120.04,26.37,27.66,30.47,26.37,27.66,30.47,26.37,27.66,30.47
1955-01-01,49.62,-120.04,26.25,27.88,29.28,26.25,27.88,29.28,26.25,27.88,29.28
1956-01-01,49.62,-120.04,26.38,28.31,30.88,26.38,28.31,30.88,26.38,28.31,30.88
1957-01-01,49.62,-120.04,26.76,28.43,30.75,26.76,28.43,30.75,26.76,28.43,30.75
1958-01-01,49.62,-120.04,25.94,28.01,29.75,25.94,28.01,29.75,25.94,28.01,29.75
1959-01-01,49.62,-120.04,25.11,27.62,30.67,25.11,27.62,30.67,25.11,27.62,30.67
1960-01-01,49.62,-120.04,25.60,27.75,29.96,25.60,27.75,29.96,25.60,27.75,29.96
1961-01-01,49.62,-120.04,25.60,27.43,30.89,25.60,27.43,30.89,25.60,27.43,30.89
1962-01-01,49.62,-120.04,25.59,27.13,29.48,25.59,27.13,29.48,25.59,27.13,29.48
1963-01-01,49.62,-120.04,24.93,27.66,29.67,24.93,27.66,29.67,24.93,27.66,29.67
1964-01-01,49.62,-120.04,25.07,27.25,30.51,25.07,27.25,30.51,25.07,27.25,30.51
1965-01-01,49.62,-120.04,26.20,27.53,29.63,26.20,27.53,29.63,26.20,27.53,29.63
1966-01-01,49.62,-120.04,26.30,28.16,30.16,26.30,28.16,30.16,26.30,28.16,30.16
1967-01-01,49.62,-120.04,25.36,26.96,28.94,25.36,26.96,28.94,25.36,26.96,28.94
1968-01-01,49.62,-120.04,25.97,27.97,29.35,25.97,27.97,29.35,25.97,27.97,29.35
1969-01-01,49.62,-120.04,25.07,26.96,29.42,25.07,26.96,29.42,25.07,26.96,29.42
1970-01-01,49.62,-120.04,25.93,27.87,30.95,25.93,27.87,30.95,25.93,27.87,30.95
