time,lat,lon,rcp26_tg_mean_p10,rcp26_tg_mean_p50,rcp26_tg_mean_p90,rcp45_tg_mean_p10,rcp45_tg_mean_p50,rcp45_tg_mean_p90,rcp85_tg_mean_p10,rcp85_tg_mean_p50,rcp85_tg_mean_p90
1950-01-01,49.62,-120.04,1.33,2.46,3.44,1.33,2.46,3.44,1.33,2.46,3.34
1951-01-01,49.62,-120.04,1.56,2.40,3.48,1.56,2.40,3.48,1.56,2.40,3.48
1952-01-01,49.62,-120.04,1.06,2.13,2.80,1.06,2.13,2.80,1.06,2.13,2.80
1953-01-01,49.62,-120.04,1.48,1.99,3.04,1.48,1.99,3.04,1.48,1.99,3.04
1954-01-01,49.62,-120.04,1.37,1.95,3.26,1.37,1.95,3.26,1.37,1.95,3.26
1955-01-01,49.62,-120.04,0.89,2.35,3.06,0.89,2.35,3.06,0.89,2.35,3.06
1956-01-01,49.62,-120.04,1.43,2.14,2.94,1.43,2.14,2.94,1.43,2.14,2.94
1957-01-01,49.62,-120.04,1.08,1.95,3.27,1.08,1.95,3.27,1.08,1.90,3.27
1958-01-01,49.62,-120.04,1.18,1.76,2.70,1.18,1.76,2.70,1.11,1.76,2.70
1959-01-01,49.62,-120.04,1.12,1.93,2.86,1.12,1.93,2.86,1.12,1.93,2.86
1960-01-01,49.62,-120.04,0.91,2.04,2.62,0.91,2.04,2.62,0.91,2.04,2.61
1961-01-01,49.62,-120.04,1.10,2.34,3.23,1.10,2.34,3.23,1.10,2.34,3.23
1962-01-01,49.62,-120.04,1.13,2.07,3.00,1.13,2.07,3.00,1.13,2.05,3.00
1963-01-01,49.62,-120.04,1.46,2.02,3.19,1.46,2.02,3.19,1.46,2.02,3.19
1964-01-01,49.62,-120.04,0.24,1.75,2.59,0.24,1.75,2.59,0.24,1.75,2.59
1965-01-01,49.62,-120.04,1.14,1.84,2.57,1.14,1.84,2.57,0.96,1.84,2.57
1966-01-01,49.62,-120.04,0.96,1.58,2.84,0.96,1.58,2.84,0.96,1.58,2.84
1967-01-01,49.62,-120.04,0.71,2.08,2.86,0.71,2.08,2.86,0.71,2.08,2.82
1968-01-01,49.62,-120.04,0.73,1.76,2.45,0.73,1.76,2.45,0.73,1.76,2.45
1969-01-01,49.62,-120.04,1.11,1.96,3.02,1.11,1.96,3.02,1.11,1.96,3.02
1970-01-01,49.62,-120.04,0.98,2.05,3.29,0.98,2.05,3.29,0.98,2.02,3.29
1971-01-01,49.62,-120.04,1.09,2.02,3.02,1.09,2.02,3.02,1.09,2.02,3.02
1972-01-01,49.62,-120.04,0.89,1.97,2.56,0.89,1.97,2.56,0.89,1.97,2.48
1973-01-01,49.62,-120.04,0.95,2.12,3.02,0.95,2.12,3.02,0.95,2.12,3.02
1974-01-01,49.62,-120.04,0.94,2.27,3.17,0.94,2.27,3.17,0.94,2.27,3.05
