time,lon,lat,rcp26_r1mm_p10,rcp26_r1mm_p50,rcp26_r1mm_p90,rcp45_r1mm_p10,rcp45_r1mm_p50,rcp45_r1mm_p90,rcp85_r1mm_p10,rcp85_r1mm_p50,rcp85_r1mm_p90
1950-01-01,-120.04,49.62,124.00,138.50,161.60,124.00,139.00,161.60,124.00,139.00,161.60
1951-01-01,-120.04,49.62,123.30,145.00,175.50,124.60,145.00,176.20,124.60,145.00,175.50
1952-01-01,-120.04,49.62,126.30,141.00,166.10,126.30,141.00,165.80,126.30,141.00,165.80
1953-01-01,-120.04,49.62,132.50,144.50,153.70,132.50,144.50,155.10,132.50,144.50,155.10
1954-01-01,-120.04,49.62,127.20,148.50,171.50,126.90,148.50,171.50,126.90,148.50,171.50
1955-01-01,-120.04,49.62,118.60,138.50,155.90,117.20,138.50,156.20,117.20,138.50,156.20
1956-01-01,-120.04,49.62,116.60,142.50,165.50,115.90,141.50,164.80,115.90,141.00,164.80
1957-01-01,-120.04,49.62,124.20,148.00,166.80,124.20,148.00,166.80,124.20,148.00,166.80
1958-01-01,-120.04,49.62,121.90,141.00,166.90,121.90,142.00,166.60,121.90,141.00,166.60
1959-01-01,-120.04,49.62,124.50,147.00,174.00,123.60,149.00,174.00,123.60,148.00,173.40
1960-01-01,-120.04,49.62,127.90,148.50,172.80,127.20,149.50,172.80,127.20,149.50,172.80
1961-01-01,-120.04,49.62,131.20,147.00,165.50,131.20,146.00,165.50,131.20,146.50,165.50
1962-01-01,-120.04,49.62,121.80,151.50,168.70,122.10,152.00,168.70,122.40,152.00,168.70
1963-01-01,-120.04,49.62,127.60,148.50,169.90,127.60,148.50,169.90,127.60,148.50,169.90
1964-01-01,-120.04,49.62,119.70,140.00,158.40,119.70,140.00,158.10,119.40,140.50,158.10
1965-01-01,-120.04,49.62,124.90,141.50,163.00,124.60,141.50,164.40,124.90,141.50,164.40
1966-01-01,-120.04,49.62,133.00,141.00,157.40,133.00,141.50,158.80,133.30,140.50,158.10
1967-01-01,-120.04,49.62,123.00,146.50,164.50,123.00,146.50,164.50,123.00,146.50,163.80
1968-01-01,-120.04,49.62,123.30,146.50,159.00,123.30,146.50,159.00,123.60,146.50,159.00
1969-01-01,-120.04,49.62,123.20,148.50,160.00,122.60,148.00,159.00,122.60,148.00,159.00
1970-01-01,-120.04,49.62,122.70,148.00,167.40,122.00,148.00,167.40,122.00,148.00,167.40
1971-01-01,-120.04,49.62,125.60,138.00,168.20,126.60,138.00,168.20,126.00,138.00,168.20
1972-01-01,-120.04,49.62,137.00,145.50,169.20,136.30,145.00,169.20,136.30,145.50,169.20
1973-01-01,-120.04,49.62,129.40,142.50,160.40,129.40,143.00,160.40,129.40,143.00,161.00
1974-01-01,-120.04,49.62,126.80,143.50,162.70,128.20,143.50,163.00,126.80,143.50,163.00
1975-01-01,-120.04,49.62,124.20,147.50,168.70,124.20,147.50,168.00,124.20,147.50,168.00
1976-01-01,-120.04,49.62,125.60,138.50,156.80,125.30,138.50,157.10,125.60,138.50,157.10
1977-01-01,-120.04,49.62,124.90,145.00,165.00,125.60,144.50,165.00,125.30,145.00,165.00
1978-01-01,-120.04,49.62,115.60,140.00,160.00,115.90,140.00,160.00,115.90,140.00,160.00
1979-01-01,-120.04,49.62,124.30,145.00,163.90,124.30,145.00,163.90,124.30,145.00,163.30
1980-01-01,-120.04,49.62,118.50,140.50,168.70,120.00,138.50,170.10,119.20,138.50,169.30
