time,lon,lat,rcp26_frost_free_season_p10,rcp26_frost_free_season_p50,rcp26_frost_free_season_p90,rcp45_frost_free_season_p10,rcp45_frost_free_season_p50,rcp45_frost_free_season_p90,rcp85_frost_free_season_p10,rcp85_frost_free_season_p50,rcp85_frost_free_season_p90
1950-01-01,-129.71,58.96,24.70,48.00,76.80,24.70,48.00,76.80,24.70,48.00,76.80
1951-01-01,-129.71,58.96,2.10,57.00,73.50,2.10,57.00,72.30,0.00,57.00,72.30
1952-01-01,-129.71,58.96,18.30,40.50,64.50,18.30,40.50,64.50,19.00,37.00,64.50
1953-01-01,-129.71,58.96,15.00,40.50,64.70,8.80,40.50,64.70,9.40,40.50,64.70
1954-01-01,-129.71,58.96,13.30,47.00,73.70,13.30,47.00,73.70,13.30,48.00,73.70
1955-01-01,-129.71,58.96,11.20,46.50,67.00,14.60,46.50,67.00,14.60,46.50,67.00
1956-01-01,-129.71,58.96,7.40,41.50,72.80,8.60,41.50,72.80,8.60,41.50,72.80
1957-01-01,-129.71,58.96,10.80,45.00,73.10,10.80,46.00,73.10,10.80,46.00,72.50
1958-01-01,-129.71,58.96,26.30,44.00,76.20,24.60,44.00,76.50,26.30,43.50,76.20
1959-01-01,-129.71,58.96,16.60,37.50,68.20,16.60,37.50,70.90,15.30,37.50,72.10
1960-01-01,-129.71,58.96,12.50,42.50,93.00,8.90,42.50,93.00,11.30,42.50,93.00
1961-01-01,-129.71,58.96,27.30,54.00,72.70,20.30,55.00,72.70,20.30,57.00,72.70
1962-01-01,-129.71,58.96,8.90,45.00,77.40,8.90,45.00,77.40,7.30,44.50,77.40
1963-01-01,-129.71,58.96,18.30,43.00,76.00,17.30,42.00,76.00,17.30,42.00,76.00
1964-01-01,-129.71,58.96,0.00,28.00,71.40,0.00,27.50,71.40,0.00,28.00,71.40
1965-01-01,-129.71,58.96,12.20,40.00,75.60,12.20,40.00,75.60,12.20,40.00,75.60
1966-01-01,-129.71,58.96,22.80,45.50,75.20,22.80,45.50,75.20,17.50,45.50,73.70
1967-01-01,-129.71,58.96,18.00,46.50,71.10,18.00,47.00,71.10,18.00,46.50,71.10
1968-01-01,-129.71,58.96,10.20,34.00,66.60,8.30,34.00,66.60,8.30,37.00,66.60
1969-01-01,-129.71,58.96,5.10,39.50,72.70,5.10,41.00,72.70,5.10,41.00,72.70
1970-01-01,-129.71,58.96,9.30,48.50,63.10,9.30,49.00,63.10,9.30,46.50,61.00
1971-01-01,-129.71,58.96,12.20,40.50,64.50,10.30,40.50,64.50,8.90,37.50,64.50
1972-01-01,-129.71,58.96,26.50,48.00,60.00,26.50,46.50,60.00,18.70,46.50,60.00
1973-01-01,-129.71,58.96,14.40,45.00,70.70,14.40,45.50,70.70,14.40,45.00,71.70
1974-01-01,-129.71,58.96,29.20,47.50,73.00,25.90,47.50,72.30,25.90,47.50,68.10
1975-01-01,-129.71,58.96,25.50,53.50,80.00,25.50,53.50,80.00,25.50,53.50,79.70
1976-01-01,-129.71,58.96,11.20,38.00,70.00,11.50,38.50,70.00,11.50,39.50,70.00
1977-01-01,-129.71,58.96,21.10,52.50,72.80,21.10,52.50,72.80,21.10,52.50,72.80
1978-01-01,-129.71,58.96,9.00,49.00,75.70,9.00,49.00,75.70,9.00,49.00,75.70
1979-01-01,-129.71,58.96,21.60,48.50,66.80,9.70,48.00,67.70,9.70,48.00,66.80
1980-01-01,-129.71,58.96,16.30,60.50,71.70,16.30,60.50,74.80,15.10,60.50,74.80
1981-01-01,-129.71,58.96,20.30,49.00,71.00,20.30,49.00,71.00,19.60,49.00,72.40
1982-01-01,-129.71,58.96,13.20,49.50,69.70,14.60,48.50,69.70,14.60,48.50,69.70
1983-01-01,-129.71,58.96,9.90,47.00,78.40,9.90,46.50,82.50,9.90,48.50,78.40
1984-01-01,-129.71,58.96,23.30,41.50,71.10,23.30,44.00,71.10,20.50,44.00,71.10
1985-01-01,-129.71,58.96,8.10,44.00,64.40,8.10,44.00,64.40,8.10,44.00,64.40
1986-01-01,-129.71,58.96,21.00,52.00,68.10,18.00,52.00,68.10,19.80,52.00,68.10
1987-01-01,-129.71,58.96,26.20,47.50,67.30,26.20,48.50,67.00,26.20,48.00,67.30
1988-01-01,-129.71,58.96,36.50,54.00,80.10,21.00,57.00,78.00,27.30,55.50,78.00
1989-01-01,-129.71,58.96,10.30,51.50,71.60,10.00,51.50,71.60,10.00,51.00,71.60
1990-01-01,-129.71,58.96,36.20,64.00,87.30,22.90,61.00,87.30,28.00,63.50,87.30
1991-01-01,-129.71,58.96,23.30,52.00,76.00,23.30,54.00,76.00,23.30,54.50,76.00
1992-01-01,-129.71,58.96,9.20,41.00,75.30,12.30,37.50,68.70,9.20,37.00,75.30
1993-01-01,-129.71,58.96,25.00,55.00,85.40,25.00,51.00,83.10,19.40,55.00,83.10
1994-01-01,-129.71,58.96,31.00,53.50,73.70,32.00,53.50,73.40,31.30,53.50,72.70
1995-01-01,-129.71,58.96,23.00,46.50,80.50,23.00,50.50,80.50,21.30,47.50,80.50
1996-01-01,-129.71,58.96,13.20,45.00,74.70,13.20,44.00,74.70,13.20,44.50,73.10
1997-01-01,-129.71,58.96,39.60,55.50,76.10,37.60,54.00,76.10,37.30,55.50,76.10
1998-01-01,-129.71,58.96,26.60,53.50,80.80,26.00,53.00,80.80,26.00,56.00,80.80
1999-01-01,-129.71,58.96,42.60,67.50,80.70,42.60,65.00,80.70,42.60,65.50,80.70
2000-01-01,-129.71,58.96,39.60,61.00,80.50,39.60,63.00,84.90,39.60,64.50,85.80
2001-01-01,-129.71,58.96,34.60,66.00,81.10,34.60,66.00,84.10,34.60,66.00,84.10
2002-01-01,-129.71,58.96,32.20,64.50,83.70,31.60,69.00,88.70,31.60,64.50,83.40
2003-01-01,-129.71,58.96,32.90,67.00,89.20,32.60,67.00,89.50,35.50,67.00,89.50
2004-01-01,-129.71,58.96,40.70,67.00,86.30,43.50,69.50,86.30,43.50,69.50,86.30
2005-01-01,-129.71,58.96,29.00,68.00,85.00,31.40,66.00,97.00,31.60,63.50,95.50
2006-01-01,-129.71,58.96,18.30,57.00,86.10,47.90,62.50,83.70,47.00,62.00,82.70
2007-01-01,-129.71,58.96,38.80,72.00,88.40,30.90,58.00,87.40,42.00,66.50,92.40
2008-01-01,-129.71,58.96,11.10,71.50,91.80,43.30,59.00,82.20,30.50,67.00,92.10
2009-01-01,-129.71,58.96,18.60,66.50,94.90,41.80,75.00,96.70,28.60,66.50,96.90
2010-01-01,-129.71,58.96,47.10,72.50,90.70,42.00,67.50,94.40,24.00,68.00,94.70
2011-01-01,-129.71,58.96,35.70,66.00,98.70,36.50,71.00,102.70,46.70,73.00,94.40
2012-01-01,-129.71,58.96,46.60,67.00,91.90,37.90,66.00,88.40,27.20,59.00,87.80
