time,lat,lon,rcp26_gddgrow_10_p10,rcp26_gddgrow_10_p50,rcp26_gddgrow_10_p90,rcp45_gddgrow_10_p10,rcp45_gddgrow_10_p50,rcp45_gddgrow_10_p90,rcp85_gddgrow_10_p10,rcp85_gddgrow_10_p50,rcp85_gddgrow_10_p90
1950-01-01,58.96,-129.71,23.68,58.05,162.37,23.06,58.05,162.38,24.53,58.05,158.35
1951-01-01,58.96,-129.71,37.85,70.77,156.63,37.85,70.31,156.63,35.84,70.31,156.63
1952-01-01,58.96,-129.71,29.51,68.08,125.44,29.62,68.99,125.44,29.29,68.99,125.44
1953-01-01,58.96,-129.71,9.75,45.69,93.11,9.75,45.53,93.10,9.75,46.78,93.10
1954-01-01,58.96,-129.71,24.70,53.14,118.49,24.52,53.49,118.49,24.43,53.65,118.49
1955-01-01,58.96,-129.71,31.58,50.56,101.67,33.34,50.27,101.67,33.34,50.62,101.67
1956-01-01,58.96,-129.71,9.28,62.64,100.03,9.66,62.29,100.03,9.66,60.33,100.03
1957-01-01,58.96,-129.71,21.49,60.30,162.33,21.56,60.58,162.32,21.56,60.58,162.33
1958-01-01,58.96,-129.71,21.99,52.55,140.48,22.09,52.59,140.48,21.77,51.77,140.48
1959-01-01,58.96,-129.71,27.58,62.09,136.51,27.58,62.30,136.51,27.58,62.47,136.51
1960-01-01,58.96,-129.71,33.87,72.92,138.88,32.77,72.90,138.88,33.20,72.33,138.88
1961-01-01,58.96,-129.71,32.40,70.05,134.95,32.42,70.05,134.95,32.26,70.05,134.95
1962-01-01,58.96,-129.71,10.52,64.65,106.22,10.57,63.47,106.21,10.99,63.47,101.40
1963-01-01,58.96,-129.71,20.05,60.52,91.61,20.81,59.61,91.61,20.81,60.27,91.61
1964-01-01,58.96,-129.71,10.32,51.19,136.03,9.62,51.44,133.75,9.62,51.76,133.98
1965-01-01,58.96,-129.71,23.82,37.11,102.15,24.71,37.11,102.15,24.71,37.11,102.15
1966-01-01,58.96,-129.71,20.40,49.45,136.03,20.40,49.44,136.03,20.40,49.44,134.16
1967-01-01,58.96,-129.71,27.04,60.23,108.36,27.12,60.23,108.36,26.51,60.23,108.36
1968-01-01,58.96,-129.71,14.16,60.67,90.54,14.78,60.66,90.76,14.04,60.66,90.63
1969-01-01,58.96,-129.71,12.80,39.18,126.53,12.98,39.31,126.53,12.98,40.06,126.53
1970-01-01,58.96,-129.71,31.69,49.57,129.27,32.12,49.57,129.27,31.31,49.57,129.27
1971-01-01,58.96,-129.71,22.33,55.30,111.94,20.60,55.30,111.98,21.06,55.30,112.05
1972-01-01,58.96,-129.71,33.68,51.32,113.49,33.68,50.95,113.49,33.68,51.15,113.49
1973-01-01,58.96,-129.71,19.60,57.37,120.57,19.60,57.49,120.57,19.60,56.98,115.28
1974-01-01,58.96,-129.71,23.80,60.81,91.36,23.49,60.58,91.36,23.80,60.48,91.36
1975-01-01,58.96,-129.71,15.87,75.67,221.93,15.87,74.00,222.00,15.87,74.67,221.35
1976-01-01,58.96,-129.71,21.76,50.96,128.48,21.76,51.14,128.67,19.32,50.65,128.99
1977-01-01,58.96,-129.71,26.01,59.09,103.11,26.13,59.54,103.10,26.21,59.61,100.06
1978-01-01,58.96,-129.71,30.99,65.41,140.46,30.99,65.41,140.38,30.99,65.41,140.59
1979-01-01,58.96,-129.71,32.88,69.37,103.81,32.88,68.24,104.56,32.84,67.78,104.56
1980-01-01,58.96,-129.71,14.42,54.86,134.38,14.31,54.05,133.89,14.89,52.54,133.70
1981-01-01,58.96,-129.71,17.63,59.71,94.86,18.16,59.36,95.58,18.45,59.37,96.22
1982-01-01,58.96,-129.71,14.01,48.21,105.55,13.24,50.21,105.48,14.23,50.89,105.93
1983-01-01,58.96,-129.71,13.28,64.56,123.82,13.20,63.61,124.06,13.66,63.69,125.32
1984-01-01,58.96,-129.71,33.41,55.73,126.96,31.83,56.73,126.48,31.97,54.20,125.44
1985-01-01,58.96,-129.71,11.76,57.90,139.76,12.11,57.38,139.67,12.28,57.39,133.61
1986-01-01,58.96,-129.71,16.61,80.38,133.41,16.01,79.83,132.82,16.71,80.35,127.70
1987-01-01,58.96,-129.71,20.03,59.25,135.98,20.42,59.43,136.02,20.45,60.10,136.72
1988-01-01,58.96,-129.71,33.60,60.37,110.07,34.20,61.73,112.14,33.67,60.91,112.18
1989-01-01,58.96,-129.71,21.44,67.52,127.97,21.89,67.11,126.81,21.93,67.27,129.43
1990-01-01,58.96,-129.71,30.94,62.08,148.31,29.55,61.87,147.87,30.79,61.07,146.76
1991-01-01,58.96,-129.71,28.51,87.43,137.86,27.57,87.40,137.71,27.52,85.51,138.84
1992-01-01,58.96,-129.71,14.27,55.05,104.19,14.82,54.22,103.46,14.98,55.62,103.33
1993-01-01,58.96,-129.71,36.03,81.34,163.03,35.10,82.06,163.31,36.11,81.88,162.52
1994-01-01,58.96,-129.71,28.24,56.28,120.25,29.06,55.98,121.39,29.15,55.01,121.93
1995-01-01,58.96,-129.71,32.69,57.51,115.29,32.98,56.56,112.09,32.44,57.75,114.06
1996-01-01,58.96,-129.71,27.03,48.60,201.61,26.77,48.64,203.01,26.63,49.36,202.90
1997-01-01,58.96,-129.71,24.37,78.56,176.38,23.87,80.00,181.98,23.69,79.90,181.01
1998-01-01,58.96,-129.71,31.12,73.75,151.82,30.82,74.57,149.56,29.73,74.85,150.71
1999-01-01,58.96,-129.71,44.33,96.99,155.68,45.33,96.04,154.99,45.06,94.25,155.01
2000-01-01,58.96,-129.71,36.55,80.29,188.03,36.94,80.80,190.17,37.02,81.15,190.09
2001-01-01,58.96,-129.71,66.85,93.41,163.97,67.28,93.59,164.73,66.97,91.54,166.60
2002-01-01,58.96,-129.71,54.09,93.41,144.09,54.24,93.22,145.29,53.88,94.03,143.72
2003-01-01,58.96,-129.71,36.58,98.48,155.60,36.87,98.16,154.83,36.95,98.63,153.85
2004-01-01,58.96,-129.71,31.88,102.13,150.91,30.64,102.24,150.88,32.15,101.62,151.90
2005-01-01,58.96,-129.71,52.25,84.69,148.67,51.94,84.59,148.32,52.21,84.30,143.71
2006-01-01,58.96,-129.71,32.81,80.10,172.99,56.13,106.54,182.02,46.16,75.05,152.21
2007-01-01,58.96,-129.71,54.88,102.31,210.17,36.91,86.27,158.75,47.51,90.56,184.67
2008-01-01,58.96,-129.71,33.83,85.15,142.63,31.67,83.73,191.40,38.24,110.55,155.81
