time,lat,lon,rcp26_rx5day_p10,rcp26_rx5day_p50,rcp26_rx5day_p90,rcp45_rx5day_p10,rcp45_rx5day_p50,rcp45_rx5day_p90,rcp85_rx5day_p10,rcp85_rx5day_p50,rcp85_rx5day_p90
1950-01-01,58.96,-129.71,32.00,42.69,63.06,33.73,42.69,67.20,33.01,42.69,67.39
1951-01-01,58.96,-129.71,31.89,40.53,57.59,31.86,40.19,57.16,30.95,39.34,57.16
1952-01-01,58.96,-129.71,33.04,40.21,61.83,32.48,40.29,61.83,33.12,41.46,61.83
1953-01-01,58.96,-129.71,33.76,38.97,53.62,32.45,39.01,53.57,33.40,39.01,53.62
1954-01-01,58.96,-129.71,30.41,40.16,58.80,30.42,40.16,57.23,30.42,40.16,57.08
1955-01-01,58.96,-129.71,31.09,41.44,57.06,32.95,41.57,57.03,33.23,41.70,57.03
1956-01-01,58.96,-129.71,33.68,40.84,51.51,33.68,41.05,51.51,33.68,42.12,51.51
1957-01-01,58.96,-129.71,28.99,38.30,48.70,29.15,38.30,48.95,30.24,37.78,48.95
1958-01-01,58.96,-129.71,32.54,40.16,54.11,32.39,40.63,53.26,32.39,39.91,55.63
1959-01-01,58.96,-129.71,33.08,41.66,56.17,33.14,42.22,56.17,32.67,41.97,56.17
1960-01-01,58.96,-129.71,31.00,36.62,50.41,32.19,36.44,50.41,32.01,36.94,49.01
1961-01-01,58.96,-129.71,31.10,39.46,63.65,31.83,40.45,63.65,31.80,38.35,63.65
1962-01-01,58.96,-129.71,29.00,40.96,51.86,28.63,40.96,51.76,29.00,40.96,55.40
1963-01-01,58.96,-129.71,30.84,39.21,49.93,31.06,38.49,50.01,30.95,37.99,50.01
1964-01-01,58.96,-129.71,31.45,40.45,62.52,31.73,40.45,62.52,32.27,40.45,62.52
1965-01-01,58.96,-129.71,34.65,38.46,48.24,34.65,37.21,49.27,33.70,37.81,50.27
1966-01-01,58.96,-129.71,31.83,39.96,58.71,31.71,39.96,58.32,31.75,39.96,58.10
1967-01-01,58.96,-129.71,27.91,42.05,60.83,28.31,42.72,60.94,27.63,42.14,63.42
1968-01-01,58.96,-129.71,32.52,40.27,50.04,31.67,39.80,50.04,31.85,39.80,49.95
1969-01-01,58.96,-129.71,34.72,40.37,53.77,33.89,40.37,54.30,32.92,40.74,53.71
1970-01-01,58.96,-129.71,32.80,43.30,62.89,32.47,42.54,62.89,32.84,42.54,62.89
1971-01-01,58.96,-129.71,30.00,36.01,62.58,30.00,36.04,62.59,30.00,35.15,62.59
1972-01-01,58.96,-129.71,31.19,38.11,47.77,32.08,37.24,47.77,30.99,38.11,47.77
1973-01-01,58.96,-129.71,32.88,37.37,53.65,32.56,37.30,53.64,33.65,38.25,53.64
1974-01-01,58.96,-129.71,32.66,41.28,52.98,32.51,41.98,53.04,31.61,41.40,46.60
1975-01-01,58.96,-129.71,28.80,40.91,54.13,28.80,41.63,54.13,28.80,40.63,52.58
1976-01-01,58.96,-129.71,30.39,38.08,47.60,30.43,39.34,47.60,30.43,39.36,46.07
1977-01-01,58.96,-129.71,30.72,43.13,61.21,30.35,43.78,61.39,30.49,44.42,61.69
1978-01-01,58.96,-129.71,33.49,39.94,56.62,33.20,38.95,53.64,33.20,38.79,53.64
1979-01-01,58.96,-129.71,28.67,39.24,55.01,28.67,40.78,56.59,32.16,40.50,58.93
1980-01-01,58.96,-129.71,30.27,38.62,53.93,29.46,37.85,55.41,29.06,39.43,55.74
1981-01-01,58.96,-129.71,31.07,36.96,52.35,29.34,36.91,52.13,29.30,36.98,49.54
1982-01-01,58.96,-129.71,31.32,36.63,50.09,31.45,36.36,50.04,30.64,36.57,50.64
1983-01-01,58.96,-129.71,27.16,39.41,61.80,29.45,39.83,62.82,27.13,39.53,63.81
1984-01-01,58.96,-129.71,30.06,41.01,57.50,30.18,40.34,61.04,30.15,42.40,57.04
1985-01-01,58.96,-129.71,31.97,38.92,61.70,32.44,39.15,61.81,32.35,37.96,64.33
1986-01-01,58.96,-129.71,28.32,38.71,58.46,28.23,38.90,58.40,28.25,40.05,60.75
1987-01-01,58.96,-129.71,31.45,37.44,51.31,28.70,37.21,48.27,28.64,37.20,49.69
1988-01-01,58.96,-129.71,34.94,45.34,55.26,33.65,44.91,53.45,33.01,45.04,53.31
1989-01-01,58.96,-129.71,36.91,40.11,54.81,36.08,40.89,55.90,34.35,40.05,57.00
1990-01-01,58.96,-129.71,32.22,37.78,54.61,30.62,37.71,54.59,31.79,38.37,52.89
1991-01-01,58.96,-129.71,29.98,38.29,55.95,30.19,38.13,59.17,30.77,38.10,59.00
