time,lon,lat,rcp26_cdd_p10,rcp26_cdd_p50,rcp26_cdd_p90,rcp45_cdd_p10,rcp45_cdd_p50,rcp45_cdd_p90,rcp85_cdd_p10,rcp85_cdd_p50,rcp85_cdd_p90
1950-01-01,-129.71,58.96,12.00,16.00,30.10,11.30,16.00,29.80,11.30,16.00,29.80
1951-01-01,-129.71,58.96,12.00,17.00,20.70,12.00,17.00,20.70,12.00,17.00,20.70
1952-01-01,-129.71,58.96,12.00,16.00,23.80,12.00,16.00,23.80,11.30,16.00,25.00
1953-01-01,-129.71,58.96,13.00,16.00,21.00,13.00,17.00,21.00,13.00,16.50,21.00
1954-01-01,-129.71,58.96,12.00,18.50,26.40,12.00,18.00,26.40,12.00,18.00,26.40
1955-01-01,-129.71,58.96,12.30,17.00,28.60,12.30,17.00,28.30,12.30,16.50,28.30
1956-01-01,-129.71,58.96,11.30,14.50,26.00,11.30,16.00,26.00,11.30,14.50,26.00
1957-01-01,-129.71,58.96,13.00,17.50,28.70,13.00,17.50,28.70,13.00,18.00,28.70
1958-01-01,-129.71,58.96,11.30,15.50,28.10,11.30,15.00,27.20,11.00,16.50,27.20
1959-01-01,-129.71,58.96,13.30,19.50,28.80,14.30,20.00,31.20,12.60,20.00,28.80
1960-01-01,-129.71,58.96,10.30,17.50,26.70,10.30,18.00,25.70,11.60,17.50,25.00
1961-01-01,-129.71,58.96,12.30,16.00,23.40,12.30,16.50,22.00,12.30,16.50,22.00
1962-01-01,-129.71,58.96,11.00,16.00,24.40,11.00,16.50,24.40,11.00,16.00,24.40
1963-01-01,-129.71,58.96,9.60,16.00,27.00,11.00,16.00,27.00,11.00,16.00,26.10
1964-01-01,-129.71,58.96,13.00,15.00,22.00,13.00,15.00,22.00,13.00,15.50,22.00
1965-01-01,-129.71,58.96,12.00,16.00,25.00,12.00,16.00,25.00,12.30,19.50,25.00
1966-01-01,-129.71,58.96,13.00,16.50,24.00,13.00,17.00,24.00,12.30,18.50,24.70
1967-01-01,-129.71,58.96,12.00,14.50,20.70,12.00,14.50,20.70,11.30,15.50,20.70
1968-01-01,-129.71,58.96,12.60,18.50,29.10,14.30,20.00,29.10,14.30,20.00,29.10
1969-01-01,-129.71,58.96,12.30,16.00,24.40,13.00,16.00,24.40,12.30,15.50,24.40
1970-01-01,-129.71,58.96,13.00,17.50,22.00,13.00,18.00,23.40,13.30,18.00,23.40
1971-01-01,-129.71,58.96,10.90,17.00,22.40,10.90,17.00,22.10,10.90,17.00,23.00
1972-01-01,-129.71,58.96,11.00,16.00,25.70,11.00,16.00,25.70,11.00,16.00,25.70
1973-01-01,-129.71,58.96,12.00,17.00,22.00,12.00,17.00,22.00,12.00,16.50,22.00
1974-01-01,-129.71,58.96,12.00,16.50,30.10,12.00,15.50,30.10,12.30,16.50,30.10
1975-01-01,-129.71,58.96,11.60,16.50,22.70,11.60,16.00,22.70,11.30,16.50,22.00
1976-01-01,-129.71,58.96,12.00,17.00,21.00,12.30,17.00,21.00,12.00,17.00,21.00
1977-01-01,-129.71,58.96,13.30,18.00,25.00,13.30,18.00,25.00,14.00,18.00,25.00
1978-01-01,-129.71,58.96,11.30,15.50,23.70,11.30,16.50,23.70,11.30,18.50,24.70
1979-01-01,-129.71,58.96,11.00,14.00,24.10,11.00,14.00,24.70,11.00,14.50,24.10
1980-01-01,-129.71,58.96,12.30,17.00,25.40,12.30,17.00,25.40,12.60,18.00,25.40
1981-01-01,-129.71,58.96,11.30,18.00,25.00,11.30,18.00,25.00,11.30,17.50,24.00
1982-01-01,-129.71,58.96,14.00,18.50,28.40,14.00,18.00,29.10,14.00,19.00,29.10
1983-01-01,-129.71,58.96,11.90,19.00,31.50,11.60,19.00,31.50,13.00,19.00,31.50
1984-01-01,-129.71,58.96,12.30,14.50,23.70,12.30,14.50,23.70,12.30,16.00,23.70
1985-01-01,-129.71,58.96,12.00,16.50,26.50,12.00,18.00,26.50,12.00,17.50,28.70
1986-01-01,-129.71,58.96,11.00,17.00,22.40,11.00,17.00,22.40,11.30,16.50,22.70
1987-01-01,-129.71,58.96,12.30,18.50,26.80,12.30,19.00,26.80,12.30,18.00,26.80
1988-01-01,-129.71,58.96,12.30,16.50,20.00,12.30,16.50,21.40,11.30,17.00,20.00
1989-01-01,-129.71,58.96,12.30,15.00,22.40,12.30,15.00,22.40,12.30,14.50,23.00
1990-01-01,-129.71,58.96,13.30,19.00,30.40,13.30,18.00,28.70,12.30,18.00,30.40
1991-01-01,-129.71,58.96,11.00,16.00,24.70,11.00,16.00,25.40,11.00,16.50,25.40
1992-01-01,-129.71,58.96,12.00,16.50,28.00,12.00,16.50,28.00,11.30,15.50,28.00
1993-01-01,-129.71,58.96,11.30,16.50,29.70,11.30,16.50,29.70,11.30,17.00,30.00
1994-01-01,-129.71,58.96,12.30,17.50,22.40,12.30,17.00,25.50,12.00,17.50,25.50
1995-01-01,-129.71,58.96,10.60,17.00,26.70,10.60,17.00,26.70,12.30,17.00,24.80
1996-01-01,-129.71,58.96,13.30,17.00,25.70,13.00,17.00,24.80,13.00,16.50,22.70
1997-01-01,-129.71,58.96,11.30,17.50,22.40,11.30,17.50,21.00,12.00,17.50,21.00
1998-01-01,-129.71,58.96,11.60,16.00,22.80,13.00,16.00,27.50,13.00,16.00,24.40
1999-01-01,-129.71,58.96,11.00,14.50,22.70,11.30,14.50,22.70,12.00,14.50,22.00
2000-01-01,-129.71,58.96,11.30,16.00,21.00,12.30,18.00,20.70,11.60,18.50,21.00
2001-01-01,-129.71,58.96,12.00,18.00,29.80,12.30,18.00,30.80,12.60,18.00,27.70
2002-01-01,-129.71,58.96,11.90,18.00,22.40,14.00,18.00,22.70,14.00,18.00,22.40
2003-01-01,-129.71,58.96,11.30,15.00,20.00,11.30,14.50,19.70,11.30,15.00,22.10
2004-01-01,-129.71,58.96,13.30,16.00,24.00,13.60,16.00,24.00,11.60,16.00,24.00
2005-01-01,-129.71,58.96,10.30,15.00,20.40,11.00,15.00,20.40,10.00,15.50,20.70
2006-01-01,-129.71,58.96,13.00,17.50,25.70,13.00,18.00,26.10,10.30,15.50,21.80
2007-01-01,-129.71,58.96,11.30,16.50,25.00,12.00,18.50,24.00,12.00,16.00,24.00
2008-01-01,-129.71,58.96,12.30,16.00,23.70,13.00,18.50,23.00,12.00,16.50,23.00
2009-01-01,-129.71,58.96,12.00,16.00,23.40,12.00,17.50,22.70,13.00,17.50,23.70
2010-01-01,-129.71,58.96,12.30,17.00,25.00,12.00,18.00,23.40,13.00,15.00,22.40
2011-01-01,-129.71,58.96,12.00,18.00,24.70,12.00,16.00,23.70,12.00,16.50,26.50
2012-01-01,-129.71,58.96,13.00,15.00,23.40,11.30,15.50,23.40,13.30,17.00,27.40
2013-01-01,-129.71,58.96,11.00,15.50,28.10,12.00,17.00,23.80,13.00,18.00,28.90
2014-01-01,-129.71,58.96,11.00,16.00,23.40,12.30,16.50,25.00,12.30,16.50,26.80
2015-01-01,-129.71,58.96,11.60,18.00,29.70,14.00,17.00,23.40,15.00,18.00,27.40
2016-01-01,-129.71,58.96,11.30,15.00,29.10,14.30,19.50,26.70,14.00,18.00,25.80
2017-01-01,-129.71,58.96,12.00,16.50,22.70,11.30,17.00,28.10,12.30,17.00,22.00
2018-01-01,-129.71,58.96,14.00,16.50,25.40,13.00,16.00,32.10,11.30,15.00,24.10
2019-01-01,-129.71,58.96,12.30,17.50,24.00,11.30,16.50,25.70,12.30,17.50,24.70
2020-01-01,-129.71,58.96,12.30,16.50,23.10,13.00,18.50,27.70,10.30,15.00,20.70
2021-01-01,-129.71,58.96,12.00,17.00,26.10,11.50,17.00,22.70,13.00,19.00,25.40
2022-01-01,-129.71,58.96,11.00,17.00,24.10,15.00,18.00,26.50,11.00,14.00,24.70
2023-01-01,-129.71,58.96,13.00,17.50,34.40,13.00,15.50,24.20,11.30,16.00,29.20
2024-01-01,-129.71,58.96,11.30,18.00,28.70,12.00,17.00,25.40,12.30,16.00,29.10
2025-01-01,-129.71,58.96,12.00,13.50,24.10,12.30,17.50,27.40,12.30,16.50,23.70
2026-01-01,-129.71,58.96,13.00,17.00,24.40,14.00,16.50,22.70,13.00,17.00,24.00
2027-01-01,-129.71,58.96,12.00,17.00,22.70,10.30,16.50,26.00,10.30,16.50,26.50
2028-01-01,-129.71,58.96,11.30,15.50,23.00,13.30,18.00,25.80,11.00,15.50,21.00
2029-01-01,-129.71,58.96,11.30,17.00,26.50,11.60,16.50,27.80,11.30,16.00,27.10
2030-01-01,-129.71,58.96,12.30,17.00,22.00,14.00,17.00,22.70,11.00,15.50,19.40
2031-01-01,-129.71,58.96,11.30,16.50,26.10,13.60,17.50,32.00,12.30,17.50,23.70
2032-01-01,-129.71,58.96,12.00,17.50,30.40,11.00,16.00,21.70,12.00,17.00,23.70
2033-01-01,-129.71,58.96,11.30,16.50,27.00,11.00,15.50,22.00,11.30,16.00,24.70
2034-01-01,-129.71,58.96,10.60,16.50,23.00,12.00,15.00,21.10,11.00,17.00,25.70
2035-01-01,-129.71,58.96,12.30,16.00,25.50,11.30,17.00,26.40,12.30,17.00,25.00
2036-01-01,-129.71,58.96,12.00,16.00,22.00,12.00,16.00,23.80,10.60,16.50,21.70
2037-01-01,-129.71,58.96,12.00,16.00,22.40,11.00,17.00,26.80,11.00,15.00,24.70
2038-01-01,-129.71,58.96,11.00,17.00,29.00,13.30,18.00,23.40,12.30,18.50,23.00
2039-01-01,-129.71,58.96,13.00,18.00,25.40,12.30,16.50,22.40,11.30,17.00,23.80
2040-01-01,-129.71,58.96,12.00,17.00,23.70,11.00,17.00,24.50,11.30,16.50,24.20
2041-01-01,-129.71,58.96,13.00,15.50,24.70,12.30,16.00,22.70,11.00,17.00,26.00
2042-01-01,-129.71,58.96,12.60,19.00,27.10,10.30,16.00,24.70,13.00,16.50,23.10
2043-01-01,-129.71,58.96,12.30,16.00,26.20,10.60,14.50,27.70,10.00,17.00,27.80
2044-01-01,-129.71,58.96,12.00,18.50,22.70,12.30,17.00,23.00,11.30,18.00,24.40
2045-01-01,-129.71,58.96,11.30,16.50,22.70,12.00,17.00,22.10,13.00,15.50,22.10
2046-01-01,-129.71,58.96,12.60,18.00,23.70,12.00,15.00,23.70,12.30,17.00,22.40
2047-01-01,-129.71,58.96,12.00,15.00,21.00,11.30,15.50,20.70,11.00,14.00,22.00
2048-01-01,-129.71,58.96,12.30,17.00,25.50,12.30,18.00,28.70,12.00,17.50,26.00
2049-01-01,-129.71,58.96,12.30,16.00,24.70,11.30,17.00,23.10,10.30,15.50,26.00
2050-01-01,-129.71,58.96,11.30,17.50,21.70,13.00,17.50,20.70,10.30,18.00,25.10
2051-01-01,-129.71,58.96,10.30,14.00,18.00,13.30,17.00,24.80,10.00,16.00,23.00
2052-01-01,-129.71,58.96,12.30,17.50,24.40,10.30,15.00,20.70,10.60,17.00,23.70
2053-01-01,-129.71,58.96,12.30,16.50,23.80,12.30,17.00,23.70,11.30,15.50,19.00
2054-01-01,-129.71,58.96,13.00,16.50,22.70,10.30,14.50,22.70,11.30,16.50,28.80
2055-01-01,-129.71,58.96,13.00,16.00,21.00,11.30,17.50,24.40,9.60,14.00,23.00
2056-01-01,-129.71,58.96,11.30,20.00,28.80,11.00,16.00,25.40,12.00,15.00,19.70
2057-01-01,-129.71,58.96,11.30,16.50,22.00,10.00,15.50,24.00,12.00,16.50,24.00
2058-01-01,-129.71,58.96,11.30,15.00,23.10,12.30,15.00,20.40,9.30,16.00,24.80
2059-01-01,-129.71,58.96,10.60,16.50,24.70,12.30,17.00,25.00,11.30,18.00,22.40
2060-01-01,-129.71,58.96,14.00,18.50,23.00,13.00,17.00,23.70,12.30,17.00,29.40
2061-01-01,-129.71,58.96,12.30,16.00,25.10,12.00,15.50,20.00,13.00,15.00,23.10
2062-01-01,-129.71,58.96,10.30,14.00,25.70,13.00,17.00,22.40,14.30,19.00,29.50
2063-01-01,-129.71,58.96,12.00,16.00,24.40,10.30,16.50,32.70,12.00,15.50,23.70
2064-01-01,-129.71,58.96,13.30,17.00,29.80,11.00,14.50,22.70,11.00,15.50,24.00
2065-01-01,-129.71,58.96,12.00,16.00,23.40,13.00,17.00,26.40,12.00,15.00,25.80
2066-01-01,-129.71,58.96,12.00,16.50,21.70,11.60,18.00,24.40,12.00,16.00,24.20
2067-01-01,-129.71,58.96,13.00,18.50,27.70,11.30,15.00,21.70,11.30,16.00,26.10
2068-01-01,-129.71,58.96,12.00,17.00,23.40,9.90,17.00,26.70,10.30,15.00,22.00
2069-01-01,-129.71,58.96,12.00,16.00,22.70,12.00,16.00,22.40,10.00,15.50,26.00
