time,lat,lon,rcp26_tx_mean_p10,rcp26_tx_mean_p50,rcp26_tx_mean_p90,rcp45_tx_mean_p10,rcp45_tx_mean_p50,rcp45_tx_mean_p90,rcp85_tx_mean_p10,rcp85_tx_mean_p50,rcp85_tx_mean_p90
1950-01-01,58.96,-129.71,-0.35,1.12,2.63,-0.35,1.12,2.63,-0.35,1.12,2.63
1951-01-01,58.96,-129.71,-0.20,1.42,2.76,-0.20,1.42,2.76,-0.20,1.42,2.76
1952-01-01,58.96,-129.71,-0.79,0.38,2.73,-0.79,0.38,2.73,-0.79,0.38,2.73
1953-01-01,58.96,-129.71,-1.08,0.86,2.28,-1.08,0.86,2.28,-1.08,0.86,2.28
1954-01-01,58.96,-129.71,-0.15,1.11,2.30,-0.15,1.11,2.30,-0.15,1.11,2.30
1955-01-01,58.96,-129.71,-0.60,0.39,2.13,-0.60,0.39,2.13,-0.60,0.39,2.13
1956-01-01,58.96,-129.71,-0.55,1.11,2.26,-0.55,1.11,2.26,-0.55,1.11,2.26
1957-01-01,58.96,-129.71,-0.92,0.65,2.45,-0.92,0.65,2.45,-0.92,0.65,2.45
1958-01-01,58.96,-129.71,-0.04,0.93,2.33,-0.04,0.93,2.33,-0.04,0.93,2.33
1959-01-01,58.96,-129.71,-0.63,1.13,2.56,-0.63,1.13,2.56,-0.61,1.13,2.56
1960-01-01,58.96,-129.71,-0.41,0.56,2.58,-0.41,0.56,2.58,-0.41,0.56,2.58
1961-01-01,58.96,-129.71,-0.57,1.37,2.58,-0.57,1.37,2.58,-0.57,1.37,2.58
1962-01-01,58.96,-129.71,-0.52,0.54,2.34,-0.52,0.54,2.34,-0.52,0.54,2.34
1963-01-01,58.96,-129.71,-0.29,0.69,1.48,-0.29,0.69,1.48,-0.29,0.70,1.48
1964-01-01,58.96,-129.71,-0.97,0.43,1.76,-0.97,0.43,1.76,-0.97,0.43,1.76
1965-01-01,58.96,-129.71,-0.62,0.84,2.27,-0.62,0.84,2.27,-0.62,0.84,2.27
1966-01-01,58.96,-129.71,-0.79,0.61,2.20,-0.79,0.61,2.20,-0.79,0.61,2.20
1967-01-01,58.96,-129.71,-0.37,1.36,2.29,-0.37,1.36,2.29,-0.37,1.36,2.29
1968-01-01,58.96,-129.71,-0.98,0.55,1.38,-0.98,0.55,1.38,-0.98,0.55,1.38
1969-01-01,58.96,-129.71,-0.96,0.79,2.26,-0.96,0.79,2.26,-0.96,0.79,2.27
1970-01-01,58.96,-129.71,-0.36,1.23,2.67,-0.36,1.23,2.67,-0.36,1.23,2.67
1971-01-01,58.96,-129.71,-0.08,0.98,2.92,-0.08,0.98,2.92,-0.08,0.98,2.92
1972-01-01,58.96,-129.71,-0.53,0.84,1.88,-0.53,0.84,1.88,-0.53,0.84,1.88
1973-01-01,58.96,-129.71,-0.72,0.96,2.64,-0.72,0.96,2.64,-0.72,0.96,2.64
1974-01-01,58.96,-129.71,-0.70,0.99,2.02,-0.70,0.99,2.02,-0.70,0.99,2.02
1975-01-01,58.96,-129.71,-0.25,1.11,2.74,-0.25,1.11,2.74,-0.25,1.11,2.74
1976-01-01,58.96,-129.71,-0.97,1.21,2.57,-0.97,1.21,2.57,-0.97,1.21,2.57
1977-01-01,58.96,-129.71,-0.28,1.40,2.17,-0.28,1.40,2.17,-0.28,1.40,2.17
1978-01-01,58.96,-129.71,-0.14,1.24,2.35,-0.14,1.24,2.35,-0.14,1.24,2.35
1979-01-01,58.96,-129.71,-0.59,1.25,2.75,-0.59,1.25,2.75,-0.59,1.25,2.75
1980-01-01,58.96,-129.71,-0.91,0.97,1.97,-0.92,0.97,1.99,-0.91,0.93,1.96
1981-01-01,58.96,-129.71,-0.75,0.60,1.88,-0.72,0.61,1.89,-0.72,0.59,1.89
1982-01-01,58.96,-129.71,-0.77,0.84,1.53,-0.77,0.83,1.53,-0.80,0.83,1.53
1983-01-01,58.96,-129.71,-0.76,1.30,2.12,-0.75,1.32,2.14,-0.73,1.28,2.16
1984-01-01,58.96,-129.71,-0.13,1.29,2.54,-0.13,1.31,2.54,-0.14,1.27,2.55
1985-01-01,58.96,-129.71,-0.39,1.06,1.66,-0.40,1.05,1.66,-0.42,1.06,1.66
1986-01-01,58.96,-129.71,-0.52,0.84,2.22,-0.53,0.84,2.23,-0.57,0.86,2.21
1987-01-01,58.96,-129.71,-0.17,1.20,2.37,-0.16,1.21,2.41,-0.18,1.20,2.37
1988-01-01,58.96,-129.71,-0.23,1.13,2.46,-0.22,1.14,2.43,-0.20,1.12,2.44
1989-01-01,58.96,-129.71,-0.19,1.03,2.80,-0.18,1.05,2.84,-0.16,1.01,2.83
1990-01-01,58.96,-129.71,-0.19,1.03,3.55,-0.19,1.01,3.61,-0.19,1.02,3.62
1991-01-01,58.96,-129.71,-0.24,0.59,2.22,-0.25,0.58,2.24,-0.25,0.59,2.21
1992-01-01,58.96,-129.71,-0.07,1.01,2.60,-0.08,1.01,2.59,-0.06,0.99,2.58
1993-01-01,58.96,-129.71,0.36,1.41,2.92,0.36,1.42,2.92,0.37,1.40,2.94
1994-01-01,58.96,-129.71,-0.13,0.67,2.12,-0.11,0.69,2.13,-0.09,0.70,2.14
1995-01-01,58.96,-129.71,-0.63,0.98,2.37,-0.60,0.99,2.37,-0.61,1.03,2.38
1996-01-01,58.96,-129.71,-0.47,0.92,2.35,-0.45,0.93,2.38,-0.47,0.97,2.39
1997-01-01,58.96,-129.71,-0.01,1.47,2.84,-0.01,1.47,2.85,-0.02,1.48,2.87
1998-01-01,58.96,-129.71,0.69,1.46,2.46,0.69,1.47,2.45,0.69,1.48,2.47
1999-01-01,58.96,-129.71,0.62,1.66,2.74,0.62,1.67,2.77,0.58,1.67,2.76
2000-01-01,58.96,-129.71,-0.10,1.71,3.31,-0.09,1.72,3.32,-0.10,1.73,3.31
2001-01-01,58.96,-129.71,-0.01,1.36,3.46,0.00,1.38,3.50,0.02,1.36,3.53
2002-01-01,58.96,-129.71,0.72,1.71,3.14,0.73,1.73,3.15,0.71,1.72,3.13
2003-01-01,58.96,-129.71,-0.18,1.25,3.43,-0.18,1.23,3.46,-0.19,1.26,3.44
2004-01-01,58.96,-129.71,0.45,1.88,3.42,0.46,1.87,3.41,0.49,1.88,3.40
2005-01-01,58.96,-129.71,0.70,2.14,3.17,0.73,2.13,3.18,0.71,2.13,3.17
2006-01-01,58.96,-129.71,0.36,2.05,3.82,1.09,2.20,4.12,0.55,2.03,3.52
2007-01-01,58.96,-129.71,0.21,2.42,3.81,0.43,1.09,3.01,0.52,1.70,3.98
2008-01-01,58.96,-129.71,-0.04,1.96,3.61,0.65,1.47,2.85,-0.09,1.43,3.65
2009-01-01,58.96,-129.71,0.97,2.28,3.84,-0.06,2.17,3.96,0.56,2.19,3.65
2010-01-01,58.96,-129.71,0.94,2.03,3.61,0.72,2.01,4.15,0.11,2.21,3.32
2011-01-01,58.96,-129.71,0.45,2.09,3.67,0.05,2.20,3.37,0.52,1.74,3.14
2012-01-01,58.96,-129.71,0.62,2.19,3.63,-0.21,1.73,2.69,0.28,1.84,3.46
2013-01-01,58.96,-129.71,0.55,1.95,3.29,0.55,1.63,3.37,0.73,1.64,3.55
2014-01-01,58.96,-129.71,0.66,1.80,3.64,0.70,2.11,3.58,0.56,2.24,3.26
2015-01-01,58.96,-129.71,1.05,2.48,3.58,0.84,2.13,3.33,0.63,2.36,3.42
2016-01-01,58.96,-129.71,0.13,2.33,4.34,0.22,1.63,3.11,0.72,2.52,3.85
2017-01-01,58.96,-129.71,0.24,1.72,2.86,0.78,1.98,3.02,0.62,2.73,4.20
2018-01-01,58.96,-129.71,0.13,2.82,3.95,0.23,2.16,3.42,0.52,2.26,3.69
2019-01-01,58.96,-129.71,1.06,1.99,3.55,0.47,2.41,3.62,0.65,2.52,3.89
2020-01-01,58.96,-129.71,1.28,2.30,3.55,0.71,2.47,3.66,0.69,2.31,3.65
2021-01-01,58.96,-129.71,0.86,2.34,4.13,1.19,2.33,3.36,1.21,2.17,3.89
2022-01-01,58.96,-129.71,1.34,2.23,4.34,0.05,2.11,3.39,1.46,2.60,4.24
2023-01-01,58.96,-129.71,1.28,2.79,4.30,0.22,2.42,4.11,1.45,2.90,4.07
2024-01-01,58.96,-129.71,0.86,2.17,4.10,1.33,2.65,4.55,1.11,2.35,3.66
2025-01-01,58.96,-129.71,0.11,2.09,3.71,0.79,1.84,3.56,1.17,2.21,3.40
2026-01-01,58.96,-129.71,1.63,2.71,3.86,0.45,2.65,4.37,1.45,2.80,5.02
2027-01-01,58.96,-129.71,0.95,2.88,4.53,1.04,2.52,4.63,1.29,2.71,4.34
2028-01-01,58.96,-129.71,1.51,2.80,4.83,0.96,2.79,4.75,1.45,3.07,4.88
2029-01-01,58.96,-129.71,0.95,3.10,4.17,0.73,2.26,3.64,1.40,2.93,4.82
2030-01-01,58.96,-129.71,1.51,2.62,4.40,1.68,2.46,3.94,1.01,2.55,4.14
2031-01-01,58.96,-129.71,0.85,2.55,4.42,1.21,2.78,4.71,0.98,2.66,4.50
2032-01-01,58.96,-129.71,1.69,2.37,4.78,1.15,2.25,4.84,1.05,2.49,4.26
2033-01-01,58.96,-129.71,1.26,3.05,4.47,1.34,2.87,5.08,2.03,3.24,4.79
2034-01-01,58.96,-129.71,1.29,3.16,4.42,1.54,2.87,4.76,1.40,3.31,4.46
2035-01-01,58.96,-129.71,1.18,2.65,3.69,0.97,2.65,4.30,1.22,3.65,5.29
2036-01-01,58.96,-129.71,1.64,2.68,4.53,1.40,2.63,4.13,0.97,2.82,4.46
2037-01-01,58.96,-129.71,0.97,2.96,4.73,2.00,3.49,5.36,1.97,3.30,5.41
2038-01-01,58.96,-129.71,1.30,2.65,4.00,1.48,2.99,4.64,1.95,3.17,4.21
2039-01-01,58.96,-129.71,1.26,2.82,4.08,1.60,2.92,4.11,1.70,3.29,4.99
2040-01-01,58.96,-129.71,2.24,3.40,5.33,1.39,3.00,4.35,1.07,2.77,4.75
2041-01-01,58.96,-129.71,1.02,2.85,5.44,1.33,3.26,4.59,1.72,3.58,5.05
2042-01-01,58.96,-129.71,1.27,2.58,4.90,1.62,3.14,4.19,1.64,3.00,5.74
2043-01-01,58.96,-129.71,1.33,2.55,4.54,1.21,3.33,4.97,2.01,3.93,5.40
2044-01-01,58.96,-129.71,1.71,2.95,4.66,1.94,3.39,5.31,2.49,3.45,5.65
2045-01-01,58.96,-129.71,1.57,2.98,4.41,0.92,3.40,5.49,2.08,3.76,4.49
2046-01-01,58.96,-129.71,1.32,2.89,4.04,1.05,3.00,4.92,2.10,3.63,4.86
2047-01-01,58.96,-129.71,1.34,2.96,4.29,1.81,3.22,4.89,2.56,3.79,5.51
2048-01-01,58.96,-129.71,1.33,2.88,4.39,1.10,3.06,5.56,2.66,3.59,5.89
2049-01-01,58.96,-129.71,1.33,2.97,3.84,1.95,3.79,5.10,2.37,3.96,5.35
2050-01-01,58.96,-129.71,0.71,2.70,4.96,1.64,3.39,4.89,2.35,3.76,5.62
2051-01-01,58.96,-129.71,1.13,2.60,3.61,1.95,3.89,5.42,2.58,3.92,6.06
2052-01-01,58.96,-129.71,1.02,2.53,5.47,2.76,3.64,4.56,1.82,3.76,5.42
2053-01-01,58.96,-129.71,1.34,2.73,4.42,3.00,3.80,4.61,2.27,4.14,5.80
2054-01-01,58.96,-129.71,1.59,3.12,4.18,1.90,3.36,4.71,2.27,3.80,5.95
2055-01-01,58.96,-129.71,1.93,3.62,5.43,2.25,3.38,5.53,3.33,4.45,5.84
2056-01-01,58.96,-129.71,2.46,3.30,6.29,2.21,3.54,5.23,3.07,4.01,5.54
2057-01-01,58.96,-129.71,2.05,2.76,4.73,1.62,3.06,5.23,2.97,4.24,6.55
2058-01-01,58.96,-129.71,0.67,3.22,5.18,2.16,4.13,5.65,2.96,4.55,6.62
2059-01-01,58.96,-129.71,1.56,2.88,4.76,2.30,3.47,5.87,2.59,4.54,6.51
