time,lat,lon,rcp26_tn_mean_p10,rcp26_tn_mean_p50,rcp26_tn_mean_p90,rcp45_tn_mean_p10,rcp45_tn_mean_p50,rcp45_tn_mean_p90,rcp85_tn_mean_p10,rcp85_tn_mean_p50,rcp85_tn_mean_p90
1950-01-01,58.96,-129.71,-10.90,-9.23,-7.89,-10.90,-9.23,-7.89,-10.90,-9.23,-7.89
1951-01-01,58.96,-129.71,-10.61,-9.34,-7.97,-10.61,-9.34,-7.97,-10.61,-9.34,-7.97
1952-01-01,58.96,-129.71,-11.11,-9.90,-8.20,-11.11,-9.90,-8.20,-11.11,-9.90,-8.20
1953-01-01,58.96,-129.71,-11.48,-9.62,-8.43,-11.48,-9.62,-8.43,-11.48,-9.62,-8.47
1954-01-01,58.96,-129.71,-10.59,-9.36,-8.22,-10.59,-9.36,-8.22,-10.71,-9.36,-8.22
1955-01-01,58.96,-129.71,-11.08,-9.77,-7.98,-11.08,-9.77,-7.98,-11.08,-9.77,-8.19
1956-01-01,58.96,-129.71,-10.45,-9.24,-7.74,-10.45,-9.24,-7.74,-10.45,-9.24,-7.73
1957-01-01,58.96,-129.71,-11.33,-10.01,-8.10,-11.33,-10.01,-8.10,-11.33,-10.17,-8.10
1958-01-01,58.96,-129.71,-10.54,-9.70,-8.38,-10.54,-9.70,-8.38,-10.61,-9.70,-8.38
1959-01-01,58.96,-129.71,-11.18,-9.38,-7.87,-11.18,-9.38,-7.87,-11.17,-9.38,-7.87
1960-01-01,58.96,-129.71,-10.93,-9.61,-7.80,-10.93,-9.61,-7.80,-10.93,-9.68,-7.80
1961-01-01,58.96,-129.71,-10.76,-9.06,-7.99,-10.76,-9.06,-7.99,-10.76,-9.06,-7.99
1962-01-01,58.96,-129.71,-10.99,-9.77,-7.94,-10.99,-9.77,-7.94,-10.98,-9.77,-8.13
1963-01-01,58.96,-129.71,-10.96,-9.59,-8.86,-10.96,-9.59,-8.86,-10.96,-9.77,-8.86
1964-01-01,58.96,-129.71,-11.45,-9.92,-8.67,-11.45,-9.92,-8.67,-11.45,-9.92,-8.67
1965-01-01,58.96,-129.71,-10.98,-9.65,-7.95,-10.98,-9.65,-7.95,-10.98,-9.65,-7.95
1966-01-01,58.96,-129.71,-11.00,-9.85,-8.71,-11.00,-9.85,-8.71,-11.00,-9.85,-8.71
1967-01-01,58.96,-129.71,-10.67,-9.17,-7.72,-10.67,-9.17,-7.72,-10.67,-9.21,-7.72
1968-01-01,58.96,-129.71,-11.22,-9.85,-8.94,-11.22,-9.85,-8.94,-11.22,-9.85,-8.94
1969-01-01,58.96,-129.71,-11.08,-9.35,-8.22,-11.08,-9.35,-8.22,-11.08,-9.35,-8.22
1970-01-01,58.96,-129.71,-11.15,-9.17,-7.53,-11.15,-9.17,-7.53,-11.15,-9.19,-7.53
1971-01-01,58.96,-129.71,-10.63,-9.21,-7.69,-10.63,-9.21,-7.69,-10.63,-9.21,-7.79
1972-01-01,58.96,-129.71,-11.01,-9.67,-8.59,-11.01,-9.67,-8.59,-11.01,-9.71,-8.59
1973-01-01,58.96,-129.71,-11.47,-9.54,-7.91,-11.47,-9.54,-7.91,-11.47,-9.54,-7.91
1974-01-01,58.96,-129.71,-10.77,-9.04,-8.53,-10.77,-9.04,-8.53,-10.77,-9.04,-8.53
