time,lat,lon,rcp26_tn_min_p10,rcp26_tn_min_p50,rcp26_tn_min_p90,rcp45_tn_min_p10,rcp45_tn_min_p50,rcp45_tn_min_p90,rcp85_tn_min_p10,rcp85_tn_min_p50,rcp85_tn_min_p90
1950-01-01,53.37,-124.29,-43.36,-37.23,-33.59,-43.36,-37.23,-33.59,-43.36,-37.23,-33.56
1951-01-01,53.37,-124.29,-45.28,-38.21,-30.52,-45.28,-38.21,-30.52,-45.28,-38.06,-30.52
1952-01-01,53.37,-124.29,-45.19,-43.03,-34.39,-45.19,-43.03,-34.39,-45.57,-43.03,-34.39
1953-01-01,53.37,-124.29,-44.25,-38.01,-32.57,-44.25,-38.01,-32.57,-44.25,-38.01,-32.57
1954-01-01,53.37,-124.29,-45.89,-38.84,-32.22,-45.89,-38.84,-32.22,-45.89,-38.84,-32.22
1955-01-01,53.37,-124.29,-44.63,-39.24,-33.11,-44.63,-39.24,-33.11,-44.63,-39.24,-33.11
1956-01-01,53.37,-124.29,-44.20,-39.02,-34.36,-44.20,-39.02,-34.36,-44.20,-39.02,-34.52
1957-01-01,53.37,-124.29,-44.86,-40.19,-32.28,-44.86,-40.19,-32.28,-44.86,-40.19,-32.28
1958-01-01,53.37,-124.29,-46.18,-40.56,-32.82,-46.18,-40.56,-32.82,-46.18,-40.62,-32.82
1959-01-01,53.37,-124.29,-46.05,-37.32,-31.40,-46.05,-37.32,-31.40,-46.05,-37.32,-31.40
1960-01-01,53.37,-124.29,-45.19,-38.92,-35.06,-45.19,-38.92,-35.06,-45.19,-38.92,-35.06
1961-01-01,53.37,-124.29,-43.13,-35.65,-31.95,-43.13,-35.65,-31.95,-43.13,-35.65,-31.95
1962-01-01,53.37,-124.29,-44.28,-37.36,-32.60,-44.28,-37.36,-32.60,-44.28,-37.36,-32.60
1963-01-01,53.37,-124.29,-43.73,-38.76,-32.03,-43.73,-38.76,-32.03,-43.73,-38.76,-32.03
1964-01-01,53.37,-124.29,-44.84,-38.37,-33.22,-44.84,-38.37,-33.22,-44.84,-38.37,-33.22
1965-01-01,53.37,-124.29,-44.81,-39.41,-32.93,-44.81,-39.41,-32.93,-44.64,-39.41,-32.93
1966-01-01,53.37,-124.29,-47.14,-39.42,-30.39,-47.14,-39.42,-30.39,-47.14,-39.42,-30.39
1967-01-01,53.37,-124.29,-45.45,-38.61,-32.35,-45.45,-38.61,-32.35,-45.48,-38.61,-32.35
1968-01-01,53.37,-124.29,-44.53,-38.50,-32.42,-44.53,-38.50,-32.42,-44.53,-38.50,-32.42
1969-01-01,53.37,-124.29,-42.76,-38.67,-31.12,-42.76,-38.67,-31.12,-42.76,-38.67,-31.12
1970-01-01,53.37,-124.29,-45.58,-40.65,-33.65,-45.58,-40.65,-33.65,-45.58,-40.65,-33.65
1971-01-01,53.37,-124.29,-44.82,-39.23,-32.40,-44.82,-39.23,-32.40,-44.82,-39.23,-32.40
1972-01-01,53.37,-124.29,-46.12,-40.22,-35.16,-46.12,-40.22,-35.16,-46.12,-40.22,-35.16
1973-01-01,53.37,-124.29,-42.96,-39.74,-33.16,-42.96,-39.74,-33.16,-43.00,-39.74,-33.16
1974-01-01,53.37,-124.29,-47.44,-40.37,-35.93,-47.44,-40.37,-35.93,-47.44,-40.02,-35.93
1975-01-01,53.37,-124.29,-43.86,-41.44,-31.92,-43.86,-41.44,-31.92,-43.86,-41.44,-32.57
1976-01-01,53.37,-124.29,-44.42,-35.74,-30.86,-44.42,-35.74,-30.86,-44.42,-35.74,-30.86
1977-01-01,53.37,-124.29,-44.81,-37.72,-32.55,-44.81,-37.72,-32.55,-44.81,-37.50,-32.55
1978-01-01,53.37,-124.29,-43.13,-38.60,-31.42,-43.13,-38.60,-31.42,-43.13,-38.60,-31.42
1979-01-01,53.37,-124.29,-44.55,-39.98,-32.90,-44.55,-39.98,-32.90,-44.55,-39.98,-32.90
1980-01-01,53.37,-124.29,-44.78,-38.12,-32.59,-44.75,-38.06,-32.67,-44.72,-38.03,-32.47
1981-01-01,53.37,-124.29,-46.53,-39.73,-33.30,-45.11,-39.27,-33.16,-46.47,-39.67,-33.25
1982-01-01,53.37,-124.29,-46.61,-39.20,-34.23,-46.61,-39.74,-34.26,-46.61,-39.81,-34.23
1983-01-01,53.37,-124.29,-45.42,-39.90,-33.26,-45.42,-39.90,-33.05,-45.73,-39.53,-33.17
1984-01-01,53.37,-124.29,-46.38,-37.35,-30.51,-46.39,-37.31,-30.52,-46.39,-37.32,-30.59
1985-01-01,53.37,-124.29,-43.73,-40.66,-35.54,-43.77,-40.94,-35.44,-43.77,-40.47,-35.33
1986-01-01,53.37,-124.29,-46.14,-40.32,-32.25,-46.14,-40.28,-32.20,-46.81,-39.35,-32.21
1987-01-01,53.37,-124.29,-43.48,-37.10,-31.13,-43.44,-36.96,-31.45,-43.44,-36.68,-31.14
1988-01-01,53.37,-124.29,-47.27,-42.93,-33.03,-47.27,-42.93,-33.10,-47.27,-42.93,-32.98
1989-01-01,53.37,-124.29,-46.28,-40.03,-29.80,-46.22,-40.08,-29.91,-46.22,-40.04,-29.88
1990-01-01,53.37,-124.29,-41.38,-36.38,-27.68,-40.98,-36.67,-27.52,-41.47,-36.71,-27.95
1991-01-01,53.37,-124.29,-45.19,-38.55,-30.66,-45.34,-38.54,-30.71,-45.34,-37.97,-30.65
1992-01-01,53.37,-124.29,-42.57,-38.19,-31.74,-42.58,-38.76,-31.51,-42.57,-38.60,-31.42
1993-01-01,53.37,-124.29,-45.20,-39.18,-31.30,-45.24,-38.60,-31.33,-45.20,-38.79,-31.16
1994-01-01,53.37,-124.29,-44.22,-39.29,-33.41,-44.22,-39.45,-33.51,-44.22,-39.34,-33.50
1995-01-01,53.37,-124.29,-46.81,-41.15,-34.56,-46.81,-41.15,-35.15,-46.81,-41.15,-34.57
1996-01-01,53.37,-124.29,-46.21,-39.46,-30.93,-46.20,-39.42,-30.87,-46.20,-39.46,-30.79
1997-01-01,53.37,-124.29,-41.65,-36.33,-29.81,-41.66,-36.36,-29.54,-41.65,-36.59,-29.87
1998-01-01,53.37,-124.29,-46.26,-40.36,-33.28,-47.09,-39.92,-33.28,-47.26,-40.36,-33.28
1999-01-01,53.37,-124.29,-44.39,-37.33,-26.40,-44.39,-37.28,-26.51,-44.42,-36.79,-26.41
2000-01-01,53.37,-124.29,-43.53,-36.51,-33.28,-43.51,-36.44,-33.21,-42.92,-36.28,-33.21
2001-01-01,53.37,-124.29,-43.83,-37.24,-33.24,-43.84,-37.24,-32.97,-43.87,-37.35,-33.24
