time,lon,lat,rcp26_frost_free_season_p10,rcp26_frost_free_season_p50,rcp26_frost_free_season_p90,rcp45_frost_free_season_p10,rcp45_frost_free_season_p50,rcp45_frost_free_season_p90,rcp85_frost_free_season_p10,rcp85_frost_free_season_p50,rcp85_frost_free_season_p90
1950-01-01,-124.29,53.37,39.20,73.00,100.10,40.40,72.50,100.10,40.40,71.00,100.10
1951-01-01,-124.29,53.37,42.30,70.50,109.40,42.30,73.00,109.40,42.30,71.50,109.40
1952-01-01,-124.29,53.37,24.20,69.00,90.00,24.20,70.50,90.00,20.60,69.50,90.00
1953-01-01,-124.29,53.37,38.00,71.00,99.40,37.30,71.00,99.40,38.00,70.00,99.40
1954-01-01,-124.29,53.37,37.60,70.00,89.70,36.20,70.00,89.70,34.80,70.00,89.70
1955-01-01,-124.29,53.37,43.30,69.00,92.80,43.30,68.00,91.60,43.30,68.50,92.20
1956-01-01,-124.29,53.37,4.20,58.00,91.70,4.20,58.00,91.00,4.20,58.00,92.40
1957-01-01,-124.29,53.37,38.90,72.00,97.60,38.30,72.00,97.60,38.30,72.00,96.10
1958-01-01,-124.29,53.37,46.00,66.00,96.10,42.50,66.00,96.10,41.60,66.00,96.10
1959-01-01,-124.29,53.37,38.00,76.00,105.90,38.00,76.00,107.10,38.00,76.00,107.10
1960-01-01,-124.29,53.37,47.20,68.00,102.70,47.20,69.00,102.70,47.20,69.00,102.70
1961-01-01,-124.29,53.37,39.30,66.50,105.00,39.30,64.00,105.00,39.30,66.00,105.00
1962-01-01,-124.29,53.37,22.50,66.00,102.70,22.50,66.00,102.70,22.50,66.00,102.70
1963-01-01,-124.29,53.37,32.80,67.00,96.40,32.80,67.00,96.40,31.90,67.00,96.40
1964-01-01,-124.29,53.37,24.70,56.50,93.10,17.80,56.50,93.10,17.80,56.50,93.10
1965-01-01,-124.29,53.37,23.10,59.50,85.40,23.80,58.00,85.40,26.20,58.00,85.40
1966-01-01,-124.29,53.37,46.60,66.00,105.40,42.50,66.00,105.40,42.50,66.00,105.40
1967-01-01,-124.29,53.37,27.20,66.50,94.40,27.20,66.50,94.40,27.20,72.00,94.40
1968-01-01,-124.29,53.37,18.90,54.00,84.00,18.90,54.00,84.00,18.90,50.50,82.50
1969-01-01,-124.29,53.37,21.20,68.00,80.70,21.20,67.50,81.00,21.20,67.50,81.00
1970-01-01,-124.29,53.37,58.60,70.50,96.00,58.60,70.00,96.00,58.60,70.00,95.10
1971-01-01,-124.29,53.37,32.90,64.00,98.10,39.20,61.50,98.10,42.00,59.50,98.10
1972-01-01,-124.29,53.37,32.20,61.50,101.00,32.80,64.00,101.00,44.00,64.00,92.80
1973-01-01,-124.29,53.37,28.90,69.50,98.40,26.80,67.50,98.40,27.50,67.00,98.40
1974-01-01,-124.29,53.37,48.30,71.00,92.10,48.30,70.00,92.10,48.30,70.00,93.50
1975-01-01,-124.29,53.37,42.20,73.00,94.30,42.20,73.00,94.30,42.20,70.50,86.50
1976-01-01,-124.29,53.37,33.90,66.00,102.70,33.90,66.00,102.70,31.80,66.00,102.70
1977-01-01,-124.29,53.37,44.80,67.50,91.70,44.80,67.50,91.70,44.80,68.50,91.70
1978-01-01,-124.29,53.37,56.20,78.00,96.70,56.20,78.00,96.70,56.20,77.00,96.70
1979-01-01,-124.29,53.37,30.90,61.50,88.50,34.20,61.50,88.50,34.50,61.50,83.50
1980-01-01,-124.29,53.37,19.40,69.50,103.20,21.50,69.50,103.20,20.90,69.50,103.20
1981-01-01,-124.29,53.37,40.00,63.50,86.10,40.00,64.00,86.10,40.00,63.50,86.10
1982-01-01,-124.29,53.37,38.20,66.50,93.70,43.00,66.50,93.70,43.00,68.50,93.70
1983-01-01,-124.29,53.37,40.20,68.00,97.00,23.90,68.00,97.00,26.90,68.00,97.00
1984-01-01,-124.29,53.37,35.80,71.50,100.00,35.80,71.50,100.00,34.60,71.50,100.00
1985-01-01,-124.29,53.37,43.00,67.00,88.70,43.00,67.00,87.40,43.00,67.00,88.70
1986-01-01,-124.29,53.37,50.70,76.00,94.70,48.00,74.00,94.00,47.30,74.00,94.00
1987-01-01,-124.29,53.37,47.60,83.50,102.10,47.60,84.00,102.10,48.80,84.00,102.10
1988-01-01,-124.29,53.37,49.80,81.50,104.40,46.60,81.50,104.40,46.60,82.00,104.40
1989-01-01,-124.29,53.37,31.80,69.50,109.30,32.10,69.50,113.50,31.80,72.50,109.30
1990-01-01,-124.29,53.37,46.80,75.50,109.70,50.90,76.00,109.70,50.90,76.50,109.70
1991-01-01,-124.29,53.37,45.50,72.50,90.70,45.50,72.50,89.70,45.50,72.00,90.40
1992-01-01,-124.29,53.37,45.20,76.00,104.70,45.20,76.00,104.70,45.20,76.00,104.70
1993-01-01,-124.29,53.37,48.50,71.50,99.20,42.80,71.50,99.20,42.80,71.00,99.20
1994-01-01,-124.29,53.37,42.90,67.00,88.70,43.20,65.50,88.70,39.90,68.00,88.70
1995-01-01,-124.29,53.37,26.00,67.00,105.00,26.00,67.00,105.00,26.00,67.00,105.00
1996-01-01,-124.29,53.37,41.30,74.50,99.40,41.30,73.50,102.80,35.40,73.50,103.40
1997-01-01,-124.29,53.37,47.30,70.00,104.10,52.60,70.00,104.10,52.90,70.00,104.10
1998-01-01,-124.29,53.37,53.30,72.00,99.90,52.60,72.00,99.90,52.30,69.50,99.90
1999-01-01,-124.29,53.37,68.70,88.00,110.80,68.70,87.50,107.40,68.70,88.00,107.40
2000-01-01,-124.29,53.37,50.10,87.50,110.40,48.70,87.00,110.40,48.70,87.00,110.40
2001-01-01,-124.29,53.37,27.40,85.50,108.50,27.40,85.50,108.50,27.40,83.00,108.50
2002-01-01,-124.29,53.37,60.00,85.50,102.70,60.00,82.00,102.70,60.00,82.00,102.70
2003-01-01,-124.29,53.37,55.60,91.00,120.20,55.60,86.00,120.20,57.30,91.00,120.20
2004-01-01,-124.29,53.37,52.00,84.50,113.20,52.00,83.50,113.20,52.00,84.50,113.20
2005-01-01,-124.29,53.37,62.60,94.00,114.20,62.20,94.00,113.40,62.90,95.50,113.10
2006-01-01,-124.29,53.37,58.10,76.50,105.10,66.90,85.50,106.40,45.90,76.00,106.80
2007-01-01,-124.29,53.37,73.20,89.00,130.50,42.30,83.00,111.70,63.90,93.50,111.80
2008-01-01,-124.29,53.37,53.50,77.50,113.80,66.60,84.50,102.80,53.30,86.00,114.90
2009-01-01,-124.29,53.37,51.60,85.50,109.40,66.80,91.50,126.00,68.20,97.00,124.00
2010-01-01,-124.29,53.37,57.10,83.50,104.00,57.80,92.00,124.50,52.50,93.00,119.70
2011-01-01,-124.29,53.37,40.70,86.00,120.70,64.00,99.50,118.10,68.80,90.00,120.40
2012-01-01,-124.29,53.37,58.50,100.50,123.10,46.30,82.00,107.30,60.00,87.00,110.00
2013-01-01,-124.29,53.37,33.40,88.00,119.10,60.20,87.00,117.70,56.00,89.50,104.10
2014-01-01,-124.29,53.37,51.20,95.50,123.10,72.60,99.50,127.70,61.60,86.50,103.40
2015-01-01,-124.29,53.37,53.70,90.00,121.10,66.60,91.00,121.10,68.30,92.00,125.00
