time,lat,lon,rcp26_gddgrow_5_p10,rcp26_gddgrow_5_p50,rcp26_gddgrow_5_p90,rcp45_gddgrow_5_p10,rcp45_gddgrow_5_p50,rcp45_gddgrow_5_p90,rcp85_gddgrow_5_p10,rcp85_gddgrow_5_p50,rcp85_gddgrow_5_p90
1950-01-01,53.37,-124.29,731.90,876.29,1005.92,731.90,875.04,1007.32,731.90,875.45,1007.31
1951-01-01,53.37,-124.29,720.51,938.93,1079.40,720.51,937.14,1079.40,720.51,936.07,1079.40
1952-01-01,53.37,-124.29,667.01,799.56,1033.84,666.35,800.22,1033.84,666.72,800.88,1033.84
1953-01-01,53.37,-124.29,679.60,771.48,985.75,679.72,771.48,984.84,679.59,771.48,985.39
1954-01-01,53.37,-124.29,709.00,835.33,1087.26,709.00,836.59,1087.26,709.00,836.06,1087.26
1955-01-01,53.37,-124.29,725.76,815.70,1006.33,725.76,815.61,1006.31,725.76,815.61,1006.12
1956-01-01,53.37,-124.29,710.96,851.80,944.21,710.96,851.20,944.20,710.96,851.24,937.53
1957-01-01,53.37,-124.29,605.28,853.39,1052.88,603.02,853.39,1052.88,603.62,850.81,1052.88
1958-01-01,53.37,-124.29,659.34,804.56,1004.91,659.07,804.84,1004.91,658.51,804.84,1004.91
1959-01-01,53.37,-124.29,643.36,825.33,977.67,643.36,824.35,974.42,643.36,825.60,974.45
1960-01-01,53.37,-124.29,678.23,847.18,1080.78,677.34,845.31,1080.78,677.78,844.87,1080.78
1961-01-01,53.37,-124.29,702.25,896.00,1008.64,702.25,895.54,1008.64,702.25,896.12,1008.64
1962-01-01,53.37,-124.29,669.61,818.91,1051.04,669.90,816.83,1051.04,669.81,812.56,1051.04
1963-01-01,53.37,-124.29,671.35,782.75,987.37,670.28,780.58,987.37,671.12,782.02,984.39
1964-01-01,53.37,-124.29,588.44,789.82,981.93,588.44,789.82,981.93,588.44,784.98,981.93
1965-01-01,53.37,-124.29,648.11,772.51,960.47,650.05,772.51,960.46,648.63,772.50,960.46
1966-01-01,53.37,-124.29,694.13,796.78,950.30,693.96,795.13,950.30,693.96,796.16,950.30
1967-01-01,53.37,-124.29,635.34,800.22,983.98,635.34,800.22,983.98,635.34,800.22,983.98
1968-01-01,53.37,-124.29,627.11,760.90,895.03,626.81,760.90,894.80,626.81,760.89,896.30
1969-01-01,53.37,-124.29,619.79,715.16,980.95,620.01,715.75,980.95,619.62,715.78,976.19
1970-01-01,53.37,-124.29,715.03,864.71,990.36,715.03,864.10,990.36,715.03,863.19,990.36
1971-01-01,53.37,-124.29,706.23,861.65,970.92,706.23,861.78,970.92,706.23,861.35,968.65
1972-01-01,53.37,-124.29,663.98,851.48,964.80,665.99,851.48,964.80,665.99,851.48,964.80
1973-01-01,53.37,-124.29,592.04,817.07,952.23,592.04,816.66,952.71,592.04,816.36,952.02
1974-01-01,53.37,-124.29,667.52,814.59,1021.63,667.52,814.59,1021.63,667.52,814.59,1021.63
1975-01-01,53.37,-124.29,690.95,886.16,1133.50,690.95,886.16,1133.12,690.95,886.16,1134.04
1976-01-01,53.37,-124.29,718.68,841.77,1041.81,718.67,841.77,1041.19,712.96,841.77,1042.47
1977-01-01,53.37,-124.29,687.92,834.19,1006.12,688.04,834.19,1006.05,688.32,834.19,1006.50
1978-01-01,53.37,-124.29,735.32,873.36,999.30,735.32,873.72,999.30,735.31,873.43,999.30
1979-01-01,53.37,-124.29,674.62,861.95,1064.00,674.50,861.95,1064.15,674.24,861.95,1060.08
1980-01-01,53.37,-124.29,677.59,877.56,1019.95,676.68,875.20,1022.47,679.90,875.43,1021.60
1981-01-01,53.37,-124.29,709.99,831.84,959.49,709.56,831.28,956.00,708.01,829.52,957.95
1982-01-01,53.37,-124.29,728.99,835.59,961.29,728.06,832.23,961.99,726.93,835.17,962.37
1983-01-01,53.37,-124.29,710.61,863.71,1011.98,709.76,863.31,1012.01,705.23,864.47,1012.83
