time,lat,lon,rcp26_txgt_25_p10,rcp26_txgt_25_p50,rcp26_txgt_25_p90,rcp45_txgt_25_p10,rcp45_txgt_25_p50,rcp45_txgt_25_p90,rcp85_txgt_25_p10,rcp85_txgt_25_p50,rcp85_txgt_25_p90
1950-01-01,53.37,-124.29,2.60,12.00,26.80,2.60,12.00,26.80,2.60,12.00,26.80
1951-01-01,53.37,-124.29,4.20,15.50,24.40,4.20,15.50,24.40,4.20,15.50,24.40
1952-01-01,53.37,-124.29,4.30,11.00,25.80,4.30,11.00,25.80,4.30,11.00,25.80
1953-01-01,53.37,-124.29,2.30,10.50,20.10,2.30,10.50,20.10,2.30,10.50,20.10
1954-01-01,53.37,-124.29,3.00,12.00,25.40,3.00,12.00,25.40,3.00,12.00,25.40
1955-01-01,53.37,-124.29,3.30,12.00,19.70,3.30,12.00,19.70,3.30,12.00,19.70
1956-01-01,53.37,-124.29,6.00,13.50,20.00,6.00,13.50,20.00,6.00,13.50,20.00
1957-01-01,53.37,-124.29,4.00,11.50,24.90,4.00,11.50,24.90,4.00,11.50,24.90
1958-01-01,53.37,-124.29,4.30,9.00,19.20,4.30,9.00,19.20,4.30,9.00,19.20
1959-01-01,53.37,-124.29,2.30,10.00,20.00,2.30,10.00,20.00,2.30,10.00,20.00
1960-01-01,53.37,-124.29,4.00,12.50,23.70,4.00,12.50,23.70,4.00,12.50,23.70
1961-01-01,53.37,-124.29,6.60,13.00,21.70,6.60,13.00,21.70,6.60,13.00,21.70
1962-01-01,53.37,-124.29,2.60,11.50,20.00,2.60,11.50,20.00,2.60,11.50,20.00
1963-01-01,53.37,-124.29,2.60,11.00,20.00,2.60,11.00,20.00,2.60,11.00,20.00
1964-01-01,53.37,-124.29,0.30,8.00,21.40,0.30,8.00,21.40,0.30,8.00,21.40
1965-01-01,53.37,-124.29,0.90,10.00,17.70,0.90,10.00,17.70,0.90,10.00,17.70
1966-01-01,53.37,-124.29,4.00,10.00,17.70,4.00,10.00,17.70,4.00,10.00,17.70
1967-01-01,53.37,-124.29,3.60,10.00,15.00,3.60,10.00,15.00,3.60,10.00,15.00
1968-01-01,53.37,-124.29,2.90,10.00,16.70,2.90,10.00,16.70,2.90,10.00,16.70
1969-01-01,53.37,-124.29,2.00,7.50,18.20,2.00,7.50,18.20,2.00,7.50,18.20
1970-01-01,53.37,-124.29,5.00,10.00,21.70,5.00,10.00,21.70,5.00,10.00,21.70
1971-01-01,53.37,-124.29,4.00,11.50,19.00,4.00,11.50,19.00,4.00,11.50,19.00
1972-01-01,53.37,-124.29,2.00,11.00,16.70,2.00,11.00,16.70,2.00,11.00,16.70
1973-01-01,53.37,-124.29,4.00,8.50,23.70,4.00,8.50,23.70,4.00,8.50,23.70
