time,lat,lon,rcp26_tx_mean_p10,rcp26_tx_mean_p50,rcp26_tx_mean_p90,rcp45_tx_mean_p10,rcp45_tx_mean_p50,rcp45_tx_mean_p90,rcp85_tx_mean_p10,rcp85_tx_mean_p50,rcp85_tx_mean_p90
1950-01-01,53.37,-124.29,6.44,8.10,9.11,6.44,8.10,9.11,6.44,8.10,9.11
1951-01-01,53.37,-124.29,6.86,8.38,9.63,6.86,8.38,9.63,6.86,8.38,9.63
1952-01-01,53.37,-124.29,6.23,7.43,8.71,6.23,7.43,8.71,6.23,7.43,8.71
1953-01-01,53.37,-124.29,6.42,7.61,8.97,6.42,7.61,8.97,6.42,7.61,8.97
1954-01-01,53.37,-124.29,6.61,7.82,9.05,6.61,7.82,9.05,6.61,7.82,9.05
1955-01-01,53.37,-124.29,6.43,7.61,9.00,6.44,7.61,9.00,6.43,7.61,9.00
1956-01-01,53.37,-124.29,6.78,8.02,8.92,6.78,8.02,8.92,6.78,8.02,8.92
1957-01-01,53.37,-124.29,6.09,7.38,9.21,6.09,7.38,9.21,6.09,7.38,9.21
1958-01-01,53.37,-124.29,6.41,7.39,8.69,6.41,7.39,8.69,6.41,7.39,8.69
1959-01-01,53.37,-124.29,5.87,7.64,8.75,5.87,7.64,8.75,5.88,7.64,8.75
1960-01-01,53.37,-124.29,6.33,7.56,9.27,6.33,7.56,9.27,6.33,7.56,9.27
1961-01-01,53.37,-124.29,6.38,8.15,9.06,6.38,8.15,9.06,6.38,8.15,9.06
1962-01-01,53.37,-124.29,6.62,7.74,9.10,6.62,7.74,9.10,6.62,7.74,9.10
1963-01-01,53.37,-124.29,7.06,7.70,8.67,7.06,7.70,8.67,7.06,7.70,8.67
1964-01-01,53.37,-124.29,5.82,7.53,8.53,5.82,7.53,8.53,5.82,7.53,8.53
1965-01-01,53.37,-124.29,5.91,7.53,8.54,5.91,7.53,8.54,5.91,7.53,8.54
1966-01-01,53.37,-124.29,6.21,7.44,9.07,6.21,7.44,9.07,6.21,7.44,9.07
1967-01-01,53.37,-124.29,6.23,7.57,8.88,6.23,7.57,8.88,6.23,7.57,8.88
1968-01-01,53.37,-124.29,6.05,7.39,8.58,6.05,7.39,8.58,6.05,7.39,8.58
1969-01-01,53.37,-124.29,5.90,7.21,8.90,5.90,7.21,8.90,5.90,7.21,8.90
1970-01-01,53.37,-124.29,6.12,7.97,9.82,6.12,7.97,9.82,6.12,7.97,9.82
1971-01-01,53.37,-124.29,6.76,7.95,9.16,6.76,7.95,9.16,6.76,7.95,9.16
1972-01-01,53.37,-124.29,6.17,7.45,8.54,6.17,7.45,8.54,6.17,7.45,8.54
1973-01-01,53.37,-124.29,6.18,7.35,9.33,6.18,7.35,9.33,6.18,7.35,9.33
1974-01-01,53.37,-124.29,6.07,7.85,9.17,6.07,7.85,9.17,6.07,7.85,9.17
1975-01-01,53.37,-124.29,6.53,7.75,9.36,6.53,7.75,9.36,6.53,7.75,9.36
1976-01-01,53.37,-124.29,6.62,8.05,9.02,6.62,8.05,9.02,6.62,8.05,9.02
1977-01-01,53.37,-124.29,6.90,7.98,8.56,6.90,7.98,8.56,6.90,7.98,8.56
1978-01-01,53.37,-124.29,7.16,7.89,9.05,7.16,7.89,9.05,7.16,7.90,9.05
