time,lat,lon,rcp26_tnlt_-15_p10,rcp26_tnlt_-15_p50,rcp26_tnlt_-15_p90,rcp45_tnlt_-15_p10,rcp45_tnlt_-15_p50,rcp45_tnlt_-15_p90,rcp85_tnlt_-15_p10,rcp85_tnlt_-15_p50,rcp85_tnlt_-15_p90
1950-01-01,53.37,-124.29,35.00,49.50,68.70,35.00,49.50,68.70,35.00,49.50,68.70
1951-01-01,53.37,-124.29,28.00,54.50,65.00,28.00,54.50,65.00,28.00,54.50,65.00
1952-01-01,53.37,-124.29,42.00,54.00,63.70,42.00,54.00,63.70,42.00,54.50,63.70
1953-01-01,53.37,-124.29,33.60,47.00,70.50,33.60,47.00,70.50,33.60,47.00,70.50
1954-01-01,53.37,-124.29,34.60,51.50,71.00,34.60,51.50,71.00,34.60,51.50,71.00
1955-01-01,53.37,-124.29,38.30,54.50,70.50,38.30,54.50,70.50,38.30,54.50,70.50
1956-01-01,53.37,-124.29,33.30,47.50,66.40,33.30,47.50,66.40,33.30,48.00,66.40
1957-01-01,53.37,-124.29,39.00,56.50,69.40,39.00,56.50,69.40,39.00,56.00,69.40
1958-01-01,53.37,-124.29,40.20,50.50,71.90,40.20,50.50,71.90,40.20,50.50,71.90
1959-01-01,53.37,-124.29,30.70,55.50,73.50,30.70,55.50,73.50,30.70,55.50,73.50
1960-01-01,53.37,-124.29,32.60,53.00,73.80,32.60,53.00,73.80,32.60,53.00,73.80
1961-01-01,53.37,-124.29,31.30,53.00,63.70,31.30,53.00,63.70,31.30,53.00,63.70
1962-01-01,53.37,-124.29,31.00,48.00,67.50,31.00,48.00,67.50,32.80,48.00,67.50
1963-01-01,53.37,-124.29,40.30,48.00,62.70,40.30,48.00,62.70,41.30,48.00,62.70
1964-01-01,53.37,-124.29,38.90,55.50,76.70,38.90,55.50,76.70,38.90,55.50,76.70
1965-01-01,53.37,-124.29,38.00,51.50,68.80,38.00,51.50,68.80,38.00,51.50,68.80
1966-01-01,53.37,-124.29,36.30,55.50,67.70,36.30,55.50,67.70,36.30,55.50,67.70
1967-01-01,53.37,-124.29,32.60,51.00,68.80,32.60,51.00,68.80,32.60,51.00,68.80
1968-01-01,53.37,-124.29,34.20,53.50,73.70,34.20,53.50,73.70,37.30,53.50,73.70
1969-01-01,53.37,-124.29,36.00,51.00,66.40,36.00,51.00,66.40,36.30,51.00,66.40
1970-01-01,53.37,-124.29,33.30,47.00,67.10,33.30,47.00,67.10,33.30,47.00,67.10
1971-01-01,53.37,-124.29,33.00,48.00,66.80,33.00,48.00,66.80,33.30,48.00,66.80
1972-01-01,53.37,-124.29,40.30,56.00,68.70,40.30,56.00,68.70,40.30,56.00,68.70
1973-01-01,53.37,-124.29,35.30,55.50,66.00,35.30,55.50,66.00,35.30,55.50,65.70
1974-01-01,53.37,-124.29,37.90,50.50,69.60,37.90,50.50,69.60,37.90,50.50,69.60
1975-01-01,53.37,-124.29,41.60,50.00,69.40,41.60,50.00,69.40,42.20,50.00,69.40
1976-01-01,53.37,-124.29,34.00,49.50,68.00,34.00,49.50,68.00,34.00,50.50,68.00
1977-01-01,53.37,-124.29,35.90,46.50,60.00,35.90,46.50,60.00,36.20,46.50,60.00
1978-01-01,53.37,-124.29,36.00,44.50,61.10,36.00,44.50,61.10,36.00,47.00,61.10
1979-01-01,53.37,-124.29,32.30,46.50,73.70,32.30,46.50,73.70,32.30,46.50,73.70
1980-01-01,53.37,-124.29,38.80,54.50,71.00,39.50,54.50,71.70,38.80,53.50,71.70
1981-01-01,53.37,-124.29,38.30,48.00,75.00,37.60,48.50,74.70,39.30,48.00,75.40
1982-01-01,53.37,-124.29,39.50,55.00,63.40,38.90,55.50,64.10,39.20,55.00,64.10
1983-01-01,53.37,-124.29,38.30,50.00,63.70,39.00,50.00,64.00,39.00,50.50,63.70
1984-01-01,53.37,-124.29,28.00,51.00,62.40,30.80,51.00,62.70,29.40,51.50,62.70
1985-01-01,53.37,-124.29,42.30,51.50,72.00,41.60,51.00,72.30,43.30,51.50,72.60
1986-01-01,53.37,-124.29,34.20,50.50,67.10,34.90,51.00,68.50,33.50,51.00,69.20
1987-01-01,53.37,-124.29,38.00,52.00,70.10,38.30,51.50,70.10,38.30,51.00,70.10
1988-01-01,53.37,-124.29,37.00,50.50,69.40,37.00,52.00,69.40,37.00,52.50,69.10
1989-01-01,53.37,-124.29,35.30,50.50,61.80,35.30,50.50,61.80,35.30,51.50,62.40
1990-01-01,53.37,-124.29,30.70,48.50,69.10,30.70,50.00,69.80,30.70,49.00,70.50
1991-01-01,53.37,-124.29,36.30,49.00,67.70,37.00,49.50,68.00,35.60,49.50,68.00
1992-01-01,53.37,-124.29,27.90,52.00,68.10,28.30,53.00,66.70,27.60,52.50,67.40
1993-01-01,53.37,-124.29,26.30,47.00,60.70,26.30,46.00,62.00,26.30,47.00,61.40
1994-01-01,53.37,-124.29,32.30,52.00,66.50,32.00,52.00,67.20,31.30,52.50,67.50
1995-01-01,53.37,-124.29,32.00,50.50,71.70,32.00,50.50,72.00,32.00,50.50,71.00
1996-01-01,53.37,-124.29,41.30,52.00,69.40,42.30,52.00,70.40,40.90,53.00,70.10
1997-01-01,53.37,-124.29,28.90,44.00,70.00,28.90,45.50,69.70,29.60,45.50,69.70
1998-01-01,53.37,-124.29,35.00,48.50,64.70,34.30,47.50,64.70,35.00,48.50,63.70
1999-01-01,53.37,-124.29,27.90,44.00,56.20,27.20,44.00,55.80,27.20,44.00,55.80
2000-01-01,53.37,-124.29,35.30,47.00,67.80,36.00,46.50,68.10,35.30,46.50,68.80
2001-01-01,53.37,-124.29,28.90,51.00,65.90,29.20,50.00,66.90,28.90,51.00,67.60
2002-01-01,53.37,-124.29,26.20,44.50,63.00,27.60,45.00,63.00,28.30,45.50,62.40
2003-01-01,53.37,-124.29,26.30,48.50,65.40,26.30,49.00,65.40,27.30,49.00,64.00
2004-01-01,53.37,-124.29,31.60,43.50,61.70,31.60,43.00,61.40,31.60,45.50,62.00
2005-01-01,53.37,-124.29,30.20,38.00,66.40,28.40,37.00,64.80,29.60,37.50,69.40
2006-01-01,53.37,-124.29,28.20,41.00,55.10,19.90,42.50,54.00,27.20,39.50,53.10
2007-01-01,53.37,-124.29,28.60,42.50,60.40,31.30,52.00,65.80,27.60,40.50,59.10
