time,lat,lon,rcp26_tn_mean_p10,rcp26_tn_mean_p50,rcp26_tn_mean_p90,rcp45_tn_mean_p10,rcp45_tn_mean_p50,rcp45_tn_mean_p90,rcp85_tn_mean_p10,rcp85_tn_mean_p50,rcp85_tn_mean_p90
1950-01-01,53.37,-124.29,-5.88,-4.75,-3.46,-5.88,-4.75,-3.46,-5.88,-4.77,-3.46
1951-01-01,53.37,-124.29,-6.04,-4.69,-2.86,-6.04,-4.69,-2.86,-6.04,-4.69,-2.86
1952-01-01,53.37,-124.29,-6.19,-5.39,-4.16,-6.19,-5.39,-4.16,-6.19,-5.39,-4.16
1953-01-01,53.37,-124.29,-6.34,-5.11,-3.83,-6.34,-5.11,-3.83,-6.34,-5.11,-3.83
1954-01-01,53.37,-124.29,-6.18,-5.03,-3.97,-6.18,-5.03,-3.97,-6.18,-5.03,-3.97
1955-01-01,53.37,-124.29,-6.71,-5.16,-3.92,-6.71,-5.16,-3.92,-6.71,-5.16,-3.96
1956-01-01,53.37,-124.29,-5.83,-5.07,-3.84,-5.83,-5.07,-3.84,-5.83,-5.07,-3.84
1957-01-01,53.37,-124.29,-6.37,-5.41,-3.84,-6.37,-5.41,-3.84,-6.36,-5.41,-3.84
1958-01-01,53.37,-124.29,-5.99,-5.13,-4.08,-5.99,-5.13,-4.08,-6.07,-5.13,-4.08
1959-01-01,53.37,-124.29,-6.65,-4.78,-3.56,-6.65,-4.78,-3.56,-6.75,-4.78,-3.56
1960-01-01,53.37,-124.29,-6.62,-5.12,-3.47,-6.62,-5.12,-3.47,-6.62,-5.12,-3.47
1961-01-01,53.37,-124.29,-5.73,-4.63,-3.57,-5.73,-4.63,-3.57,-5.73,-4.73,-3.57
1962-01-01,53.37,-124.29,-6.35,-4.93,-3.64,-6.35,-4.93,-3.64,-6.35,-4.93,-3.64
1963-01-01,53.37,-124.29,-5.62,-4.85,-3.93,-5.62,-4.85,-3.93,-5.62,-4.85,-3.93
1964-01-01,53.37,-124.29,-6.78,-5.24,-4.46,-6.78,-5.24,-4.46,-6.78,-5.39,-4.46
1965-01-01,53.37,-124.29,-6.66,-5.12,-3.83,-6.66,-5.12,-3.83,-6.66,-5.12,-3.83
1966-01-01,53.37,-124.29,-6.15,-5.44,-3.89,-6.15,-5.44,-3.89,-6.15,-5.44,-3.89
1967-01-01,53.37,-124.29,-6.32,-4.92,-3.76,-6.32,-4.92,-3.76,-6.32,-4.92,-3.76
1968-01-01,53.37,-124.29,-6.70,-5.26,-3.92,-6.70,-5.26,-3.92,-6.70,-5.25,-3.98
1969-01-01,53.37,-124.29,-6.24,-5.02,-3.88,-6.24,-5.02,-3.88,-6.24,-5.02,-3.88
1970-01-01,53.37,-124.29,-6.46,-4.66,-3.17,-6.46,-4.66,-3.17,-6.46,-4.66,-3.17
1971-01-01,53.37,-124.29,-6.17,-4.88,-3.72,-6.17,-4.88,-3.72,-6.17,-4.88,-3.80
1972-01-01,53.37,-124.29,-6.37,-4.93,-4.05,-6.37,-4.93,-4.05,-6.37,-4.93,-4.05
1973-01-01,53.37,-124.29,-6.37,-5.11,-3.65,-6.37,-5.11,-3.65,-6.37,-5.11,-3.65
1974-01-01,53.37,-124.29,-6.53,-4.99,-3.88,-6.53,-4.99,-3.88,-6.53,-4.98,-3.88
1975-01-01,53.37,-124.29,-5.91,-4.93,-3.68,-5.91,-4.93,-3.68,-5.91,-4.93,-3.68
1976-01-01,53.37,-124.29,-6.07,-4.57,-3.72,-6.07,-4.57,-3.72,-6.07,-4.67,-3.72
1977-01-01,53.37,-124.29,-5.51,-4.78,-4.01,-5.51,-4.78,-4.01,-5.51,-4.78,-4.01
1978-01-01,53.37,-124.29,-5.65,-4.70,-3.47,-5.65,-4.70,-3.47,-5.64,-4.70,-3.47
1979-01-01,53.37,-124.29,-6.34,-4.90,-3.66,-6.34,-4.90,-3.66,-6.34,-4.90,-3.74
1980-01-01,53.37,-124.29,-6.47,-4.86,-3.80,-6.48,-4.88,-3.80,-6.49,-4.86,-3.81
1981-01-01,53.37,-124.29,-6.47,-5.01,-3.80,-6.47,-5.02,-3.78,-6.47,-4.99,-3.79
