time,lon,lat,rcp26_r1mm_p10,rcp26_r1mm_p50,rcp26_r1mm_p90,rcp45_r1mm_p10,rcp45_r1mm_p50,rcp45_r1mm_p90,rcp85_r1mm_p10,rcp85_r1mm_p50,rcp85_r1mm_p90
1950-01-01,-124.29,53.37,116.90,127.50,152.70,117.60,127.50,152.70,117.60,127.50,152.70
1951-01-01,-124.29,53.37,112.50,128.00,146.00,112.50,128.00,146.00,112.20,128.00,146.00
1952-01-01,-124.29,53.37,108.90,125.50,141.70,107.50,126.50,141.70,108.20,125.50,141.70
1953-01-01,-124.29,53.37,110.90,135.00,147.40,110.90,135.00,147.40,110.90,135.50,147.40
1954-01-01,-124.29,53.37,109.60,130.00,144.40,109.60,130.00,144.40,109.60,130.00,144.40
1955-01-01,-124.29,53.37,104.60,123.00,145.30,103.90,121.50,145.30,104.30,122.00,145.30
1956-01-01,-124.29,53.37,110.50,124.50,142.80,110.80,125.50,142.50,110.80,125.50,143.10
1957-01-01,-124.29,53.37,119.00,129.50,144.70,120.30,129.50,144.70,118.60,129.50,144.70
1958-01-01,-124.29,53.37,115.30,132.00,147.00,115.30,132.00,147.00,115.30,132.00,147.00
1959-01-01,-124.29,53.37,118.60,134.00,150.90,118.30,134.00,150.90,118.60,134.00,150.90
1960-01-01,-124.29,53.37,109.60,129.50,152.70,109.00,130.00,153.40,109.00,129.50,153.40
1961-01-01,-124.29,53.37,113.60,127.00,146.80,113.30,127.00,146.80,114.00,127.00,147.50
1962-01-01,-124.29,53.37,115.60,135.00,155.70,115.30,135.00,155.70,115.30,135.00,155.70
1963-01-01,-124.29,53.37,113.90,133.00,148.10,113.90,132.00,148.10,113.90,132.00,148.10
1964-01-01,-124.29,53.37,112.30,125.00,132.00,113.00,125.00,133.40,113.00,125.00,133.40
1965-01-01,-124.29,53.37,112.60,125.00,141.50,112.60,125.50,141.80,112.00,124.50,141.20
1966-01-01,-124.29,53.37,114.50,128.00,140.70,114.50,128.00,139.70,114.50,127.00,139.40
1967-01-01,-124.29,53.37,117.00,133.50,147.20,117.00,133.50,148.30,117.00,133.50,148.30
1968-01-01,-124.29,53.37,115.00,131.50,150.40,115.00,132.00,150.70,115.30,131.50,151.00
1969-01-01,-124.29,53.37,117.30,128.50,145.00,116.60,128.50,144.70,118.00,128.50,144.70
1970-01-01,-124.29,53.37,111.00,131.50,147.50,111.00,131.50,147.50,111.30,131.50,147.50
1971-01-01,-124.29,53.37,110.30,126.00,145.70,110.30,125.50,145.00,110.30,125.50,145.00
1972-01-01,-124.29,53.37,118.30,128.50,150.10,117.60,128.50,149.40,119.00,128.50,151.50
1973-01-01,-124.29,53.37,116.50,130.00,143.70,119.30,130.00,144.70,120.00,130.00,144.70
1974-01-01,-124.29,53.37,105.30,127.50,151.20,105.30,127.00,151.20,105.30,128.00,151.20
1975-01-01,-124.29,53.37,110.60,128.50,147.40,111.30,129.00,148.00,111.30,128.50,147.70
1976-01-01,-124.29,53.37,113.30,122.50,141.80,113.00,122.50,141.80,113.00,122.50,141.80
1977-01-01,-124.29,53.37,114.30,128.50,150.70,112.60,127.50,150.70,112.60,127.50,150.70
1978-01-01,-124.29,53.37,112.90,130.50,154.70,112.60,130.50,154.70,112.60,131.50,153.70
1979-01-01,-124.29,53.37,115.30,126.00,144.70,115.30,127.50,144.70,115.30,127.00,144.70
1980-01-01,-124.29,53.37,106.30,131.00,146.50,107.00,130.00,147.90,106.60,131.00,147.90
1981-01-01,-124.29,53.37,116.80,130.50,148.70,117.80,130.50,149.40,117.20,130.00,148.40
1982-01-01,-124.29,53.37,113.30,132.00,144.70,114.30,132.50,145.70,114.30,133.00,144.70
