"REF_DATE","GEO","DGUID","Farm products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1992-01","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","66.98","","","","2"
"1992-02","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","69.53","","","","2"
"1992-03","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","68.97","","","","2"
"1992-04","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","69.42","","","","2"
"1992-05","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","71.41","","","","2"
"1992-06","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","73.03","","","","2"
"1992-07","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","70.43","","","","2"
"1992-08","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","68.79","","","","2"
"1992-09","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","65.87","","","","2"
"1992-10","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","68.03","","","","2"
"1992-11","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","68.11","","","","2"
"1992-12","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","72.55","","","","2"
"1993-01","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","74.84","","","","2"
"1993-02","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","74.94","","","","2"
"1993-03","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","75.62","","","","2"
