"REF_DATE","GEO","DGUID","Commodity groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1992","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","75.5","","","","1"
"1993","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","80.8","","","","1"
"1994","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","85.2","","","","1"
"1995","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","95.7","","","","1"
"1996","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","98.0","","","","1"
"1997","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","92.6","","","","1"
"1998","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","90.0","","","","1"
"1999","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","84.9","","","","1"
"2000","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","86.0","","","","1"
"2001","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","93.7","","","","1"
"2002","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","100.1","","","","1"
"2003","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","93.9","","","","1"
"2004","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","88.8","","","","1"
"2005","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","85.0","","","","1"
"2006","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","84.9","","","","1"
"2007","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","100.0","","","","1"
"2008","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","116.9","","","","1"
"2009","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","103.6","","","","1"
"2010","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","102.2","","","","1"
"2011","Western Canada","","Total index","Index, 2007=100","181","units","0","v66450130","9.1","121.4","","","","1"
