time,lat,lon,rcp26_gddgrow_0_p10,rcp26_gddgrow_0_p50,rcp26_gddgrow_0_p90,rcp45_gddgrow_0_p10,rcp45_gddgrow_0_p50,rcp45_gddgrow_0_p90,rcp85_gddgrow_0_p10,rcp85_gddgrow_0_p50,rcp85_gddgrow_0_p90
1950-01-01,54.71,-104.29,1852.32,2049.27,2242.12,1852.32,2049.27,2242.12,1852.32,2049.27,2242.12
1951-01-01,54.71,-104.29,1772.18,2003.30,2252.55,1772.18,2003.01,2252.24,1761.33,2002.12,2252.26
1952-01-01,54.71,-104.29,1823.31,1988.17,2346.35,1823.31,1986.55,2346.35,1823.31,1986.55,2346.35
1953-01-01,54.71,-104.29,1740.54,1946.87,2162.33,1740.86,1947.71,2162.33,1741.09,1947.85,2162.33
1954-01-01,54.71,-104.29,1828.27,2006.58,2237.94,1827.57,2006.58,2237.94,1828.67,2006.58,2237.94
1955-01-01,54.71,-104.29,1845.14,2015.37,2240.47,1845.87,2015.37,2240.47,1845.78,2015.37,2234.55
1956-01-01,54.71,-104.29,1706.79,2034.06,2281.69,1706.79,2033.54,2281.69,1706.79,2033.22,2281.69
1957-01-01,54.71,-104.29,1755.43,1969.32,2207.00,1755.69,1969.32,2207.00,1755.87,1969.33,2207.00
1958-01-01,54.71,-104.29,1826.69,1954.46,2168.81,1826.05,1954.43,2168.81,1826.49,1954.08,2168.81
1959-01-01,54.71,-104.29,1686.15,1916.64,2101.84,1686.82,1917.41,2101.84,1686.70,1917.21,2101.84
1960-01-01,54.71,-104.29,1799.50,2015.65,2272.45,1797.88,2015.65,2271.43,1798.96,2015.65,2271.44
1961-01-01,54.71,-104.29,1803.73,2066.59,2198.98,1804.88,2066.67,2198.98,1804.88,2066.65,2198.98
1962-01-01,54.71,-104.29,1791.66,1956.10,2131.57,1791.66,1956.10,2131.57,1791.66,1956.10,2131.57
1963-01-01,54.71,-104.29,1736.02,1906.99,2135.86,1736.52,1906.99,2135.87,1737.52,1906.99,2135.86
1964-01-01,54.71,-104.29,1661.33,1885.99,2017.59,1661.10,1888.33,2017.66,1660.88,1888.33,2017.56
1965-01-01,54.71,-104.29,1798.84,1960.46,2091.10,1799.21,1960.24,2091.10,1799.21,1960.25,2091.09
1966-01-01,54.71,-104.29,1724.60,1973.85,2371.97,1724.59,1973.85,2371.97,1724.59,1973.85,2364.89
1967-01-01,54.71,-104.29,1776.53,1940.73,2151.81,1776.36,1940.73,2152.22,1776.36,1940.73,2133.70
1968-01-01,54.71,-104.29,1808.97,1962.15,2116.18,1808.67,1962.08,2116.18,1808.31,1962.07,2107.56
1969-01-01,54.71,-104.29,1616.18,1895.20,2056.00,1616.18,1895.18,2055.80,1616.18,1894.91,2055.92
1970-01-01,54.71,-104.29,1812.73,2075.87,2228.34,1812.73,2075.64,2228.34,1812.73,2075.83,2228.34
1971-01-01,54.71,-104.29,1758.27,1982.26,2252.34,1758.27,1982.34,2252.37,1758.26,1981.91,2243.89
1972-01-01,54.71,-104.29,1767.92,1950.22,2104.25,1767.92,1950.22,2104.25,1767.93,1950.23,2104.25
1973-01-01,54.71,-104.29,1747.89,1997.26,2173.12,1747.39,1999.39,2173.25,1747.26,1983.86,2173.39
1974-01-01,54.71,-104.29,1755.67,1927.14,2110.90,1755.67,1927.14,2111.13,1755.67,1927.14,2111.34
1975-01-01,54.71,-104.29,1847.29,1993.09,2196.40,1847.10,1993.69,2196.40,1847.25,1993.49,2196.40
1976-01-01,54.71,-104.29,1765.27,2049.03,2166.21,1765.27,2048.99,2166.11,1765.27,2048.24,2166.09
1977-01-01,54.71,-104.29,1726.03,2007.04,2243.01,1726.03,2007.04,2242.96,1726.03,2007.04,2243.03
1978-01-01,54.71,-104.29,1907.22,2012.81,2207.64,1907.22,2014.04,2209.18,1890.44,2012.84,2207.95
1979-01-01,54.71,-104.29,1874.19,2020.31,2246.73,1874.19,2021.16,2246.73,1874.19,2021.31,2246.73
1980-01-01,54.71,-104.29,1833.83,1942.77,2193.54,1831.53,1943.59,2193.14,1832.79,1942.98,2195.50
1981-01-01,54.71,-104.29,1759.97,2011.56,2214.60,1761.55,2009.59,2214.51,1755.82,2009.91,2213.29
1982-01-01,54.71,-104.29,1775.33,1979.49,2254.88,1776.42,1976.79,2251.80,1771.04,1975.71,2253.02
