time,lat,lon,rcp26_tx_max_p10,rcp26_tx_max_p50,rcp26_tx_max_p90,rcp45_tx_max_p10,rcp45_tx_max_p50,rcp45_tx_max_p90,rcp85_tx_max_p10,rcp85_tx_max_p50,rcp85_tx_max_p90
1950-01-01,54.71,-104.29,28.63,29.72,33.83,28.63,29.72,33.83,28.63,29.72,33.83
1951-01-01,54.71,-104.29,27.31,29.30,32.02,27.31,29.30,32.02,27.31,29.30,32.02
1952-01-01,54.71,-104.29,27.98,29.99,32.75,27.98,29.99,32.75,27.98,29.99,32.75
1953-01-01,54.71,-104.29,25.68,28.46,32.46,25.68,28.46,32.46,25.68,28.46,32.46
1954-01-01,54.71,-104.29,28.19,30.07,32.75,28.19,30.07,32.75,28.19,30.07,32.75
1955-01-01,54.71,-104.29,26.98,29.16,31.88,26.98,29.16,31.88,26.98,29.16,31.88
1956-01-01,54.71,-104.29,27.03,29.47,33.07,27.03,29.47,33.07,27.03,29.47,33.07
1957-01-01,54.71,-104.29,28.24,29.38,31.72,28.24,29.38,31.72,28.24,29.38,31.72
1958-01-01,54.71,-104.29,27.72,29.43,32.99,27.72,29.43,32.99,27.72,29.43,32.99
1959-01-01,54.71,-104.29,27.61,29.70,31.65,27.61,29.70,31.65,27.61,29.70,31.65
1960-01-01,54.71,-104.29,27.52,30.06,34.02,27.52,30.06,34.02,27.52,30.06,34.02
1961-01-01,54.71,-104.29,27.23,29.20,31.78,27.23,29.20,31.78,27.23,29.20,31.78
1962-01-01,54.71,-104.29,26.80,28.45,30.13,26.80,28.45,30.13,26.80,28.45,30.13
1963-01-01,54.71,-104.29,27.57,28.82,31.23,27.57,28.82,31.23,27.57,28.82,31.23
1964-01-01,54.71,-104.29,26.87,28.67,31.17,26.87,28.67,31.17,26.87,28.67,31.17
1965-01-01,54.71,-104.29,27.68,30.31,33.14,27.68,30.31,33.14,27.68,30.31,33.14
1966-01-01,54.71,-104.29,27.16,28.75,33.37,27.16,28.75,33.37,27.16,28.75,33.37
1967-01-01,54.71,-104.29,27.45,29.39,32.64,27.45,29.39,32.64,27.45,29.39,32.64
