time,lat,lon,rcp26_rx5day_p10,rcp26_rx5day_p50,rcp26_rx5day_p90,rcp45_rx5day_p10,rcp45_rx5day_p50,rcp45_rx5day_p90,rcp85_rx5day_p10,rcp85_rx5day_p50,rcp85_rx5day_p90
1950-01-01,54.71,-104.29,32.88,42.37,65.74,32.66,41.74,67.12,32.66,42.25,66.64
1951-01-01,54.71,-104.29,27.56,43.13,71.83,28.80,43.13,74.14,28.61,43.10,74.14
1952-01-01,54.71,-104.29,30.14,47.58,65.98,30.39,47.58,65.98,30.43,48.21,65.98
1953-01-01,54.71,-104.29,32.23,45.42,64.19,32.76,45.64,64.39,32.74,45.31,64.39
1954-01-01,54.71,-104.29,30.00,46.80,62.39,30.00,46.80,62.36,30.00,46.77,62.14
1955-01-01,54.71,-104.29,28.96,45.42,56.21,28.96,46.69,56.21,28.96,46.69,56.21
1956-01-01,54.71,-104.29,30.60,42.72,66.49,30.58,42.37,68.03,30.58,42.88,68.58
1957-01-01,54.71,-104.29,33.80,41.69,66.87,33.85,41.99,66.87,33.66,41.69,66.87
1958-01-01,54.71,-104.29,29.05,48.50,67.09,29.05,48.16,66.22,29.05,48.16,65.09
1959-01-01,54.71,-104.29,32.30,40.56,59.71,32.30,40.56,59.54,33.07,40.83,58.98
1960-01-01,54.71,-104.29,32.75,53.89,63.97,33.05,53.89,63.97,32.48,53.89,63.30
1961-01-01,54.71,-104.29,34.02,49.37,67.42,33.70,47.93,67.12,32.95,48.08,68.37
1962-01-01,54.71,-104.29,32.65,48.02,59.96,33.03,48.30,59.73,33.03,46.58,59.76
1963-01-01,54.71,-104.29,30.42,48.72,67.75,30.42,48.38,67.56,30.42,47.60,65.62
1964-01-01,54.71,-104.29,33.86,46.88,66.01,33.86,47.90,67.15,33.86,47.90,67.15
1965-01-01,54.71,-104.29,28.14,41.85,59.77,28.14,41.85,60.05,28.14,41.85,59.77
1966-01-01,54.71,-104.29,34.22,47.38,68.53,34.22,47.53,69.88,34.22,49.18,70.30
1967-01-01,54.71,-104.29,31.27,40.55,66.76,31.80,39.89,66.76,31.80,40.96,66.76
1968-01-01,54.71,-104.29,30.91,46.72,66.73,30.72,47.52,66.73,30.20,46.25,66.73
1969-01-01,54.71,-104.29,30.50,42.83,61.48,30.50,42.55,61.48,30.53,42.71,63.41
1970-01-01,54.71,-104.29,33.29,44.20,67.52,32.57,44.04,67.02,31.50,43.83,68.00
1971-01-01,54.71,-104.29,29.15,52.10,72.15,30.34,52.52,72.14,30.34,52.31,72.14
1972-01-01,54.71,-104.29,32.42,54.90,69.14,32.32,51.61,67.02,32.12,53.52,70.49
1973-01-01,54.71,-104.29,29.98,49.46,73.51,29.67,47.16,73.51,30.16,46.92,72.39
1974-01-01,54.71,-104.29,38.45,47.19,66.04,38.58,47.31,66.22,38.57,47.19,66.04
1975-01-01,54.71,-104.29,27.04,40.88,57.14,26.67,41.10,57.14,26.00,41.10,57.14
1976-01-01,54.71,-104.29,32.86,42.31,73.47,32.51,41.58,69.46,32.51,41.04,69.46
1977-01-01,54.71,-104.29,36.95,43.38,64.08,36.95,42.88,58.97,36.95,43.12,59.91
1978-01-01,54.71,-104.29,30.24,44.45,66.68,30.24,43.18,63.06,30.24,44.34,63.81
1979-01-01,54.71,-104.29,37.94,46.16,65.18,37.94,46.16,60.16,37.31,46.61,60.16
1980-01-01,54.71,-104.29,40.44,50.06,67.89,38.81,50.43,66.42,40.12,49.87,66.41
1981-01-01,54.71,-104.29,36.98,52.06,85.90,36.97,52.34,84.41,37.31,53.16,84.56
1982-01-01,54.71,-104.29,33.87,46.62,66.36,33.35,47.42,67.02,33.47,46.28,60.94
1983-01-01,54.71,-104.29,26.67,41.22,61.39,27.59,42.32,61.51,27.99,41.99,61.24
1984-01-01,54.71,-104.29,29.46,39.40,51.74,29.75,40.69,49.79,29.56,40.71,51.21
1985-01-01,54.71,-104.29,26.08,44.89,68.12,25.60,45.69,68.03,26.90,44.51,68.29
1986-01-01,54.71,-104.29,30.57,41.22,54.93,29.97,41.50,54.71,28.79,41.74,54.78
1987-01-01,54.71,-104.29,32.77,43.40,57.13,33.15,42.93,57.15,33.48,43.72,56.54
1988-01-01,54.71,-104.29,30.10,44.24,60.65,30.19,42.91,60.60,30.98,43.58,60.51
1989-01-01,54.71,-104.29,25.56,42.67,60.60,25.84,42.07,62.96,25.96,41.16,63.42
1990-01-01,54.71,-104.29,32.32,52.98,71.20,31.33,52.59,69.97,33.61,53.19,71.28
1991-01-01,54.71,-104.29,32.27,42.82,58.12,32.34,45.87,58.41,32.87,43.17,57.75
1992-01-01,54.71,-104.29,27.61,39.16,59.50,28.65,40.83,58.95,29.13,43.71,59.47
1993-01-01,54.71,-104.29,33.46,43.13,68.44,33.42,42.90,68.34,34.36,44.65,68.17
1994-01-01,54.71,-104.29,30.26,39.34,74.57,30.55,39.47,74.98,30.69,39.46,74.68
1995-01-01,54.71,-104.29,36.56,43.35,69.18,34.79,43.59,69.46,34.38,46.41,68.49
1996-01-01,54.71,-104.29,35.96,46.34,76.17,37.49,46.02,75.10,35.63,46.55,75.16
1997-01-01,54.71,-104.29,32.08,41.46,61.80,34.07,43.12,63.78,34.26,43.01,63.75
1998-01-01,54.71,-104.29,31.15,41.68,55.89,30.14,41.65,51.41,29.89,41.44,58.07
1999-01-01,54.71,-104.29,33.39,45.36,61.70,34.63,46.72,61.20,34.87,45.28,60.84
2000-01-01,54.71,-104.29,30.11,46.75,61.04,32.57,48.55,60.72,32.68,48.38,60.47
2001-01-01,54.71,-104.29,37.53,48.57,67.93,37.62,48.63,68.18,37.35,48.34,70.31
2002-01-01,54.71,-104.29,35.28,47.66,69.70,35.69,49.35,69.40,35.19,49.73,69.46
2003-01-01,54.71,-104.29,32.23,43.20,56.58,32.24,43.29,56.40,32.38,43.22,56.73
2004-01-01,54.71,-104.29,32.32,46.17,67.85,32.22,46.17,68.61,32.11,46.31,62.19
2005-01-01,54.71,-104.29,30.98,47.35,68.12,31.43,48.44,68.40,30.57,48.38,68.64
2006-01-01,54.71,-104.29,34.40,61.31,89.21,33.24,46.53,68.17,31.01,40.73,61.16
2007-01-01,54.71,-104.29,33.92,45.90,61.03,34.38,44.98,55.65,33.62,51.29,74.36
2008-01-01,54.71,-104.29,35.34,48.19,71.15,32.25,47.49,78.36,36.99,43.52,64.37
2009-01-01,54.71,-104.29,28.69,46.36,63.73,41.56,52.02,67.55,32.79,42.56,70.59
2010-01-01,54.71,-104.29,32.04,52.05,68.89,32.07,42.27,65.90,32.26,43.44,69.41
2011-01-01,54.71,-104.29,38.79,51.05,67.80,29.84,46.32,63.37,31.18,47.11,66.21
2012-01-01,54.71,-104.29,32.36,42.87,57.43,33.08,47.83,62.75,29.76,50.75,65.34
2013-01-01,54.71,-104.29,42.20,49.37,61.43,31.98,43.05,63.60,31.60,46.42,66.94
2014-01-01,54.71,-104.29,35.52,48.10,63.71,36.58,47.46,63.30,31.07,48.57,62.77
2015-01-01,54.71,-104.29,31.20,43.71,66.03,30.89,45.82,63.59,29.12,47.30,72.44
2016-01-01,54.71,-104.29,31.12,47.23,59.47,34.11,49.44,67.09,32.73,46.85,61.10
2017-01-01,54.71,-104.29,31.93,44.83,75.44,30.47,44.76,72.02,34.73,44.78,73.01
2018-01-01,54.71,-104.29,36.92,47.77,68.37,32.96,45.55,62.93,33.59,45.59,62.93
2019-01-01,54.71,-104.29,33.29,48.18,68.06,30.10,42.82,66.69,39.71,51.61,76.42
2020-01-01,54.71,-104.29,37.25,50.71,81.51,36.56,47.64,66.69,33.13,44.20,70.19
2021-01-01,54.71,-104.29,35.38,50.65,74.53,38.74,48.79,64.58,30.74,47.55,60.82
2022-01-01,54.71,-104.29,29.85,49.86,76.86,33.31,49.15,56.69,30.17,41.17,61.18
2023-01-01,54.71,-104.29,37.78,48.55,83.25,36.53,50.41,85.24,32.15,51.37,73.19
2024-01-01,54.71,-104.29,31.88,45.26,65.66,35.22,49.49,61.23,37.87,46.01,60.61
2025-01-01,54.71,-104.29,31.43,48.04,54.95,32.42,46.96,82.62,30.24,46.87,63.78
2026-01-01,54.71,-104.29,32.67,44.10,71.49,34.62,45.28,64.87,33.04,44.01,63.48
