time,lat,lon,rcp26_tn_mean_p10,rcp26_tn_mean_p50,rcp26_tn_mean_p90,rcp45_tn_mean_p10,rcp45_tn_mean_p50,rcp45_tn_mean_p90,rcp85_tn_mean_p10,rcp85_tn_mean_p50,rcp85_tn_mean_p90
1950-01-01,54.71,-104.29,-8.00,-6.58,-5.40,-8.00,-6.58,-5.40,-8.00,-6.58,-5.40
1951-01-01,54.71,-104.29,-8.16,-6.77,-5.73,-8.16,-6.77,-5.73,-8.16,-6.78,-5.73
1952-01-01,54.71,-104.29,-8.20,-6.96,-5.84,-8.20,-6.96,-5.84,-8.20,-6.96,-5.84
1953-01-01,54.71,-104.29,-8.10,-6.96,-6.08,-8.10,-6.96,-6.08,-8.10,-6.96,-6.10
1954-01-01,54.71,-104.29,-7.83,-6.84,-5.35,-7.83,-6.84,-5.35,-7.82,-6.89,-5.35
1955-01-01,54.71,-104.29,-7.73,-6.73,-5.10,-7.73,-6.73,-5.10,-7.73,-6.73,-5.22
1956-01-01,54.71,-104.29,-8.49,-6.62,-5.25,-8.49,-6.62,-5.25,-8.49,-6.62,-5.25
1957-01-01,54.71,-104.29,-8.33,-7.23,-5.49,-8.33,-7.23,-5.49,-8.50,-7.23,-5.49
1958-01-01,54.71,-104.29,-8.18,-7.14,-6.31,-8.18,-7.14,-6.31,-8.18,-7.14,-6.31
1959-01-01,54.71,-104.29,-8.51,-7.24,-5.43,-8.51,-7.24,-5.43,-8.51,-7.24,-5.43
1960-01-01,54.71,-104.29,-8.20,-6.93,-5.74,-8.20,-6.93,-5.74,-8.20,-6.93,-5.74
1961-01-01,54.71,-104.29,-8.32,-6.44,-5.14,-8.32,-6.44,-5.14,-8.32,-6.52,-5.14
1962-01-01,54.71,-104.29,-8.71,-7.10,-5.66,-8.71,-7.10,-5.66,-8.71,-7.10,-5.66
1963-01-01,54.71,-104.29,-8.02,-6.85,-6.12,-8.02,-6.85,-6.12,-8.02,-6.85,-6.12
1964-01-01,54.71,-104.29,-9.40,-7.19,-6.61,-9.40,-7.19,-6.61,-9.40,-7.19,-6.61
1965-01-01,54.71,-104.29,-8.20,-7.22,-6.18,-8.20,-7.22,-6.18,-8.20,-7.22,-6.18
1966-01-01,54.71,-104.29,-8.44,-7.10,-5.65,-8.44,-7.10,-5.65,-8.44,-7.16,-5.65
1967-01-01,54.71,-104.29,-8.15,-6.67,-5.29,-8.15,-6.67,-5.29,-8.15,-6.69,-5.29
1968-01-01,54.71,-104.29,-8.32,-7.17,-5.77,-8.32,-7.17,-5.77,-8.32,-7.17,-5.88
1969-01-01,54.71,-104.29,-8.94,-7.21,-5.98,-8.94,-7.21,-5.98,-8.94,-7.21,-6.09
1970-01-01,54.71,-104.29,-8.11,-6.67,-5.40,-8.11,-6.67,-5.40,-8.11,-6.67,-5.40
1971-01-01,54.71,-104.29,-8.06,-7.03,-5.52,-8.06,-7.03,-5.52,-8.06,-7.02,-5.52
