time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-104.29,54.71,363.57,430.03,564.24,363.57,428.67,563.46,363.57,429.41,562.98
1951-01-01,-104.29,54.71,335.43,441.04,557.99,335.57,441.25,558.67,335.48,441.31,557.83
1952-01-01,-104.29,54.71,375.47,446.33,572.35,375.14,446.35,572.21,375.36,446.34,572.13
1953-01-01,-104.29,54.71,336.06,505.39,591.60,338.48,505.40,591.85,340.16,505.40,591.84
1954-01-01,-104.29,54.71,370.64,447.10,550.34,369.12,447.09,552.62,369.12,447.09,553.82
1955-01-01,-104.29,54.71,368.88,479.10,569.71,371.24,479.90,567.97,368.85,478.94,567.97
1956-01-01,-104.29,54.71,371.84,459.65,552.45,371.84,459.61,552.46,371.84,458.90,552.45
1957-01-01,-104.29,54.71,380.32,468.69,552.68,379.97,468.85,552.68,379.97,468.18,552.68
1958-01-01,-104.29,54.71,377.03,487.36,536.07,377.03,487.03,534.87,377.02,487.85,536.37
1959-01-01,-104.29,54.71,349.00,445.97,549.12,349.32,447.51,549.14,350.17,447.24,549.12
1960-01-01,-104.29,54.71,395.11,475.22,582.25,395.10,473.70,582.68,395.10,472.59,581.87
1961-01-01,-104.29,54.71,398.75,486.33,576.40,399.16,486.33,576.41,400.35,486.33,576.41
1962-01-01,-104.29,54.71,420.84,473.85,547.60,421.31,473.28,547.75,422.78,473.28,547.76
1963-01-01,-104.29,54.71,380.52,517.03,608.42,380.52,513.83,607.70,380.52,513.72,608.16
1964-01-01,-104.29,54.71,411.49,472.53,607.15,412.35,472.44,607.53,412.35,472.44,607.55
1965-01-01,-104.29,54.71,360.70,423.03,589.23,360.70,423.03,589.24,360.70,423.03,589.24
1966-01-01,-104.29,54.71,333.43,457.98,575.97,334.17,457.51,577.70,331.25,457.50,576.97
1967-01-01,-104.29,54.71,363.05,435.34,548.04,363.22,437.97,548.06,363.21,436.41,548.06
1968-01-01,-104.29,54.71,393.25,468.20,573.23,393.25,470.81,575.66,393.25,471.63,575.04
1969-01-01,-104.29,54.71,354.67,469.66,559.18,353.76,470.46,556.82,353.76,469.83,555.06
1970-01-01,-104.29,54.71,348.52,437.05,540.95,348.52,437.06,540.95,348.52,437.06,540.96
1971-01-01,-104.29,54.71,353.41,470.95,553.32,353.41,470.95,553.32,353.41,470.95,553.30
1972-01-01,-104.29,54.71,406.10,492.93,581.65,406.15,491.11,581.64,406.37,490.94,581.65
1973-01-01,-104.29,54.71,380.66,485.28,565.98,380.66,483.81,564.81,380.66,483.76,564.67
1974-01-01,-104.29,54.71,383.42,474.48,565.26,383.43,474.64,565.26,383.42,474.45,565.26
1975-01-01,-104.29,54.71,339.15,433.80,513.57,337.51,432.22,513.57,338.72,433.52,513.57
1976-01-01,-104.29,54.71,366.64,431.62,503.56,366.63,431.05,503.56,366.63,430.52,503.56
1977-01-01,-104.29,54.71,377.28,452.45,564.32,377.47,452.45,564.14,377.47,452.45,563.13
1978-01-01,-104.29,54.71,343.96,410.99,588.30,342.39,410.86,586.52,342.82,412.12,586.53
1979-01-01,-104.29,54.71,384.91,481.41,565.04,384.91,480.56,565.36,384.91,480.55,565.20
1980-01-01,-104.29,54.71,384.10,474.92,596.02,387.62,475.62,595.17,387.15,475.14,594.66
1981-01-01,-104.29,54.71,427.60,469.99,598.58,426.12,471.12,600.82,429.02,471.45,599.42
1982-01-01,-104.29,54.71,397.22,493.28,567.72,397.37,490.93,566.21,397.43,493.54,564.12
1983-01-01,-104.29,54.71,358.32,449.78,549.37,357.39,450.81,548.88,357.08,450.38,550.07
1984-01-01,-104.29,54.71,346.03,426.70,506.99,345.74,425.86,508.87,344.78,425.36,508.51
1985-01-01,-104.29,54.71,362.84,468.50,565.57,363.44,467.50,567.27,365.14,466.46,565.69
1986-01-01,-104.29,54.71,369.44,464.48,555.30,369.82,462.71,553.95,369.09,465.21,556.28
1987-01-01,-104.29,54.71,386.98,453.49,549.84,384.08,454.07,548.41,385.54,453.29,548.83
1988-01-01,-104.29,54.71,385.93,463.93,578.60,385.80,465.22,578.45,385.67,463.56,579.02
1989-01-01,-104.29,54.71,346.23,449.98,573.13,347.25,449.69,576.65,348.55,449.94,575.18
1990-01-01,-104.29,54.71,374.47,500.06,637.81,374.53,497.91,635.23,374.54,500.35,633.49
1991-01-01,-104.29,54.71,377.82,463.48,550.17,378.09,464.98,546.93,377.84,464.43,549.74
1992-01-01,-104.29,54.71,332.26,445.77,509.55,332.09,445.41,503.97,333.76,445.61,507.96
1993-01-01,-104.29,54.71,360.23,454.66,526.99,359.24,457.80,526.56,359.14,455.40,525.16
1994-01-01,-104.29,54.71,404.99,457.02,564.01,405.87,457.40,563.40,406.20,456.74,562.90
1995-01-01,-104.29,54.71,382.99,434.35,597.29,381.46,434.57,595.45,380.75,432.62,594.26
1996-01-01,-104.29,54.71,393.65,469.41,558.86,393.38,470.84,556.13,393.77,470.44,555.30
1997-01-01,-104.29,54.71,354.99,439.90,554.08,354.96,441.53,559.88,354.99,440.77,559.39
1998-01-01,-104.29,54.71,370.14,429.56,530.15,370.54,429.91,525.98,369.72,429.39,525.46
1999-01-01,-104.29,54.71,396.33,446.71,509.68,398.05,447.64,518.13,395.72,448.62,513.39
2000-01-01,-104.29,54.71,380.72,464.19,518.45,382.96,466.36,517.50,382.90,464.04,516.44
2001-01-01,-104.29,54.71,396.44,489.37,594.14,397.96,494.63,592.88,397.02,493.03,592.23
2002-01-01,-104.29,54.71,392.85,487.21,565.38,397.97,489.79,563.39,396.33,489.38,565.46
2003-01-01,-104.29,54.71,417.72,488.25,562.16,419.66,486.95,565.82,418.69,486.79,563.44
2004-01-01,-104.29,54.71,369.92,463.23,607.89,368.14,464.21,610.44,366.73,463.89,608.93
2005-01-01,-104.29,54.71,370.60,477.51,612.65,369.70,476.51,613.14,369.89,476.34,610.43
2006-01-01,-104.29,54.71,386.70,510.55,663.00,344.56,467.97,579.83,351.45,469.16,564.49
2007-01-01,-104.29,54.71,387.01,455.13,623.78,378.32,442.64,565.06,396.01,499.13,627.50
2008-01-01,-104.29,54.71,424.79,522.14,668.31,364.63,469.48,602.17,380.88,476.48,607.98
2009-01-01,-104.29,54.71,354.19,488.92,584.60,397.25,527.11,584.95,370.17,465.23,581.51
2010-01-01,-104.29,54.71,390.78,504.49,593.83,365.37,499.69,622.14,386.08,469.30,577.78
2011-01-01,-104.29,54.71,398.55,488.99,604.82,360.48,472.72,564.49,362.62,468.71,568.50
2012-01-01,-104.29,54.71,407.49,468.46,530.46,366.48,495.22,580.91,375.54,450.79,583.40
2013-01-01,-104.29,54.71,430.21,523.39,612.90,411.13,480.50,583.23,397.44,478.06,559.45
2014-01-01,-104.29,54.71,431.77,515.31,634.35,372.15,485.43,554.39,367.30,483.26,558.76
2015-01-01,-104.29,54.71,383.97,453.50,602.20,371.45,470.32,609.76,378.78,472.59,573.01
2016-01-01,-104.29,54.71,352.32,465.71,565.80,408.34,469.73,570.24,373.23,489.66,579.44
2017-01-01,-104.29,54.71,384.58,474.30,559.54,381.41,459.21,535.77,375.60,461.82,597.71
2018-01-01,-104.29,54.71,388.67,490.06,602.61,407.66,462.05,552.23,411.44,459.90,556.44
2019-01-01,-104.29,54.71,396.01,472.12,631.84,359.38,444.16,530.58,345.21,466.08,615.97
2020-01-01,-104.29,54.71,433.03,509.81,610.93,375.91,506.72,637.34,366.18,452.15,607.66
2021-01-01,-104.29,54.71,341.32,481.89,591.20,387.27,450.57,553.59,392.96,462.00,567.80
2022-01-01,-104.29,54.71,406.91,505.47,565.15,378.60,492.30,588.60,349.65,452.27,539.64
2023-01-01,-104.29,54.71,418.66,516.47,608.49,411.44,493.53,583.34,363.08,468.19,599.53
2024-01-01,-104.29,54.71,418.06,458.09,566.66,415.83,466.84,539.94,415.60,490.68,551.60
2025-01-01,-104.29,54.71,391.13,479.06,575.39,400.63,461.78,541.30,384.11,484.69,585.54
2026-01-01,-104.29,54.71,378.19,479.38,544.22,373.84,453.34,550.39,385.16,476.80,549.03
2027-01-01,-104.29,54.71,426.39,500.68,578.40,437.42,500.93,558.26,381.30,459.73,577.68
2028-01-01,-104.29,54.71,388.17,492.47,537.44,390.03,491.15,567.33,393.47,478.49,580.36
2029-01-01,-104.29,54.71,385.95,475.47,600.08,395.71,527.70,609.93,383.03,506.13,583.03
