time,lon,lat,rcp26_r1mm_p10,rcp26_r1mm_p50,rcp26_r1mm_p90,rcp45_r1mm_p10,rcp45_r1mm_p50,rcp45_r1mm_p90,rcp85_r1mm_p10,rcp85_r1mm_p50,rcp85_r1mm_p90
1950-01-01,-104.29,54.71,91.30,106.00,119.00,91.30,105.50,118.70,91.30,105.50,119.00
1951-01-01,-104.29,54.71,95.30,104.00,119.00,94.60,103.00,121.80,94.60,103.00,121.10
1952-01-01,-104.29,54.71,90.00,105.00,126.20,90.00,105.00,126.20,90.00,104.50,127.60
1953-01-01,-104.29,54.71,92.80,107.50,125.20,93.90,108.00,125.20,94.90,108.00,125.20
1954-01-01,-104.29,54.71,93.20,106.00,115.70,93.20,106.00,116.00,93.20,106.00,115.70
1955-01-01,-104.29,54.71,94.20,109.50,117.00,94.20,109.50,117.00,94.90,108.50,117.00
1956-01-01,-104.29,54.71,92.30,107.00,125.40,93.30,107.00,125.40,93.30,107.00,125.40
1957-01-01,-104.29,54.71,92.80,108.50,124.90,93.10,108.50,124.90,92.80,108.50,124.90
1958-01-01,-104.29,54.71,94.80,111.00,124.20,94.80,111.00,124.20,94.80,111.00,123.90
1959-01-01,-104.29,54.71,88.90,105.50,127.40,88.90,105.50,127.40,88.90,105.50,127.40
1960-01-01,-104.29,54.71,89.30,110.00,126.10,90.00,109.00,125.40,90.00,109.50,125.40
1961-01-01,-104.29,54.71,101.30,110.50,119.70,101.30,110.50,120.70,101.30,110.50,120.70
1962-01-01,-104.29,54.71,97.90,111.00,125.50,97.90,111.00,126.20,97.90,110.50,125.50
1963-01-01,-104.29,54.71,93.50,114.50,135.40,93.50,115.00,135.70,93.50,114.00,135.70
1964-01-01,-104.29,54.71,92.10,108.00,121.00,92.10,108.00,121.00,92.10,108.00,121.00
1965-01-01,-104.29,54.71,91.00,103.00,121.40,91.00,102.50,121.40,91.00,103.00,121.40
1966-01-01,-104.29,54.71,90.00,107.00,120.70,90.00,107.00,120.70,90.00,107.00,120.70
1967-01-01,-104.29,54.71,92.00,101.00,126.80,92.00,101.00,126.80,92.00,101.00,126.80
1968-01-01,-104.29,54.71,98.30,108.00,121.70,98.30,108.00,123.10,98.30,108.00,121.70
1969-01-01,-104.29,54.71,95.30,106.00,119.50,96.30,106.00,119.80,96.30,107.00,119.80
1970-01-01,-104.29,54.71,93.00,104.00,120.70,92.30,104.00,120.70,92.30,105.00,120.70
1971-01-01,-104.29,54.71,90.90,107.50,120.10,90.90,107.50,120.10,90.90,107.50,120.10
1972-01-01,-104.29,54.71,97.90,110.00,117.80,97.90,110.00,117.00,97.90,110.00,116.40
1973-01-01,-104.29,54.71,94.00,107.00,124.40,94.00,107.00,124.40,94.00,107.00,124.40
1974-01-01,-104.29,54.71,94.30,107.50,120.10,94.30,107.00,119.40,94.30,107.50,119.40
1975-01-01,-104.29,54.71,85.60,103.00,112.40,85.60,103.00,112.40,85.60,103.00,112.40
1976-01-01,-104.29,54.71,89.00,102.00,117.10,89.00,101.00,117.10,89.00,101.00,117.10
1977-01-01,-104.29,54.71,89.20,106.00,122.80,89.50,106.00,122.10,89.50,106.50,121.40
1978-01-01,-104.29,54.71,88.00,101.50,122.10,88.30,101.50,122.10,87.30,101.00,122.10
1979-01-01,-104.29,54.71,89.10,106.50,121.20,89.10,107.00,121.50,89.10,106.00,121.50
1980-01-01,-104.29,54.71,85.60,108.00,127.70,85.90,107.00,126.70,85.90,107.50,126.70
1981-01-01,-104.29,54.71,94.90,103.00,119.10,93.60,103.50,119.40,93.90,103.00,118.80
1982-01-01,-104.29,54.71,90.00,111.50,124.50,90.00,112.50,126.80,90.00,112.00,126.90
