time,lat,lon,rcp26_gddgrow_5_p10,rcp26_gddgrow_5_p50,rcp26_gddgrow_5_p90,rcp45_gddgrow_5_p10,rcp45_gddgrow_5_p50,rcp45_gddgrow_5_p90,rcp85_gddgrow_5_p10,rcp85_gddgrow_5_p50,rcp85_gddgrow_5_p90
1950-01-01,49.87,-105.71,1567.00,1759.10,1990.39,1567.00,1758.96,1990.39,1567.00,1758.96,1990.39
1951-01-01,49.87,-105.71,1562.04,1789.34,1997.31,1562.04,1789.33,1997.09,1562.05,1789.34,1997.30
1952-01-01,49.87,-105.71,1565.47,1787.24,2045.09,1565.47,1787.40,2045.09,1565.47,1787.72,2045.09
1953-01-01,49.87,-105.71,1502.02,1734.63,1989.74,1502.02,1734.63,1989.32,1502.02,1734.63,1988.86
1954-01-01,49.87,-105.71,1583.70,1752.64,1976.03,1583.79,1753.08,1976.02,1583.46,1755.31,1976.03
1955-01-01,49.87,-105.71,1622.21,1790.36,1964.13,1622.55,1790.59,1964.13,1622.37,1790.32,1964.13
1956-01-01,49.87,-105.71,1489.62,1748.08,1961.33,1489.61,1748.39,1961.33,1490.07,1747.94,1961.33
1957-01-01,49.87,-105.71,1477.11,1736.75,1945.25,1477.10,1736.75,1945.25,1477.11,1736.75,1945.25
1958-01-01,49.87,-105.71,1482.90,1705.72,1815.33,1483.05,1705.43,1815.33,1482.90,1704.67,1815.33
1959-01-01,49.87,-105.71,1393.26,1603.35,1849.63,1393.57,1604.14,1849.64,1393.39,1603.09,1849.64
1960-01-01,49.87,-105.71,1593.63,1713.64,1871.68,1593.62,1713.64,1870.05,1593.62,1714.62,1870.05
1961-01-01,49.87,-105.71,1549.44,1703.96,1948.52,1548.72,1703.51,1948.42,1550.30,1702.87,1949.09
1962-01-01,49.87,-105.71,1523.96,1688.41,1940.76,1523.71,1688.55,1941.58,1523.86,1688.72,1941.58
1963-01-01,49.87,-105.71,1424.98,1636.23,1849.83,1423.90,1635.83,1849.83,1424.06,1636.76,1849.83
1964-01-01,49.87,-105.71,1401.45,1554.47,1730.63,1400.84,1554.47,1730.63,1402.55,1554.47,1730.63
1965-01-01,49.87,-105.71,1412.50,1580.48,1783.10,1412.50,1579.08,1783.03,1412.50,1579.74,1782.52
1966-01-01,49.87,-105.71,1393.04,1579.32,1867.81,1393.04,1579.32,1868.02,1393.04,1580.44,1868.05
1967-01-01,49.87,-105.71,1504.04,1739.57,1896.97,1504.98,1740.31,1896.97,1504.35,1740.02,1896.97
1968-01-01,49.87,-105.71,1478.14,1667.46,1823.93,1478.61,1667.50,1824.08,1478.75,1665.42,1824.07
1969-01-01,49.87,-105.71,1296.05,1634.31,1817.81,1297.17,1634.31,1818.43,1297.16,1634.31,1818.34
1970-01-01,49.87,-105.71,1527.84,1706.23,1940.78,1527.84,1706.23,1940.62,1527.84,1706.23,1940.62
1971-01-01,49.87,-105.71,1457.86,1662.06,1976.10,1457.86,1660.45,1976.11,1457.85,1659.83,1976.10
1972-01-01,49.87,-105.71,1552.02,1723.82,1879.28,1552.02,1723.82,1879.26,1552.02,1726.22,1879.45
1973-01-01,49.87,-105.71,1518.92,1654.62,1875.57,1518.92,1655.01,1875.57,1518.92,1653.91,1875.57
1974-01-01,49.87,-105.71,1461.95,1658.93,1869.82,1461.95,1658.93,1869.82,1461.95,1658.93,1870.69
1975-01-01,49.87,-105.71,1474.15,1725.00,1985.03,1474.15,1723.20,1984.53,1474.15,1722.60,1984.82
1976-01-01,49.87,-105.71,1523.99,1735.23,1966.54,1523.99,1735.23,1966.93,1523.99,1735.23,1968.04
1977-01-01,49.87,-105.71,1529.14,1789.41,2028.44,1529.14,1788.73,2028.80,1529.14,1788.63,2028.75
1978-01-01,49.87,-105.71,1607.95,1759.43,1921.12,1607.95,1759.52,1920.63,1607.95,1759.52,1920.36
1979-01-01,49.87,-105.71,1545.54,1766.55,1979.53,1545.53,1766.55,1979.53,1545.53,1766.55,1979.53
1980-01-01,49.87,-105.71,1545.15,1742.39,1919.86,1548.15,1741.82,1919.02,1542.52,1741.35,1922.98
1981-01-01,49.87,-105.71,1543.03,1833.77,2028.55,1542.69,1833.67,2029.85,1540.73,1833.37,2032.03
1982-01-01,49.87,-105.71,1493.38,1707.18,2032.31,1493.03,1705.80,2034.25,1492.79,1708.56,2033.87
1983-01-01,49.87,-105.71,1480.49,1702.61,1813.82,1479.25,1701.85,1814.73,1477.80,1703.98,1818.24
1984-01-01,49.87,-105.71,1662.60,1777.16,1989.92,1659.94,1773.27,1989.37,1661.61,1773.64,1988.66
1985-01-01,49.87,-105.71,1534.22,1715.23,2039.38,1534.27,1710.31,2040.77,1535.41,1711.05,2041.51
1986-01-01,49.87,-105.71,1521.58,1739.88,1969.37,1520.29,1738.90,1966.81,1523.75,1738.98,1965.58
1987-01-01,49.87,-105.71,1522.27,1746.57,1935.52,1526.70,1746.99,1932.29,1524.06,1747.75,1932.17
1988-01-01,49.87,-105.71,1608.06,1810.93,2047.43,1612.08,1809.04,2051.60,1607.36,1809.02,2052.59
1989-01-01,49.87,-105.71,1654.86,1837.64,2124.68,1654.27,1834.96,2127.17,1655.28,1830.10,2122.59
1990-01-01,49.87,-105.71,1530.97,1720.01,2082.15,1533.87,1719.87,2080.45,1526.34,1720.02,2080.96
1991-01-01,49.87,-105.71,1467.75,1794.93,2019.30,1469.77,1791.38,2022.08,1471.70,1791.86,2024.41
1992-01-01,49.87,-105.71,1485.55,1702.39,1843.48,1487.94,1702.13,1845.12,1487.12,1700.67,1844.66
1993-01-01,49.87,-105.71,1508.14,1669.30,2010.19,1510.84,1669.96,2010.77,1506.28,1666.57,2012.26
