time,lat,lon,rcp26_tx_max_p10,rcp26_tx_max_p50,rcp26_tx_max_p90,rcp45_tx_max_p10,rcp45_tx_max_p50,rcp45_tx_max_p90,rcp85_tx_max_p10,rcp85_tx_max_p50,rcp85_tx_max_p90
1950-01-01,50.04,-105.38,32.65,35.32,38.43,32.65,35.32,38.43,32.65,35.32,38.43
1951-01-01,50.04,-105.38,33.82,35.79,37.62,33.82,35.79,37.62,33.82,35.79,37.62
1952-01-01,50.04,-105.38,34.05,36.46,40.95,34.05,36.46,40.95,34.05,36.46,40.95
1953-01-01,50.04,-105.38,32.71,36.01,38.13,32.71,36.01,38.13,32.71,36.01,38.13
1954-01-01,50.04,-105.38,33.80,35.37,37.23,33.80,35.37,37.23,33.80,35.37,37.23
1955-01-01,50.04,-105.38,33.28,35.64,37.28,33.28,35.64,37.28,33.28,35.64,37.28
1956-01-01,50.04,-105.38,32.14,36.11,38.62,32.14,36.11,38.62,32.14,36.11,38.62
1957-01-01,50.04,-105.38,32.76,35.16,37.08,32.76,35.16,37.08,32.76,35.16,37.08
1958-01-01,50.04,-105.38,32.02,34.98,37.86,32.02,34.98,37.86,32.02,34.98,37.86
1959-01-01,50.04,-105.38,31.67,34.66,37.05,31.67,34.66,37.05,31.67,34.66,37.05
1960-01-01,50.04,-105.38,32.79,35.55,37.20,32.79,35.55,37.20,32.79,35.55,37.20
1961-01-01,50.04,-105.38,32.36,34.88,37.59,32.36,34.88,37.59,32.36,34.88,37.59
1962-01-01,50.04,-105.38,32.65,34.49,37.03,32.65,34.49,37.03,32.65,34.49,37.03
1963-01-01,50.04,-105.38,31.07,35.14,37.95,31.07,35.14,37.95,31.07,35.14,37.95
1964-01-01,50.04,-105.38,31.38,34.08,35.90,31.38,34.08,35.90,31.38,34.08,35.90
1965-01-01,50.04,-105.38,31.85,34.95,38.78,31.85,34.95,38.78,31.85,34.95,38.78
1966-01-01,50.04,-105.38,32.36,34.78,37.48,32.36,34.78,37.48,32.36,34.78,37.48
1967-01-01,50.04,-105.38,31.81,35.54,38.37,31.81,35.54,38.37,31.81,35.54,38.37
1968-01-01,50.04,-105.38,32.39,35.12,37.14,32.39,35.12,37.14,32.39,35.12,37.14
