time,lat,lon,rcp26_txgt_25_p10,rcp26_txgt_25_p50,rcp26_txgt_25_p90,rcp45_txgt_25_p10,rcp45_txgt_25_p50,rcp45_txgt_25_p90,rcp85_txgt_25_p10,rcp85_txgt_25_p50,rcp85_txgt_25_p90
1950-01-01,50.04,-105.38,45.50,63.00,81.20,45.50,63.00,81.20,45.50,63.00,81.20
1951-01-01,50.04,-105.38,42.00,63.00,82.20,42.00,63.00,82.20,42.00,63.00,82.20
1952-01-01,50.04,-105.38,44.30,67.00,83.40,44.30,67.00,83.40,44.30,67.00,83.40
1953-01-01,50.04,-105.38,34.80,54.00,81.70,34.80,54.00,81.70,34.80,54.00,81.70
1954-01-01,50.04,-105.38,44.30,60.00,78.70,44.30,60.00,78.70,44.30,60.00,78.70
1955-01-01,50.04,-105.38,41.00,58.50,74.60,41.00,58.50,74.60,41.00,58.50,74.60
1956-01-01,50.04,-105.38,28.50,64.00,73.00,28.50,64.00,73.00,28.50,64.00,73.00
1957-01-01,50.04,-105.38,38.20,55.50,77.40,38.20,55.50,77.40,38.20,55.50,77.40
1958-01-01,50.04,-105.38,37.10,55.50,64.70,37.10,55.50,64.70,37.10,55.50,64.70
1959-01-01,50.04,-105.38,30.30,53.00,64.70,30.30,53.00,64.70,30.30,53.00,64.70
1960-01-01,50.04,-105.38,44.70,59.50,76.00,44.70,59.50,76.00,44.70,59.50,76.00
1961-01-01,50.04,-105.38,41.30,52.50,74.00,41.30,52.50,74.00,41.30,52.50,74.00
1962-01-01,50.04,-105.38,32.30,54.50,67.40,32.30,54.50,67.40,32.30,54.50,67.40
1963-01-01,50.04,-105.38,28.30,48.00,79.00,28.30,48.00,79.00,28.30,48.00,79.00
1964-01-01,50.04,-105.38,31.20,47.50,65.10,31.20,47.50,65.10,31.20,47.50,65.10
1965-01-01,50.04,-105.38,32.30,50.00,66.70,32.30,50.00,66.70,32.30,50.00,66.70
1966-01-01,50.04,-105.38,27.70,45.50,70.00,27.70,45.50,70.00,27.70,45.50,70.00
1967-01-01,50.04,-105.38,40.30,55.00,68.80,40.30,55.00,68.80,40.30,55.00,68.80
1968-01-01,50.04,-105.38,35.20,52.00,77.40,35.20,52.00,77.40,35.20,52.00,77.40
1969-01-01,50.04,-105.38,31.60,55.00,67.70,31.60,55.00,67.70,31.60,55.00,67.70
1970-01-01,50.04,-105.38,43.60,55.00,74.40,43.60,55.00,74.40,43.60,55.00,74.40
1971-01-01,50.04,-105.38,31.00,51.00,75.10,31.00,51.00,75.10,31.00,51.00,75.10
1972-01-01,50.04,-105.38,42.30,57.50,73.10,42.30,57.50,73.10,42.30,57.50,73.10
1973-01-01,50.04,-105.38,35.60,49.50,73.40,35.60,49.50,73.40,35.60,49.50,73.40
1974-01-01,50.04,-105.38,39.90,50.00,76.10,39.90,50.00,76.10,39.90,50.00,76.10
1975-01-01,50.04,-105.38,38.00,58.50,80.20,38.00,58.50,80.20,38.00,58.50,80.20
1976-01-01,50.04,-105.38,37.90,61.00,84.50,37.90,61.00,84.50,37.90,61.00,84.50
1977-01-01,50.04,-105.38,40.50,64.50,80.40,40.50,64.50,80.40,40.50,64.50,80.40
1978-01-01,50.04,-105.38,44.50,62.00,71.40,44.50,62.00,71.40,44.50,62.00,71.40
1979-01-01,50.04,-105.38,43.60,58.50,84.40,43.60,58.50,84.40,43.60,58.50,84.40
1980-01-01,50.04,-105.38,39.30,59.50,69.70,39.30,60.00,70.40,38.60,59.50,70.70
1981-01-01,50.04,-105.38,42.20,67.00,86.40,42.90,67.00,87.10,42.90,66.00,86.80
1982-01-01,50.04,-105.38,35.60,55.50,77.70,35.60,55.50,77.70,35.60,55.00,77.70
1983-01-01,50.04,-105.38,31.90,55.00,66.00,31.60,55.00,66.40,31.90,55.00,66.00
1984-01-01,50.04,-105.38,42.40,57.50,77.70,42.10,57.50,77.80,42.10,58.00,77.10
1985-01-01,50.04,-105.38,37.30,54.00,80.00,36.60,54.00,79.40,37.60,53.50,80.00
1986-01-01,50.04,-105.38,31.60,62.00,78.00,31.60,61.50,78.00,32.60,62.00,77.70
1987-01-01,50.04,-105.38,38.30,58.50,70.00,39.00,59.00,69.40,39.00,58.50,69.40
1988-01-01,50.04,-105.38,43.20,62.50,78.40,44.30,62.50,78.40,43.20,63.00,78.40
1989-01-01,50.04,-105.38,48.50,64.50,85.00,49.20,64.50,85.00,50.20,64.00,85.00
1990-01-01,50.04,-105.38,42.30,51.00,81.90,42.60,51.50,81.20,42.60,51.00,81.20
1991-01-01,50.04,-105.38,35.80,61.00,76.40,35.80,61.00,77.70,35.80,60.00,76.10
1992-01-01,50.04,-105.38,28.00,51.00,73.70,28.60,51.00,74.00,28.00,51.00,73.70
1993-01-01,50.04,-105.38,33.60,50.50,79.90,33.30,51.00,79.90,33.60,51.00,79.90
1994-01-01,50.04,-105.38,39.60,56.00,83.10,39.60,55.50,83.10,39.60,55.50,83.10
1995-01-01,50.04,-105.38,46.30,64.00,83.70,44.90,64.50,83.70,45.20,64.50,83.70
1996-01-01,50.04,-105.38,38.80,63.00,73.70,38.80,63.50,75.00,38.10,63.00,74.70
1997-01-01,50.04,-105.38,43.60,60.00,73.10,43.30,60.00,72.80,44.00,60.00,73.80
1998-01-01,50.04,-105.38,51.00,65.50,77.40,51.00,66.00,78.10,48.90,66.00,77.00
