time,lat,lon,rcp26_tnlt_-15_p10,rcp26_tnlt_-15_p50,rcp26_tnlt_-15_p90,rcp45_tnlt_-15_p10,rcp45_tnlt_-15_p50,rcp45_tnlt_-15_p90,rcp85_tnlt_-15_p10,rcp85_tnlt_-15_p50,rcp85_tnlt_-15_p90
1950-01-01,50.04,-105.38,39.30,60.50,78.90,39.30,60.50,78.90,40.90,60.50,78.90
1951-01-01,50.04,-105.38,46.00,65.00,84.70,46.00,65.00,84.70,46.00,67.00,84.70
1952-01-01,50.04,-105.38,52.30,63.50,76.10,52.30,63.50,76.10,52.30,63.50,76.10
1953-01-01,50.04,-105.38,44.60,65.50,80.80,44.60,65.50,80.80,46.30,65.50,80.80
1954-01-01,50.04,-105.38,39.20,65.00,79.50,39.20,65.00,79.50,39.20,65.00,79.50
1955-01-01,50.04,-105.38,49.90,61.00,77.70,49.90,61.00,77.70,52.30,61.00,77.70
1956-01-01,50.04,-105.38,37.30,67.50,83.40,37.30,67.50,83.40,37.30,67.50,83.40
1957-01-01,50.04,-105.38,48.00,68.00,88.50,48.00,68.00,88.50,48.00,68.00,88.50
1958-01-01,50.04,-105.38,52.30,64.50,83.70,52.30,64.50,83.70,52.30,66.50,83.70
1959-01-01,50.04,-105.38,44.00,68.50,87.80,44.00,68.50,87.80,44.00,68.50,87.80
1960-01-01,50.04,-105.38,38.10,63.00,89.40,38.10,63.00,89.40,37.80,63.00,89.40
1961-01-01,50.04,-105.38,39.60,65.50,83.00,39.60,65.50,83.00,39.60,65.50,83.00
1962-01-01,50.04,-105.38,44.20,67.00,83.00,44.20,67.00,83.00,46.30,67.00,83.00
1963-01-01,50.04,-105.38,46.50,65.50,73.00,46.50,65.50,73.00,46.50,65.50,73.00
1964-01-01,50.04,-105.38,57.30,74.00,98.80,57.30,74.00,98.80,57.30,74.00,98.80
1965-01-01,50.04,-105.38,56.30,70.00,87.70,56.30,70.00,87.70,56.30,70.00,87.70
1966-01-01,50.04,-105.38,53.00,69.00,84.50,53.00,69.00,84.50,53.00,69.00,84.50
1967-01-01,50.04,-105.38,33.50,63.00,85.50,33.50,63.00,85.50,33.50,63.00,85.50
1968-01-01,50.04,-105.38,45.00,65.50,86.80,45.00,65.50,86.80,45.00,65.50,86.80
1969-01-01,50.04,-105.38,48.10,67.00,82.80,48.10,67.00,82.80,48.10,67.00,82.80
1970-01-01,50.04,-105.38,47.90,71.00,87.10,47.90,71.00,87.10,47.90,71.00,87.10
1971-01-01,50.04,-105.38,44.30,67.00,77.70,44.30,67.00,77.70,44.30,67.00,77.70
1972-01-01,50.04,-105.38,51.50,64.50,80.40,51.50,64.50,80.40,51.50,64.50,80.40
1973-01-01,50.04,-105.38,39.80,64.50,83.10,39.80,64.50,83.10,39.20,64.50,83.10
1974-01-01,50.04,-105.38,51.30,65.50,89.10,51.30,65.50,89.10,51.30,65.50,89.10
1975-01-01,50.04,-105.38,58.00,69.00,85.10,58.00,69.00,85.10,58.00,69.00,85.10
1976-01-01,50.04,-105.38,47.30,65.00,81.80,47.30,65.00,81.80,47.30,65.00,81.80
1977-01-01,50.04,-105.38,47.50,64.50,72.40,47.50,64.50,72.40,47.50,64.50,72.40
1978-01-01,50.04,-105.38,50.60,60.00,74.10,50.60,60.00,74.10,52.00,60.00,74.10
1979-01-01,50.04,-105.38,39.90,63.50,78.80,39.90,63.50,78.80,39.90,63.50,78.80
1980-01-01,50.04,-105.38,49.90,70.00,83.10,49.60,69.50,83.80,49.90,70.50,82.40
1981-01-01,50.04,-105.38,46.30,63.50,83.70,46.60,63.50,85.10,47.30,63.50,84.40
1982-01-01,50.04,-105.38,54.00,68.50,93.40,54.00,67.50,93.40,53.30,68.00,94.00
1983-01-01,50.04,-105.38,51.20,70.00,80.70,50.90,69.50,81.70,51.60,70.00,81.40
