time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-105.71,49.87,252.67,352.29,430.32,252.92,351.21,430.33,252.92,351.47,430.33
1951-01-01,-105.71,49.87,250.00,335.65,466.90,250.40,336.23,468.66,250.40,335.96,466.97
1952-01-01,-105.71,49.87,276.28,338.91,446.77,276.48,338.47,443.74,276.48,336.39,445.50
1953-01-01,-105.71,49.87,229.06,384.47,465.59,229.67,384.31,465.06,229.65,384.92,465.06
1954-01-01,-105.71,49.87,249.37,325.79,449.27,249.37,326.47,449.32,249.37,326.47,449.43
1955-01-01,-105.71,49.87,290.22,359.16,467.07,288.66,359.16,467.07,288.65,359.16,467.06
1956-01-01,-105.71,49.87,253.86,339.63,476.35,253.86,335.92,475.00,253.85,335.21,474.02
1957-01-01,-105.71,49.87,244.00,363.64,482.23,242.93,363.64,482.79,243.96,363.65,481.06
1958-01-01,-105.71,49.87,306.19,363.98,493.10,304.03,363.99,495.19,306.00,363.98,495.20
1959-01-01,-105.71,49.87,295.85,390.54,513.31,295.85,390.61,511.62,295.85,390.68,512.57
1960-01-01,-105.71,49.87,281.65,375.09,479.79,281.65,376.64,479.81,281.65,379.25,479.81
1961-01-01,-105.71,49.87,267.09,385.96,455.94,266.46,385.60,455.94,266.76,385.60,455.94
1962-01-01,-105.71,49.87,285.37,386.55,501.12,285.37,384.50,500.37,285.37,384.49,501.61
1963-01-01,-105.71,49.87,281.60,370.68,515.87,281.60,370.08,516.57,281.20,370.08,515.41
1964-01-01,-105.71,49.87,268.30,378.91,469.32,268.30,378.91,469.32,268.31,378.91,469.31
1965-01-01,-105.71,49.87,282.74,383.27,474.67,282.73,383.27,474.66,282.73,383.27,474.66
1966-01-01,-105.71,49.87,287.32,365.88,477.20,288.72,365.88,476.59,287.44,365.88,476.59
1967-01-01,-105.71,49.87,224.44,310.44,470.97,220.46,311.81,470.97,220.46,311.50,470.97
1968-01-01,-105.71,49.87,285.35,352.08,455.68,285.65,352.08,455.68,285.31,352.08,455.68
1969-01-01,-105.71,49.87,270.02,361.29,458.11,270.02,362.28,458.11,270.02,360.91,458.12
1970-01-01,-105.71,49.87,276.66,346.52,445.93,279.74,345.18,443.55,279.71,345.33,445.13
1971-01-01,-105.71,49.87,221.14,393.06,501.89,222.05,387.20,501.89,222.01,387.20,501.89
1972-01-01,-105.71,49.87,243.36,328.08,419.15,243.59,328.07,419.54,242.71,328.07,418.84
1973-01-01,-105.71,49.87,287.12,383.40,443.87,285.94,383.40,443.17,288.38,383.40,444.34
1974-01-01,-105.71,49.87,287.63,371.69,460.14,287.63,370.98,460.14,287.63,370.75,460.14
1975-01-01,-105.71,49.87,261.60,345.28,437.98,260.51,343.91,438.04,261.56,343.91,437.60
1976-01-01,-105.71,49.87,223.80,353.07,445.11,225.11,353.06,444.62,224.99,353.05,444.62
1977-01-01,-105.71,49.87,268.66,350.26,426.37,269.62,350.25,426.37,267.92,350.25,426.36
1978-01-01,-105.71,49.87,272.97,344.85,432.67,272.80,340.48,432.67,272.46,340.48,432.67
1979-01-01,-105.71,49.87,236.06,352.99,434.60,235.66,352.99,434.60,236.04,352.99,434.60
1980-01-01,-105.71,49.87,281.48,392.51,484.48,283.77,393.93,486.04,285.07,392.45,488.36
1981-01-01,-105.71,49.87,232.89,338.22,470.87,229.79,342.20,468.38,231.96,341.52,469.43
1982-01-01,-105.71,49.87,292.19,381.66,474.12,294.75,381.56,476.36,296.70,379.29,474.13
1983-01-01,-105.71,49.87,279.07,348.26,489.48,281.35,345.04,491.46,280.13,345.85,492.08
1984-01-01,-105.71,49.87,255.83,337.29,407.05,255.03,337.94,411.51,254.26,339.23,413.96
1985-01-01,-105.71,49.87,280.30,359.87,446.16,278.17,360.41,446.73,278.21,358.91,446.96
1986-01-01,-105.71,49.87,244.72,336.70,447.95,243.08,337.58,446.08,244.89,336.71,450.51
1987-01-01,-105.71,49.87,271.05,346.97,455.90,270.27,349.40,459.62,270.53,349.31,458.77
1988-01-01,-105.71,49.87,272.65,351.06,449.51,272.49,352.80,450.32,273.90,351.30,450.64
1989-01-01,-105.71,49.87,253.88,346.19,445.59,257.86,345.08,445.79,257.27,345.72,445.40
1990-01-01,-105.71,49.87,284.29,388.05,445.45,285.63,387.91,446.68,284.56,388.95,448.53
1991-01-01,-105.71,49.87,254.22,352.28,484.33,256.32,355.08,485.89,255.32,356.01,485.24
1992-01-01,-105.71,49.87,261.18,341.19,441.86,262.41,340.04,444.50,263.08,340.99,443.81
1993-01-01,-105.71,49.87,273.64,374.93,466.50,273.15,374.93,468.95,273.61,378.01,469.65
1994-01-01,-105.71,49.87,275.54,347.51,436.88,275.48,351.96,438.38,275.01,348.93,443.26
