time,lat,lon,rcp26_tn_min_p10,rcp26_tn_min_p50,rcp26_tn_min_p90,rcp45_tn_min_p10,rcp45_tn_min_p50,rcp45_tn_min_p90,rcp85_tn_min_p10,rcp85_tn_min_p50,rcp85_tn_min_p90
1950-01-01,58.54,-107.04,-46.34,-44.78,-41.92,-46.34,-44.78,-41.92,-46.33,-44.88,-41.92
1951-01-01,58.54,-107.04,-47.52,-44.85,-42.79,-47.52,-44.85,-42.79,-47.52,-44.85,-42.79
1952-01-01,58.54,-107.04,-46.49,-44.90,-42.82,-46.49,-44.90,-42.82,-46.40,-44.90,-42.82
1953-01-01,58.54,-107.04,-46.89,-45.07,-41.26,-46.89,-45.07,-41.26,-46.89,-45.07,-41.26
1954-01-01,58.54,-107.04,-46.77,-44.35,-41.78,-46.77,-44.35,-41.78,-46.77,-44.35,-41.78
1955-01-01,58.54,-107.04,-46.65,-44.19,-41.85,-46.65,-44.19,-41.85,-46.65,-44.19,-41.85
1956-01-01,58.54,-107.04,-46.82,-44.13,-41.76,-46.82,-44.13,-41.76,-46.82,-44.13,-41.76
1957-01-01,58.54,-107.04,-46.72,-44.81,-41.31,-46.72,-44.81,-41.31,-46.72,-44.81,-41.31
1958-01-01,58.54,-107.04,-46.58,-45.07,-43.24,-46.58,-45.07,-43.24,-46.58,-45.07,-43.24
1959-01-01,58.54,-107.04,-46.47,-44.54,-43.54,-46.47,-44.54,-43.54,-46.47,-44.54,-43.54
1960-01-01,58.54,-107.04,-47.28,-45.64,-40.94,-47.28,-45.64,-40.94,-47.28,-45.19,-40.94
1961-01-01,58.54,-107.04,-47.59,-44.34,-39.81,-47.59,-44.34,-39.81,-47.59,-44.34,-39.81
1962-01-01,58.54,-107.04,-46.46,-45.27,-41.11,-46.46,-45.27,-41.11,-46.46,-45.26,-41.11
1963-01-01,58.54,-107.04,-46.52,-44.48,-41.80,-46.52,-44.48,-41.80,-46.52,-44.48,-41.80
1964-01-01,58.54,-107.04,-46.71,-45.04,-43.04,-46.71,-45.04,-43.04,-46.71,-45.04,-43.04
1965-01-01,58.54,-107.04,-46.68,-44.99,-40.95,-46.68,-44.99,-40.95,-46.68,-44.99,-40.95
1966-01-01,58.54,-107.04,-46.62,-44.87,-41.37,-46.62,-44.87,-41.37,-46.62,-44.87,-41.37
1967-01-01,58.54,-107.04,-47.56,-44.93,-40.56,-47.56,-44.93,-40.56,-47.53,-44.93,-40.56
1968-01-01,58.54,-107.04,-46.26,-45.20,-42.86,-46.26,-45.20,-42.86,-46.26,-45.13,-42.86
1969-01-01,58.54,-107.04,-46.66,-44.46,-42.12,-46.66,-44.46,-42.12,-46.66,-44.53,-42.12
1970-01-01,58.54,-107.04,-47.94,-44.71,-43.00,-47.94,-44.71,-43.00,-46.77,-44.71,-43.00
1971-01-01,58.54,-107.04,-47.53,-44.80,-41.85,-47.53,-44.80,-41.85,-47.53,-44.83,-41.85
1972-01-01,58.54,-107.04,-46.49,-44.95,-41.32,-46.49,-44.95,-41.32,-46.49,-44.95,-41.32
1973-01-01,58.54,-107.04,-46.52,-44.82,-42.16,-46.52,-44.82,-42.16,-46.52,-44.82,-42.16
1974-01-01,58.54,-107.04,-47.15,-44.95,-42.88,-47.15,-44.95,-42.88,-47.15,-44.95,-42.88
1975-01-01,58.54,-107.04,-45.68,-44.51,-42.13,-45.68,-44.51,-42.13,-45.68,-44.51,-42.13
1976-01-01,58.54,-107.04,-46.49,-44.76,-42.46,-46.49,-44.76,-42.46,-46.49,-44.70,-42.46
1977-01-01,58.54,-107.04,-46.53,-44.70,-41.63,-46.53,-44.70,-41.63,-46.53,-44.63,-41.63
1978-01-01,58.54,-107.04,-46.44,-44.99,-40.58,-46.44,-44.99,-40.58,-46.44,-44.99,-40.58
1979-01-01,58.54,-107.04,-46.77,-44.49,-41.94,-46.77,-44.49,-41.94,-46.77,-44.49,-41.94
1980-01-01,58.54,-107.04,-46.45,-44.58,-42.78,-46.08,-44.53,-42.58,-46.08,-44.69,-42.55
1981-01-01,58.54,-107.04,-47.22,-44.77,-42.59,-47.10,-44.72,-42.32,-46.89,-44.70,-42.46
1982-01-01,58.54,-107.04,-46.72,-45.01,-42.48,-46.72,-44.97,-42.56,-46.49,-44.88,-42.43
1983-01-01,58.54,-107.04,-46.09,-44.60,-40.78,-46.23,-44.55,-40.88,-46.09,-44.68,-40.91
1984-01-01,58.54,-107.04,-45.68,-43.99,-41.15,-45.68,-43.97,-41.20,-45.54,-43.99,-41.42
1985-01-01,58.54,-107.04,-46.10,-44.14,-42.77,-46.31,-44.10,-42.79,-46.10,-44.18,-42.69
1986-01-01,58.54,-107.04,-47.63,-44.11,-39.62,-47.51,-44.09,-39.59,-47.51,-44.11,-39.62
1987-01-01,58.54,-107.04,-47.02,-43.74,-40.03,-47.02,-43.73,-40.01,-47.02,-43.79,-40.07
1988-01-01,58.54,-107.04,-46.98,-44.31,-41.31,-47.00,-44.31,-41.28,-46.98,-44.28,-41.34
1989-01-01,58.54,-107.04,-46.23,-44.58,-41.74,-46.35,-44.58,-41.63,-46.23,-44.58,-41.66
1990-01-01,58.54,-107.04,-47.02,-43.62,-41.24,-47.02,-43.66,-41.32,-47.03,-43.59,-41.26
1991-01-01,58.54,-107.04,-46.81,-44.03,-40.51,-46.81,-43.98,-40.52,-46.57,-43.87,-40.55
1992-01-01,58.54,-107.04,-46.39,-43.90,-42.04,-46.39,-43.97,-42.16,-46.33,-44.00,-42.03
1993-01-01,58.54,-107.04,-45.78,-42.60,-40.08,-45.78,-42.68,-40.31,-45.78,-42.22,-40.19
1994-01-01,58.54,-107.04,-47.48,-44.10,-41.88,-47.48,-44.10,-41.85,-47.64,-44.10,-42.00
1995-01-01,58.54,-107.04,-46.57,-43.36,-40.91,-46.83,-43.40,-40.97,-46.57,-43.57,-40.82
1996-01-01,58.54,-107.04,-46.68,-43.87,-40.81,-46.68,-43.87,-40.76,-46.75,-43.75,-40.77
1997-01-01,58.54,-107.04,-46.36,-43.51,-40.81,-46.42,-43.67,-40.81,-46.22,-43.52,-40.78
1998-01-01,58.54,-107.04,-46.58,-44.01,-40.97,-46.71,-43.97,-40.97,-46.58,-44.00,-41.02
1999-01-01,58.54,-107.04,-45.20,-42.66,-40.79,-45.19,-42.36,-40.97,-45.04,-42.43,-40.75
2000-01-01,58.54,-107.04,-46.17,-43.33,-40.61,-46.16,-43.38,-40.59,-45.87,-43.33,-40.56
2001-01-01,58.54,-107.04,-47.00,-43.90,-40.50,-47.03,-43.90,-40.47,-47.00,-43.94,-40.51
2002-01-01,58.54,-107.04,-45.08,-43.42,-40.51,-45.07,-43.34,-40.47,-45.63,-43.38,-40.47
2003-01-01,58.54,-107.04,-44.96,-42.42,-40.11,-45.43,-42.42,-40.10,-44.83,-42.41,-40.22
2004-01-01,58.54,-107.04,-45.01,-42.44,-38.30,-45.36,-42.45,-38.35,-44.87,-42.43,-38.36
2005-01-01,58.54,-107.04,-45.88,-42.46,-39.50,-45.88,-42.14,-39.42,-45.84,-42.17,-39.58
2006-01-01,58.54,-107.04,-44.96,-43.04,-40.95,-45.56,-41.66,-39.51,-45.00,-42.64,-39.53
2007-01-01,58.54,-107.04,-46.25,-43.17,-40.63,-45.33,-43.50,-41.26,-44.54,-43.00,-40.48
2008-01-01,58.54,-107.04,-46.08,-43.60,-40.12,-44.32,-42.95,-40.75,-44.03,-42.67,-39.81
2009-01-01,58.54,-107.04,-44.75,-42.11,-38.81,-45.30,-43.25,-38.97,-45.47,-42.84,-39.82
2010-01-01,58.54,-107.04,-45.37,-41.55,-39.31,-45.37,-42.47,-40.05,-45.41,-41.91,-39.61
2011-01-01,58.54,-107.04,-46.41,-42.30,-38.04,-44.75,-42.27,-39.86,-43.60,-41.67,-39.43
2012-01-01,58.54,-107.04,-46.69,-43.20,-41.06,-44.83,-42.90,-39.61,-44.55,-43.48,-40.05
2013-01-01,58.54,-107.04,-44.42,-42.07,-40.08,-45.02,-43.06,-39.93,-45.56,-42.81,-39.83
2014-01-01,58.54,-107.04,-43.83,-42.26,-39.91,-45.80,-41.94,-38.89,-43.83,-41.90,-38.03
2015-01-01,58.54,-107.04,-45.21,-42.28,-39.40,-44.60,-42.14,-39.39,-43.81,-42.69,-39.93
2016-01-01,58.54,-107.04,-43.90,-41.14,-38.47,-46.24,-42.30,-39.44,-43.24,-41.18,-38.48
2017-01-01,58.54,-107.04,-45.59,-42.80,-39.11,-46.42,-42.95,-39.94,-44.18,-41.84,-38.40
2018-01-01,58.54,-107.04,-45.13,-42.69,-39.35,-44.69,-42.09,-39.81,-44.14,-42.06,-39.80
2019-01-01,58.54,-107.04,-43.90,-42.40,-39.41,-44.47,-42.13,-39.04,-45.07,-41.68,-39.08
2020-01-01,58.54,-107.04,-45.33,-41.90,-39.52,-45.24,-41.58,-39.15,-44.16,-42.05,-38.97
2021-01-01,58.54,-107.04,-45.29,-42.58,-39.82,-43.57,-41.79,-38.52,-44.23,-42.07,-39.78
2022-01-01,58.54,-107.04,-47.09,-42.85,-38.59,-45.44,-43.04,-39.75,-43.57,-41.39,-39.86
2023-01-01,58.54,-107.04,-44.69,-42.12,-39.64,-46.12,-42.59,-37.39,-44.14,-42.02,-39.99
2024-01-01,58.54,-107.04,-44.20,-42.17,-39.03,-43.48,-41.83,-38.53,-43.43,-41.53,-39.37
