time,lon,lat,rcp26_cdd_p10,rcp26_cdd_p50,rcp26_cdd_p90,rcp45_cdd_p10,rcp45_cdd_p50,rcp45_cdd_p90,rcp85_cdd_p10,rcp85_cdd_p50,rcp85_cdd_p90
1950-01-01,-107.04,58.54,14.30,22.50,32.40,15.30,22.50,32.40,15.00,22.50,32.40
1951-01-01,-107.04,58.54,15.00,19.50,30.50,14.30,19.50,34.10,15.00,19.50,30.50
1952-01-01,-107.04,58.54,16.00,21.00,25.70,15.30,20.50,25.70,15.30,19.50,25.00
1953-01-01,-107.04,58.54,15.30,20.00,28.80,15.30,19.50,28.80,15.30,20.00,28.80
1954-01-01,-107.04,58.54,14.60,21.00,38.00,16.60,21.50,35.20,15.30,21.50,35.20
1955-01-01,-107.04,58.54,13.00,21.00,27.70,13.00,20.00,27.70,13.60,20.50,27.70
1956-01-01,-107.04,58.54,17.00,20.00,28.70,16.30,19.50,29.70,16.30,20.00,29.70
1957-01-01,-107.04,58.54,18.00,20.50,30.70,17.30,20.50,30.70,17.00,20.00,29.70
1958-01-01,-107.04,58.54,17.60,24.00,35.20,16.30,21.50,38.40,17.60,24.00,38.40
1959-01-01,-107.04,58.54,14.00,21.00,31.10,14.00,21.00,33.40,14.00,22.00,33.40
1960-01-01,-107.04,58.54,13.30,19.50,31.70,13.00,21.00,31.70,13.00,21.00,31.70
1961-01-01,-107.04,58.54,18.30,23.00,30.00,18.30,23.00,30.70,19.30,23.00,30.70
1962-01-01,-107.04,58.54,14.30,19.00,33.90,14.30,19.00,33.90,14.30,20.00,35.70
1963-01-01,-107.04,58.54,12.60,18.00,32.80,12.00,18.00,34.00,12.60,18.50,34.00
1964-01-01,-107.04,58.54,17.00,20.00,25.70,16.30,20.50,25.70,16.30,20.50,25.70
1965-01-01,-107.04,58.54,15.00,20.50,35.00,15.30,22.50,35.00,15.00,22.00,34.70
1966-01-01,-107.04,58.54,18.00,22.00,36.50,18.00,22.00,36.50,18.00,21.50,36.20
1967-01-01,-107.04,58.54,15.00,20.50,25.70,14.30,21.00,28.80,15.00,21.50,28.80
1968-01-01,-107.04,58.54,14.00,22.00,36.90,14.60,22.00,36.90,14.60,22.50,35.40
1969-01-01,-107.04,58.54,16.30,19.00,31.80,15.00,18.00,26.70,14.30,18.00,26.70
1970-01-01,-107.04,58.54,17.00,20.00,31.10,17.00,20.00,31.10,17.00,20.00,28.70
1971-01-01,-107.04,58.54,14.30,21.00,30.70,14.30,21.00,29.40,14.30,22.00,29.40
1972-01-01,-107.04,58.54,15.30,20.50,27.10,15.30,20.50,28.00,15.00,21.50,27.40
1973-01-01,-107.04,58.54,15.00,23.50,35.00,15.00,23.50,35.00,15.30,24.50,35.70
1974-01-01,-107.04,58.54,19.30,23.00,33.00,16.90,23.00,33.00,16.90,23.00,33.00
1975-01-01,-107.04,58.54,16.30,22.00,34.70,16.30,22.00,34.70,16.00,21.00,34.70
1976-01-01,-107.04,58.54,16.60,21.00,30.40,16.60,20.50,33.80,16.60,21.00,30.40
1977-01-01,-107.04,58.54,14.30,18.50,27.00,15.30,19.50,27.00,15.00,18.50,26.70
1978-01-01,-107.04,58.54,15.00,21.50,33.80,15.00,21.50,29.80,15.00,21.00,29.80
1979-01-01,-107.04,58.54,15.30,18.50,30.40,15.30,19.50,28.70,15.30,21.50,32.40
1980-01-01,-107.04,58.54,15.30,21.50,33.70,19.00,22.00,33.70,16.20,22.00,32.40
1981-01-01,-107.04,58.54,16.00,20.00,33.40,16.30,21.50,39.60,16.00,19.00,33.40
1982-01-01,-107.04,58.54,15.60,23.00,37.00,15.60,25.00,37.00,17.00,25.00,37.00
1983-01-01,-107.04,58.54,15.60,24.00,35.50,15.60,24.00,35.50,16.30,24.00,35.50
1984-01-01,-107.04,58.54,15.30,24.00,39.80,15.30,23.50,39.80,15.00,22.50,39.80
