time,lat,lon,rcp26_tx_mean_p10,rcp26_tx_mean_p50,rcp26_tx_mean_p90,rcp45_tx_mean_p10,rcp45_tx_mean_p50,rcp45_tx_mean_p90,rcp85_tx_mean_p10,rcp85_tx_mean_p50,rcp85_tx_mean_p90
1950-01-01,58.54,-107.04,0.22,2.18,3.49,0.22,2.18,3.49,0.22,2.18,3.49
1951-01-01,58.54,-107.04,0.34,1.56,2.80,0.34,1.56,2.80,0.34,1.56,2.80
1952-01-01,58.54,-107.04,0.11,1.46,2.74,0.11,1.46,2.74,0.11,1.46,2.74
1953-01-01,58.54,-107.04,0.10,1.36,2.21,0.10,1.36,2.21,0.10,1.36,2.21
1954-01-01,58.54,-107.04,0.59,1.80,3.08,0.59,1.80,3.08,0.59,1.80,3.08
1955-01-01,58.54,-107.04,0.22,1.66,3.12,0.22,1.66,3.12,0.22,1.66,3.13
1956-01-01,58.54,-107.04,0.16,2.00,3.03,0.16,2.00,3.03,0.16,2.00,3.03
1957-01-01,58.54,-107.04,-0.08,1.19,2.88,-0.08,1.19,2.88,-0.08,1.19,2.88
1958-01-01,58.54,-107.04,0.30,1.40,2.64,0.30,1.40,2.64,0.30,1.40,2.64
1959-01-01,58.54,-107.04,-0.43,1.49,3.00,-0.43,1.49,3.00,-0.43,1.49,3.00
1960-01-01,58.54,-107.04,0.25,1.66,2.77,0.25,1.66,2.77,0.25,1.66,2.77
1961-01-01,58.54,-107.04,-0.36,2.13,2.98,-0.36,2.13,2.98,-0.36,2.13,2.98
1962-01-01,58.54,-107.04,-0.23,1.40,2.43,-0.23,1.40,2.43,-0.23,1.40,2.43
1963-01-01,58.54,-107.04,0.26,1.38,2.33,0.26,1.38,2.33,0.26,1.38,2.33
1964-01-01,58.54,-107.04,-0.60,1.28,1.92,-0.60,1.28,1.92,-0.60,1.28,1.92
1965-01-01,58.54,-107.04,0.37,1.18,2.46,0.37,1.18,2.46,0.37,1.18,2.46
1966-01-01,58.54,-107.04,0.49,1.46,2.94,0.49,1.46,2.94,0.49,1.46,2.94
1967-01-01,58.54,-107.04,0.28,1.78,3.00,0.28,1.78,3.00,0.28,1.79,3.00
1968-01-01,58.54,-107.04,0.47,1.08,2.43,0.47,1.08,2.43,0.47,1.08,2.43
1969-01-01,58.54,-107.04,-0.60,1.05,2.21,-0.60,1.05,2.21,-0.60,1.05,2.21
1970-01-01,58.54,-107.04,0.65,1.96,3.01,0.65,1.96,3.01,0.65,1.96,3.01
1971-01-01,58.54,-107.04,0.19,1.71,3.17,0.19,1.71,3.17,0.19,1.71,3.17
1972-01-01,58.54,-107.04,0.47,1.48,2.59,0.47,1.48,2.59,0.48,1.48,2.59
1973-01-01,58.54,-107.04,-0.01,1.86,2.99,-0.01,1.86,2.99,-0.01,1.86,2.99
1974-01-01,58.54,-107.04,-0.49,1.34,2.72,-0.49,1.34,2.72,-0.49,1.34,2.72
1975-01-01,58.54,-107.04,0.27,1.71,2.72,0.27,1.71,2.72,0.27,1.71,2.72
1976-01-01,58.54,-107.04,0.14,1.66,2.90,0.14,1.66,2.90,0.14,1.66,2.90
