time,lat,lon,rcp26_tnlt_-15_p10,rcp26_tnlt_-15_p50,rcp26_tnlt_-15_p90,rcp45_tnlt_-15_p10,rcp45_tnlt_-15_p50,rcp45_tnlt_-15_p90,rcp85_tnlt_-15_p10,rcp85_tnlt_-15_p50,rcp85_tnlt_-15_p90
1950-01-01,58.54,-107.04,108.30,118.50,140.00,108.30,118.50,140.00,108.30,119.00,140.00
1951-01-01,58.54,-107.04,108.60,126.00,133.70,108.60,126.00,133.70,108.60,126.00,133.70
1952-01-01,58.54,-107.04,116.50,125.50,141.50,116.50,125.50,141.50,116.50,125.50,141.50
1953-01-01,58.54,-107.04,114.30,125.50,140.20,114.30,125.50,140.20,114.30,125.50,140.20
1954-01-01,58.54,-107.04,107.20,123.00,139.10,107.20,123.00,139.10,107.20,123.00,139.10
1955-01-01,58.54,-107.04,105.20,126.00,134.70,105.20,126.00,134.70,105.20,126.00,134.70
1956-01-01,58.54,-107.04,107.00,125.50,139.70,107.00,125.50,139.70,107.00,125.50,139.70
1957-01-01,58.54,-107.04,114.00,127.50,139.00,114.00,127.50,139.00,114.00,127.00,140.40
1958-01-01,58.54,-107.04,113.80,125.50,142.40,113.80,125.50,142.40,116.60,125.50,142.40
1959-01-01,58.54,-107.04,104.80,126.50,143.80,104.80,126.50,143.80,104.80,126.50,143.80
1960-01-01,58.54,-107.04,110.60,123.50,142.70,110.60,123.50,142.70,110.60,124.50,142.70
1961-01-01,58.54,-107.04,106.30,119.50,148.30,106.30,119.50,148.30,107.30,119.50,148.30
1962-01-01,58.54,-107.04,110.50,123.50,138.10,110.50,123.50,138.10,110.50,123.50,138.10
1963-01-01,58.54,-107.04,114.60,129.50,139.70,114.60,129.50,139.70,114.60,129.50,140.70
1964-01-01,58.54,-107.04,117.60,128.50,141.00,117.60,128.50,141.00,117.60,129.50,141.00
1965-01-01,58.54,-107.04,116.00,126.00,132.00,116.00,126.00,132.00,116.00,126.00,132.00
1966-01-01,58.54,-107.04,114.30,127.00,138.00,114.30,127.00,138.00,114.30,127.00,138.00
1967-01-01,58.54,-107.04,102.30,125.00,137.40,102.30,125.00,137.40,102.30,125.00,137.40
