time,lat,lon,rcp26_tn_mean_p10,rcp26_tn_mean_p50,rcp26_tn_mean_p90,rcp45_tn_mean_p10,rcp45_tn_mean_p50,rcp45_tn_mean_p90,rcp85_tn_mean_p10,rcp85_tn_mean_p50,rcp85_tn_mean_p90
1950-01-01,58.54,-107.04,-10.22,-8.44,-7.18,-10.22,-8.44,-7.18,-10.22,-8.52,-7.18
1951-01-01,58.54,-107.04,-9.92,-8.90,-7.77,-9.92,-8.90,-7.77,-9.92,-9.04,-7.77
1952-01-01,58.54,-107.04,-10.27,-8.76,-7.86,-10.27,-8.76,-7.86,-10.27,-8.76,-7.86
1953-01-01,58.54,-107.04,-10.23,-8.95,-7.94,-10.23,-8.95,-7.94,-10.23,-8.95,-7.94
1954-01-01,58.54,-107.04,-10.05,-8.75,-6.98,-10.05,-8.75,-6.98,-10.05,-8.75,-6.98
1955-01-01,58.54,-107.04,-9.63,-8.98,-7.18,-9.63,-8.98,-7.18,-9.63,-8.98,-7.21
1956-01-01,58.54,-107.04,-10.43,-8.39,-7.33,-10.43,-8.39,-7.33,-10.43,-8.48,-7.33
1957-01-01,58.54,-107.04,-10.56,-9.47,-7.41,-10.56,-9.47,-7.41,-10.63,-9.47,-7.41
1958-01-01,58.54,-107.04,-10.17,-8.99,-8.09,-10.17,-8.99,-8.09,-10.17,-9.03,-8.09
1959-01-01,58.54,-107.04,-11.10,-8.93,-7.70,-11.10,-8.93,-7.70,-11.10,-8.93,-7.70
1960-01-01,58.54,-107.04,-10.01,-8.93,-7.58,-10.01,-8.93,-7.58,-10.01,-8.92,-7.58
1961-01-01,58.54,-107.04,-10.53,-8.21,-7.17,-10.53,-8.21,-7.17,-10.53,-8.21,-7.30
1962-01-01,58.54,-107.04,-10.72,-9.03,-8.18,-10.72,-9.03,-8.18,-10.72,-9.03,-8.18
1963-01-01,58.54,-107.04,-10.07,-9.24,-7.97,-10.07,-9.24,-7.97,-10.07,-9.23,-7.97
1964-01-01,58.54,-107.04,-10.98,-9.16,-8.50,-10.98,-9.16,-8.50,-10.98,-9.16,-8.63
1965-01-01,58.54,-107.04,-10.14,-9.25,-7.89,-10.14,-9.25,-7.89,-10.14,-9.25,-7.89
1966-01-01,58.54,-107.04,-9.99,-9.39,-7.65,-9.99,-9.39,-7.65,-9.99,-9.39,-7.65
1967-01-01,58.54,-107.04,-9.90,-8.69,-7.22,-9.90,-8.69,-7.22,-9.90,-8.71,-7.22
1968-01-01,58.54,-107.04,-10.34,-9.51,-7.83,-10.34,-9.51,-7.83,-10.34,-9.56,-7.83
1969-01-01,58.54,-107.04,-10.83,-9.16,-7.87,-10.83,-9.16,-7.87,-10.83,-9.16,-7.87
1970-01-01,58.54,-107.04,-10.21,-8.66,-7.52,-10.21,-8.66,-7.52,-10.21,-8.66,-7.52
1971-01-01,58.54,-107.04,-10.28,-9.13,-7.38,-10.28,-9.13,-7.38,-10.28,-9.13,-7.38
1972-01-01,58.54,-107.04,-9.98,-8.91,-7.91,-9.98,-8.91,-7.91,-9.98,-8.95,-7.91
1973-01-01,58.54,-107.04,-10.51,-8.79,-7.61,-10.51,-8.79,-7.61,-10.51,-8.79,-7.73
1974-01-01,58.54,-107.04,-10.60,-9.15,-7.69,-10.60,-9.15,-7.69,-10.60,-9.15,-7.69
1975-01-01,58.54,-107.04,-10.25,-9.02,-7.86,-10.25,-9.02,-7.86,-10.25,-9.02,-7.86
1976-01-01,58.54,-107.04,-10.50,-8.76,-7.56,-10.50,-8.76,-7.56,-10.50,-8.90,-7.56
1977-01-01,58.54,-107.04,-9.87,-8.56,-7.07,-9.87,-8.56,-7.07,-9.87,-8.56,-7.07
