time,lat,lon,rcp26_tn_min_p10,rcp26_tn_min_p50,rcp26_tn_min_p90,rcp45_tn_min_p10,rcp45_tn_min_p50,rcp45_tn_min_p90,rcp85_tn_min_p10,rcp85_tn_min_p50,rcp85_tn_min_p90
1950-01-01,60.54,-136.46,-48.10,-43.70,-41.52,-48.10,-43.70,-41.52,-48.10,-43.70,-41.60
1951-01-01,60.54,-136.46,-51.18,-45.74,-35.13,-51.18,-45.74,-35.13,-51.18,-45.74,-35.13
1952-01-01,60.54,-136.46,-50.04,-43.79,-40.95,-50.04,-43.79,-40.95,-50.04,-43.96,-40.95
1953-01-01,60.54,-136.46,-50.07,-46.41,-39.75,-50.07,-46.41,-39.75,-50.07,-46.46,-39.75
1954-01-01,60.54,-136.46,-47.50,-43.56,-39.39,-47.50,-43.56,-39.39,-47.82,-43.56,-39.39
1955-01-01,60.54,-136.46,-50.21,-46.27,-39.02,-50.21,-46.27,-39.02,-50.21,-46.27,-39.02
1956-01-01,60.54,-136.46,-48.14,-44.69,-39.84,-48.14,-44.69,-39.84,-48.14,-45.35,-39.84
1957-01-01,60.54,-136.46,-49.67,-44.61,-39.23,-49.67,-44.61,-39.23,-49.67,-45.17,-39.23
1958-01-01,60.54,-136.46,-49.22,-44.79,-40.37,-49.22,-44.79,-40.37,-49.22,-44.96,-40.37
1959-01-01,60.54,-136.46,-48.34,-43.05,-39.10,-48.34,-43.05,-39.10,-48.34,-43.05,-39.10
1960-01-01,60.54,-136.46,-48.32,-45.06,-38.61,-48.32,-45.06,-38.61,-48.32,-45.68,-38.61
1961-01-01,60.54,-136.46,-48.13,-45.22,-40.30,-48.13,-45.22,-40.30,-49.13,-45.22,-40.30
1962-01-01,60.54,-136.46,-49.52,-44.08,-39.42,-49.52,-44.08,-39.42,-49.52,-44.08,-39.42
1963-01-01,60.54,-136.46,-49.27,-45.50,-40.08,-49.27,-45.50,-40.08,-49.27,-45.50,-40.08
1964-01-01,60.54,-136.46,-48.11,-43.80,-38.92,-48.11,-43.80,-38.92,-48.11,-43.89,-38.83
1965-01-01,60.54,-136.46,-49.93,-44.03,-39.95,-49.93,-44.03,-39.95,-49.93,-44.03,-39.95
1966-01-01,60.54,-136.46,-48.66,-45.80,-38.00,-48.66,-45.80,-38.00,-48.66,-45.80,-38.52
1967-01-01,60.54,-136.46,-49.12,-43.88,-38.04,-49.12,-43.88,-38.04,-49.12,-44.20,-38.04
1968-01-01,60.54,-136.46,-49.10,-44.70,-40.57,-49.10,-44.70,-40.57,-50.67,-44.70,-40.57
1969-01-01,60.54,-136.46,-50.60,-44.42,-39.96,-50.60,-44.42,-39.96,-50.60,-44.42,-39.96
1970-01-01,60.54,-136.46,-50.32,-43.95,-38.85,-50.32,-43.95,-38.85,-50.32,-43.95,-38.85
1971-01-01,60.54,-136.46,-49.06,-43.64,-40.52,-49.06,-43.64,-40.52,-49.51,-43.64,-40.52
1972-01-01,60.54,-136.46,-50.63,-46.14,-41.02,-50.63,-46.14,-41.02,-50.63,-46.14,-41.02
1973-01-01,60.54,-136.46,-49.29,-43.49,-38.21,-49.29,-43.49,-38.21,-49.29,-43.49,-38.21
1974-01-01,60.54,-136.46,-50.18,-43.40,-39.06,-50.18,-43.40,-39.06,-50.18,-43.40,-39.39
1975-01-01,60.54,-136.46,-49.70,-44.74,-42.40,-49.70,-44.74,-42.40,-49.70,-44.74,-42.90
1976-01-01,60.54,-136.46,-50.28,-43.98,-38.07,-50.28,-43.98,-38.07,-50.28,-44.63,-38.07
1977-01-01,60.54,-136.46,-48.40,-43.78,-40.19,-48.40,-43.78,-40.19,-48.40,-43.79,-40.34
1978-01-01,60.54,-136.46,-47.48,-43.12,-39.32,-47.48,-43.12,-39.32,-47.78,-43.12,-39.32
1979-01-01,60.54,-136.46,-49.17,-43.55,-39.80,-49.17,-43.55,-39.80,-49.17,-43.70,-39.80
1980-01-01,60.54,-136.46,-48.56,-44.10,-41.00,-48.56,-44.10,-40.95,-48.56,-44.52,-41.20
1981-01-01,60.54,-136.46,-49.66,-44.73,-38.18,-49.66,-44.73,-38.19,-49.66,-45.63,-38.17
1982-01-01,60.54,-136.46,-47.72,-44.15,-39.87,-47.73,-44.10,-40.04,-48.27,-44.18,-39.95
1983-01-01,60.54,-136.46,-48.24,-44.25,-39.06,-48.24,-44.20,-39.20,-48.24,-44.24,-39.20
1984-01-01,60.54,-136.46,-48.55,-43.11,-38.95,-48.55,-43.05,-38.97,-49.62,-43.13,-38.96
1985-01-01,60.54,-136.46,-48.15,-44.55,-39.65,-48.14,-44.55,-39.57,-48.14,-44.68,-39.65
1986-01-01,60.54,-136.46,-50.63,-44.89,-39.55,-50.63,-44.96,-39.43,-50.63,-44.80,-40.56
1987-01-01,60.54,-136.46,-47.70,-42.77,-37.27,-47.70,-42.82,-37.19,-47.70,-42.78,-37.27
1988-01-01,60.54,-136.46,-50.76,-46.54,-39.51,-50.76,-46.44,-39.45,-50.76,-46.44,-39.49
1989-01-01,60.54,-136.46,-48.68,-44.49,-37.55,-48.69,-44.49,-37.67,-48.68,-45.22,-37.67
1990-01-01,60.54,-136.46,-49.27,-43.20,-38.30,-49.25,-43.20,-38.33,-49.28,-43.19,-38.35
1991-01-01,60.54,-136.46,-48.82,-44.49,-39.62,-48.85,-44.51,-39.85,-48.86,-44.49,-39.74
1992-01-01,60.54,-136.46,-49.40,-45.30,-39.24,-49.40,-45.24,-39.29,-49.40,-45.15,-39.34
1993-01-01,60.54,-136.46,-47.99,-43.96,-36.93,-47.98,-43.96,-36.96,-48.15,-43.93,-37.26
1994-01-01,60.54,-136.46,-48.61,-44.30,-38.45,-48.60,-44.33,-38.42,-48.61,-44.33,-40.63
1995-01-01,60.54,-136.46,-48.99,-44.76,-39.24,-48.99,-44.78,-39.35,-48.99,-44.77,-39.19
1996-01-01,60.54,-136.46,-50.13,-44.56,-39.49,-50.13,-44.53,-39.55,-50.13,-44.48,-39.42
1997-01-01,60.54,-136.46,-48.12,-44.23,-38.73,-48.08,-44.15,-38.78,-48.08,-44.28,-38.79
1998-01-01,60.54,-136.46,-49.44,-43.07,-37.36,-49.44,-43.09,-37.24,-49.45,-43.09,-37.38
1999-01-01,60.54,-136.46,-47.27,-43.12,-37.97,-47.31,-43.12,-37.96,-47.24,-43.15,-37.99
2000-01-01,60.54,-136.46,-47.35,-43.81,-38.17,-47.34,-43.87,-37.98,-47.36,-43.84,-37.79
2001-01-01,60.54,-136.46,-46.01,-42.54,-37.89,-45.86,-42.38,-37.85,-45.88,-42.42,-37.90
2002-01-01,60.54,-136.46,-45.58,-41.90,-38.69,-45.58,-42.00,-38.87,-45.58,-41.91,-38.75
2003-01-01,60.54,-136.46,-47.47,-42.43,-35.29,-47.45,-42.42,-35.27,-47.44,-42.57,-35.24
2004-01-01,60.54,-136.46,-45.99,-40.82,-37.80,-45.93,-40.77,-37.83,-45.97,-41.54,-37.72
2005-01-01,60.54,-136.46,-46.90,-41.90,-37.95,-45.56,-41.83,-38.20,-46.53,-41.86,-38.00
2006-01-01,60.54,-136.46,-45.00,-41.71,-37.44,-46.35,-43.83,-39.98,-44.89,-42.97,-39.84
2007-01-01,60.54,-136.46,-45.89,-42.59,-37.86,-47.18,-43.17,-38.65,-45.72,-42.11,-37.99
2008-01-01,60.54,-136.46,-47.34,-40.65,-33.96,-48.03,-44.42,-39.44,-46.67,-41.23,-38.99
2009-01-01,60.54,-136.46,-46.70,-41.61,-37.57,-47.42,-44.29,-38.17,-47.35,-42.84,-36.87
2010-01-01,60.54,-136.46,-46.46,-41.64,-38.44,-47.68,-44.12,-38.37,-45.79,-42.77,-37.29
2011-01-01,60.54,-136.46,-47.89,-42.03,-38.38,-44.68,-40.62,-37.35,-46.11,-42.28,-39.26
2012-01-01,60.54,-136.46,-48.79,-43.51,-34.82,-48.28,-43.54,-40.18,-45.89,-42.40,-38.53
2013-01-01,60.54,-136.46,-44.93,-41.65,-35.92,-47.65,-44.37,-36.89,-49.37,-44.77,-36.05
2014-01-01,60.54,-136.46,-46.65,-41.62,-36.18,-47.61,-42.83,-35.76,-47.07,-41.96,-37.83
2015-01-01,60.54,-136.46,-46.16,-40.08,-36.13,-49.26,-40.29,-38.29,-47.02,-43.26,-37.78
2016-01-01,60.54,-136.46,-45.09,-41.02,-34.97,-45.92,-42.53,-38.33,-48.07,-42.05,-37.52
2017-01-01,60.54,-136.46,-45.89,-43.02,-38.61,-46.84,-43.38,-39.05,-46.52,-42.65,-39.18
2018-01-01,60.54,-136.46,-45.18,-40.01,-33.36,-47.04,-42.66,-36.91,-47.19,-42.42,-34.43
2019-01-01,60.54,-136.46,-46.24,-42.77,-38.04,-47.67,-40.25,-36.40,-45.78,-42.19,-37.96
2020-01-01,60.54,-136.46,-45.48,-41.19,-36.65,-46.03,-41.39,-34.70,-45.36,-41.17,-35.99
2021-01-01,60.54,-136.46,-47.08,-42.04,-37.82,-47.07,-43.14,-35.22,-46.23,-40.76,-37.54
2022-01-01,60.54,-136.46,-47.43,-43.02,-37.01,-47.25,-43.36,-37.54,-45.25,-42.22,-35.18
2023-01-01,60.54,-136.46,-45.50,-41.90,-37.36,-47.48,-42.43,-35.54,-45.89,-40.83,-34.42
2024-01-01,60.54,-136.46,-43.97,-41.08,-35.91,-45.31,-42.19,-35.80,-46.95,-41.62,-37.71
2025-01-01,60.54,-136.46,-49.52,-41.70,-36.98,-45.95,-41.92,-37.59,-44.96,-42.13,-35.50
2026-01-01,60.54,-136.46,-44.16,-40.45,-36.50,-46.21,-41.54,-35.67,-44.07,-40.40,-34.11
2027-01-01,60.54,-136.46,-45.89,-40.97,-33.02,-46.53,-41.66,-35.58,-46.62,-40.69,-33.78
2028-01-01,60.54,-136.46,-47.38,-39.90,-33.15,-44.54,-41.09,-35.40,-44.01,-39.71,-34.21
2029-01-01,60.54,-136.46,-45.96,-41.68,-34.91,-46.58,-43.76,-38.17,-46.10,-40.04,-35.21
2030-01-01,60.54,-136.46,-47.07,-39.31,-34.01,-45.22,-39.86,-36.27,-45.96,-40.74,-35.36
2031-01-01,60.54,-136.46,-46.19,-40.51,-34.39,-46.27,-41.26,-34.15,-44.65,-39.24,-35.66
2032-01-01,60.54,-136.46,-44.88,-41.55,-34.50,-46.67,-41.71,-35.02,-45.76,-40.51,-36.66
2033-01-01,60.54,-136.46,-45.87,-41.43,-36.17,-45.77,-41.06,-36.71,-45.11,-39.33,-33.41
2034-01-01,60.54,-136.46,-45.26,-40.41,-36.33,-43.81,-39.06,-34.85,-44.72,-40.86,-34.28
2035-01-01,60.54,-136.46,-43.81,-39.68,-36.96,-45.57,-41.88,-37.13,-46.57,-37.69,-34.00
2036-01-01,60.54,-136.46,-45.32,-39.28,-35.05,-45.25,-40.64,-35.41,-45.90,-40.88,-33.00
2037-01-01,60.54,-136.46,-45.65,-39.99,-35.23,-44.87,-40.13,-35.47,-43.80,-39.02,-33.66
2038-01-01,60.54,-136.46,-44.47,-41.45,-35.03,-46.45,-39.29,-36.23,-46.44,-41.03,-36.87
2039-01-01,60.54,-136.46,-46.64,-42.59,-34.88,-46.01,-41.04,-37.37,-45.71,-41.02,-33.40
2040-01-01,60.54,-136.46,-45.26,-41.25,-35.12,-45.28,-39.27,-33.55,-43.41,-38.61,-36.15
2041-01-01,60.54,-136.46,-43.82,-40.85,-35.28,-46.48,-42.07,-34.80,-44.00,-39.32,-32.14
2042-01-01,60.54,-136.46,-44.54,-39.93,-35.98,-44.01,-41.64,-32.16,-46.69,-40.29,-36.19
2043-01-01,60.54,-136.46,-46.03,-39.47,-35.46,-44.56,-40.17,-34.58,-45.64,-41.13,-37.00
2044-01-01,60.54,-136.46,-45.06,-40.19,-34.66,-45.69,-39.06,-34.17,-43.36,-36.92,-34.67
2045-01-01,60.54,-136.46,-44.91,-38.11,-35.18,-44.40,-39.83,-32.80,-42.79,-39.69,-33.04
2046-01-01,60.54,-136.46,-46.11,-40.89,-36.37,-45.23,-40.28,-35.83,-43.97,-39.16,-33.92
2047-01-01,60.54,-136.46,-45.20,-40.77,-35.64,-43.89,-39.86,-36.01,-42.07,-37.34,-32.03
2048-01-01,60.54,-136.46,-42.57,-40.07,-33.32,-45.75,-41.61,-33.81,-42.40,-36.52,-32.57
2049-01-01,60.54,-136.46,-44.32,-41.12,-36.74,-44.93,-39.82,-31.45,-43.95,-38.18,-32.70
2050-01-01,60.54,-136.46,-47.26,-40.03,-34.70,-44.02,-38.32,-33.91,-43.03,-38.75,-33.49
2051-01-01,60.54,-136.46,-45.13,-41.64,-35.45,-43.12,-38.54,-32.33,-41.98,-38.00,-32.84
2052-01-01,60.54,-136.46,-45.72,-41.72,-37.37,-42.86,-38.47,-35.15,-43.61,-39.53,-36.22
2053-01-01,60.54,-136.46,-45.86,-41.39,-36.26,-42.58,-39.68,-36.00,-41.93,-38.02,-32.94
2054-01-01,60.54,-136.46,-45.08,-41.14,-35.89,-43.96,-40.31,-37.13,-43.50,-38.95,-34.08
2055-01-01,60.54,-136.46,-43.11,-40.45,-35.44,-45.11,-39.77,-32.10,-43.10,-38.34,-34.51
2056-01-01,60.54,-136.46,-44.75,-38.57,-34.43,-42.86,-40.09,-37.10,-44.74,-37.91,-34.48
2057-01-01,60.54,-136.46,-44.67,-41.43,-36.01,-44.50,-40.44,-36.37,-42.38,-38.78,-33.79
2058-01-01,60.54,-136.46,-46.08,-41.94,-35.74,-44.31,-39.06,-34.13,-44.21,-37.70,-32.13
2059-01-01,60.54,-136.46,-44.41,-39.88,-35.37,-43.26,-38.15,-33.35,-41.23,-36.18,-31.03
2060-01-01,60.54,-136.46,-42.75,-39.27,-36.39,-43.34,-37.20,-31.79,-43.40,-35.81,-29.86
2061-01-01,60.54,-136.46,-42.29,-38.54,-32.24,-47.47,-40.39,-34.79,-45.12,-39.03,-33.20
2062-01-01,60.54,-136.46,-45.32,-41.10,-33.06,-44.52,-40.77,-31.55,-41.47,-36.32,-28.77
2063-01-01,60.54,-136.46,-45.06,-41.48,-34.70,-43.97,-38.18,-33.26,-41.58,-34.95,-29.09
2064-01-01,60.54,-136.46,-44.79,-40.94,-36.66,-42.14,-38.71,-33.36,-40.72,-37.29,-28.48
2065-01-01,60.54,-136.46,-46.13,-39.29,-34.77,-43.04,-38.18,-33.21,-42.16,-37.16,-29.57
2066-01-01,60.54,-136.46,-46.84,-41.18,-36.50,-41.29,-37.47,-30.36,-42.84,-36.68,-30.49
2067-01-01,60.54,-136.46,-45.12,-40.61,-35.42,-44.03,-37.96,-31.89,-42.10,-34.79,-28.85
2068-01-01,60.54,-136.46,-44.32,-40.43,-36.37,-42.59,-38.78,-30.64,-40.50,-34.81,-28.91
2069-01-01,60.54,-136.46,-43.57,-39.69,-35.25,-44.38,-40.42,-33.56,-41.47,-34.37,-27.34
2070-01-01,60.54,-136.46,-44.01,-40.29,-33.87,-43.24,-38.12,-34.11,-39.60,-34.90,-30.02
2071-01-01,60.54,-136.46,-45.21,-38.57,-34.42,-47.30,-38.56,-33.27,-39.03,-34.80,-29.85
2072-01-01,60.54,-136.46,-44.55,-41.26,-34.16,-45.03,-38.51,-30.68,-42.04,-38.64,-28.90
2073-01-01,60.54,-136.46,-47.19,-41.01,-36.48,-40.91,-37.23,-34.82,-41.21,-34.49,-28.45
2074-01-01,60.54,-136.46,-45.14,-40.47,-34.89,-44.26,-39.28,-34.34,-39.27,-34.47,-29.71
2075-01-01,60.54,-136.46,-45.30,-40.09,-33.61,-41.66,-37.88,-32.28,-39.27,-35.61,-27.86
2076-01-01,60.54,-136.46,-43.10,-38.36,-34.45,-42.32,-37.63,-32.54,-39.27,-35.12,-26.21
2077-01-01,60.54,-136.46,-45.23,-41.46,-36.30,-42.22,-37.77,-32.79,-39.76,-35.54,-29.18
2078-01-01,60.54,-136.46,-44.64,-40.58,-34.65,-42.50,-36.94,-33.92,-37.65,-33.69,-27.55
2079-01-01,60.54,-136.46,-44.82,-39.17,-35.57,-42.08,-39.10,-33.86,-40.76,-36.29,-30.75
2080-01-01,60.54,-136.46,-46.91,-39.91,-35.10,-43.47,-37.89,-31.73,-39.03,-34.95,-27.77
2081-01-01,60.54,-136.46,-45.34,-41.34,-37.46,-42.21,-37.28,-33.39,-40.56,-35.56,-25.38
2082-01-01,60.54,-136.46,-45.08,-40.14,-33.98,-44.18,-39.11,-33.52,-38.97,-34.47,-28.85
2083-01-01,60.54,-136.46,-46.01,-39.69,-34.95,-41.91,-38.50,-34.12,-39.57,-33.90,-26.59
2084-01-01,60.54,-136.46,-49.05,-41.28,-37.30,-42.69,-39.53,-33.29,-37.88,-33.29,-28.10
2085-01-01,60.54,-136.46,-44.87,-39.58,-34.53,-41.95,-38.34,-33.71,-41.89,-32.56,-29.01
2086-01-01,60.54,-136.46,-47.47,-40.98,-35.69,-43.67,-38.16,-32.14,-38.27,-32.82,-25.94
2087-01-01,60.54,-136.46,-46.07,-40.21,-37.00,-42.97,-37.53,-32.88,-38.99,-33.82,-24.83
