time,lon,lat,rcp26_frost_free_season_p10,rcp26_frost_free_season_p50,rcp26_frost_free_season_p90,rcp45_frost_free_season_p10,rcp45_frost_free_season_p50,rcp45_frost_free_season_p90,rcp85_frost_free_season_p10,rcp85_frost_free_season_p50,rcp85_frost_free_season_p90
1950-01-01,-136.46,60.54,20.90,45.50,71.30,21.20,45.50,71.30,20.00,45.50,71.30
1951-01-01,-136.46,60.54,13.90,44.00,66.00,8.80,42.50,66.00,8.80,41.50,66.00
1952-01-01,-136.46,60.54,7.40,33.00,62.30,13.60,35.50,62.30,13.60,36.00,62.30
1953-01-01,-136.46,60.54,8.60,34.00,53.70,9.50,33.50,53.40,9.50,33.50,53.70
1954-01-01,-136.46,60.54,10.40,37.00,64.50,10.10,37.00,64.50,10.10,36.00,64.50
1955-01-01,-136.46,60.54,18.30,49.00,66.70,18.30,49.00,66.70,15.20,46.00,66.10
1956-01-01,-136.46,60.54,9.50,44.50,59.70,8.90,43.50,59.00,8.90,45.00,59.70
1957-01-01,-136.46,60.54,0.00,30.00,63.10,0.00,30.00,63.10,0.00,30.00,64.00
1958-01-01,-136.46,60.54,26.60,41.50,66.40,27.30,40.00,64.10,24.20,40.00,64.10
1959-01-01,-136.46,60.54,9.80,38.50,58.00,9.80,38.50,58.70,9.80,38.50,58.70
1960-01-01,-136.46,60.54,10.60,41.00,89.30,10.60,41.00,89.30,10.60,41.00,89.30
1961-01-01,-136.46,60.54,28.30,45.00,61.40,29.00,45.00,61.40,29.00,45.50,62.70
1962-01-01,-136.46,60.54,7.50,40.50,69.70,7.20,37.00,69.70,7.90,37.00,69.70
1963-01-01,-136.46,60.54,5.80,33.50,66.00,7.30,33.50,66.00,7.30,36.00,66.00
1964-01-01,-136.46,60.54,0.00,26.50,65.80,0.00,26.50,65.80,0.00,26.50,65.80
1965-01-01,-136.46,60.54,8.00,35.00,54.10,8.00,35.00,54.10,7.30,35.00,57.10
1966-01-01,-136.46,60.54,23.30,33.50,71.70,22.60,33.50,63.70,21.90,32.00,63.70
1967-01-01,-136.46,60.54,9.30,44.50,66.90,10.60,44.50,66.90,12.00,44.50,66.90
1968-01-01,-136.46,60.54,4.60,20.50,54.40,4.60,20.50,53.00,4.60,25.00,54.40
1969-01-01,-136.46,60.54,6.80,36.50,69.20,6.80,38.50,69.20,6.80,36.50,69.20
1970-01-01,-136.46,60.54,10.80,42.50,60.70,10.80,42.00,60.70,10.80,42.00,60.70
1971-01-01,-136.46,60.54,12.20,33.50,63.50,12.20,33.00,59.70,12.20,37.00,63.50
1972-01-01,-136.46,60.54,15.70,38.50,60.40,15.70,38.50,62.40,15.70,39.50,62.40
1973-01-01,-136.46,60.54,9.00,40.50,71.40,9.00,40.00,71.40,9.00,40.50,71.40
1974-01-01,-136.46,60.54,13.60,33.50,57.80,13.60,36.00,57.80,13.60,33.50,59.00
1975-01-01,-136.46,60.54,8.00,59.00,78.00,8.00,54.00,78.00,8.00,54.00,78.00
1976-01-01,-136.46,60.54,5.50,39.00,65.80,5.50,39.00,65.10,5.50,39.00,66.50
1977-01-01,-136.46,60.54,19.60,39.00,58.70,15.50,39.00,58.70,20.50,38.50,58.70
1978-01-01,-136.46,60.54,8.30,38.00,59.70,8.30,38.00,61.00,8.30,39.00,61.00
1979-01-01,-136.46,60.54,16.90,40.00,60.20,16.90,40.00,60.20,15.50,40.00,60.20
1980-01-01,-136.46,60.54,6.30,43.00,65.80,11.50,43.00,65.80,7.60,43.00,65.80
1981-01-01,-136.46,60.54,13.50,34.00,62.00,17.30,40.00,62.00,17.30,40.00,62.00
1982-01-01,-136.46,60.54,17.90,36.50,58.20,16.30,36.50,58.50,16.30,36.50,58.50
1983-01-01,-136.46,60.54,8.70,39.00,68.90,8.70,39.00,74.50,8.70,39.00,74.50
1984-01-01,-136.46,60.54,22.60,43.50,68.50,24.00,45.50,68.80,24.00,45.50,68.80
1985-01-01,-136.46,60.54,5.30,39.50,58.70,5.30,39.50,58.70,5.30,39.50,62.20
1986-01-01,-136.46,60.54,14.50,45.50,62.00,3.90,42.00,65.50,14.50,43.50,62.00
