time,lat,lon,rcp26_gddgrow_10_p10,rcp26_gddgrow_10_p50,rcp26_gddgrow_10_p90,rcp45_gddgrow_10_p10,rcp45_gddgrow_10_p50,rcp45_gddgrow_10_p90,rcp85_gddgrow_10_p10,rcp85_gddgrow_10_p50,rcp85_gddgrow_10_p90
1950-01-01,60.54,-136.46,6.20,34.93,76.71,6.82,34.93,76.71,7.17,34.93,76.71
1951-01-01,60.54,-136.46,8.29,24.33,108.96,7.65,23.85,108.96,7.38,24.06,108.96
1952-01-01,60.54,-136.46,8.15,30.92,84.47,8.15,30.92,84.47,8.15,30.92,84.47
1953-01-01,60.54,-136.46,2.55,16.94,62.36,2.55,18.35,62.42,2.55,18.35,62.33
1954-01-01,60.54,-136.46,7.25,27.90,80.95,6.63,27.89,80.95,7.29,27.90,80.95
1955-01-01,60.54,-136.46,4.34,22.34,65.09,4.36,22.32,65.09,4.36,22.39,63.99
1956-01-01,60.54,-136.46,1.78,22.35,58.96,1.78,22.24,58.97,1.78,22.99,58.96
1957-01-01,60.54,-136.46,2.99,24.08,94.72,2.75,24.08,94.72,3.32,24.08,94.72
1958-01-01,60.54,-136.46,4.54,27.86,84.73,4.54,27.86,84.13,4.54,27.86,84.57
1959-01-01,60.54,-136.46,8.38,31.38,96.18,8.38,31.38,96.49,8.38,31.20,96.38
1960-01-01,60.54,-136.46,5.63,33.12,94.54,5.40,33.18,94.54,5.81,32.83,94.54
1961-01-01,60.54,-136.46,6.87,36.88,84.28,6.87,36.88,84.28,6.87,36.88,84.28
1962-01-01,60.54,-136.46,0.00,19.95,72.52,0.00,19.95,72.52,0.00,19.95,72.52
1963-01-01,60.54,-136.46,4.95,18.86,68.61,4.84,18.86,68.61,5.15,18.86,68.61
1964-01-01,60.54,-136.46,0.27,14.11,57.04,0.29,14.09,57.04,0.27,14.86,57.04
1965-01-01,60.54,-136.46,6.29,14.76,37.23,6.01,14.49,37.30,6.01,14.19,37.39
1966-01-01,60.54,-136.46,4.03,13.81,69.07,4.03,13.86,69.07,4.03,13.81,69.07
1967-01-01,60.54,-136.46,7.53,27.91,58.63,7.53,27.90,58.63,7.53,27.92,57.67
1968-01-01,60.54,-136.46,2.79,21.32,50.92,2.79,21.32,50.84,2.79,21.32,51.16
1969-01-01,60.54,-136.46,2.48,25.30,80.34,3.54,25.19,80.34,3.54,25.19,80.34
1970-01-01,60.54,-136.46,7.33,24.73,72.06,7.05,24.74,72.37,6.67,25.00,72.37
