time,lat,lon,rcp26_tx_max_p10,rcp26_tx_max_p50,rcp26_tx_max_p90,rcp45_tx_max_p10,rcp45_tx_max_p50,rcp45_tx_max_p90,rcp85_tx_max_p10,rcp85_tx_max_p50,rcp85_tx_max_p90
1950-01-01,60.54,-136.46,18.62,21.92,25.22,18.62,21.92,25.22,18.62,21.92,25.22
1951-01-01,60.54,-136.46,18.83,22.19,24.07,18.83,22.19,24.07,18.83,22.19,24.07
1952-01-01,60.54,-136.46,18.52,21.69,25.29,18.52,21.69,25.29,18.52,21.69,25.29
1953-01-01,60.54,-136.46,18.05,20.16,25.34,18.05,20.16,25.34,18.05,20.16,25.34
1954-01-01,60.54,-136.46,19.63,21.42,24.52,19.63,21.42,24.52,19.63,21.42,24.52
1955-01-01,60.54,-136.46,18.22,22.03,23.58,18.22,22.03,23.58,18.22,22.03,23.58
1956-01-01,60.54,-136.46,17.70,21.00,25.45,17.70,21.00,25.45,17.70,21.00,25.45
1957-01-01,60.54,-136.46,17.91,21.39,23.67,17.91,21.39,23.67,17.91,21.39,23.67
1958-01-01,60.54,-136.46,17.80,20.92,24.00,17.80,20.92,24.00,17.80,20.92,24.00
1959-01-01,60.54,-136.46,18.82,21.89,24.02,18.82,21.89,24.02,18.82,21.89,24.02
1960-01-01,60.54,-136.46,18.75,21.60,24.29,18.75,21.60,24.29,18.75,21.60,24.29
1961-01-01,60.54,-136.46,18.15,21.79,25.39,18.15,21.79,25.39,18.15,21.79,25.39
1962-01-01,60.54,-136.46,17.05,20.75,25.86,17.05,20.75,25.86,17.05,20.75,25.86
1963-01-01,60.54,-136.46,18.33,20.03,22.79,18.33,20.03,22.79,18.33,20.03,22.79
1964-01-01,60.54,-136.46,16.49,20.16,24.88,16.49,20.16,24.88,16.49,20.16,24.88
1965-01-01,60.54,-136.46,17.88,20.86,23.85,17.88,20.86,23.85,17.88,20.87,23.85
1966-01-01,60.54,-136.46,17.67,19.89,24.02,17.67,19.89,24.02,17.67,19.89,24.02
1967-01-01,60.54,-136.46,19.74,21.75,24.82,19.74,21.75,24.82,19.74,21.75,24.82
1968-01-01,60.54,-136.46,17.40,21.33,24.48,17.40,21.33,24.48,17.40,21.33,24.48
1969-01-01,60.54,-136.46,18.11,22.08,25.24,18.11,22.08,25.24,18.11,22.08,25.24
1970-01-01,60.54,-136.46,19.01,22.15,23.73,19.01,22.15,23.73,19.01,22.15,23.73
1971-01-01,60.54,-136.46,18.31,21.19,23.75,18.31,21.19,23.75,18.31,21.19,23.75
1972-01-01,60.54,-136.46,18.77,21.07,23.01,18.77,21.07,23.01,18.77,21.07,23.01
1973-01-01,60.54,-136.46,18.16,20.52,24.05,18.16,20.52,24.05,18.16,20.52,24.05
1974-01-01,60.54,-136.46,17.68,20.85,24.12,17.68,20.85,24.12,17.68,20.85,24.12
1975-01-01,60.54,-136.46,18.20,23.45,26.49,18.20,23.45,26.49,18.20,23.45,26.49
1976-01-01,60.54,-136.46,18.16,21.96,25.29,18.16,21.96,25.29,18.16,21.96,25.29
1977-01-01,60.54,-136.46,19.81,21.98,24.99,19.81,21.98,24.99,19.81,21.98,24.99
1978-01-01,60.54,-136.46,17.93,21.43,25.70,17.93,21.43,25.70,17.93,21.43,25.70
1979-01-01,60.54,-136.46,18.54,21.64,25.39,18.54,21.64,25.39,18.54,21.64,25.39
1980-01-01,60.54,-136.46,17.91,21.17,24.69,17.95,21.51,24.70,17.77,21.18,24.60
1981-01-01,60.54,-136.46,17.98,21.22,23.97,18.02,21.27,23.81,18.07,21.31,23.16
1982-01-01,60.54,-136.46,17.21,20.65,24.38,17.27,20.40,24.35,17.34,20.41,24.36
1983-01-01,60.54,-136.46,17.32,21.79,24.49,17.29,21.62,24.38,17.17,21.80,24.31
1984-01-01,60.54,-136.46,18.36,20.75,23.08,18.23,20.62,23.08,18.21,20.65,23.06
1985-01-01,60.54,-136.46,17.50,21.46,23.97,17.58,21.64,23.77,17.49,21.78,23.73
1986-01-01,60.54,-136.46,18.30,22.15,24.60,18.38,21.69,24.63,18.41,21.63,24.60
1987-01-01,60.54,-136.46,18.38,21.20,24.07,18.36,21.53,24.06,18.39,21.12,23.70
1988-01-01,60.54,-136.46,18.87,21.60,24.93,18.90,21.58,24.66,18.97,21.61,24.70
1989-01-01,60.54,-136.46,17.58,21.91,24.86,17.56,21.85,24.77,17.55,21.70,24.44
1990-01-01,60.54,-136.46,18.03,21.43,24.91,18.01,21.18,25.02,18.01,21.10,24.91
1991-01-01,60.54,-136.46,19.48,21.91,24.48,19.46,22.12,24.70,19.36,22.01,24.67
1992-01-01,60.54,-136.46,18.28,19.63,23.09,18.34,19.61,23.12,18.25,19.41,23.12
1993-01-01,60.54,-136.46,19.01,22.05,26.47,19.01,22.08,26.10,19.00,21.58,26.47
1994-01-01,60.54,-136.46,17.82,21.29,24.67,17.78,21.30,24.67,17.78,21.31,24.66
1995-01-01,60.54,-136.46,18.54,21.26,24.01,18.58,21.34,24.03,18.64,21.36,23.97
1996-01-01,60.54,-136.46,18.47,21.97,26.12,18.57,22.00,25.48,18.58,22.10,25.22
1997-01-01,60.54,-136.46,19.52,21.78,27.12,19.41,21.99,27.10,19.41,22.04,27.10
1998-01-01,60.54,-136.46,18.64,22.06,26.21,18.72,22.30,26.23,18.85,22.08,25.68
1999-01-01,60.54,-136.46,18.90,22.56,25.87,18.95,22.72,25.85,18.99,22.56,25.89
2000-01-01,60.54,-136.46,20.16,22.19,25.41,20.03,22.16,25.41,20.04,22.18,25.20
2001-01-01,60.54,-136.46,21.65,23.25,25.55,21.55,23.23,25.55,21.54,23.13,25.55
2002-01-01,60.54,-136.46,20.18,21.92,25.02,20.28,22.04,25.02,20.10,22.05,25.02
2003-01-01,60.54,-136.46,20.53,23.09,27.02,20.53,23.10,27.00,20.25,23.09,27.03
2004-01-01,60.54,-136.46,18.71,22.81,27.10,18.85,22.67,27.10,18.81,22.46,27.10
2005-01-01,60.54,-136.46,18.94,22.33,23.93,19.13,22.68,23.97,19.08,22.53,23.92
2006-01-01,60.54,-136.46,17.34,21.71,26.45,20.85,23.19,25.67,19.31,22.37,26.09
2007-01-01,60.54,-136.46,20.02,22.42,25.50,19.19,21.70,25.05,19.37,21.71,25.64
2008-01-01,60.54,-136.46,19.90,22.05,24.80,18.92,22.50,25.09,19.55,22.95,26.19
2009-01-01,60.54,-136.46,19.87,22.08,23.26,18.42,22.67,25.87,19.89,22.58,25.14
2010-01-01,60.54,-136.46,18.59,21.91,25.12,19.38,21.59,26.51,18.43,22.38,25.77
2011-01-01,60.54,-136.46,19.55,23.20,26.69,19.10,22.00,27.00,19.36,23.16,25.71
2012-01-01,60.54,-136.46,19.98,22.67,27.48,19.15,23.24,25.91,18.79,22.21,24.62
2013-01-01,60.54,-136.46,18.79,22.35,25.69,18.85,22.43,24.93,19.94,23.11,24.55
2014-01-01,60.54,-136.46,19.65,22.25,25.25,20.30,23.25,25.28,19.59,23.05,26.81
2015-01-01,60.54,-136.46,20.92,22.37,25.48,19.23,23.07,27.24,20.65,22.53,24.76
2016-01-01,60.54,-136.46,19.30,23.14,27.76,18.90,24.27,26.30,18.29,23.08,26.72
2017-01-01,60.54,-136.46,19.12,22.42,24.74,19.82,22.13,27.36,20.46,22.47,25.63
2018-01-01,60.54,-136.46,19.04,23.51,27.10,19.55,22.33,24.61,20.14,22.37,25.78
2019-01-01,60.54,-136.46,18.72,22.34,25.76,20.98,22.89,26.25,18.72,23.19,26.64
2020-01-01,60.54,-136.46,21.04,23.39,26.81,20.54,23.98,27.32,19.80,22.42,25.29
2021-01-01,60.54,-136.46,19.93,23.36,27.26,21.15,23.95,26.94,20.54,23.81,26.90
2022-01-01,60.54,-136.46,20.62,23.84,26.93,19.05,22.08,25.06,20.59,24.01,27.71
2023-01-01,60.54,-136.46,20.97,24.36,27.91,20.32,23.29,26.86,20.34,22.99,25.37
2024-01-01,60.54,-136.46,19.82,22.64,27.05,19.31,22.80,25.77,19.05,22.31,24.39
2025-01-01,60.54,-136.46,20.68,23.16,27.31,21.14,23.07,26.33,20.23,22.87,25.02
2026-01-01,60.54,-136.46,20.71,23.17,26.15,20.35,23.52,26.67,20.92,24.74,26.46
2027-01-01,60.54,-136.46,19.86,23.59,26.92,20.19,23.75,27.62,20.00,23.75,26.79
2028-01-01,60.54,-136.46,20.46,24.05,28.86,20.85,23.33,29.24,21.19,22.58,26.18
2029-01-01,60.54,-136.46,19.92,23.55,27.50,21.58,24.01,26.92,19.32,23.26,26.32
2030-01-01,60.54,-136.46,22.10,24.15,27.32,22.27,23.52,27.55,21.45,23.14,27.36
2031-01-01,60.54,-136.46,19.99,24.24,25.22,20.33,24.48,26.22,19.15,22.50,26.19
2032-01-01,60.54,-136.46,20.85,24.58,28.61,20.77,22.78,27.05,20.22,24.35,28.15
2033-01-01,60.54,-136.46,20.34,22.93,27.72,20.84,24.51,27.21,21.82,24.48,29.57
2034-01-01,60.54,-136.46,19.94,22.89,28.07,21.04,23.34,26.98,21.06,24.22,27.63
2035-01-01,60.54,-136.46,19.19,23.28,27.44,20.63,24.32,30.11,20.44,24.57,29.24
2036-01-01,60.54,-136.46,19.91,22.95,27.18,21.10,24.09,27.96,19.17,24.65,28.68
2037-01-01,60.54,-136.46,19.58,23.46,26.91,20.98,25.11,29.19,21.08,24.47,28.91
2038-01-01,60.54,-136.46,20.94,23.94,28.34,20.67,23.88,26.05,21.08,24.97,29.30
2039-01-01,60.54,-136.46,20.92,23.77,29.01,22.11,24.10,26.39,19.78,23.14,27.95
2040-01-01,60.54,-136.46,21.10,23.86,26.60,21.36,24.71,27.79,21.54,24.55,27.65
2041-01-01,60.54,-136.46,20.37,24.37,27.56,21.40,23.72,26.71,22.09,23.89,26.84
2042-01-01,60.54,-136.46,20.20,23.73,27.55,20.49,23.96,26.87,21.13,23.20,28.31
2043-01-01,60.54,-136.46,20.18,24.15,29.61,21.25,23.34,26.86,22.09,24.52,30.24
2044-01-01,60.54,-136.46,20.28,24.13,28.37,21.20,23.96,27.01,21.27,24.83,28.72
2045-01-01,60.54,-136.46,20.39,24.51,26.36,21.18,24.19,28.85,22.11,25.06,27.65
2046-01-01,60.54,-136.46,20.94,24.69,28.10,21.59,24.30,27.15,20.70,24.23,27.74
2047-01-01,60.54,-136.46,22.13,25.32,28.31,22.16,24.41,28.06,21.57,24.19,28.17
2048-01-01,60.54,-136.46,20.20,23.92,26.23,20.44,24.22,29.05,21.59,25.59,29.31
2049-01-01,60.54,-136.46,20.56,24.67,27.46,20.86,24.11,28.53,21.57,23.31,27.22
2050-01-01,60.54,-136.46,19.16,23.12,27.30,21.62,23.92,27.71,22.49,24.74,27.57
2051-01-01,60.54,-136.46,21.71,24.20,27.01,20.87,25.18,29.11,22.51,26.13,29.10
2052-01-01,60.54,-136.46,20.66,24.09,27.83,21.58,23.97,27.89,22.22,25.27,29.70
2053-01-01,60.54,-136.46,20.17,23.10,28.18,20.82,24.56,28.14,23.05,25.73,31.27
2054-01-01,60.54,-136.46,21.94,24.48,27.08,20.93,25.65,29.87,21.33,25.53,28.46
2055-01-01,60.54,-136.46,21.70,24.33,27.76,21.30,24.34,28.58,23.24,25.79,31.10
2056-01-01,60.54,-136.46,21.56,23.99,27.46,21.21,25.11,28.53,22.54,25.47,29.49
2057-01-01,60.54,-136.46,20.64,22.50,26.65,20.52,25.11,30.27,23.25,25.11,29.71
2058-01-01,60.54,-136.46,21.97,23.54,26.77,21.35,25.08,30.67,22.77,25.72,30.18
2059-01-01,60.54,-136.46,20.52,24.10,26.75,22.01,25.28,30.29,21.97,26.13,31.78
2060-01-01,60.54,-136.46,21.03,24.18,29.66,22.06,25.25,29.48,22.88,26.89,29.58
2061-01-01,60.54,-136.46,21.96,24.25,27.54,22.25,25.32,28.71,23.32,25.40,31.16
2062-01-01,60.54,-136.46,20.93,24.36,28.76,22.59,24.31,29.84,24.12,26.90,33.05
2063-01-01,60.54,-136.46,20.30,23.22,28.47,22.24,25.60,28.65,22.93,26.67,31.26
2064-01-01,60.54,-136.46,19.83,23.75,28.08,20.33,25.19,28.37,22.45,25.82,30.80
2065-01-01,60.54,-136.46,21.68,24.24,29.81,22.20,24.71,28.67,23.20,25.22,28.99
2066-01-01,60.54,-136.46,20.15,23.29,26.70,22.70,26.46,29.99,24.50,26.30,29.98
2067-01-01,60.54,-136.46,21.24,24.71,29.47,21.60,24.67,29.14,22.46,26.11,32.55
2068-01-01,60.54,-136.46,20.12,24.42,29.06,21.88,24.52,28.78,22.83,26.50,30.77
2069-01-01,60.54,-136.46,18.84,25.00,28.02,21.70,25.89,30.25,23.72,25.74,31.45
2070-01-01,60.54,-136.46,19.93,24.83,29.51,20.30,25.00,30.81,23.66,27.89,33.31
2071-01-01,60.54,-136.46,21.60,24.91,29.25,21.42,25.34,27.91,22.63,25.79,31.77
2072-01-01,60.54,-136.46,22.33,24.67,29.01,21.61,24.99,28.36,22.71,26.01,30.92
2073-01-01,60.54,-136.46,20.25,23.53,26.01,21.97,25.03,30.97,23.21,26.78,30.57
2074-01-01,60.54,-136.46,21.71,23.46,26.05,21.67,25.19,28.58,25.09,27.66,31.97
2075-01-01,60.54,-136.46,21.97,24.76,27.25,20.75,25.49,29.63,21.78,27.14,33.46
2076-01-01,60.54,-136.46,21.77,24.27,28.48,21.77,25.51,26.93,23.99,28.43,30.50
2077-01-01,60.54,-136.46,20.27,24.89,28.67,22.41,26.57,29.83,24.59,27.50,31.71
2078-01-01,60.54,-136.46,20.00,23.75,27.36,22.09,25.66,29.31,23.33,26.73,32.72
2079-01-01,60.54,-136.46,19.89,24.02,26.74,22.78,25.76,29.87,21.99,27.76,33.16
2080-01-01,60.54,-136.46,19.73,24.23,27.93,21.90,25.40,27.77,23.43,27.27,31.95
2081-01-01,60.54,-136.46,19.86,23.00,25.30,22.46,25.75,30.25,24.70,29.04,33.39
